Beta,R0,mean_infected_ratio,std_infected_ratio,mean_R_all,R_age1,R_age2,R_age3,R_age4,R_age5,R_age6,R_age7,R_age8,R_age9,R_age10,R_age11,R_age12,R_age13,R_age14,R_age15,R_age16
0.0,0.0,0.009999999999999998,1.734723475976807e-18,0.009999999999999998,0.008484848484848484,0.011690647482014389,0.01001926782273603,0.009018567639257295,0.011345646437994721,0.009749552772808586,0.010897832817337461,0.008808933002481388,0.009904912836767036,0.009123222748815166,0.012862318840579711,0.010280373831775701,0.008994708994708995,0.010227272727272727,0.005263157894736842,0.008571428571428572
0.001,0.003,0.01057,0.00022383029285599396,0.01057,0.012121212121212121,0.011330935251798561,0.012524084778420038,0.013262599469496022,0.012401055408970976,0.010286225402504474,0.010773993808049536,0.010421836228287842,0.0098256735340729,0.008412322274881517,0.011594202898550725,0.0077881619937694695,0.008465608465608464,0.007954545454545454,0.005263157894736842,0.017142857142857144
0.002,0.006,0.01125,0.000456618002273235,0.01125,0.01272727272727273,0.010971223021582734,0.010789980732177264,0.014058355437665782,0.013984168865435357,0.012254025044722719,0.009907120743034056,0.011042183622828782,0.011489698890649764,0.010900473933649287,0.009057971014492754,0.011526479750778817,0.01111111111111111,0.005681818181818182,0.018421052631578946,0.02
0.003,0.009000000000000001,0.013009999999999999,0.0011148542505637227,0.013009999999999999,0.009898989898989899,0.010791366906474819,0.010597302504816955,0.016445623342175066,0.013456464379947231,0.012969588550983902,0.014489164086687305,0.01358560794044665,0.014025356576862125,0.011848341232227487,0.013768115942028985,0.01246105919003115,0.008465608465608464,0.0125,0.010526315789473684,0.005714285714285714
0.004,0.012,0.01351,0.000900499861188218,0.01351,0.012525252525252523,0.010611510791366905,0.013102119460500963,0.01193633952254642,0.018733509234828492,0.014758497316636851,0.012755417956656346,0.013523573200992556,0.014104595879556262,0.014099526066350712,0.014855072463768118,0.011526479750778815,0.009523809523809523,0.013636363636363636,0.013157894736842105,0.017142857142857144
0.005,0.015000000000000001,0.015500000000000003,0.0015033296378372904,0.0155,0.012727272727272726,0.014748201438848921,0.014450867052023123,0.020159151193633953,0.018733509234828496,0.019230769230769232,0.01634674922600619,0.016004962779156327,0.013629160063391443,0.013388625592417061,0.015579710144927535,0.012461059190031152,0.007936507936507936,0.01477272727272727,0.010526315789473684,0.008571428571428572
0.006,0.018000000000000002,0.017419999999999998,0.001122319027727855,0.017419999999999998,0.013737373737373737,0.014568345323741008,0.017341040462427747,0.01697612732095491,0.026912928759894462,0.01896243291592129,0.02037151702786378,0.016749379652605458,0.017749603803486527,0.014454976303317536,0.014492753623188404,0.016510903426791276,0.012698412698412698,0.017045454545454544,0.010526315789473684,0.011428571428571429
0.007,0.021,0.01794,0.0012101239605924678,0.01794,0.016565656565656568,0.013489208633093525,0.012138728323699421,0.01883289124668435,0.02981530343007916,0.02101967799642218,0.01913312693498452,0.019602977667493797,0.01751188589540412,0.01504739336492891,0.01594202898550725,0.015576323987538939,0.013756613756613755,0.00909090909090909,0.013157894736842105,0.014285714285714285
0.008,0.024,0.02186,0.0035547714413165865,0.02186,0.014747474747474749,0.01906474820143885,0.017726396917148363,0.020159151193633953,0.035092348284960426,0.030858676207513418,0.0253250773993808,0.02121588089330025,0.020443740095087162,0.01623222748815166,0.022282608695652177,0.016510903426791276,0.01693121693121693,0.0011363636363636363,0.010526315789473684,0.005714285714285714
0.009000000000000001,0.027000000000000003,0.027009999999999996,0.003858095385031324,0.02701,0.019393939393939394,0.01852517985611511,0.019653179190751442,0.030769230769230764,0.047757255936675465,0.03810375670840787,0.029845201238390094,0.028101736972704718,0.02797147385103011,0.02014218009478673,0.021557971014492753,0.01838006230529595,0.014285714285714285,0.005681818181818182,0.010526315789473684,0.014285714285714285
