Beta,R0,mean_infected_ratio,std_infected_ratio,mean_R_all,R_age1,R_age2,R_age3,R_age4,R_age5,R_age6,R_age7,R_age8,R_age9,R_age10,R_age11,R_age12,R_age13,R_age14,R_age15,R_age16
0.0,0.0,0.009999999999999998,1.734723475976807e-18,0.009999999999999998,0.008888888888888889,0.012410071942446043,0.010019267822736032,0.009549071618037136,0.01029023746701847,0.010912343470483005,0.009226006191950463,0.011538461538461537,0.008637083993660855,0.009478672985781991,0.008695652173913045,0.010903426791277258,0.008994708994708995,0.0125,0.002631578947368421,0.005714285714285714
0.001,0.003,0.010539999999999999,0.00024576411454889016,0.010539999999999999,0.010707070707070707,0.009892086330935251,0.010404624277456646,0.010875331564986738,0.011609498680738788,0.011359570661896244,0.010030959752321982,0.011228287841191068,0.011014263074484944,0.00995260663507109,0.01105072463768116,0.006853582554517133,0.008994708994708995,0.006818181818181818,0.013157894736842105,0.008571428571428572
0.002,0.006,0.01126,0.0002870540018881464,0.011260000000000003,0.010303030303030302,0.012949640287769784,0.010789980732177263,0.010875331564986736,0.013984168865435357,0.012790697674418604,0.010712074303405572,0.012220843672456575,0.011093502377179081,0.009241706161137443,0.01141304347826087,0.008722741433021807,0.009523809523809523,0.010227272727272727,0.005263157894736842,0.005714285714285714
0.003,0.009000000000000001,0.01228,0.0006779380502671318,0.01228,0.011515151515151516,0.011510791366906475,0.011753371868978804,0.01220159151193634,0.013456464379947231,0.013327370304114489,0.012941176470588234,0.01129032258064516,0.011648177496038036,0.013270142180094788,0.013224637681159421,0.011214953271028037,0.012169312169312168,0.00909090909090909,0.015789473684210527,0.011428571428571429
0.004,0.012,0.01335,0.000927631392310545,0.013349999999999997,0.01111111111111111,0.012050359712230216,0.011368015414258189,0.016445623342175066,0.016358839050131926,0.015563506261180679,0.014798761609907118,0.01346153846153846,0.013391442155309033,0.01113744075829384,0.011231884057971014,0.010903426791277258,0.01111111111111111,0.00909090909090909,0.015789473684210527,0.014285714285714285
0.005,0.015000000000000001,0.014879999999999999,0.0007467261881037784,0.01488,0.011919191919191918,0.012410071942446043,0.01329479768786127,0.014058355437665782,0.018997361477572562,0.01994633273703041,0.014860681114551081,0.015446650124069478,0.015372424722662443,0.012203791469194312,0.013768115942028985,0.01308411214953271,0.01111111111111111,0.011363636363636364,0.010526315789473684,0.011428571428571429
0.006,0.018000000000000002,0.01581,0.0013163965967746955,0.015809999999999998,0.010909090909090908,0.014028776978417265,0.01464354527938343,0.016976127320954906,0.018469656992084433,0.018694096601073344,0.01721362229102167,0.01674937965260546,0.016640253565768624,0.01386255924170616,0.015398550724637684,0.01246105919003115,0.008465608465608464,0.00909090909090909,0.010526315789473684,0.005714285714285714
0.007,0.021,0.01813,0.00164502279619463,0.01813,0.015353535353535355,0.012769784172661872,0.015414258188824661,0.01750663129973475,0.02532981530343008,0.021466905187835422,0.021238390092879256,0.01935483870967742,0.017194928684627575,0.014928909952606633,0.018115942028985508,0.013395638629283488,0.010052910052910053,0.019318181818181818,0.010526315789473684,0.008571428571428572
0.008,0.024,0.01905,0.0018222239159883724,0.019049999999999997,0.01595959595959596,0.015287769784172664,0.01579961464354528,0.01989389920424403,0.030870712401055413,0.02477638640429338,0.021919504643962848,0.0195409429280397,0.016798732171156898,0.015876777251184835,0.01431159420289855,0.01775700934579439,0.014814814814814814,0.004545454545454545,0.002631578947368421,0.017142857142857144
0.009000000000000001,0.027000000000000003,0.02248,0.0021008569680013916,0.02248,0.015151515151515152,0.01420863309352518,0.017341040462427744,0.01989389920424403,0.03218997361477573,0.030232558139534887,0.027430340557275546,0.02518610421836228,0.020839936608557843,0.021445497630331756,0.017028985507246377,0.014953271028037382,0.015343915343915344,0.0011363636363636363,0.005263157894736842,0.005714285714285714
0.01,0.030000000000000002,0.031420000000000003,0.004326615305293505,0.031420000000000003,0.02080808080808081,0.021402877697841726,0.021001926782273604,0.027055702917771884,0.061477572559366755,0.043917710196779966,0.035789473684210524,0.033188585607940455,0.030824088748019018,0.026066350710900476,0.02373188405797102,0.023987538940809967,0.01798941798941799,0.0125,0.013157894736842105,0.014285714285714285
0.011,0.033,0.03389,0.005255749232982868,0.03389,0.025656565656565655,0.020323741007194245,0.018689788053949902,0.02891246684350133,0.05989445910290238,0.049016100178890874,0.03950464396284829,0.03399503722084367,0.03335974643423138,0.02772511848341232,0.03333333333333334,0.028971962616822427,0.015873015873015872,0.011363636363636364,0.013157894736842105,0.014285714285714285
0.012,0.036000000000000004,0.04988,0.011642319356554347,0.04988000000000001,0.029292929292929294,0.03237410071942446,0.029672447013487473,0.04456233421750663,0.10026385224274406,0.07844364937388193,0.0563467492260062,0.0532258064516129,0.048573692551505544,0.03850710900473934,0.03804347826086956,0.031152647975077878,0.02275132275132275,0.014772727272727274,0.018421052631578946,0.014285714285714285
0.013000000000000001,0.03900000000000001,0.06717000000000001,0.013993287676596949,0.06717000000000001,0.04101010101010101,0.03884892086330935,0.03872832369942196,0.04827586206896552,0.13509234828496042,0.10330948121645796,0.08383900928792569,0.07264267990074441,0.06291600633914421,0.05142180094786729,0.04873188405797101,0.04610591900311526,0.025925925925925925,0.019318181818181814,0.010526315789473684,0.022857142857142857
0.014,0.042,0.08557999999999999,0.02973435050577026,0.08557999999999999,0.056767676767676765,0.04244604316546762,0.042967244701348745,0.070026525198939,0.17757255936675462,0.1338998211091234,0.10730650154798763,0.09292803970223325,0.07559429477020602,0.06350710900473934,0.06902173913043477,0.05950155763239875,0.03386243386243386,0.01818181818181818,0.018421052631578946,0.011428571428571429
0.015,0.045,0.12297,0.03360919665805775,0.12297,0.0705050505050505,0.06205035971223022,0.062427745664739874,0.09973474801061008,0.25514511873350926,0.19311270125223615,0.15591331269349845,0.13126550868486353,0.11299524564183835,0.08992890995260663,0.10307971014492753,0.0866043613707165,0.038624338624338624,0.02840909090909091,0.007894736842105263,0.02857142857142857
