Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07478602701894317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.14912601411530815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22302393984142715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2964837355731225,1.1102230246251565e-15,1.7763568394002505e-15,1.887379141862766e-15,2.4424906541753444e-15,4.107825191113079e-15,3.219646771412954e-15,2.7755575615628914e-15,2.4424906541753444e-15,2.220446049250313e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.3322676295501878e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,2.2589662964000565e-15
0.005,0.36950928620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4421044308447938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5142729634671891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.58601863359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.657345146932814,9.992007221626409e-16,9.992007221626409e-16,9.992007221626409e-16,1.9984014443252818e-15,3.774758283725532e-15,2.886579864025407e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.1102230246251565e-15,9.992007221626409e-16,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.7609805384684498e-15
0.01,0.7282561660194175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7987553108422071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.8688461594594594,4.773959005888173e-15,5.551115123125783e-15,5.10702591327572e-15,8.659739592076221e-15,1.84297022087776e-14,1.4099832412739488e-14,1.0325074129013956e-14,8.770761894538737e-15,7.105427357601002e-15,5.773159728050814e-15,5.773159728050814e-15,4.551914400963142e-15,2.220446049250313e-15,8.881784197001252e-16,9.992007221626409e-16,8.881784197001252e-16,8.397714569334142e-15
0.013,0.9385322486044273,2.0872192862952943e-14,2.3092638912203256e-14,2.1094237467877974e-14,3.68594044175552e-14,8.038014698286133e-14,6.150635556423367e-14,4.39648317751562e-14,3.630429290524262e-14,2.9976021664879227e-14,2.4202861936828413e-14,2.475797344914099e-14,1.9872992140790302e-14,9.880984919163893e-15,4.218847493575595e-15,4.3298697960381105e-15,4.551914400963142e-15,3.576169898655753e-14
0.014,1.0078170742802304,0.006349828287311454,0.006907461238204182,0.00641200498201866,0.011481423136389668,0.024963370272674257,0.01894183481795697,0.013460668545284715,0.011149327463591874,0.00919324605437033,0.007414774344860819,0.007675489077625386,0.00606196668814285,0.003013619732001205,0.0013461652026101056,0.0012664909491351128,0.0013857447249480126,0.010981190356412257
0.015,1.0767040923444975,0.06081435990264805,0.06692942436388227,0.0625144607282816,0.106751473969664,0.21495393252104278,0.16836492253384583,0.1240572135511242,0.10451713178388455,0.08693586484593163,0.07048030020837925,0.07273251347251442,0.05788759753504691,0.0291809059501853,0.013222689505938745,0.012484636560246343,0.013526989640614606,0.10140508214909973
0.016,1.1451967190839694,0.11217379398904626,0.1245674647478282,0.11701735119812873,0.19168184818515643,0.36099518946185616,0.2904703776996932,0.22080171381967761,0.18882997913679211,0.15842371180393122,0.1291543146705998,0.13291884950473132,0.1065595230531039,0.05443801787285052,0.024990363991147846,0.0236711793026807,0.025442294778426855,0.18110527305610338
0.017,1.2132983317792578,0.16035964985627593,0.17929799568926852,0.16931236942409844,0.2673509879255842,0.4748536463572144,0.39099983721885057,0.3053405507795275,0.2646052369823716,0.22386176554921455,0.18356660131845604,0.18846640158629857,0.15213021356565137,0.07872188821152715,0.03657127030413443,0.03474019024171693,0.037093210358059125,0.251544144621073
0.018,1.281012269259962,0.20543182642270397,0.23086430561369142,0.21904231826103449,0.3347885350322909,0.5647509334103535,0.47438024578834237,0.3792480431389006,0.3325308449024039,0.2836022683435354,0.23393697261895863,0.23967835409466787,0.19473068733699694,0.10201693086755059,0.0479167362255557,0.045634590232484284,0.04845919597381154,0.31398506379578006
0.019,1.3483418324503311,0.24752213041946236,0.2791878031318049,0.26602854326344194,0.39494327408841423,0.6365342647263472,0.5440288721828268,0.4439520577594537,0.3933504355547731,0.3380658653543682,0.2805284486638826,0.2868838882258046,0.23453107755587665,0.12433627005870307,0.05899803912606938,0.05631770043423867,0.05953132284096929,0.3695094083552216
0.02,1.4152902849056603,0.2867997575637349,0.3243057738044911,0.310216682014286,0.44867162109110126,0.694433930586235,0.6025973322240656,0.500711712542809,0.447799695736704,0.38769474402363135,0.32361952374158176,0.3304132195858056,0.2717177368228677,0.1457101356473769,0.069800149761164,0.06676731972719385,0.07030832240217666,0.4190395767192135
0.021,1.481860853339605,0.3234497417288581,0.3663277150360733,0.3516362467415046,0.49673612355494556,0.7415588861334228,0.652156866093434,0.550619261474184,0.4965723663994206,0.43292478412550084,0.36348732916788296,0.37058359438322364,0.3064794972678172,0.166178308893145,0.0803173285643003,0.076971411118966,0.08079388925624298,0.46336128713846103
0.022,1.548056728142589,0.35765986457515453,0.40540539836496325,0.3903713043776784,0.5398097144140609,0.7802271053658357,0.6943373188956153,0.5946133070275632,0.5403043044646185,0.4741700213676129,0.40039793334904694,0.4076920814121523,0.3389997545712128,0.18578527426150337,0.09055005420661033,0.08692500390075264,0.09099485132978213,0.5031439487852617
0.023,1.6138810638914873,0.38961298685764867,0.4417127300476038,0.42653961768865956,0.5784828954661417,0.8121897304454245,0.7304310055855625,0.6334963110731598,0.5795681381939444,0.5118148526067057,0.4346011950006978,0.4420124722625227,0.3694521903502478,0.20457715563574153,0.10050289224414821,0.09662798577454856,0.10091993330744053,0.5389586021119668
0.024,1.6793369798507463,0.4194828063966278,0.4754324582314925,0.4602780467920793,0.6132720961978181,0.8387857201420893,0.7614704196729242,0.6679527584199573,0.61487385982849,0.54621097384439,0.4663284537788047,0.4737945946551886,0.3979987300516702,0.22259981993883815,0.11018302081922882,0.10608353566436213,0.11057892413365955,0.5712933584567463
0.025,1.7444275604651163,0.44743175276628966,0.5067475968127308,0.49173249547893294,0.6446281808032295,0.8610502288635052,0.7882866034317048,0.6985662219903541,0.6466725266292004,0.5776771175281039,0.495791943536256,0.5032649872041725,0.4247888477079521,0.23989774020633536,0.1195992137227685,0.11529701391700731,0.11998211949632664,0.6005664966857821
0.026,1.8091558558441558,0.47361019237746194,0.5358360641441517,0.5210511141711069,0.6729445428608218,0.8797916766708445,0.811553239271273,0.7258346054454914,0.6753613929426401,0.6065003688130741,0.5231852148729594,0.530628292326319,0.4499596597841735,0.25651334998036945,0.12876114150003493,0.12427517789594389,0.1291399516078906,0.6271374745837835
0.027,1.8735248822386676,0.49815641810945044,0.562867492145291,0.548379813509632,0.6985645144168072,0.8956473055932317,0.8318201741010423,0.7501833738587611,0.7012895067104759,0.6329383031350575,0.5486841164354441,0.5560689799917988,0.47363646085107436,0.27248671324779195,0.13767889385774845,0.1330256288995323,0.13806274673996677,0.6513161401001926
0.028,1.9375376225092251,0.521197090915757,0.5880014857077895,0.5738594033643434,0.721787986371202,0.9091237380371586,0.8495390888491552,0.7719768452509325,0.7247632355942204,0.657221483427818,0.5724480543247441,0.5797531740513528,0.4959334869257439,0.2878553948013072,0.14636265625024203,0.14155642366149102,0.14676056999022713,0.6733704174307518
0.029,2.0011970265869365,0.5428479246533149,0.611386838825176,0.5976238653977208,0.7428772333633986,0.9206269371346761,0.8650832957141321,0.7915277305805908,0.7460514461004899,0.6795560426788563,0.5946213579044202,0.6018304509594106,0.5169547761710775,0.3026544556796583,0.154822494006969,0.14987580312065873,0.155243129612613,0.6935327157677115
0.03,2.0645060119266057,0.5632144845416251,0.6331613707267101,0.6197994083070767,0.7620619873661472,0.9304845825228608,0.8787631169407066,0.8091051472617073,0.7653902106880641,0.7001261949899336,0.6153346496663412,0.6224355406936517,0.5367950493015441,0.31691652444664564,0.16306821151056372,0.15799200487845333,0.1635197219451947,0.7120052756858514
0.031,2.1274674639524247,0.5823930201636766,0.6534521533581787,0.6405040566549518,0.7795438281556377,0.9389629533282695,0.8908379162514808,0.8249413301633169,0.7829870045698557,0.7190965911753313,0.6347061606656382,0.6416898959284032,0.5555405649800077,0.330671912229518,0.1711092637175161,0.1659131354498924,0.1715992038869002,0.7289646353639937
0.032,2.1900842364963506,0.6004712860576605,0.6723759757897319,0.6598475972215475,0.7954999671148061,0.9462797887453391,0.9015255766803655,0.839237245316458,0.7990244015785097,0.7366144794883658,0.6528429605054136,0.6597031170507378,0.5732699259660703,0.34394875074123255,0.17895470409829395,0.17364708525462003,0.17948998391605198,0.7445653688768527
0.033,2.2523591522292996,0.6175293233036907,0.6900399420370134,0.6779317589950828,0.8100865004225446,0.9526141721331473,0.9110100167298397,0.8521672862995155,0.8136633028623527,0.7528116587510294,0.6698420878298876,0.67657423303616,0.5900548243776158,0.35677313996892246,0.18661315779735344,0.18120147413670906,0.1872000254186038,0.7589432226402011
0.034,2.3142950030852996,0.6336401883022366,0.7065421336350269,0.6948505401054128,0.8234412027793976,0.9581141909715122,0.919447189195428,0.8638832071208626,0.8270457429668545,0.7678062266281017,0.6857915775664915,0.6923928450347459,0.6059607220556718,0.3691692971343533,0.19409281211605056,0.1885836186415365,0.19473685800876206,0.7722177538899025
0.035,2.3758945506787335,0.6488706228786267,0.7219722921218934,0.7106906214572142,0.835685925891044,0.9629029195542139,0.926969898466364,0.8745174210198148,0.8392973208852708,0.7817041342695072,0.7007713871841603,0.7072401429482722,0.6210474665174439,0.38115970177966807,0.20140141874067974,0.19580051473076276,0.2021075938522564,0.7844945565448281
0.036,2.437160526714801,0.6632816646721916,0.7364124928212473,0.7255318255968759,0.8469286583863744,0.9670831258962859,0.9336916917964325,0.8841857730312171,0.8505293024494818,0.794600562730307,0.7148542275760306,0.7211898066689884,0.6353698455110468,0.39276523396730956,0.20854630377338634,0.202858831372683,0.20931894692680686,0.7958671445017608
0.037,2.4980956333933393,0.6769291996022275,0.749937792327358,0.7394475926493713,0.8572652964587841,0.9707410003489922,0.9397100202242098,0.8929898756577643,0.8608404370712679,0.8065811381672555,0.728106305838349,0.7343088038496957,0.6489780844906556,0.40400530397899603,0.21553438278163128,0.20976491170795353,0.216377253800213,0.8064185498570999
0.038,2.558702543806104,0.6898644597711243,0.7626168395249493,0.7525054545582631,0.866781167676949,0.9739491283101354,0.9451088199846926,0.9010190814246497,0.8703185275588706,0.8177230028761027,0.7405879878504493,0.746658095607341,0.6619182918846698,0.4148979728017145,0.2223721789045353,0.21652477940217663,0.22328849495889025,0.8162226832907542
0.039,2.6189839023276633,0.7021344709366446,0.7745124449371187,0.764767495474727,0.8755523442817482,0.9767688746572053,0.9499606314260672,0.9083521531418899,0.8790417872198393,0.8280957584457779,0.7523543885770361,0.7582932607502902,0.6742328571322025,0.4254600632632495,0.22906584264054497,0.22314414845714858,0.23005831603721683,0.8253454954787446
0.04,2.678942325,0.7137824539635704,0.7856821064621392,0.7762907907700949,0.8836467769097966,0.9792523072485446,0.9543283467594763,0.9150586820081956,0.8870800140971794,0.8377622960798619,0.7634558976769247,0.7692650481571531,0.6859608063046367,0.4357072620355794,0.23562117235936908,0.22962843523254695,0.23669204852089742,0.8338459715780823
0.041,2.738580399910953,0.7248481846452935,0.7961784916663083,0.7871278203618317,0.891125275034149,0.9814437569549477,0.9582666583437673,0.9212002949015838,0.8944956081609692,0.8467795277256482,0.7739386474779378,0.7796198659373517,0.6971381198285614,0.44565421293503527,0.24204363488029945,0.23598277177960114,0.24319472965377764,0.8417769852624997
0.042,2.7979006875666075,0.7353683160941282,0.806049878113879,0.79732685425312,0.8980423564287795,0.9833810893385987,0.9618232641198607,0.9268316849946956,0.9013444536707839,0.8551990302072725,0.7838449297692227,0.7894002150358727,0.7077980164585483,0.45531460206312235,0.2483383856729645,0.24221201984382879,0.24957112138673354,0.849186034243752
0.043,2.85690572125775,0.7453766676150944,0.8153405539909064,0.8069323096825897,0.9044469845715363,0.985096746259933,0.9650398751419996,0.932001493928193,0.9076766857513616,0.8630676131674803,0.7932135672327014,0.7986450740412631,0.717971207258066,0.4647012353843527,0.2545102883893625,0.24832078508078648,0.25582572828308503,0.8561158754969576
0.044,2.915598007420495,0.7549044836521555,0.8240911816938734,0.8159850802718162,0.9103832100246527,0.986618602916178,0.967953061078578,0.9367530689382085,0.9135373574672704,0.8704278203281322,0.8020802447217751,0.8073902411329963,0.727686122961429,0.4738261093499362,0.2605639335448352,0.25431343116561156,0.2619628143471714,0.8626050753631967
0.045,2.9739800259911897,0.7639806660594206,0.8323391272277193,0.824522838193015,0.9158907294004581,0.9879706760527674,0.9705949624579729,0.941125114367752,0.9189670213072764,0.8773183724030148,0.810477805018278,0.8156686383665396,0.7369691177240687,0.48270047516362424,0.2665036562427979,0.26019409357723355,0.2679864187781268,0.8686884872015088
0.046,3.032054230755712,0.772631982621166,0.8401187582753127,0.8325803107645731,0.9210053734672606,0.9891737115808243,0.972993892854156,0.9451522537361865,0.9240022369545122,0.8837745589435935,0.8184365131681367,0.8235105828402042,0.7458446519303822,0.491334897258496,0.27233355289231953,0.26596669291128183,0.2739003706743576,0.8743976672033034
0.047,3.0898230496932517,0.7808832544342588,0.8474617137190839,0.8401895330939085,0.925759534218732,0.990245674024016,0.9751748497959959,0.9488655158637527,0.9286760154822122,0.889828585466066,0.8259842930160182,0.830944028712061,0.7543354564211974,0.49973930651771215,0.27805749690537807,0.2716349476290051,0.2797083027292824,0.8797612372826722
0.048,3.1472888853146856,0.7887575244799442,0.8543971472547804,0.847380078480047,0.9301825392694271,0.9912021556956815,0.9771599496804492,0.9522927563425309,0.9330182086365925,0.8955098813887411,0.833146939129246,0.8379947835310575,0.7624626802268855,0.5079230487325858,0.28367915338645777,0.2772023861881777,0.28541366396797374,0.8848052025495642
0.049,3.204454114995641,0.7962762094511422,0.8609519475637888,0.8541792683010054,0.9343009807064435,0.9920567199670903,0.9789687991733113,0.9554590238242516,0.9370558506118338,0.9008453735924847,0.839948306919124,0.8446867019066352,0.770246023646216,0.5158949287505825,0.28920199284433845,0.28267235852975825,0.29101973157925465,0.8895532297057015
0.05,3.261321091304348,0.8034592366665396,0.8671509373220043,0.8606123630710973,0.9381390044862963,0.992821190201733,0.98061881333877,0.9583868790885114,0.9408134586545736,0.9058597297930872,0.8464104834300311,0.8510418591583138,0.7777038582931763,0.5236632507258727,0.2946293039669916,0.2880480469139125,0.29652962189984744,0.8940268917320694
0.051,3.3178921423243706,0.8103251676928135,0.8730170531314988,0.8667027362800198,0.9417185655861061,0.9935058937267883,0.9821254889328508,0.9610966736050574,0.9443132979284867,0.9105755753723098,0.8525539409691749,0.8570807072539628,0.7848533355417207,0.5312358548468555,0.29996420550705705,0.29333247611290114,0.30194630060720395,0.8982458834266435
0.052,3.3741695719723186,0.8168913101096437,0.8785715082737419,0.8724720325326768,0.9450596533733859,0.9941198684611535,0.9835026398348284,0.9636067932645384,0.9475756152989715,0.9150136868441359,0.8583976754886375,0.8628222150564967,0.7917104846292331,0.538620150879279,0.3052096573288752,0.2985285229778978,0.30727259217638336,0.9022282116733276
0.053,3.4301556603106125,0.8231738186867867,0.8838339400044013,0.8779403114055656,0.9481804910273766,0.9946710384204076,0.9847626004039434,0.9659338720858308,0.9506188460427397,0.9191931647251956,0.8639593314022492,0.8682839946477928,0.7982903015308778,0.5458231488304695,0.3103684706692663,0.3036389254031171,0.3125111886542049,0.9059903637545894
0.054,3.485852663855422,0.8291877870963933,0.8888225429424256,0.8831261783287007,0.9510977123089579,0.9951663631967818,0.98591640158098,0.9680929799841677,0.953459796929478,0.9231315882253013,0.869255314319202,0.8734824152807401,0.80460682958664,0.5528514870098913,0.3154433176639888,0.3086662907146387,0.3176646578012644,0.9095474565422264
0.055,3.5412628158798283,0.8349473311548578,0.8935541899513958,0.8880469036957421,0.9538265185204458,0.9956119656080095,0.9869739237619852,0.9700977880778869,0.9561138086476031,0.9268451538681791,0.8743008930006589,0.8784327063209882,0.8106732327485064,0.5597114577336488,0.32043674019049395,0.3136131035135601,0.3227354506494583,0.9129133689975715
0.056,3.5963883267123293,0.8404656644749777,0.8980445417694575,0.8927185313021193,0.9563808181084434,0.9960132409774518,0.9879440298204029,0.9719607145023673,0.9585949001407865,0.9303487998874793,0.8791102916918975,0.8831490503753722,0.8165018622149961,0.5664090308956156,0.32535115807560333,0.31848173300414795,0.32772590851959127,0.9161008600716937
0.057,3.6512313840307433,0.8457551673092157,0.9023081465152623,0.8971559771131737,0.9587733510317411,0.996374950913798,0.9888346811170731,0.973693053271007,0.9609158970756139,0.9336563180133715,0.8836967738479374,0.8876446676607449,0.8221043171323297,0.5729498756053468,0.3301888767143405,0.3232744398377976,0.33263826954058306,0.919121673807333
0.058,3.7057941531516185,0.8508274492768805,0.9063585300807645,0.901373119272742,0.9610157997331816,0.9967013039743022,0.9896530388933324,0.9753050883613124,0.9630885463644597,0.9367804540656959,0.8880727181527642,0.8919318925421792,0.8274914999643939,0.5793393800727248,0.33495209414351235,0.3279933825031268,0.33747467470877246,0.9219866331989739
0.059,3.760078777315208,0.8556934065905639,0.9102082783166392,0.9053828801775841,0.9631188883120254,0.9969960251992123,0.9904055530736543,0.9768061948981207,0.9651236184137539,0.9397329985965194,0.8922496876289709,0.8960222430606838,0.832673667065945,0.5855826699011081,0.3396429076109013,0.3326406232916267,0.34223717352292504,0.9247057241585
0.06,3.8140873779661018,0.8603632743289522,0.9138691118216882,0.909197301364794,0.9650924712854129,0.9972624161796461,0.9910980401971025,0.9782049290464889,0.9670309985499049,0.9425248686744755,0.8962384925440825,0.8999264841755695,0.8376604749339859,0.591684624934503,0.34426331967819257,0.3372181338671001,0.34692772922779946,0.9272881707555148
0.061,3.8678220550295856,0.8648466742430154,0.9173519540629769,0.9128276118876739,0.9669456131488359,0.9975034070530832,0.9917357519402366,0.9795091080062377,0.9688197688878106,0.945166181772319,0.9000492477403313,0.9036546853635324,0.8424610225599425,0.5976498947896998,0.3488152438930735,0.34172780046576556,0.35154822369655025,0.9297425027487949
0.062,3.921284887183811,0.869152658529575,0.9206669934777063,0.9162842907902561,0.9686866597916854,0.9977216015990615,0.9923234354790555,0.9807258813122923,0.9704982817455725,0.9476663226050425,0.9036914249448079,0.9072162731437999,0.847083890259184,0.603482913191276,0.35330051006335694,0.3461714287524379,0.3561004619798124,0.932076616294479
0.063,3.9744779321278383,0.8732897499594713,0.9238237401401252,0.919577124231352,0.9703233026912614,0.9979193164239575,0.9928653867568271,0.9818617944845838,0.9720742255698921,0.9500340036663896,0.9071739005554884,0.9106200790349361,0.8515371753138417,0.6091879112157159,0.357720869163505,0.35055074835670397,0.3605861765470769,0.9342978286041117
0.064,4.027403226845638,0.8772659787062425,0.9268310775163296,0.922715257755308,0.9718626366939873,0.9980986150709534,0.9933654975723355,0.9829228459340754,0.973554684216427,0.9522773201246869,0.9105049993445519,0.913874383392935,0.8558285247290615,0.6147689295404495,0.3620779979016119,0.3548674171115189,0.3650070312438841,0.9364129272288004
