Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04568260115653041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09109274147117297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.13623285121902873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.18110533185770752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.22571255645320198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.27005687009823187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.31414059032321257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.35796600749999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.40153538523855886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.44485096077669906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4879149453630203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5307295246332047,4.440892098500626e-16,1.7763568394002505e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.6653345369377348e-15,2.220446049250313e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.3322676295501878e-15,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.6653345369377348e-15,1.4915431122169204e-15
0.013,0.5732968589797882,1.4432899320127035e-15,3.885780586188048e-15,5.88418203051333e-15,5.662137425588298e-15,2.3314683517128287e-15,2.7755575615628914e-15,3.4416913763379853e-15,4.218847493575595e-15,4.440892098500626e-15,3.774758283725532e-15,3.1086244689504383e-15,2.55351295663786e-15,2.4424906541753444e-15,2.55351295663786e-15,2.3314683517128287e-15,3.1086244689504383e-15,3.2057471856391306e-15
0.014,0.615619083915547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6576983104306219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6995366253435115,1.6653345369377348e-15,4.773959005888173e-15,7.216449660063518e-15,6.8833827526759706e-15,2.886579864025407e-15,3.219646771412954e-15,3.9968028886505635e-15,5.329070518200751e-15,5.329070518200751e-15,4.440892098500626e-15,3.4416913763379853e-15,2.886579864025407e-15,2.55351295663786e-15,2.6645352591003757e-15,2.4424906541753444e-15,3.4416913763379853e-15,3.684574836767748e-15
0.017,0.7411360916460514,4.440892098500626e-16,1.887379141862766e-15,3.219646771412954e-15,2.1094237467877974e-15,1.2212453270876722e-15,1.2212453270876722e-15,1.7763568394002505e-15,2.220446049250313e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.4432899320127035e-15,8.881784197001252e-16,8.881784197001252e-16,8.881784197001252e-16,1.7763568394002505e-15,1.5778089385250637e-15
0.018,0.7824987488425047,1.1102230246251565e-15,3.4416913763379853e-15,5.551115123125783e-15,5.10702591327572e-15,1.887379141862766e-15,2.4424906541753444e-15,2.9976021664879227e-15,3.885780586188048e-15,4.107825191113079e-15,3.4416913763379853e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.887379141862766e-15,2.1094237467877974e-15,1.887379141862766e-15,2.7755575615628914e-15,2.8102298572894186e-15
0.019,0.823626613282876,9.992007221626409e-16,3.4416913763379853e-15,5.551115123125783e-15,5.10702591327572e-15,1.7763568394002505e-15,2.1094237467877974e-15,2.9976021664879227e-15,3.885780586188048e-15,4.107825191113079e-15,3.4416913763379853e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.887379141862766e-15,2.1094237467877974e-15,1.887379141862766e-15,2.7755575615628914e-15,2.7866128885995234e-15
0.02,0.864521678490566,5.662137425588298e-15,1.5654144647214707e-14,2.3425705819590803e-14,2.1094237467877974e-14,9.103828801926284e-15,1.0325074129013956e-14,1.2656542480726785e-14,1.63202784619898e-14,1.6986412276764895e-14,1.3877787807814457e-14,1.1657341758564144e-14,8.659739592076221e-15,7.438494264988549e-15,7.771561172376096e-15,7.438494264988549e-15,1.1435297153639112e-14,1.1701361623438589e-14
0.021,0.9051859154844779,2.9976021664879227e-15,8.770761894538737e-15,1.354472090042691e-14,1.2212453270876722e-14,4.9960036108132044e-15,6.106226635438361e-15,7.327471962526033e-15,9.2148511043888e-15,9.992007221626409e-15,7.549516567451064e-15,6.772360450213455e-15,4.9960036108132044e-15,4.440892098500626e-15,4.551914400963142e-15,4.3298697960381105e-15,6.661338147750939e-15,6.739447024847664e-15
0.022,0.9456212730956848,1.2434497875801753e-14,3.608224830031759e-14,5.540012892879531e-14,5.007105841059456e-14,2.020605904817785e-14,2.3647750424515834e-14,2.90878432451791e-14,3.774758283725532e-14,3.941291737419306e-14,3.164135620181696e-14,2.6645352591003757e-14,1.9872992140790302e-14,1.6653345369377348e-14,1.7763568394002505e-14,1.6764367671839864e-14,2.653433028854124e-14,2.6960394835463748e-14
0.023,0.9858296782787652,6.2581373416747965e-09,1.8413341296152907e-08,2.85215181472509e-08,2.5567061023856752e-08,1.023904416808108e-08,1.1884216277735504e-08,1.4597348330092075e-08,1.8858700268076234e-08,1.9931292616348628e-08,1.6006639569354775e-08,1.337776744936292e-08,9.881709450709764e-09,8.204852908200166e-09,8.769810100339726e-09,8.30485458180874e-09,1.3215951999434594e-08,1.3546523369750333e-08
0.024,1.0258130364179103,0.017923549678420803,0.0514713832339978,0.07756651205607068,0.07004333852981937,0.029073639280166597,0.033766855868684,0.0412598444565756,0.052869373907169614,0.05569700285212309,0.04498458546798856,0.03777906804940678,0.028096885469629518,0.023448891075147804,0.025060450125851674,0.02372441313862128,0.03731165048254703,0.03807501649467525
0.025,1.065573231627907,0.04522766171959813,0.12530114670185255,0.18194982700753004,0.16592156493680676,0.07244154884103982,0.08415168007022666,0.10203261874314873,0.12918152937327498,0.13549440318999084,0.11038363691989195,0.09337203532544325,0.07015060654744032,0.05898112675252065,0.0630164980611565,0.059641769641475606,0.09220138045957393,0.09351573212908285
0.026,1.1051121270500928,0.07185767267933629,0.1924334450815478,0.27069831080873263,0.24891598987105312,0.11373191455293163,0.13204282716318816,0.15892851552056786,0.19896786771033048,0.2078979048160935,0.17079549693138385,0.145463551231082,0.11035056333985949,0.09341843455160026,0.09977029612526211,0.0944240974669045,0.1436494983289911,0.1449294501021796
0.027,1.1444315651433856,0.0977084013080538,0.2533928514112034,0.3467873248392904,0.32117612425671205,0.15291371913024843,0.17733491996669049,0.21196067358331494,0.2625820383688656,0.27345328029175187,0.22647708799438215,0.19413912275573608,0.1486432299778131,0.12663954498599195,0.13518383142618007,0.1279575390704507,0.19176206952899177,0.19258239186526221
0.028,1.1835333679704798,0.12272328143007716,0.3087388166296803,0.4125052960053418,0.3844318101762413,0.19001844444887606,0.22002872900624726,0.2612575573397963,0.32047323768807656,0.33275830492517333,0.2777449953599782,0.23955102267663153,0.18503619804754945,0.15858487488875284,0.16918783682781513,0.1601871701642209,0.23669844305931897,0.23675617810056188
0.029,1.2224193374793009,0.1468777855655874,0.35901912779104805,0.4696381442184173,0.4400825763455133,0.22511410814277188,0.26018928063281765,0.30701019040888955,0.3731221719229,0.3864087903419168,0.32493576935819324,0.28188497376054733,0.21957426737463437,0.1892354406730391,0.2017587805934643,0.19109700826177511,0.2786435521084909,0.277729049970208
0.03,1.2610912557798166,0.17016848865214973,0.40474723880084074,0.5195981472020317,0.48926840373520153,0.25828902804414045,0.29791902771116574,0.34943968551273896,0.42100526933662363,0.43497066227208603,0.36838360280290294,0.32134011093400294,0.25232420681555334,0.21859893168427202,0.2329035126096035,0.2206967737926545,0.31779137254277023,0.3157661010278428
0.031,1.2995508854162854,0.19260578668756112,0.44639278985916164,0.5635154823918687,0.5329245867324843,0.2896416314326319,0.33334066497742454,0.38877746597349117,0.46457563332793317,0.4789669162036019,0.4084082509793705,0.35811705463766597,0.28336498285906675,0.24670041156813294,0.26264890569071775,0.24901301407991372,0.35433515721463194,0.35111465643969386
0.032,1.3377999696350367,0.21420900305831614,0.48437924319024606,0.6023043215626377,0.5718240149933204,0.31927406416546755,0.36658614886229246,0.4252534281352375,0.5042538326252837,0.518872949802871,0.44530898722286527,0.3924109682829793,0.3127814729132662,0.27357604442149164,0.2910347922035743,0.27608308302993423,0.38846181210125874,0.3840025678989597
0.033,1.3758402326478618,0.23500307235737938,0.5190852127845423,0.6367112968877449,0.6066098042131727,0.34728821505897023,0.3977897341750761,0.45908907974514046,0.5404244004527601,0.5551164954321792,0.479362097593523,0.4244076929264824,0.34066042531771656,0.2992688245901187,0.31810910466471143,0.30195101830573956,0.4203488179687881,0.41463813117480947
0.034,1.4136733798911072,0.2550162791510433,0.5508475737691118,0.667351558896631,0.6378206012012047,0.3737832896750911,0.4270836270220133,0.4904937959455724,0.5734355751850226,0.5880799628758426,0.5108204229415464,0.45428178462094004,0.367087883795167,0.32382565206182923,0.3439245112830641,0.32666469843258117,0.45016271951951614,0.4432108745787061
0.035,1.4513010982805432,0.27427871064337295,0.5799652930000441,0.6947359654590785,0.6659103362026051,0.3988543845676079,0.4545953492172278,0.519663021170921,0.6036008088784567,0.6181039289996653,0.5399140522801485,0.48219572366827124,0.39214757523662014,0.3472953233595858,0.36853607908428043,0.35027387553014466,0.4780585761461512,0.46989278115237165
0.036,1.4887250564620937,0.29282119772350834,0.6067034083256129,0.7192918384052924,0.6912637526830587,0.42259170948897395,0.48044622439446205,0.5467776739130443,0.6312011670678419,0.6454910542706269,0.5668516280963574,0.5082998371392533,0.4159199354682602,0.3697271526542062,0.3919996518299168,0.37282881466379103,0.5041799953403672,0.49483969164247343
