Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08785568644067797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.17518738270377737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.26199976263627356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.3482974446640317,2.1094237467877974e-15,4.3298697960381105e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.9984014443252818e-15,2.4424906541753444e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.679714644373427e-15
0.005,0.4340849926108375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.5193669165029471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.6041476733594516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.68843166796875,4.440892098500626e-16,2.6645352591003757e-15,5.551115123125783e-16,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,6.453284934239083e-16
0.009,0.7722232536514119,3.219646771412954e-15,1.0103029524088925e-14,6.328271240363392e-15,3.774758283725532e-15,2.4424906541753444e-15,2.220446049250313e-15,2.7755575615628914e-15,3.219646771412954e-15,3.1086244689504383e-15,2.55351295663786e-15,2.4424906541753444e-15,1.9984014443252818e-15,1.6653345369377348e-15,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,4.383940204633583e-15
0.01,0.8555267330097088,5.551115123125783e-16,2.6645352591003757e-15,2.3314683517128287e-15,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,9.110129274818752e-16
0.011,0.9383463586640852,5.662137425588298e-15,1.9317880628477724e-14,1.0436096431476471e-14,6.106226635438361e-15,3.219646771412954e-15,3.3306690738754696e-15,4.107825191113079e-15,4.551914400963142e-15,4.440892098500626e-15,3.6637359812630166e-15,3.3306690738754696e-15,3.1086244689504383e-15,2.55351295663786e-15,1.4432899320127035e-15,9.992007221626409e-16,8.881784197001252e-16,7.4256798937089e-15
0.012,1.020686333976834,0.015763741054014457,0.05141712400440401,0.03039240487710293,0.017454351683446667,0.009807035835580291,0.010147932655920955,0.012345035832563522,0.013959202627105927,0.013739619000169623,0.011156018767911946,0.01017093850976325,0.009624399969335173,0.006864941253229451,0.004332615564889064,0.003109919123371774,0.0028346014318996193,0.020961242379868916
0.013,1.102550813763234,0.07776879043702678,0.22640378721774534,0.14528225120488936,0.08989294797668801,0.051800335803181885,0.05256137393864946,0.06248613762099553,0.07052582135465657,0.0698252036849859,0.05768542418098832,0.05291031717846317,0.04957765055046415,0.03534239907989667,0.021745594976039007,0.015671043540182894,0.014419326953382328,0.10027345459371675
0.014,1.1839439049904033,0.13820578412515128,0.36355718860631103,0.24917827926211766,0.1645389206471214,0.09748826712020509,0.09749913788222475,0.11359945974097085,0.127875453502854,0.12719945565938262,0.10669240654418166,0.09842284303446136,0.09156119317947553,0.06534117490814961,0.03932360755680875,0.028441286920077857,0.026379191450786377,0.17352716336502208
0.015,1.2648696674641147,0.1963737629970781,0.47209726952993125,0.34117658160863196,0.2381918296168848,0.14527466189982874,0.14379313779751102,0.1646522949199869,0.18474216226809848,0.18443972811388076,0.15677514330286524,0.14540509429461967,0.134585859982864,0.09628280450298055,0.056871459759790466,0.04126850810545535,0.03853337515418653,0.2409150250091569
0.016,1.3453321145038168,0.2517484912311453,0.5588146953959,0.42156681434260135,0.30853465837323746,0.19371836090479744,0.1903672116922781,0.21475957651370192,0.24008424311475152,0.24036812245449646,0.20671363876383197,0.1926876018878121,0.17775521956007967,0.12762526161574006,0.07423302164939771,0.05402969550845704,0.050732269409462405,0.3026307362928862
0.017,1.4253352136060895,0.3039943986479873,0.628737513799352,0.49129500146683025,0.3741552017803592,0.24166229542451667,0.23633442727274034,0.2632409585142106,0.2931389718640257,0.29411577863381666,0.2555548571490768,0.2393259725990634,0.2203374403725865,0.158909214376317,0.09129369377653285,0.06663351065373779,0.0628617683514826,0.35893628569859026
0.018,1.504882887096774,0.3529427683533387,0.6856123683863895,0.55157355885606,0.4343745782357874,0.28825933179797725,0.2810252373195503,0.3096228575769754,0.3434097869155629,0.3451101405782456,0.30261929489320205,0.2846195559265282,0.2617823570193495,0.18977281627291664,0.10797519637824515,0.07901654191664387,0.07483991250391342,0.4101617739029366
0.019,1.5839790127719964,0.39855680058192966,0.7322527947671644,0.6036494381893145,0.48902827568828855,0.3329401924778277,0.32397354597237793,0.3536115906328924,0.39062157822435406,0.3930256250168488,0.3474661226244289,0.3280887447787665,0.3017067772781076,0.2199475241976151,0.12422804412299904,0.09113756861939748,0.08661080325063397,0.4566817778220166
0.02,1.662627424528302,0.440895766651518,0.7707902678439562,0.6486868659961418,0.538274360527966,0.37535931573436665,0.364883847049155,0.39505647212874273,0.43466797955747616,0.43772496935725147,0.38984407184173553,0.3694354033698777,0.3398663281612285,0.2492451312726104,0.14002431161675477,0.10297197954652193,0.09813839259138302,0.49888937752276236
0.021,1.7408319129821261,0.4800839175109819,0.8028546743316459,0.6877195142581898,0.5824513745049154,0.41533923251968996,0.40359398317772865,0.433913436130683,0.47556292787986776,0.47920526466121016,0.42964309929460986,0.40850097925272777,0.37612485429698805,0.2775423426702811,0.15535162502316935,0.11450713329331685,0.10940118776565888,0.5371755363469656
0.022,1.8185962260787993,0.5162858801588301,0.8297041690846553,0.7216400381219799,0.6219830737202126,0.45282249501170124,0.4400408479597464,0.47021381630824577,0.5134010777626232,0.5175538980004025,0.46685321593162954,0.4452291873224393,0.4104267039815981,0.30476612723641283,0.17020851367256606,0.12573878274178474,0.1203880997336998,0.571915187430148
0.023,1.8959240696913005,0.5496883289126968,0.8523190010577986,0.7512075786359961,0.6573190830163245,0.48783364398443785,0.4742318240801886,0.5040395386842667,0.5483276236223891,0.5529150249368483,0.5015320592003366,0.4796355823670474,0.44277381571175967,0.3308811612258983,0.1846009502452487,0.13666842964163772,0.13109533023126807,0.6034590285919632
0.024,1.9728191082089552,0.5804869512215257,0.8714697465695891,0.7770625520919883,0.6889003624397857,0.5204506751542701,0.5062223705385229,0.5355043683474601,0.5805163646685536,0.5854652469544968,0.5337805805012661,0.5117840474241309,0.47320777304292705,0.35587966476756805,0.19853983411751563,0.1473014127738096,0.14152409541603295,0.6321294988785605
0.025,2.049284965116279,0.6088775614434561,0.8877673242245012,0.7997432752006498,0.7171407471869877,0.5507843879097678,0.5360991186583666,0.5647402410470612,0.6101543510431555,0.6153966165383256,0.5637254443358244,0.5417692805308547,0.50179624909953,0.37977346444322324,0.2120391884043319,0.15764554639651174,0.15167898587287376,0.6582195608810288
0.026,2.125325223562152,0.635050313681393,0.9016999741135999,0.8197018734046321,0.7424184183992797,0.5789638444707668,0.563967492867137,0.5918875997848291,0.6374315059156244,0.6429051653177003,0.5915066417792761,0.5697041090209529,0.5286230364861633,0.40258794318991176,0.22511488342842167,0.16771016070218192,0.16156679637649496,0.6819932385819611
0.027,2.200943426919519,0.6591861517892423,0.9136608442416515,0.8373184397948199,0.7650732501738466,0.6051263776638367,0.5899428654018102,0.6170887606241711,0.6625338760232147,0.6681834473323485,0.6172690011763031,0.5957105191819017,0.5537808741487755,0.4243575104038243,0.23778374284599824,0.17750543174629596,0.17119569685579616,0.7036871726030949
0.028,2.2761430793357937,0.681454829630241,0.9239687546022014,0.8529131680152257,0.785407462814701,0.6294108959271703,0.6141443827258489,0.6404835059646692,0.6856394578455717,0.6914159242142582,0.6411565357743167,0.6199134622673557,0.57736639233291,0.4451222587732766,0.2500629254483152,0.18704191812145277,0.18057464901545894,0.7235127005687694
