country,scenario,nodes,edges,num_components,largest_comp_frac,cross_edge_ratio,avg_path_length,mean_degree,clustering,file
Germany,baseline,10000,34268,448,0.9529,0.7666044122796778,4.867704811834729,6.8536,0.0012050612572805785,Germany.gexf
Germany,no_school,10000,30759,608,0.9347,0.7782437660522123,5.044597585024094,6.1518,0.001040640657787675,Germany.gexf
Germany,no_work,10000,24222,628,0.9326,0.7407315663446453,5.672833963568081,4.8444,0.0010861771533639546,Germany.gexf
Monaco,baseline,10000,64847,2,0.9999,0.7574598670717226,3.855717218051071,12.9694,0.0021541052613087783,Monaco.gexf
Monaco,no_school,10000,52097,4,0.9997,0.7626158895905715,4.17385241582879,10.4194,0.00157814034994557,Monaco.gexf
Monaco,no_work,10000,51186,5,0.9996,0.7191614894697769,4.203823080007391,10.2372,0.002327350090028135,Monaco.gexf
Qatar,baseline,10000,109347,13,0.9988,0.7519364957429102,3.2968588640603227,21.8694,0.003120840860518645,Qatar.gexf
Qatar,no_school,10000,100809,12,0.9989,0.7650606592665338,3.3744436661665436,20.1618,0.002991753962008941,Qatar.gexf
Qatar,no_work,10000,79381,24,0.9977,0.7248585933661708,3.623642155626747,15.8762,0.0026862807803006076,Qatar.gexf
Uganda,baseline,10000,120929,6,0.9995,0.5945637522843983,3.233450885939267,24.1858,0.00499449993888821,Uganda.gexf
Uganda,no_school,10000,98995,6,0.9995,0.6685994242133441,3.4165405296204234,19.799,0.0026289345001661627,Uganda.gexf
Uganda,no_work,10000,100815,6,0.9995,0.54875762535337,3.409247028957745,20.163,0.005488126770992287,Uganda.gexf
