Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0010084925690021231,0.0008287619612576483,0.0007119239099598726,0.0013050612280443737,0.0009443269908386185,0.0005170682567576162,0.0007592964914812191,0.001129357490196018,0.0009660063585228663,0.0005976218789799923,0.0007521501156585696,0.001179862601387163,0.0010688705234159779,0.00045677235445087873,0.00090541663559335,0.0012323244112386056
0.004,0.0012208067940552019,0.0007525829585846714,0.000951498441018812,0.0014901151470915917,0.0009725158562367865,0.000762475164546614,0.0006996676227591526,0.0012453640897144205,0.0010516018586451458,0.0005595253612188069,0.0008513782795791115,0.00125182543771118,0.0011349862258953167,0.0005994789301829008,0.0009204654457926271,0.0013495070059980064
0.008,0.0011854210898796886,0.0006783541936546644,0.0009426751592356687,0.0014281670205237085,0.0013812544045102189,0.0008878682538604752,0.0010635348302985765,0.0016989739787218613,0.0012961604304230865,0.0006585724012988357,0.0010604933232611648,0.0015318275375850081,0.0009476584022038566,0.0004403912106368519,0.0007900664314112189,0.0011052503729964943
0.012,0.0012384996461429585,0.0007677064143178428,0.000963779433976276,0.001513219858309641,0.00124031007751938,0.0008002173311482268,0.0009539559831774227,0.0015266641718613373,0.001112741501589631,0.0006912314287856528,0.0008653875115347114,0.0013600954916445506,0.0011680440771349861,0.000489044598772937,0.0009930417149973056,0.0013430464392726667
0.016,0.0013977353149327674,0.0007439273175243571,0.0011315243432705336,0.0016639462865950011,0.0014517265680056382,0.0009660174679016022,0.0011060416567046677,0.0017974114793066086,0.0015651748593788213,0.0008720079799853427,0.0012531308112833307,0.0018772189074743118,0.0012341597796143254,0.0006375573417076375,0.0010060128149468747,0.0014623067442817762
0.02,0.0016277423920736023,0.000975073830646407,0.001278816702985303,0.001976668081161902,0.0019168428470754057,0.0009534914164166574,0.0015756403257315551,0.0022580453684192562,0.001711910002445586,0.000863451684916496,0.0014029277852177753,0.0020208922196733965,0.0011570247933884298,0.000496816798685458,0.0009792411852312447,0.001334808401545615
0.024,0.0017162066525123851,0.001244282081630563,0.0012709460280268031,0.002161467276997967,0.0025510923185341787,0.0021053496567147905,0.001797702619567459,0.0033044820175008984,0.002323306431890438,0.0017456116644309354,0.0016986473201918363,0.00294796554358904,0.0013553719008264464,0.0005445816309398775,0.0011604958669628798,0.001550247934690013
0.028,0.0018400566171266808,0.0008896313444099622,0.0015217061290646514,0.0021584071051887104,0.002156448202959831,0.0013795523035500183,0.001662781751230292,0.00265011465468937,0.0022377109317681587,0.0015212298324491134,0.0016933458274384654,0.002782076036097852,0.001333333333333333,0.0007078594150248433,0.001080029094821008,0.0015866375718456582
0.032,0.00199929228591649,0.0014927437247575848,0.0014651208043088022,0.0025334637675241776,0.0029739252995066947,0.0023384253229538662,0.0021371305445369126,0.003810720054476477,0.0029713866471019813,0.0019798231431965916,0.002262916034107606,0.0036798572600963567,0.001410468319559228,0.0007207842027419068,0.0011525390051616167,0.0016683976339568393
0.036000000000000004,0.0028308563340410475,0.0020071030246714486,0.002112623740832773,0.003549088927249322,0.004045102184637068,0.0031733041534632686,0.0029095498770749786,0.005180654492199157,0.0038028857911469793,0.002336992029232904,0.002966603933748165,0.004639167648545794,0.0016308539944903582,0.0007614614031579939,0.0013583685308666345,0.0019033394581140818
0.04,0.0046001415428167025,0.0031948655002895583,0.0034568736063836716,0.005743409479249733,0.006046511627906977,0.004834000029438579,0.004316686933292268,0.0077763363225216865,0.005368060650525802,0.004468473023884096,0.00376903811497317,0.006967083186078433,0.0020826446280991736,0.0013537166073194938,0.0015982233615309837,0.0025670658946673635
0.044,0.007961783439490446,0.011923441573507953,0.0036950346697257165,0.012228532209255176,0.013713883016208598,0.020798760069346046,0.00627114231157115,0.021156623720846045,0.011506480802152113,0.01753360664726155,0.005232160243735364,0.017780801360568862,0.0033278236914600547,0.004300530180929052,0.001788898730433333,0.004866748652486776
0.048,0.015127388535031846,0.02296053520019071,0.006911066534828427,0.023343710535235263,0.02383368569415081,0.038523275541175774,0.010048308585596659,0.03761906280270496,0.020763022743947177,0.034356516170987256,0.008468701326575229,0.03305734416131913,0.00553168044077135,0.007235810515954305,0.002942378901709455,0.008120981979833245
0.052000000000000005,0.04235668789808918,0.05210234132596136,0.023712104504621575,0.06100127129155679,0.06689217758985201,0.08188580225411433,0.037589719580981285,0.09619463559872274,0.061005135730007334,0.07548148434673924,0.03399443345156165,0.08801583800845303,0.013035812672176307,0.015049852637241113,0.007650292071499867,0.018421333272852745
0.056,0.06100495399858457,0.07236868593383232,0.035108152326512945,0.0869017556706562,0.0982663847780127,0.11769441433284468,0.05614997950467323,0.14038279005135215,0.09010760577158229,0.10769013302181703,0.051571186588085266,0.12864402495507932,0.019625344352617077,0.02260196272008739,0.01153733586650439,0.027713352838729763
0.06,0.15953644727530075,0.09548186593601247,0.12536870036215317,0.19370419418844834,0.2592389006342495,0.1526726658088501,0.2046056888219856,0.31387211244651336,0.23050868182929815,0.13757671014617381,0.18127748837348412,0.2797398752851122,0.05238567493112947,0.03133988348101658,0.04117084165813375,0.06360050820412519
0.064,0.23398796886058032,0.09560555022143169,0.19977596209431916,0.2681999756268415,0.3657082452431289,0.1457345828687567,0.31355779452519056,0.41785869596106723,0.33176815847395447,0.1315580092557728,0.2846907294712458,0.37884558747666314,0.07916253443526172,0.03130210492509724,0.06796122004488044,0.09036384882564301
0.068,0.27310686482661,0.10986865312274173,0.23379087223695977,0.31242285741626025,0.4125722339675828,0.1663120751081189,0.35305822222107214,0.47208624571409347,0.3808143800440205,0.15379134662972846,0.32578085344119756,0.4358479066468435,0.09450137741046832,0.03859578112794947,0.08069005451090572,0.10831270031003093
0.07200000000000001,0.34136588818117475,0.0686736811121282,0.3167913270031824,0.3659404493591671,0.5150387596899225,0.10067454796793282,0.4790128353759897,0.5510646840038553,0.4727684030325264,0.09235749910594045,0.4397186964306697,0.5058181096343831,0.12373553719008265,0.025378434137103948,0.114653981167396,0.1328170932127693
0.076,0.35375088464260435,0.12087611093461856,0.3104959238626446,0.3970058454225641,0.5325863284002819,0.1809735951922286,0.46782575907254836,0.5973468977280154,0.4880777696258255,0.16595585945182476,0.4286912280148369,0.5474643112368142,0.13449035812672178,0.04606161280234683,0.11800742167367123,0.15097329457977232
