Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0010261854210898797,0.0006675267779510154,0.0007873140313951711,0.0012650568107845884,0.0009161381254404508,0.0005218157313181879,0.0007294087641298201,0.0011028674867510815,0.0010149180728784544,0.0006511320009137897,0.0007819134788000024,0.0012479226669569064,0.0010358126721763084,0.0006244186284309743,0.0008123673356724953,0.0012592580086801216
0.004,0.000937721160651097,0.0006925274693024655,0.0006899033884535315,0.0011855389328486626,0.0013107822410147992,0.0007957104795404713,0.0010260409028082541,0.0015955235792213442,0.0011738811445341161,0.0006839201756410844,0.0009291434528161916,0.0014186188362520407,0.0009807162534435261,0.0005918876139071312,0.0007689119909822279,0.0011925205159048244
0.008,0.0010969568294409058,0.0007098462159865943,0.0008429416233352851,0.0013509720355465264,0.001353065539112051,0.0007644939003130574,0.0010794949103180272,0.001626636167906075,0.0013083883590119835,0.000559110539443347,0.001108313222011875,0.0015084634960120921,0.0009917355371900824,0.0003784141960147696,0.0008563217562482682,0.0011271493181318967
0.012,0.001326963906581741,0.0009428240444534394,0.0009895786552702114,0.0016643491578932704,0.0015362931642001409,0.0009583285044162556,0.0011933597131457455,0.0018792266152545362,0.0015529469307899242,0.0007687817073526414,0.0012778419299525313,0.0018280519316273172,0.0010688705234159779,0.000539948780866342,0.0008756523336597437,0.001262088713172212
0.016,0.0017869780608634111,0.0009296805864342358,0.0014542961355998318,0.0021196599861269903,0.002085976039464412,0.00118525079595424,0.0016618394892642864,0.0025101125896645374,0.0016263145023233069,0.0009020875169044142,0.001303506630179758,0.0019491223744668557,0.001190082644628099,0.0005926299259962684,0.0009780127491971938,0.0014021525400590043
0.02,0.001910828025477707,0.001282095222727544,0.0014520361422308162,0.002369619908724598,0.0022692036645525016,0.000996180029888336,0.0019127252190645737,0.0026256821100404297,0.0019075568598679387,0.0012086276108533597,0.001475055023890471,0.0023400586958454064,0.0012561983471074379,0.000544927506891507,0.0010611985431241448,0.001451198151090731
0.024,0.0018931351733899504,0.0014664802395684432,0.0013683619592564358,0.002417908387523465,0.0024242424242424242,0.0010876010576471831,0.0020350493841203962,0.0028134354643644523,0.002335534360479335,0.0013013728742385685,0.0018698440582347472,0.0028012246627239228,0.0012892561983471073,0.000645876424644255,0.001058132288083324,0.0015203801086108907
0.028,0.0028662420382165607,0.0022844839152483783,0.002048749968092246,0.0036837341083408755,0.003523608174770965,0.0022792804393119252,0.0027079781445965667,0.004339238204945363,0.0033626803619466864,0.0023441293118954282,0.0025238444607483495,0.004201516263145024,0.00131129476584022,0.0006751627583453657,0.0010696908756545513,0.0015528986560258886
0.032,0.0030785562632696392,0.003858893994360969,0.0016976687819509316,0.004459443744588347,0.0029739252995066943,0.002271558558453521,0.002161058508909539,0.0037867920901038495,0.003167033504524334,0.0033655502089593023,0.0019626868295203534,0.004371380179528314,0.0015206611570247929,0.0007842160009117106,0.0012400330651696468,0.001801289248879939
0.036000000000000004,0.006758669497523001,0.00756180219080977,0.004052713335794651,0.009464625659251352,0.007568710359408034,0.010238924561148511,0.003904758260874682,0.011232662457941385,0.006969919295671312,0.0075395112556913505,0.004271939842631227,0.009667898748711396,0.002391184573002755,0.0018934314542928803,0.0017136288288468202,0.0030687403171586894
0.04,0.00948336871903751,0.007254679428674251,0.00688731502627584,0.012079422411799181,0.009866102889358705,0.00811235630484252,0.006963133468140122,0.012769072310577287,0.009941305942773294,0.008161541811210983,0.007020735714145702,0.012861876171400888,0.00287603305785124,0.0018316555606208353,0.0022205835333384623,0.0035314825823640175
0.044,0.03819886765746639,0.044009527229244234,0.02245026059585106,0.05394747471908172,0.04501761804087386,0.049593588546657255,0.0272707802998463,0.06276445578190143,0.0400709219858156,0.04358691768673001,0.024473543806775556,0.05566830016485564,0.008738292011019284,0.008484584471927544,0.005702122450881872,0.011774461571156697
0.048,0.09439136588818119,0.0951314593310292,0.06034901036824104,0.12843372140812132,0.10445384073291054,0.10406784252481675,0.06721364155657536,0.14169403990924573,0.09579359256541942,0.09691544758863851,0.061112845046281526,0.1304743400845573,0.020308539944903576,0.019775285414047668,0.013232044942017402,0.027385034947789752
0.052000000000000005,0.17289455060155695,0.1229198845508376,0.12890823482573294,0.21688086637738097,0.19629316420014095,0.1393822217156314,0.14641587672690032,0.24617045167338159,0.18131572511616537,0.12892739469118059,0.13517964944571417,0.22745180078661656,0.04087052341597796,0.02894357406662524,0.030513198454051337,0.05122784837790458
0.056,0.25245930644019815,0.1431653647950708,0.2012282386024102,0.3036903742779861,0.28718816067653274,0.162752590906915,0.2289478939928761,0.3454284273601894,0.2611029591587185,0.1481686336909019,0.20808149454039693,0.3141244237770401,0.062347107438016525,0.03520168492603362,0.049750346265846776,0.07494386861018627
0.06,0.3466206652512385,0.11798908383954738,0.3043988138491568,0.38884251665332026,0.40372093023255823,0.13689152428290843,0.3547349273889617,0.4527069330761548,0.36648324773783325,0.12440634588957819,0.32196500860336535,0.41100148687230115,0.09157024793388431,0.03130803540368152,0.08036681134899672,0.1027736845187719
0.064,0.43128096249115355,0.08316625147642795,0.40152030161271945,0.46104162336958765,0.4929950669485553,0.0955345688754974,0.45880846053072327,0.5271816733663873,0.4536928344338469,0.08821240969529189,0.422126429027741,0.4852592398399528,0.11857851239669422,0.022999390655861363,0.11034828615024952,0.1268087386431389
0.068,0.438588110403397,0.14911209020643376,0.3852290342068952,0.49194718659989883,0.5086257928118392,0.1734101411739845,0.44657177074469,0.5706798148789883,0.46836634874052335,0.1590031143758123,0.4114678150018152,0.5252648824792315,0.12684297520661156,0.043611930429117665,0.11123664633266074,0.1424493040805624
0.07200000000000001,0.4955414012738854,0.13565453051695647,0.4469980509645042,0.5440847515832666,0.5650458069062722,0.15411424941340396,0.5098967310262957,0.6201948827862486,0.5239056003912937,0.14315713450534037,0.47267747772486135,0.5751337230577261,0.14868319559228652,0.04200349877481216,0.13365243659385778,0.16371395459071525
0.076,0.5726999292285916,0.022769223695957564,0.5645520671709556,0.5808477912862275,0.651585623678647,0.019526872299786703,0.6445980221670513,0.6585732251902428,0.6058938615798483,0.01678115278178263,0.5998888031790933,0.6118989199806032,0.18049586776859508,0.010884710703501136,0.17660082406690109,0.18439091147028908
0.08,0.5966206652512386,0.01382256985623006,0.5916743221534458,0.6015670083490313,0.6846229739252995,0.018382542029231834,0.6780448657419508,0.6912010821086482,0.633504524333578,0.01575060385930587,0.6278682431285724,0.6391408055385835,0.1950413223140496,0.011254076897409229,0.1910141026173852,0.19906854201071403
