Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0010397920415916816,0.0008619021023205015,0.0007313643353743329,0.0013482197478090303,0.0008617312965139051,0.0006854198366459162,0.0006164569579974884,0.0011070056350303218,0.0011038489469862019,0.0008150420354386185,0.0008121899003447597,0.001395507993627644,0.0009840098400984009,0.00041931996513630006,0.000833958117669679,0.0011340615625271228
0.004,0.0010197960407918414,0.0008208528606259136,0.0007260576170623027,0.00131353446452138,0.0012730121425773599,0.0008462904129259203,0.000970171007662233,0.0015758532774924868,0.0010312273057371095,0.0005661983269123033,0.0008286158365650283,0.0012338387749091908,0.0011300738007380075,0.0003497636274931527,0.0010049124940704228,0.0012552351074055922
0.008,0.0012997400519896018,0.0008045664982482308,0.0010118296281886505,0.0015876504757905531,0.0016059537798668233,0.001317708885948268,0.0011344177109083625,0.002077489848825284,0.001539578794480755,0.0007392219364017393,0.0012750516218284322,0.001804105967133078,0.0010993234932349324,0.00043960573356383135,0.0009420126018030084,0.0012566343846668565
0.012,0.0016196760647870427,0.0009471844287973246,0.0012807304699773482,0.0019586216595967373,0.00172346259302781,0.0014794249773788782,0.001194057163959782,0.002252868022095838,0.0017719680464778505,0.0009220769334788394,0.0014420070534797707,0.0021019290394759305,0.0014837023370233703,0.0005163499549869055,0.0012989288786534748,0.0016684757953932658
0.016,0.0020595880823835234,0.0011542506725443502,0.0016465447838763978,0.002472631380890649,0.0026635330983157068,0.0019193243973216036,0.0019767116834947807,0.003350354513136633,0.002454611474219318,0.0016121124481157671,0.0018777244435483017,0.0030314985048903345,0.0017066420664206643,0.0008184216548022948,0.0014137736385218611,0.0019995104943194672
0.02,0.0026194761047790443,0.0021222608997853967,0.0018600347951995785,0.00337891741435851,0.0038582060321190755,0.0037021010714729896,0.002533426177672672,0.005182985886565479,0.003355119825708061,0.003163170616624232,0.0022231937577324844,0.004487045893683638,0.0024600246002460025,0.0015302080669404798,0.0019124466759654142,0.003007602524526591
0.024,0.0034793041391721654,0.0028678514451097627,0.002453056679506034,0.004505551598838297,0.005111633372502937,0.004808389060068967,0.0033909734455751907,0.006832293299430684,0.004342774146695716,0.003028532316744121,0.003259027775566481,0.005426520517824951,0.0032825953259532593,0.0022988518891519454,0.0024599617423993604,0.004105228909507159
0.028,0.009398120375924817,0.011218672694935095,0.005383569910406443,0.013412670841443191,0.01793967880924403,0.023027309694018252,0.009699461863304192,0.02617989575518387,0.014872912127814088,0.01817563694368135,0.008368843978442782,0.021376980277185393,0.008402521525215253,0.009060734328275127,0.005160179386832218,0.011644863663598288
0.032,0.04539092181563687,0.04726908983193015,0.02847589525682854,0.062305948374445204,0.07892675283979633,0.08434076467996826,0.04874579780925998,0.10910770787033269,0.0704575163398693,0.07761156787800129,0.04268457345912118,0.0982304592206174,0.03957564575645757,0.0420910074466057,0.024513572181996644,0.054637719330918495
0.036000000000000004,0.13679264147170567,0.08915540365426937,0.10488879001115672,0.1686964929322546,0.22967097532314926,0.14831777987344816,0.17659613942884406,0.28274581121745446,0.2027305737109659,0.1300862625784339,0.1561798024929436,0.24928134492898818,0.11775061500615008,0.07505792554978608,0.09089148129661812,0.14460974871568205
0.04,0.2260147970405919,0.11444457551821516,0.18506133165157768,0.26696826242960614,0.35712886799843324,0.18195754163753475,0.2920161979572319,0.4222415380396346,0.32013071895424833,0.1635195165940558,0.26161601143805724,0.3786454264704394,0.19689421894218942,0.10056174848786804,0.16090865940379806,0.23287977848058078
0.044,0.34313137372525493,0.09531383490905836,0.309023755942872,0.37723899150763784,0.5158441049745398,0.1410485992312296,0.46537051196561896,0.5663176979834607,0.46525780682643425,0.12762751599791075,0.4195868867724349,0.5109287268804336,0.29707103321033207,0.08198209523797603,0.2677341171997262,0.32640794922093797
0.048,0.4142371525694862,0.08115802284970204,0.3851951270757825,0.44327917806318984,0.5980611045828436,0.11594242996675533,0.5565716388632037,0.6395505703024834,0.5534350036310821,0.1064193764141567,0.5153533188595397,0.5915166884026245,0.3680350553505535,0.07121708172984567,0.34255034995037814,0.3935197607507288
0.052000000000000005,0.4807238552289542,0.01810466255970462,0.47424518493670753,0.4872025255212009,0.6825303564433998,0.015639113551820613,0.6769339715325448,0.6881267413542548,0.6292519970951342,0.016956528780224064,0.6231841811993236,0.6353198129909449,0.43123462484624847,0.015174829962689913,0.4258043816840264,0.43666486800847054
0.056,0.5397320535892821,0.018849741569483634,0.5329867601975927,0.5464773469809715,0.7343517430473951,0.014704989709848024,0.729089630060378,0.7396138560344123,0.6817138707334784,0.011395661030015766,0.677635985805648,0.6857917556613089,0.48515528905289057,0.014901559887160425,0.4798228343313121,0.490487743774469
0.06,0.5779444111177766,0.01650200908874649,0.5720392430046963,0.5838495792308569,0.7687818253035644,0.015359090998804484,0.7632856451763889,0.77427800543074,0.7213217138707334,0.016128168911739453,0.7155503227469141,0.7270931049945527,0.5291743542435424,0.014972074479234218,0.5238166661992587,0.5345320422878261
0.064,0.6245950809838033,0.012463693249993366,0.6201350056344771,0.6290551563331296,0.8065217391304348,0.010579338114906165,0.8027359716061494,0.8103075066547202,0.7586347131445171,0.011779406521869467,0.7544195066560302,0.7628499196330041,0.5709102091020911,0.013917561601000486,0.5659298736449918,0.5758905445591904
0.068,0.6499300139972006,0.012266279079003814,0.6455405824016942,0.654319445592707,0.8295142969056012,0.010262852627545792,0.8258417822584753,0.8331868115527271,0.7912854030501087,0.011072375882714725,0.7873232042264979,0.7952476018737196,0.6026983394833948,0.01052661622555325,0.598931438244917,0.6064652407218726
0.07200000000000001,0.675624875024995,0.015875971833884703,0.6699437314664479,0.6813060185835421,0.8485115550332941,0.009188209983267456,0.84522359631762,0.8517995137489682,0.8118663761801016,0.01012330193845984,0.8082437991057232,0.81548895325448,0.6379381918819187,0.014444677679496806,0.6327692303586302,0.6431071534052072
0.076,0.7061187762447511,0.014768421243001033,0.7008339645751114,0.7114035879143907,0.8698394046220134,0.00897276146126719,0.8666285431697867,0.8730502660742401,0.8308496732026143,0.01066910871331378,0.8270317816822531,0.8346675647229754,0.6640144526445264,0.014009944754579114,0.65900105830049,0.6690278469885628
0.08,0.726614677064587,0.013111455430307785,0.721922802995997,0.7313065511331771,0.8848805327066197,0.00846656043926911,0.8818508129637349,0.8879102524495045,0.8506463326071169,0.007795146403249346,0.8478568752913618,0.853435789922872,0.6875230627306271,0.013589726632693639,0.6826600415102845,0.6923860839509698
0.084,0.7483903219356128,0.012561162828278719,0.7438953675456443,0.7528852763255813,0.8969447708578143,0.009173320762356088,0.893662140181416,0.9002274015342127,0.8666085693536676,0.010163995669347987,0.8629714302147096,0.8702457084926256,0.7142373923739239,0.011580081174230135,0.7100935135450377,0.7183812712028101
0.088,0.7690861827634473,0.011607472230888807,0.7649325021708185,0.7732398633560761,0.9078535056795928,0.008218498673005298,0.9049125536997323,0.9107944576594532,0.8788525780682643,0.007395008633034162,0.8762063082146423,0.8814988479218864,0.732779827798278,0.008078731576414028,0.7298888908315962,0.7356707647649597
0.092,0.7824635072985403,0.011112148509730944,0.7784870760231373,0.7864399385739433,0.9169996083039561,0.008041109863387949,0.9141221340943803,0.919877082513532,0.8905882352941178,0.008284282299518024,0.8876237429458358,0.8935527276423998,0.7503843788437885,0.01108092987583643,0.7464191190130512,0.7543496386745258
0.096,0.7996400719856029,0.013838998083341353,0.7946878501222386,0.8045922938489672,0.9280454367410891,0.007120640453831987,0.9254973482794633,0.9305935252027149,0.9019026870007262,0.0058635227938154426,0.8998044523163221,0.9040009216851302,0.767458487084871,0.010298332733892258,0.7637732760447472,0.7711436981249947
0.1,0.8107178564287143,0.013062909300903062,0.8060433543694252,0.8153923584880034,0.9331570701135917,0.005915184942688809,0.9310403483666404,0.935273791860543,0.908729121278141,0.005899144178297959,0.9066181396450074,0.9108401029112746,0.7821878843788438,0.007120188372055295,0.7796399576926042,0.7847358110650834
0.10400000000000001,0.8243551289742052,0.009300508895713766,0.8210269846088114,0.8276832733395989,0.9389933411672543,0.006090483684585284,0.9368138895711468,0.9411727927633619,0.9186347131445172,0.0066495851627171995,0.9162551896539582,0.9210142366350761,0.7998078105781057,0.0083513670075661,0.7968193122753541,0.8027963088808573
0.108,0.8359528094381121,0.0102334695658291,0.832290809384584,0.8396148094916402,0.9465922444183313,0.005305538507548297,0.9446936818464043,0.9484908069902583,0.9253013798111838,0.005536109102988451,0.9233203086113263,0.9272824510110412,0.8100476629766297,0.008592324578985483,0.8069729391143295,0.8131223868389298
0.112,0.8417916416716656,0.012684290413024093,0.8372526266413612,0.84633065670197,0.9519584802193498,0.0067972584175293345,0.9495261125332276,0.954390847905472,0.9316049382716051,0.007169351571694118,0.9290394187603171,0.934170457782893,0.8223170356703567,0.007846632295030138,0.8195091543648448,0.8251249169758686
0.116,0.8518496300739852,0.010666589903305648,0.8480326398982095,0.8556666202497608,0.9559929494712104,0.005665754636752046,0.9539654852129158,0.958020413729505,0.936557734204793,0.006121216955820244,0.9343672848488169,0.9387481835607692,0.8352936654366544,0.00949531914656833,0.8318958091182941,0.8386915217550147
0.12,0.8643271345730853,0.008249368872103426,0.8613751358343498,0.8672791333118208,0.959400705052879,0.005071526291472088,0.9575858826770101,0.9612155274287479,0.9409150326797384,0.00552180105734172,0.9389390815482593,0.9428909838112175,0.8445264452644528,0.008176533702597306,0.8416005102563917,0.8474523802725138
0.124,0.8735452909418117,0.00761960822341184,0.8708186491569795,0.8762719327266438,0.963180571876224,0.004971928119141267,0.9614013902485941,0.9649597535038539,0.9478867102396513,0.005230761141917667,0.9460149064043561,0.9497585140749465,0.8513914514145142,0.005545147140643502,0.8494071459944186,0.8533757568346099
0.128,0.8755648870225954,0.008873475665590075,0.8723895545360577,0.8787402195091331,0.9638660399529964,0.00507481126304262,0.9620500420651479,0.9656820378408448,0.9500798838053742,0.004142687724963953,0.9485974420418081,0.9515623255689404,0.8590252152521525,0.007404867664758555,0.8563754173893376,0.8616750131149673
0.132,0.8836432713457308,0.006604288044340841,0.881279957220808,0.8860065854706537,0.9681942812377594,0.004142320968797826,0.9667119707162017,0.9696765917593171,0.9556281771968046,0.0041401583861525705,0.9541466405455078,0.9571097138481014,0.8678736162361624,0.006150729156934857,0.8656726060746486,0.8700746263976763
0.136,0.8879224155168964,0.008502699943655418,0.8848797634184556,0.8909650676153372,0.9699569134351744,0.00466918363484096,0.9682860675299093,0.9716277593404395,0.9575308641975309,0.004273452678476036,0.9560016287963151,0.9590600995987466,0.875192189421894,0.006683414005383567,0.8728005604354563,0.8775838184083318
0.14,0.8951609678064386,0.008822988988680981,0.892003701745208,0.8983182338676692,0.972072072072072,0.005793285446194478,0.9699989714997199,0.9741451726444241,0.9608424110384896,0.004098278797926905,0.9593758608053706,0.9623089612716085,0.8811731242312422,0.007670755815575827,0.8784281795156164,0.883918068946868
0.14400000000000002,0.9004399120175964,0.00844471000503043,0.8974180113521846,0.9034618126830083,0.9745201723462594,0.0037588994344933163,0.973175067458638,0.9758652772338808,0.9629048656499638,0.004563856702618795,0.9612717105033368,0.9645380207965908,0.8893450184501845,0.005157836841970534,0.8874993102404826,0.8911907266598865
0.148,0.9065786842631472,0.008404129972043676,0.9035713049760434,0.9095860635502511,0.9761848805327068,0.003202290184116706,0.9750389557072883,0.9773308053581253,0.9659985475671752,0.0031906476956393647,0.9648567889527522,0.9671403061815982,0.8935039975399753,0.006026418816106752,0.8913474712626259,0.8956605238173247
0.152,0.9100779844031195,0.006374573913088231,0.9077968724243537,0.9123590963818853,0.9789855072463767,0.003410909580716833,0.9777649289286502,0.9802060855641032,0.9682933914306465,0.004355319711966169,0.9667348602877379,0.9698519225735551,0.8964714022140222,0.005199962858006385,0.8946106194030831,0.8983321850249614
0.156,0.9125974805038994,0.007754799052743132,0.9098224613020961,0.9153724997057028,0.9790050920485704,0.003439580735024429,0.9777742538900408,0.9802359302071001,0.9702977487291213,0.003450127595903107,0.9690631364248972,0.9715323610333455,0.9028828413284133,0.005345021486306642,0.900970149953992,0.9047955327028346
0.16,0.9175764847030593,0.00697727154616072,0.9150797001461541,0.9200732692599645,0.9804151978065023,0.00342362400993434,0.9791900696887129,0.9816403259242917,0.9716194625998547,0.0038985179414797962,0.9702243958711617,0.9730145293285476,0.9078028905289054,0.00497291344140406,0.9060233563082319,0.9095824247495788
0.164,0.9221955608878224,0.006154304915020181,0.919993271157711,0.9243978506179338,0.9834116725421073,0.003092419116525167,0.982305064573285,0.9845182805109295,0.9737690631808279,0.003503448869208313,0.9725153701040035,0.9750227562576523,0.9125461254612548,0.004458639188321214,0.9109506219185644,0.9141416290039452
0.168,0.9263547290541893,0.005821774824663786,0.9242714336886824,0.9284380244196961,0.9837641989815904,0.0030254863819217585,0.9826815425842389,0.9848468553789419,0.9749164851125635,0.0029854229528426704,0.9738481652291859,0.975984804995941,0.9166128536285363,0.004361017639771109,0.915052283508349,0.9181734237487236
0.17200000000000001,0.9278144371125775,0.0036483609089035278,0.9265088879283295,0.9291199862968255,0.9846259302781042,0.0029238431233099896,0.9835796464537186,0.9856722141024897,0.9777342047930283,0.0032189750636212266,0.9765823093601589,0.9788861002258977,0.9212715252152521,0.005389490724607114,0.9193429207282751,0.9232001297022292
0.176,0.9348530293941212,0.006302629898413711,0.932597662250369,0.9371083965378734,0.9844496670583627,0.0025944478757112,0.9835212558095078,0.9853780783072176,0.9782716049382718,0.003242044395784299,0.9771114542509091,0.9794317556256346,0.9233471709717096,0.004574808779418934,0.9217100966747328,0.9249842452686864
0.18,0.9349130173965207,0.0053695357673492405,0.9329915536992901,0.9368344810937512,0.9864081472777125,0.002689073490248217,0.9854458746875724,0.9873704198678527,0.9799419026870008,0.002940791541425842,0.9788895539490834,0.9809942514249181,0.925030750307503,0.0044822435677695435,0.9234268000461071,0.926634700568899
0.184,0.9368326334733053,0.0051196845270098925,0.935000577894173,0.9386646890524375,0.9867215041128087,0.0025938360497680946,0.9857933118030556,0.9876496964225617,0.9810893246187362,0.0031350003167597896,0.9799674791631031,0.9822111700743693,0.9279135916359161,0.0038566053226953964,0.9265335231452347,0.9292936601265975
0.188,0.9394921015796842,0.005722996655341843,0.9374441535281081,0.9415400496312604,0.9875244810027418,0.0027630874974272136,0.9865357228402836,0.9885132391652001,0.9819753086419752,0.002761690847725427,0.9809870502641941,0.9829635670197564,0.931749692496925,0.0038136836953702315,0.9303849833133243,0.9331144016805256
0.192,0.9425114977004598,0.005307552179629005,0.940612214545233,0.9444107808556866,0.9883078730904817,0.00268737605233737,0.987346207920697,0.9892695382602664,0.9833115468409588,0.001955853197267754,0.9826116537629549,0.9840114399189627,0.9352321648216483,0.003406293315332794,0.9340132384132742,0.9364510912300223
0.196,0.9457108578284343,0.006151481469177187,0.943509578455442,0.9479121372014266,0.9893262828045437,0.0027648102102235048,0.9883369081772285,0.9903156574318589,0.9832389251997095,0.003022581672627212,0.9821573082392298,0.9843205421601892,0.9381918819188191,0.0032327561752195605,0.9370350549784989,0.9393487088591392
0.2,0.9466706658668265,0.005280048890289471,0.9447812246372912,0.9485601070963617,0.9903055229142185,0.0023590234221422973,0.9894613572241181,0.9911496886043188,0.9853740014524328,0.002735968384408202,0.9843949477399354,0.9863530551649302,0.9397140221402213,0.0034435207923793555,0.9384817740502748,0.9409462702301677
0.20400000000000001,0.9461707658468305,0.006188052360504183,0.9439563997484479,0.948385131945213,0.989776733254994,0.0024425697622932727,0.9889026708910299,0.9906507956189582,0.9853304284676835,0.0019261146944160922,0.9846411771762539,0.9860196797591131,0.9417512300123002,0.0034953719542926524,0.9405004272223587,0.9430020328022417
0.20800000000000002,0.9495100979804039,0.00347324775959492,0.9482672122318574,0.9507529837289503,0.9911476694085389,0.0019390693600525697,0.990453782349548,0.9918415564675299,0.9857806826434278,0.0023211832803975326,0.9849500578741465,0.9866113074127091,0.9443957564575645,0.0041430434737319746,0.9429131873909365,0.9458783255241924
0.212,0.9499100179964006,0.006029234178282886,0.9477524842546352,0.952067551738166,0.991696043869957,0.0017163260713048759,0.9910818644731689,0.9923102232667451,0.9867392883079157,0.0026949819909451015,0.9857749013879553,0.987703675227876,0.9458410209102089,0.003769738322151346,0.944492037376452,0.9471900044439658
0.216,0.9515896820635874,0.0048814623294270495,0.9498428732030473,0.9533364909241275,0.9915981198589895,0.0016120121586350028,0.9910212687164482,0.9921749710015307,0.9874364560639071,0.002612082564665086,0.9865017343226549,0.9883711778051593,0.9489852398523985,0.003808132969281747,0.9476225169706187,0.9503479627341782
0.22,0.9554489102179564,0.005048374036307297,0.9536423727701959,0.9572554476657169,0.9920877399138269,0.002062809964395483,0.9913495728482543,0.9928259069793995,0.9882933914306463,0.002680488697491834,0.9873341908691404,0.9892525919921522,0.949969249692497,0.0038898709398378657,0.9485772772536021,0.9513612221313918
0.224,0.9572085582883424,0.005410017699847506,0.9552726083176127,0.959144508259072,0.9922052487269879,0.0021152336731231074,0.991448322078174,0.9929621753758018,0.9882933914306464,0.0021460511696907185,0.9875254368823158,0.9890613459789771,0.9524984624846248,0.004122243653975294,0.9510233365379058,0.9539735884313437
0.228,0.958868226354729,0.005357814065040393,0.9569509572147995,0.9607854954946585,0.9931649040344693,0.0016364416785310692,0.9925793109005056,0.9937504971684331,0.9892084241103849,0.0018545970657783812,0.9885447650736853,0.9898720831470845,0.9543434809348094,0.0032836905748280134,0.9531684273536718,0.9555185345159469
0.232,0.9613077384523093,0.005224291296576524,0.9594382498214356,0.9631772270831831,0.9936936936936938,0.0019267524704815312,0.9930042141770302,0.9943831732103573,0.9895424836601308,0.002227680554996677,0.9887453184114177,0.9903396489088439,0.9544357318573186,0.0043715191808095495,0.9528714038089332,0.9560000599057039
0.23600000000000002,0.9600679864027195,0.005515305065720193,0.9580943598319881,0.9620416129734509,0.9939874657265962,0.001843075247002021,0.9933279297197941,0.9946470017333984,0.9901670297748729,0.002335803871185352,0.9893311730943709,0.9910028864553749,0.9563653136531365,0.0042935056927280125,0.9548289023729296,0.9579017249333434
0.24,0.9628874225154969,0.003766839845302472,0.9615394761883597,0.964235368842634,0.9937328632980809,0.0018665003508396556,0.9930649447255266,0.9944007818706351,0.990472040668119,0.0018298984055599295,0.9898172199334693,0.9911268614027687,0.95950184501845,0.003316545758717264,0.9583150343607523,0.9606886556761478
