Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0012197560487902418,0.0006772835803091297,0.000977393232211636,0.0014621188653688476,0.0007833920877399138,0.0005634116351179603,0.0005817778234194624,0.0009850063520603653,0.0009876543209876543,0.000646629384511958,0.0007562609674956386,0.00121904767447967,0.0010070725707257073,0.00035565698742237584,0.0008798023522919372,0.0011343427891594773
0.004,0.001139772045590882,0.000962776989721519,0.0007952467245141838,0.0014842973666675803,0.0012534273403838623,0.0005922525652100245,0.0010414924817760535,0.001465362198991671,0.001336238198983297,0.0006364241772028075,0.0011084967320261437,0.0015639796659404504,0.0011454489544895448,0.0004217187987573111,0.0009945388204740157,0.001296359088505074
0.008,0.0016396720655868823,0.0012093747642321078,0.0012069028642065697,0.002072441266967195,0.0014688601645123389,0.001054987346484872,0.0010913377910448474,0.0018463825379798303,0.0012781408859840232,0.0008784434561982239,0.0009637939323016785,0.001592487839666368,0.0015067650676506767,0.0005672951105704595,0.0013037611194870824,0.001709769015814271
0.012,0.0023795240951809634,0.001633243589789689,0.0017950753825756592,0.0029639728077862676,0.002408930669800235,0.0015223847365624028,0.0018641522883412669,0.002953709051259203,0.0021931735657225856,0.0016080462424270547,0.0016177416080699562,0.002768605523375215,0.0021371463714637147,0.0009632294650019556,0.0017924591341873814,0.002481833608740048
0.016,0.0022795440911817636,0.0020624612983203778,0.0015415017941617414,0.003017586388201786,0.0023305914610262436,0.001128406752855224,0.0019267962904073344,0.002734386631645153,0.0022367465504720407,0.0018010490148750648,0.0015922494376939475,0.002881243663250134,0.0019680196801968018,0.0008957446254049707,0.001647481582625901,0.0022885577777677028
0.02,0.00553889222155569,0.0041581304460198195,0.004050924351230762,0.007026860091880617,0.0051899725812769295,0.003398322725517338,0.0039738984118373845,0.0064060467507164745,0.00458968772694263,0.0029921040057954685,0.0035189770594704754,0.005660398394414784,0.0031519065190651905,0.001569263346903194,0.002590352842338767,0.003713460195791614
0.024,0.01831633673265347,0.03362124440612482,0.0062851289372025596,0.030347544528104384,0.015569917743830786,0.02798336475849096,0.005556199269925325,0.025583636217736246,0.015018155410312272,0.025272780178679042,0.005974407171087395,0.02406190364953715,0.009801660516605169,0.015738197897940877,0.004169818727859199,0.015433502305351138
0.028,0.1056588682263547,0.10949466382027974,0.06647670598982419,0.1448410304628852,0.09150019584802192,0.09217153476230817,0.05851703573188592,0.12448335596415792,0.09003631082062453,0.09129772775598924,0.057365838525889605,0.12270678311535946,0.06100092250922509,0.062279673489288645,0.03871442757372038,0.08328741744472981
0.032,0.36316736652669473,0.10527198692882979,0.32549626980934615,0.4008384632440433,0.322972972972973,0.09270096766959232,0.2898003577241137,0.3561455882218323,0.3162527233115468,0.09079991979003203,0.2837603893096221,0.3487450573134715,0.22628382533825334,0.06522248215159142,0.2029442598473956,0.24962339082911106
0.036000000000000004,0.5153169366126775,0.030272575709421806,0.5044840345206532,0.5261498387047019,0.48942420681551113,0.03433923431092245,0.47713606963234,0.5017123439986823,0.47122730573710975,0.031653996219741826,0.459900068664149,0.4825545428100705,0.3512530750307503,0.023798503398627706,0.3427368899618397,0.3597692600996609
