Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0011299435028248588,0.0007677548214521415,0.0008552059683876352,0.0014046810372620824,0.0009808072255151003,0.00042513040732125503,0.0008286762630539093,0.0011329381879762914,0.0009399127223900638,0.0005603200694369837,0.0007394047606404457,0.0011404206841396818,0.0010476190476190477,0.0015887240479072443,0.00047910144847509994,0.0016161366467629954
0.004,0.0012326656394453003,0.0009207527098812079,0.0009031785137758146,0.001562152765114786,0.0014606265876375953,0.0006371198681949853,0.0012326361708561223,0.0016886170044190683,0.0011525120286449589,0.0005411531012445682,0.0009588628783761479,0.0013461611789137699,0.0012380952380952382,0.0016237736490169582,0.0006570353002738496,0.001819155175916627
0.008,0.0016606745420304743,0.0013534083140145261,0.001176363596804624,0.0021449854872563246,0.003020039514535704,0.002804979060561428,0.002016290648733597,0.004023788380337811,0.002215508559919436,0.001645921760638221,0.0016265230221418569,0.0028044940976970152,0.0014285714285714286,0.0017992100854925786,0.0007847323682215739,0.002072410488921283
0.012,0.0032186269474405063,0.0025195401126542213,0.0023170210973371542,0.004120232797543858,0.006858594411515665,0.004945930733188233,0.005088715828971162,0.008628472994060169,0.004263175562269217,0.0028266610565972237,0.003251667893831022,0.005274683230707413,0.0018095238095238097,0.0019105003870267766,0.0011258600262338248,0.0024931875928137946
0.016,0.0344803971922616,0.03611877768878547,0.02155545858968235,0.047405335794840846,0.08148461755574372,0.08684455092448197,0.050407694124417056,0.11256154098707039,0.04749916079221214,0.04870439740921203,0.030070516013207364,0.06492780557121691,0.014666666666666666,0.01700657377279625,0.008580942400258987,0.020752390933074346
0.02,0.21023797294983734,0.059501126060987716,0.18894576844200384,0.23153017745767085,0.43884419983065204,0.12227106835258478,0.39509005994956714,0.48259833971173693,0.2832494125545485,0.07887794126434441,0.2550233037774498,0.3114755213316472,0.08714285714285713,0.027309573557303554,0.07737025175371172,0.09691546253200255
0.024,0.32513268275980145,0.0890491490626,0.29326685401656044,0.35699851150304246,0.6031823313576066,0.1646015080327539,0.5442804381776539,0.6620842245375592,0.42743649994405286,0.11736054539615687,0.38543956813532454,0.4694334317527812,0.1419047619047619,0.04097566833209133,0.12724180730659537,0.15656771650292842
0.028,0.44576271186440675,0.012313624752305794,0.4413563378372987,0.4501690858915148,0.7514817950889078,0.012763116624382391,0.7469145724611355,0.7560490177166801,0.5684345977397336,0.014374754785643,0.5632906578026616,0.5735785376768056,0.20371428571428574,0.020943945159541538,0.19621959119235813,0.21120898023621335
0.032,0.5269988015750726,0.011883243640941123,0.5227464374507368,0.5312511656994084,0.827314422805532,0.009168620564335752,0.8240334740733943,0.8305953715376697,0.6554324717466713,0.007959707601655427,0.6525841269623509,0.6582808165309917,0.24019047619047618,0.013378763794394365,0.23540294705228368,0.24497800532866867
0.036000000000000004,0.5959938366718027,0.014740685229228829,0.5907189502072232,0.6012687231363822,0.874421394298617,0.006486253709720161,0.8721003182178804,0.8767424703793536,0.7168177240684792,0.013414180229267353,0.7120175213218329,0.7216179268151255,0.2810476190476191,0.020745884963145295,0.2736237994567341,0.2884714386385041
0.04,0.6459510357815443,0.014088639516560648,0.6409094808785955,0.6509925906844932,0.9063999435506633,0.006391316915535735,0.9041128401654185,0.9086870469359082,0.7671590019022043,0.011374513579032412,0.7630886844925195,0.7712293193118891,0.31742857142857145,0.026616361182886645,0.30790402890177115,0.32695311395537174
0.044,0.6905838041431263,0.01084988464016068,0.6867012227881463,0.6944663854981062,0.9292125317527519,0.003944469439909987,0.927801021491528,0.9306240420139757,0.8101264406400358,0.00783708878005523,0.807321974437498,0.8129309068425736,0.3549523809523809,0.0248138270837803,0.34607286696892575,0.36383189493583606
0.048,0.7282657079267252,0.012328820847149279,0.7238538960469151,0.7326775198065353,0.9467118261360429,0.0037621463693017767,0.9453655593477224,0.9480580929243634,0.8367796799820968,0.00879944849902411,0.8336308377769034,0.8399285221872902,0.3668571428571429,0.016414751094167172,0.3609831996164057,0.3727310860978801
0.052000000000000005,0.7601095702790618,0.012025536883432447,0.7558062871718465,0.7644128533862771,0.9597727914197007,0.003484767722652503,0.9585257833053171,0.9610197995340843,0.8643616426093766,0.008515002227901778,0.8613145881950567,0.8674086970236966,0.40352380952380945,0.021832750913079173,0.39571105994771927,0.41133655909989963
0.056,0.7835815784968327,0.008046046078950922,0.7807023378852034,0.7864608191084621,0.9675557437200113,0.0029499679277080466,0.9665001112544352,0.9686113761855873,0.8824213942038716,0.006400136805730117,0.8801311346614549,0.8847116537462882,0.41895238095238096,0.02543895657013008,0.4098491672551827,0.4280555946495792
0.06,0.8052559493237459,0.010036691543177463,0.8016643653812784,0.8088475332662134,0.9749012136607396,0.0030840263235155136,0.9737976090143246,0.9760048183071546,0.8995188542016339,0.006110929242563394,0.8973320862565669,0.9017056221467009,0.44152380952380954,0.032409530516635116,0.4299262079749623,0.4531214110726568
0.064,0.8266906351652116,0.011072293044996545,0.8227284659846975,0.8306528043457256,0.9801227773073665,0.002239125245384052,0.9793215166287954,0.9809240379859376,0.9160232740293165,0.006005583074856207,0.9138742037262174,0.9181723443324156,0.47114285714285714,0.022249939708463493,0.4631808184736396,0.47910489581207466
0.068,0.8488101352508133,0.009595971576883591,0.8453762609228395,0.8522440095787871,0.9838907705334463,0.0022508261516795036,0.983085322739332,0.9846962183275606,0.9272127112006269,0.0052175993818527,0.9253456172406825,0.9290798051605712,0.4855238095238096,0.02116831556504038,0.4779488250834275,0.49309879396419165
0.07200000000000001,0.859784283513097,0.008440562478184392,0.8567638670211059,0.8628047000050881,0.9866638441998307,0.0018819081313316461,0.985990412023838,0.9873372763758234,0.9362537764350451,0.004439663835630129,0.934665063135109,0.9378424897349813,0.5047619047619049,0.023480818030644172,0.4963594019419204,0.5131644075818893
