Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0008954515803830872,0.00024043004460403778,0.0008094147938811054,0.000981488366885069,0.001120632827949901,0.0004865684709421924,0.000946516536776755,0.001294749119123047,0.0011406844106463879,0.001099514912612131,0.0007472280522784106,0.001534140769014365,0.0012514220705346986,0.002282167697813555,0.0004347588481746485,0.0020680852928947487
0.004,0.0013342821561999644,0.0005112580681190503,0.0011513308061446243,0.0015172335062553046,0.0013952977367611512,0.0005520884822861102,0.0011977354106430472,0.0015928600628792552,0.0011723700887198987,0.0009565608190061324,0.0008300691957656523,0.001514670981674145,0.0006825938566552901,0.001652676444066561,9.119118645580556e-05,0.0012739965268547745
0.008,0.0022415940224159397,0.0008908700339011428,0.001922800275012215,0.0025603877698196645,0.0015710832784003516,0.000950876405021951,0.0012308165268661235,0.0019113500299345798,0.0014575411913814959,0.0014282208721308174,0.000946458916054539,0.0019686234667084528,0.0010238907849829352,0.0018258808212352358,0.00037050772441995887,0.0016772738455459115
0.012,0.0032082073177963594,0.002536890675582236,0.0023003926484882974,0.004116021987104421,0.002702702702702702,0.001908961658010787,0.0020195895465194547,0.0033858158588859493,0.002724968314321926,0.002843322013925335,0.0017074985988736824,0.0037424380297701697,0.0020477815699658703,0.0019223271261946961,0.0013598856424175392,0.0027356774975142014
0.016,0.0148372175769436,0.02045270276474563,0.007518311888359954,0.022156123265527246,0.009756097560975608,0.015428852754739814,0.004234953510047085,0.015277241611904132,0.011977186311787073,0.018645020719446702,0.005305151335434862,0.018649221288139284,0.004209328782707622,0.008000776251849763,0.001346287770656986,0.007072369794758258
0.02,0.23462610448911816,0.12397039489642886,0.1902638684140212,0.2789883405642151,0.1763128982641178,0.09512405862104696,0.1422731910542329,0.21035260547400272,0.1793726235741445,0.09576963460042867,0.14510189996695222,0.21364334718133676,0.07292377701934018,0.0421778644297082,0.057830622072650155,0.08801693196603019
0.024,0.5231512779457986,0.023791032393589248,0.5146377663417061,0.5316647895498912,0.4192814765985498,0.02131444899806566,0.4116541989807543,0.42690875421634533,0.43032319391634977,0.02134193025943928,0.42268608225546905,0.4379603055772305,0.19010238907849833,0.02501836452504961,0.18114968231169062,0.19905509584530603
0.028,0.6605052481764809,0.013198544330794922,0.6557822097450915,0.6652282866078704,0.5607229180399912,0.01951687960575257,0.5537388923680315,0.5677069437119509,0.5704689480354881,0.0198009219882787,0.563383279102333,0.5775546169686432,0.26154721274175197,0.022326129463751915,0.2535579099187546,0.26953651556474933
0.032,0.7580383087232402,0.013598310814324518,0.7531722156929518,0.7629044017535286,0.6596022852120413,0.013536276052683888,0.654758391036109,0.6644461793879737,0.6698352344740176,0.022457632614234432,0.6617988738529774,0.6778715950950578,0.3246871444823664,0.023073728912127316,0.316430316632558,0.3329439723321748
0.036000000000000004,0.8106208859633518,0.012034696701900705,0.8063143250571939,0.8149274468695097,0.724313337727972,0.013813226814366378,0.7193703379947718,0.7292563374611722,0.7386882129277565,0.017808667214959266,0.7323154632093024,0.7450609626462107,0.37155858930602953,0.0240955820323335,0.36293609601335036,0.3801810825987087
0.04,0.857676570005337,0.007867562699969506,0.8548611988506088,0.8604919411600652,0.7843331136014062,0.012071575270147315,0.7800133558690865,0.788652871333726,0.7941064638783268,0.019827445046798495,0.7870113037905742,0.8012016239660795,0.415358361774744,0.02933415109274941,0.4048612706190184,0.4258554529304696
0.044,0.8912233884836621,0.005128285661407374,0.8893882550281145,0.8930585219392098,0.8254119973632169,0.010295930392731321,0.8217276459898369,0.8290963487365969,0.836850443599493,0.017712412294719447,0.8305121382618819,0.8431887489371042,0.4589306029579066,0.030430760386556607,0.4480410952061488,0.4698201107096644
0.048,0.9145703611457037,0.005413550648915688,0.9126331469253866,0.9165075753660208,0.8591957811470006,0.008556596250336779,0.8561338425029085,0.8622577197910927,0.8628010139416984,0.011669684217229928,0.858625071075669,0.8669769568077278,0.4936291240045506,0.02275381506162956,0.4854867758558945,0.5017714721532067
0.052000000000000005,0.9325209037537804,0.0048296209484607125,0.9307926460931684,0.9342491614143924,0.8844649527576359,0.005688907748269839,0.8824292032647909,0.8865007022504809,0.8908428390367554,0.010763405143427317,0.8869912039722422,0.8946944741012687,0.5204778156996587,0.026417747648270044,0.5110243461134402,0.5299312852858772
0.056,0.9446776967324912,0.003633504126343874,0.943377463979604,0.9459779294853785,0.9021973192704901,0.006790661761327575,0.8997673121674731,0.9046273263735071,0.9095373891001267,0.009528893089602166,0.9061275185005496,0.9129472596997038,0.5562002275312855,0.026291757018094185,0.5467918431130523,0.5656086119495187
0.06,0.9558915969874876,0.0037437039182996374,0.9545519297455011,0.9572312642294741,0.9165897604921994,0.005085476154387294,0.9147699462219966,0.9184095747624023,0.9193282636248414,0.008635727962538992,0.9162380080612085,0.9224185191884744,0.5823663253697383,0.029297614123496355,0.5718823088005447,0.5928503419389319
0.064,0.9640158927830161,0.002552095792733674,0.9631026370324145,0.9649291485336178,0.9306855636123927,0.005716770004636671,0.9286398437391552,0.9327312834856303,0.9345373891001266,0.004741255903905402,0.932840752464604,0.9362340257356493,0.5927189988623436,0.024633022522380095,0.5839041849602505,0.6015338127644366
0.068,0.97066358299235,0.002763338209687095,0.9696747351136618,0.9716524308710383,0.9413974950560315,0.005375857652540678,0.9394737691012391,0.9433212210108239,0.9456273764258556,0.009183608157322934,0.9423410644524468,0.9489136883992644,0.6151308304891923,0.031121821486402808,0.6039940296988078,0.6262676312795767
0.07200000000000001,0.9760185020458992,0.002319305797850456,0.9751885491251189,0.9768484549666796,0.9520105471324983,0.004034505483106273,0.9505668178870009,0.9534542763779957,0.9540557667934093,0.00778809171793429,0.9512688339643726,0.9568426996224461,0.6332195676905575,0.028068800045837002,0.6231752765917157,0.6432638587893994
0.076,0.979724841368677,0.001869664255641702,0.97905579060733,0.980393892130024,0.9566908371786421,0.004199201840627476,0.9551881720985113,0.958193502258773,0.9622940430925222,0.006366023924038361,0.9600159906880441,0.9645720954970003,0.6532423208191127,0.023689869545865723,0.6447650098751575,0.6617196317630679
0.08,0.983075372116468,0.0022061187044245664,0.9822859226768891,0.9838648215560469,0.9627224785761368,0.0032575096870689087,0.9615567937053626,0.963888163446911,0.965747782002535,0.005088351010441325,0.9639269389783053,0.9675686250267647,0.6589306029579066,0.030683142148830295,0.647950781552406,0.6699104243634072
0.084,0.9855067307122101,0.00141688100113633,0.9849997063576031,0.986013755066817,0.9684355086794112,0.0024871797984492247,0.9675454828190257,0.9693255345397966,0.969233206590621,0.005063798125962281,0.9674211497032629,0.971045263477979,0.674971558589306,0.022149116745286662,0.6670455989541029,0.6828975182245092
0.088,0.988305758168772,0.0013684507895754445,0.9878160643427983,0.9887954519947456,0.9716106350252692,0.0033104192719506714,0.970426016702705,0.9727952533478335,0.9745247148288972,0.0043481853381868545,0.9729687366888576,0.9760806929689368,0.6928327645051194,0.02391599067130618,0.6842745371556245,0.7013909918546144
0.092,0.9895392278953924,0.0015127456742538854,0.9889978988080816,0.9900805569827031,0.9756646890793232,0.002631212908831185,0.9747231216323297,0.9766062565263168,0.977724968314322,0.005264118842091992,0.9758412275793235,0.9796087090493205,0.7053469852104665,0.02545104889822172,0.6962394443292341,0.7144545260916988
0.096,0.9911996679119969,0.0012358583467861233,0.9907574216823118,0.9916419141416819,0.9792792792792792,0.0029349383547449255,0.9782290250773157,0.9803295334812426,0.9815906210392902,0.004461946540067119,0.9799939339759772,0.9831873081026031,0.7151308304891922,0.019672145487579906,0.7080912436349859,0.7221704173433986
0.1,0.9924509280673666,0.0009246342143399903,0.992120051963165,0.9927818041715681,0.9820259283673919,0.001643968757715384,0.9814376417027347,0.982614215032049,0.983238276299113,0.004503650046779525,0.9816266658275825,0.9848498867706434,0.7263936291240046,0.023166674531210258,0.7181035411115634,0.7346837171364459
0.10400000000000001,0.9934353317914962,0.0012293208904419503,0.9929954249605194,0.9938752386224731,0.9842342342342342,0.0020900936045489434,0.9834863038434218,0.9849821646250465,0.9858048162230671,0.003752238316147147,0.984462094986033,0.9871475374601013,0.727872582480091,0.013078869453674554,0.7231923691534817,0.7325527958067003
0.108,0.9948407756626932,0.0011271037790223084,0.9944374467552722,0.9952441045701143,0.9861788617886178,0.0025617453067054096,0.9852621530037883,0.9870955705734473,0.987040557667934,0.003966583643179019,0.9856211339407018,0.9884599813951661,0.7383390216154722,0.02619763302424344,0.7289643190358668,0.7477137241950775
