Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0008953168044077136,0.0011742164817271391,0.0004751288328426598,0.0013155047759727673,0.0011929824561403507,0.001532488509041276,0.0006445884861343646,0.0017413764261463367,0.0005886681383370125,0.0009928839847876461,0.00023336916744052334,0.0009439671092335017,0.00134180790960452,0.0017133832157659467,0.0007286816001463632,0.0019549342190626766,0.00082855321861058,0.0011970598768246512,0.0004001908430927182,0.001256915594128442,0.0010619469026548673,0.0011940967569260272,0.0006346448659749304,0.0014892489393348043,0.001141924959216966,0.0012958838318267289,0.0006781988855731154,0.0016056510328608165,0.0007530120481927713,0.001027542528947309,0.00038531067655121185,0.0011207134198343309,0.0010005265929436545,0.001465809636585859,0.00047599335100552496,0.001525059834881784,0.001011804384485666,0.0013721352518464966,0.0005207920906212186,0.0015028166783501134,0.0008308895405669599,0.0009954700204169542,0.00047466516870533045,0.0011871139124285893,0.0010187449062754685,0.0011612397628139267,0.0006032005939355795,0.0014342892186153576,0.0011842105263157896,0.0011641269337209323,0.0007676330531355825,0.0016007879994959966,0.0009037745879851144,0.0009064127227367392,0.0005794189608120903,0.0012281302151581383,0.001338688085676037,0.001522285228070087,0.0007939453128737266,0.0018834308584783474,0.0009649122807017542,0.0007411076947040078,0.0006997102981074634,0.0012301142632960452
0.004,0.012,0.00109,0.00010618786215460555,0.00010618786215460555,0.0010520011615422534,0.0011279988384577467,0.00109,0.0013774104683195593,0.001469336781443718,0.0008516150538039678,0.0019032058828351507,0.0010526315789473682,0.0018127028659431972,0.0004039641891228847,0.0017012989687718518,0.0014716703458425315,0.0017710718699464765,0.0008379004166092713,0.0021054402750757917,0.0009887005649717514,0.0018228096065765946,0.00033641652445979425,0.0016409846054837086,0.0012109623964308475,0.0015463037817237608,0.0006576246945871572,0.0017643000982745377,0.0013569321533923305,0.0012883752952116926,0.0008958929750687136,0.0018179713317159473,0.0008156606851549757,0.0011130313853523867,0.0004173675191354071,0.0012139538511745443,0.0006024096385542169,0.0012876589539983342,0.00014162679964166577,0.001063192477466768,0.0008952080042127435,0.00098903999301626,0.0005412845881055685,0.0012491314203199185,0.0011242270938729624,0.001278411540605233,0.0006667533993442095,0.0015817007884017151,0.00083088954056696,0.0009954700204169542,0.00047466516870533056,0.0011871139124285896,0.0013039934800325999,0.0013210946201246436,0.0008312458416591559,0.0017767411184060437,0.0012719298245614033,0.0012688229991221073,0.00081788734553572,0.0017259723035870866,0.0010632642211589579,0.0014709187795132826,0.0005369026959046614,0.0015896257464132544,0.0011378848728246316,0.0016409641649736478,0.0005506733878716838,0.0017250963577775794,0.0010818713450292399,0.0007873984061143099,0.0008001044440979247,0.001363638245960555
0.008,0.024,0.0011899999999999999,0.00017684982914598904,0.00017684982914598904,0.0011267151014000606,0.0012532848985999392,0.0011899999999999999,0.0008264462809917355,0.001495813447935105,0.0002911763130526931,0.001361716248930778,0.001263157894736842,0.0016213307325030713,0.0006829721433628817,0.0018433436461108021,0.0013980868285504045,0.0015858618151967728,0.000830593466227755,0.001965580190873054,0.0012711864406779662,0.0014293742958966218,0.000759691417957279,0.0017826814633986536,0.0010197578075207138,0.001483898952698587,0.0004887513869458595,0.001550764228095568,0.0014749262536873156,0.001744296383455884,0.0008507378092409161,0.002099114698133715,0.0015769439912996194,0.0017393142094450558,0.0009545383949261022,0.0021993495876731365,0.0014056224899598392,0.0013662456917465909,0.0009167177481101189,0.0018945272318095594,0.0016850974196945757,0.0013717930030183402,0.0011942075980003895,0.002175987241388762,0.0012928611579539064,0.0010557543264406283,0.0009150643242341059,0.001670657991673707,0.0013196480938416422,0.0012972675507740593,0.0008554268627317342,0.0017838693249515503,0.00097799511002445,0.001218271098098875,0.0005420423964553592,0.0014139478235935408,0.0011403508771929824,0.000960916767552923,0.0007964912280701752,0.0014842105263157895,0.0008506113769271664,0.001164747597033846,0.0004338118022328549,0.0012674109516214779,0.0011378848728246316,0.0015539244231479257,0.0005818201594699681,0.0016939495861792951,0.0007894736842105263,0.0008095517694084109,0.0004997793040360308,0.0010791680643850218
0.012,0.036000000000000004,0.0011833333333333333,0.00017237355852380872,0.00017237355852380872,0.0011216502476036612,0.0012450164190630055,0.0011833333333333335,0.0012396694214876034,0.0014958134479351054,0.0007043994535485609,0.001774939389426646,0.0011228070175438596,0.0014346218683390735,0.0006094341751412418,0.0016361798599464773,0.001177336276674025,0.0013881020415670122,0.0006806103404876771,0.001674062212860373,0.0014124293785310734,0.0016061399228366597,0.0008376795885828731,0.001987179168479274,0.0015296367112810705,0.0020945413288916484,0.0007801147227533459,0.002279158699808795,0.0008849557522123894,0.0011145549202166418,0.00048611739624345276,0.0012837941081813259,0.0013050570962479606,0.0018376569265091225,0.0006474600105329163,0.001962654181963005,0.0012550200803212854,0.0013166887259745742,0.000783849070920997,0.0017261910897215737,0.0008952080042127437,0.0011499716300072769,0.0004836959414120431,0.0013067200670134444,0.0011242270938729621,0.001555254763498867,0.0005676863243376436,0.0016807678634082807,0.0009775171065493646,0.001237803891662692,0.0005345746725715576,0.0014204595405271716,0.001385493072534637,0.0010517923402251256,0.0010091140173737034,0.0017618721276955705,0.0009649122807017543,0.001032783227322238,0.0005953355492317356,0.001334489012171773,0.0013290802764486971,0.0013299965676822868,0.0008531471170529943,0.0018050134358444,0.0010709504685408298,0.0013683642318495178,0.000581287616851586,0.0015606133202300736,0.0012573099415204678,0.0010971464063955889,0.0008647011422169863,0.0016499187408239493
0.016,0.048,0.0014066666666666665,0.00032688006166275063,0.00032688006166275063,0.0012896941388640393,0.0015236391944692938,0.0014066666666666665,0.0011019283746556475,0.0012991946794005298,0.000637017529423384,0.001566839219887911,0.0014736842105263156,0.0019271278523959874,0.0007840703651698535,0.0021632980558827777,0.001324503311258278,0.0015981759576171987,0.0007526033896633627,0.0018964032328531932,0.0016949152542372885,0.0017942818741097316,0.0010528397316818927,0.0023369907767926846,0.0015296367112810705,0.0016193136607644224,0.0009501727597588014,0.0021091006628033396,0.0012979351032448377,0.0017349823640834018,0.0006770796378258526,0.0019187905686638227,0.0015769439912996198,0.001791297184402552,0.0009359365262390108,0.002217951456360229,0.0014056224899598392,0.0014763027646191595,0.0008773343303789257,0.0019339106495407528,0.001579778830963665,0.001659480984009132,0.0009859411874177863,0.002173616474509544,0.001461495222034851,0.0015169525973315467,0.0009186607066348187,0.002004329737434883,0.0014662756598240467,0.0014913420167613134,0.0009326057729809064,0.001999945546667187,0.0017114914425427872,0.0015262192072438502,0.0011653409133727827,0.0022576419717127917,0.0014912280701754386,0.0013706064730583892,0.00100076284277441,0.0019816932975764675,0.0015948963317384366,0.0018256825246326604,0.0009415842307033676,0.0022482084327735056,0.001405622489959839,0.0016800402139238464,0.0008044278204743339,0.0020068171594453442,0.0007894736842105262,0.0007043961165765247,0.000537408771131432,0.0010415385972896204
0.02,0.060000000000000005,0.0015766666666666665,0.0003036369580582222,0.0003036369580582222,0.0014680115766691176,0.0016853217566642155,0.0015766666666666665,0.0013774104683195593,0.001469336781443718,0.0008516150538039678,0.0019032058828351507,0.0011228070175438596,0.001202834660470244,0.0006923781622379611,0.001553235872849758,0.001839587932303164,0.002096896525346119,0.0010892231475481326,0.0025899527170581953,0.0021892655367231634,0.0030210804570914465,0.0011081857793236547,0.0032703452941226724,0.0027405991077119178,0.0029994872379847013,0.001667246384532434,0.0038139518308914016,0.0016519174041297936,0.0019126644234724933,0.0009674792303431082,0.002336355577916479,0.001685698749320283,0.0017393142094450558,0.0010632931529467658,0.0023081043456938,0.001706827309236948,0.001568766445066831,0.001145451446549024,0.0022682031719248722,0.00210637177461822,0.0017763682666224474,0.001470706554175449,0.002742036995060991,0.0018549747048903877,0.0019480575833194572,0.0011578712515110511,0.0025520781582697243,0.0016617790811339198,0.0015273620520885273,0.001115219590188492,0.0022083385720793477,0.0013447432762836184,0.0011282261823051202,0.0009410127220062044,0.0017484738305610324,0.0011842105263157896,0.0010565941748647873,0.0008061131566971483,0.0015623078959344308,0.0011164274322169056,0.000950499893570076,0.0007762954135753734,0.0014565594508584379,0.0016733601070950466,0.0019074179236582168,0.0009907993691552288,0.002355920845034864,0.000935672514619883,0.0007957781923857335,0.0006509069456828529,0.001220438083556913
0.024,0.07200000000000001,0.00197,0.0009105322429860688,0.0009105322429860688,0.0016441702214380933,0.002295829778561907,0.00197,0.0007575757575757576,0.001381560197230107,0.0002631907903206032,0.001251960724830912,0.0017543859649122805,0.0016662686186882485,0.0011581193974908423,0.0023506525323337187,0.0015452538631346576,0.0016549946768387536,0.0009530216239916931,0.002137486102277622,0.0028248587570621464,0.0025698238765386556,0.0019052590931450258,0.003744458420979267,0.0032504780114722747,0.0028910531529277106,0.0022159279272930474,0.004285028095651502,0.0028908554572271384,0.002566248914106447,0.0019725350771867024,0.0038091758372675744,0.0021750951604132683,0.0024734030785608595,0.0012899992359253383,0.0030601910849011984,0.002058232931726907,0.0022541261324498505,0.0012516042546598621,0.002864861608793952,0.00315955766192733,0.003520290771128945,0.0018998377879019383,0.004419277535952722,0.002248454187745925,0.002315301773043998,0.0014199340888410277,0.0030769742866508226,0.0020527859237536657,0.0022650076523658288,0.0012422633447935773,0.002863308502713754,0.0019559902200488996,0.0023061499688136547,0.0011307450522283044,0.0027812353878694947,0.0017543859649122805,0.0015581407892546312,0.001196812444323753,0.002311959485500808,0.0011695906432748536,0.0011797128479171725,0.0007474358223286944,0.0015917454642210129,0.0013386880856760372,0.001522285228070087,0.0007939453128737268,0.0018834308584783476,0.001198830409356725,0.0010922989022453856,0.0008079562671354122,0.001589704551578038
0.028,0.084,0.0018700000000000001,0.0006566109434318642,0.0006566109434318642,0.0016350347915213782,0.0021049652084786223,0.0018700000000000001,0.0015151515151515152,0.0019513082138467946,0.0008168848385770993,0.002213418191725931,0.0014736842105263154,0.0017613895295454222,0.000843379062307828,0.0021039893587448026,0.0016188373804267844,0.0018271125536306122,0.0009650135500868732,0.0022726612107666954,0.0027542372881355927,0.002845180652880931,0.0017361024672789538,0.0037723721089922314,0.0016571064372211597,0.0017199864057698033,0.001041617206566821,0.0022725956678754985,0.003008849557522124,0.002676143007046359,0.0020512040813703792,0.003966495033673869,0.0016313213703099511,0.0017136239198658736,0.0010181089259958546,0.002244533814624048,0.0023092369477911647,0.0021925663909476093,0.0015246371413066963,0.0030938367542756333,0.002790942601369141,0.0021430501275433327,0.002024061962178867,0.0035578232405594147,0.0028105677346824056,0.0025948920202330003,0.0018819975507515184,0.0037391379186132927,0.0022482893450635386,0.0023964813904893746,0.0013907194931381192,0.003105859196988958,0.001385493072534637,0.0014618313122967146,0.000862383455659941,0.001908602689409333,0.0014912280701754386,0.0012805318568990217,0.0010329956302054253,0.001949460510145452,0.001382243487506645,0.0013721947915536726,0.0008912098876316151,0.001873277087381675,0.0017402945113788486,0.0018817317391800052,0.0010669254565069352,0.0024136635662507623,0.001023391812865497,0.0010825387759364163,0.0006360102869886184,0.0014107733387423754
0.032,0.096,0.002316666666666667,0.000997266378599548,0.000997266378599548,0.001959799476285033,0.002673533857048301,0.002316666666666667,0.0024104683195592283,0.0029261240099064368,0.0013633682903875209,0.003457568348730936,0.0016140350877192977,0.0018897561746743436,0.0009377945254841413,0.0022902756499544544,0.001618837380426784,0.0026523876151146927,0.0006696926621036275,0.0025679820987499404,0.002330508474576271,0.0030651614011662997,0.0012336545539251603,0.0034273623952273814,0.0028043339706819628,0.0032438132773269443,0.0016435502971885,0.0039651176441754254,0.0034218289085545723,0.0027471828398632245,0.002438762154711568,0.004404895662397577,0.002501359434475258,0.002524810318850463,0.0015978676653052013,0.003404851203645315,0.0031626506024096386,0.0036964035117691614,0.001839909593518614,0.004485391611300663,0.00315955766192733,0.002962766168957269,0.0020993454045379716,0.004219769919316689,0.003372681281618886,0.00345880615408805,0.0021349633952328327,0.004610399168004939,0.0027859237536656885,0.001820414926967743,0.002134496638246378,0.003437350869084999,0.0026894865525672372,0.0023895580070272576,0.0018343942015955047,0.00354457890353897,0.0018859649122807017,0.0021767396047250903,0.0011070286485097987,0.0026649011760516046,0.0013290802764486973,0.0018296818339698813,0.0006743370409471829,0.001983823511950212,0.0011378848728246316,0.0013632742046673948,0.0006500434639699505,0.0016257262816793128,0.0012573099415204678,0.0011210695621450767,0.000856140350877193,0.0016584795321637426
0.036000000000000004,0.10800000000000001,0.00302,0.0016987622268723414,0.0016987622268723414,0.002412105744222816,0.003627894255777184,0.00302,0.002066115702479339,0.0021014364781636687,0.0013141263164730957,0.002818105088485582,0.0021754385964912275,0.0027356319163447077,0.001196505287544014,0.003154371905438441,0.002869757174392936,0.0026660788075261507,0.0019157131257868188,0.003823801222999053,0.00423728813559322,0.0049764425382602,0.002456491043828747,0.006018085227357694,0.003760356915232632,0.004155341826078993,0.0022733869397376922,0.005247326890727572,0.0037168141592920354,0.0038985185223442396,0.0023217472227394656,0.005111881095844605,0.004676454594888526,0.003728198784491783,0.0033423357937772584,0.006010573395999793,0.0039658634538152614,0.004175926944276258,0.0024715271883777607,0.005460199719252762,0.004844655081621905,0.003845856877144505,0.0034684328727836045,0.006220877290460206,0.004103428892636312,0.003775536938993629,0.002752370350491512,0.005454487434781112,0.0031280547409579668,0.002517184271737757,0.0022272919176996846,0.004028817564216249,0.003341483292583538,0.002665491703293727,0.0023876493365288013,0.004295317248638274,0.0025438596491228066,0.0018586672292804686,0.0018787441231194143,0.003208975175126199,0.0017012227538543323,0.001563421109580737,0.0011417596949042101,0.0022606858128044545,0.0013386880856760372,0.0015222852280700869,0.0007939453128737269,0.0018834308584783476,0.0011111111111111113,0.0008284501539489901,0.0008146540308812715,0.001407568191340951
