Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0011086474501108647,0.0019091659896297534,0.00042546117479683003,0.0017918337254248995,0.0008587041373926618,0.001147851329867824,0.0004479508142524668,0.0012694574605328567,0.0011284722222222221,0.0017679962341780276,0.0004958028951138075,0.0017611415493306369,0.0010699588477366257,0.0019107515129078202,0.00038620520020422443,0.001753712495269027,0.0006060606060606061,0.0011837055903686086,0.0001824770005778996,0.0010296442115433125,0.0012944983818770225,0.0018836872627702934,0.0006204295518754479,0.001968567211878597,0.0008792965627498,0.0014746952034973095,0.0003515836615283702,0.0014070094639712298,0.0006928406466512702,0.001076424017781522,0.00030764725887813955,0.001078034034424401,0.0006006006006006007,0.0013137213535713392,0.00013049145177746895,0.0010707097494237325,0.0011494252873563218,0.0012699032770371046,0.0006949962358434583,0.0016038543388691854,0.0011585044760400213,0.0013717930030183404,0.000667614654345835,0.0016493942977342077,0.0013333333333333329,0.0015572851425866474,0.0007760660019725938,0.001890600664694072,0.0011096316023080338,0.0011641562104488911,0.0006930436525852756,0.0015262195520307918,0.0011230219499744768,0.001389260550259933,0.000625881446776599,0.0016201624531723545,0.000769230769230769,0.0009688054306498501,0.00042254819827315497,0.0011159133401883832,0.0009640666082383876,0.000591292434411223,0.000752475328024396,0.001175657888452379
0.004,0.012,0.0011133333333333334,0.0001252124631158585,0.0001252124631158585,0.0010685266288541651,0.0011581400378125016,0.0011133333333333336,0.0012564671101256467,0.0015053449089231991,0.0007177863526763533,0.0017951478675749402,0.0007806401249024199,0.0012802629358092132,0.00032250391710849676,0.001238776332696343,0.0011284722222222221,0.0017679962341780276,0.0004958028951138075,0.0017611415493306369,0.0009053497942386831,0.0015183898761935264,0.00036200095520328487,0.0014486986332740814,0.0010606060606060605,0.0017638162551394563,0.00042943251978640434,0.0016917796014257165,0.0012944983818770225,0.0018836872627702934,0.0006204295518754479,0.001968567211878597,0.0018385291766586727,0.0017456403879966575,0.001213859786364084,0.0024631985669532615,0.0009237875288683604,0.001671994708546399,0.0003254719065069365,0.0015221031512297842,0.0016516516516516518,0.0017678271458668943,0.0010190428320182863,0.0022842604712850173,0.0007437457741717377,0.0011278973970943926,0.00034013287417096336,0.0011473586741725119,0.0007372301211163772,0.0010765329975688151,0.00035199773542720904,0.0011224625068055453,0.0011034482758620688,0.0010498267518722585,0.0007277725974598298,0.001479123954264308,0.0014203284509542835,0.001351308291357989,0.0009367689891848681,0.0019038879127236989,0.0009188361408882085,0.0011086886811647642,0.0005220969916041402,0.0013155752901722766,0.000923076923076923,0.0012518095451461114,0.00047512263036674255,0.0013710312157871034,0.0011539585159217062,0.0008416074905169109,0.0008527931432690404,0.001455123888574372
0.008,0.024,0.0013199999999999996,0.0003177507155639139,0.0003177507155639139,0.0012062943667425273,0.0014337056332574718,0.0013199999999999998,0.0016999260901699928,0.0013881647795549725,0.0012031777034829823,0.0021966744768570036,0.001405152224824356,0.001905564881369959,0.0007232545895512474,0.0020870498600974643,0.0013020833333333333,0.002135438568713023,0.0005379264554895633,0.002066240211177103,0.0007407407407407408,0.001150843456047899,0.00032891669899810967,0.001152564782483372,0.0012121212121212123,0.0016597653257732306,0.0006181818181818185,0.0018060606060606062,0.0019417475728155337,0.001954261650176936,0.001242424022623671,0.0026410711230073964,0.0016786570743405275,0.0020063789605133707,0.0009606835841635933,0.0023966305645174617,0.0016166281755196305,0.0023606653145302305,0.0007718749417739835,0.0024613814092652774,0.0017267267267267266,0.0021879076265418408,0.0009437940376742841,0.002509659415779169,0.0012170385395537525,0.0018142539371195049,0.0005678161060371833,0.0018662609730703216,0.0012111637704054765,0.0015346461077165518,0.0006619977136293557,0.0017603298271815972,0.00193103448275862,0.0013358184775489718,0.0014530179796732436,0.0024090509858439965,0.0010208610741233909,0.0013848261263077147,0.0005253074091572515,0.0015164147390895302,0.0012761613067891783,0.001277041114757724,0.0008191780128518038,0.001733144600726553,0.0012820512820512818,0.0016698941748280953,0.0006844873260273973,0.0018796152380751664,0.0010224948875255625,0.0007217399332345278,0.0007642235693634779,0.001280766205687647
0.012,0.036000000000000004,0.0016133333333333336,0.00042567053257049704,0.00042567053257049704,0.001461009089533989,0.0017656575771326781,0.0016133333333333336,0.0015521064301552106,0.0015570138577778413,0.000994936176816542,0.0021092766834938793,0.0015612802498048402,0.002245729749346062,0.0007576561798436966,0.002364904319765984,0.0015624999999999999,0.002427560415101037,0.0006938086619491373,0.0024311913380508626,0.0018106995884773665,0.0024204074955731405,0.0009445678898064368,0.002676831287148296,0.0009848484848484847,0.0016543910040786507,0.00039283226722838576,0.0015768647024685836,0.0014563106796116503,0.0026740844389308146,0.000499401852599361,0.0024132195066239397,0.0024780175859312544,0.0023967029307290885,0.0016203684568491996,0.003335666715013309,0.0020015396458814474,0.0023279765958139995,0.00116848391989879,0.0028345953718641047,0.0019519519519519517,0.0018452865962312753,0.0012916246239909912,0.002612279279912912,0.0018255578093306288,0.0016288267198726943,0.0012426896533262325,0.002408425965335025,0.0020537124802527647,0.0023523545376342683,0.0012119332198249743,0.002895491740680555,0.0013793103448275859,0.0016989841711763855,0.0007713366673012031,0.0019872840223539687,0.001952951620062139,0.0018415227890373389,0.0012939711532079616,0.0026119320869163166,0.0016334864726901483,0.001554108004302986,0.001077356065662842,0.0021896168797174544,0.001487179487179487,0.001640307092907414,0.0009002031324456932,0.0020741558419132807,0.0012854221443178502,0.0007272238950736608,0.0010251884156146224,0.0015456558730210781
0.016,0.048,0.0021,0.0008366600265340755,0.0008366600265340755,0.0018006050545962184,0.0023993949454037813,0.0021000000000000003,0.0014781966001478194,0.001576849228866429,0.0009139283504237701,0.002042464849871869,0.002185792349726776,0.002211787296257257,0.0013943144306119812,0.0029772702688415707,0.0014756944444444442,0.0018956563588401198,0.0007973425284214145,0.0021540463604674738,0.003127572016460905,0.003832489640796844,0.0017561332117169606,0.004499010821204849,0.0018181818181818182,0.002101716651017145,0.0010660921736075665,0.00257027146275607,0.0022653721682847896,0.002845828651471179,0.0012470054641106785,0.0032837388724589007,0.0023980815347721817,0.0021815771038241824,0.0016174141941806691,0.003178748875363694,0.004157043879907621,0.00421940082397755,0.0026471506864146734,0.005666937073400568,0.002702702702702703,0.004114866118879007,0.0012302167730125087,0.0041751886323928965,0.0027721433400946585,0.002635750832177964,0.001828952018086694,0.003715334662102623,0.0020537124802527647,0.0016147994963532223,0.0014758639017190126,0.0026315610587865166,0.0024367816091954027,0.0026040735731717012,0.0015049258487416454,0.00336863736964916,0.0025743453173546387,0.0025680572019515357,0.0016553778498193008,0.0034933127848899765,0.0013272077590607452,0.0021929292352590086,0.0005424781104069891,0.0021119374077145014,0.0015384615384615382,0.0016658162830883378,0.0009423568372557007,0.002134566239667376,0.001577563540753725,0.0009737710747364188,0.001229104036880657,0.001926023044626793
0.02,0.060000000000000005,0.00293,0.002152808910910709,0.002152808910910709,0.002159627225030769,0.0037003727749692307,0.0029299999999999994,0.0024390243902439024,0.0024254325217325555,0.0015710945090556569,0.003306954271432148,0.0017954722872755662,0.002435607542990852,0.0009239013214920283,0.002667043253059104,0.0019097222222222222,0.0024594613945360644,0.0010296152652898853,0.002789829179154559,0.004362139917695473,0.005412843046465936,0.002425178909663013,0.006299100925727932,0.002727272727272727,0.0035511167711058255,0.001456521910824608,0.003998023543720846,0.004449838187702265,0.0058448550181987285,0.002358283681009987,0.006541392694394544,0.004476418864908073,0.004068379721923242,0.003020567878728023,0.005932269851088124,0.0038491147036181675,0.004345380744793693,0.0022941401744350585,0.0054040892328012765,0.003903903903903904,0.004981477960565503,0.002121304909409087,0.00568650289839872,0.003786342123056119,0.00451158958837757,0.002171890523053022,0.005400793723059216,0.0030015797788309636,0.00316907647137143,0.0018675403278760124,0.004135619229785914,0.0030344827586206895,0.003082103902789108,0.0019315660416275842,0.004137399475613795,0.003817132711939636,0.004192323722718542,0.002316928934692277,0.005317336489186995,0.0025523226135783566,0.0022867993356901826,0.0017340019808900669,0.0033706432462666464,0.0018974358974358971,0.0020072642341013,0.0011791456161740304,0.0026157261786977637,0.002147239263803681,0.0015325545972481058,0.0015988216444366068,0.0026956568831707555
0.024,0.07200000000000001,0.00387,0.002662012461433565,0.002662012461433565,0.002917411074655151,0.004822588925344849,0.0038699999999999993,0.0031042128603104217,0.0035705356978842466,0.0018265130701594354,0.004381912650461408,0.0035909445745511324,0.0031799089176785143,0.0024530287824685503,0.004728860366633714,0.0035590277777777777,0.005047968191103941,0.0017526355598581416,0.005365419995697414,0.003703703703703703,0.00403642445845332,0.0022592877616975375,0.005148119645709869,0.004393939393939394,0.005062073132819583,0.002582499787449789,0.006205379000428998,0.004045307443365695,0.0049510514898702266,0.002273596421576325,0.005817018465155064,0.005115907274180656,0.00625765828376904,0.002876633016050136,0.007355181532311176,0.006851424172440338,0.007111367606846168,0.0043066539564926365,0.00939619438838804,0.00533033033033033,0.005172689768465031,0.003479307069142875,0.007181353591517786,0.004597701149425287,0.005190132494519204,0.002740436088881986,0.006454966209968589,0.0037914691943127963,0.0033857072495711215,0.0025799094149628636,0.005003028973662729,0.0040459770114942535,0.0027807279061723084,0.0030509063098377275,0.00504104771315078,0.005237461162893919,0.005348378280121462,0.003323568575233023,0.007151353750554815,0.0029096477794793266,0.003251064707591478,0.0017462692149915575,0.004073026343967096,0.0023076923076923075,0.002166314799904023,0.001532486512416688,0.003082898102967927,0.0030236634531113056,0.0020789410144333815,0.0022797239654171195,0.0037676029408054918
0.028,0.084,0.011676666666666669,0.013779386987349125,0.013779386987349125,0.00674577636004468,0.016607556973288657,0.01167666666666667,0.006651884700665189,0.008438186198529794,0.0036323185494276807,0.009671450851902698,0.010070257611241218,0.012785136894796148,0.005495155130901234,0.014645360091581202,0.010243055555555556,0.013981001422725334,0.005240018449806412,0.0152460926613047,0.010946502057613168,0.013673711165137714,0.006053427358308468,0.01583957675691787,0.012651515151515151,0.016993739033367206,0.006570383737626731,0.01873264656540357,0.018689320388349515,0.0215605713473831,0.010973969018970815,0.026404671757728215,0.018225419664268584,0.02419977766642444,0.00956564044278846,0.02688519888574871,0.02232486528098537,0.03163872496526006,0.011003092956257841,0.0336466376057129,0.0225975975975976,0.027713929066218675,0.012680295447909112,0.03251489974728609,0.01676808654496281,0.021897970470098074,0.008931998450127057,0.02460417463979856,0.012690889942074774,0.01748117372619564,0.0064353322634921675,0.01894644762065738,0.010758620689655172,0.01220541181509073,0.006390970164808531,0.015126271214501812,0.017088326675543716,0.021396799400046834,0.009431580344862193,0.02474507300622524,0.007861153649821338,0.009035117631485639,0.004627978328656147,0.01109432897098653,0.007743589743589742,0.007973464800425285,0.00489032200891439,0.010596857478265095,0.005886649138182879,0.006000392660951424,0.0037394362008457377,0.00803386207552002
0.032,0.096,0.054329999999999996,0.05812217898234006,0.05812217898234006,0.0335312453669462,0.0751287546330538,0.054329999999999996,0.03555062823355506,0.037554255030365566,0.022112010661405446,0.04898924580570467,0.04644808743169399,0.04763945286033663,0.029400528165271212,0.06349564669811678,0.05104166666666666,0.05472639900089685,0.03145807629377133,0.07062525703956199,0.04987654320987654,0.05433027514551034,0.0304347039381398,0.06931838248161329,0.0590909090909091,0.06183350814989023,0.03696407237163782,0.08121774581018038,0.07305825242718449,0.07706164045432527,0.04548209854766257,0.1006344063067064,0.08481215027977619,0.09325547503779695,0.05144110711758946,0.11818319344196293,0.09899923017705926,0.10759067543412122,0.060498401434235655,0.13750005891988287,0.10225225225225225,0.1114016907922042,0.062387669178063127,0.14211683532644137,0.07349560513860717,0.08120351685976017,0.04443729982248392,0.10255391045473042,0.06329647182727752,0.07021846922793482,0.038169115321524304,0.08842382833303072,0.05517241379310345,0.06280290084400621,0.032698684353342125,0.07764614323286477,0.08783843763870396,0.09538145438846624,0.05370662253637808,0.12197025274102982,0.037570188871873404,0.03916449081141367,0.02355535582573822,0.05158502191800859,0.03497435897435897,0.03864029195210332,0.021147108080934125,0.04880160986778382,0.025576979257960857,0.027080407944125938,0.01588637973030014,0.035267578785621576
0.036000000000000004,0.10800000000000001,0.15947666666666663,0.10219189752392421,0.10219189752392421,0.12290776578750168,0.19604556754583158,0.15947666666666663,0.10391722099039176,0.06817703677130643,0.07952038170730266,0.12831406027348086,0.13544106167056985,0.09097925599475938,0.1028845530319702,0.1679975703091695,0.153125,0.10189788603616783,0.11666130978052147,0.18958869021947855,0.15934156378600822,0.10488237979331289,0.12180988619156219,0.19687324138045426,0.17333333333333334,0.11487248269418912,0.13222674332795692,0.21443992333870976,0.21658576051779935,0.14045552197439898,0.16632439747959266,0.26684712355600604,0.23836930455635488,0.15625154167643734,0.18245540846254127,0.2942832006501685,0.29099307159353344,0.18749956127643028,0.22389721529436374,0.35808892789270313,0.2782282282282282,0.17875987010025446,0.21425983025090112,0.34219662620555524,0.2169033130493577,0.1430618492317067,0.16570928778018656,0.26809733831852883,0.18325434439178517,0.11791076593148543,0.14106051869317285,0.2254481700903975,0.16386206896551725,0.10438695803828864,0.12650767576926553,0.20121646216176897,0.24957833999112297,0.15938187452348412,0.19254426867426244,0.3066124113079835,0.11485451761102604,0.07587902063868564,0.08770155879749003,0.14200747642456205,0.10292307692307692,0.06590892914803367,0.07933786952929023,0.12650828431686362,0.07941863862109262,0.05109268727807042,0.06113535528853178,0.09770192195365346
