Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0016999260901699928,0.0018119737342724537,0.0010515196167629683,0.0023483325635770174,0.0010148321623731458,0.0013309620073909496,0.0005385535248146303,0.0014911107999316612,0.0008680555555555555,0.0015793709241227157,0.00030288492877315843,0.0014332261823379526,0.001234567901234568,0.0014132135098082446,0.0007288559415444592,0.001740279860924677,0.0007575757575757576,0.0012424369854330316,0.0003129753922848369,0.0012021761228666783,0.000809061488673139,0.001326874450462461,0.0003342455645760391,0.0012838774127702389,0.0006394884092725819,0.0012489939083026088,0.0001925416792668484,0.0010864351392783154,0.00092378752886836,0.0011507456792666047,0.0005119984760975562,0.001335576581639164,0.0012762762762762762,0.0021064430983464295,0.0005224952942468734,0.002030057258305679,0.0010141987829614604,0.0015756984438789687,0.0004503423363564383,0.0015780552295664827,0.0012638230647709322,0.0015743218929618952,0.0007004592105852826,0.0018271869189565818,0.0005517241379310345,0.0009305719553975248,0.00021872324038046297,0.000884725035481606,0.0008433200177541055,0.000956585089592727,0.0005010104396819882,0.0011856295958262229,0.0010209290454313426,0.0010890643219276562,0.0006312123829113636,0.0014106457079513216,0.0012307692307692306,0.0012387012305736887,0.0007875056881860808,0.0016740327733523804,0.0009932807478819751,0.0006190127494536178,0.0007717698803260689,0.0012147916154378814
0.004,0.012,0.0012066666666666669,0.0002033060090930254,0.0002033060090930254,0.0011339145456590212,0.0012794187876743125,0.001206666666666667,0.0008130081300813007,0.001592894461827357,0.0002429981674822759,0.0013830180926803254,0.000936768149882904,0.0014553992184212301,0.0004159602282411693,0.0014575760715246386,0.0016493055555555556,0.0025112121857625044,0.0007506798158172238,0.0025479312952938872,0.0012345679012345679,0.002024712124409385,0.0005100339726123267,0.001959101829856809,0.0014393939393939393,0.0013976088633144957,0.0009392660307363569,0.0019395218480515218,0.0013754045307443363,0.001223317798528473,0.0009376458786199545,0.001813163182868718,0.001199040767386091,0.0016361828278681364,0.000613540261942457,0.0017845412728297251,0.0010007698229407235,0.001567922757331092,0.0004396958700316442,0.0015618437758498026,0.0012762762762762762,0.0016394865806184824,0.0006895935380941963,0.001862959014458356,0.0014198782961460446,0.0015207151898741487,0.0008756973542966269,0.0019640592379954625,0.0011058451816745656,0.0013853187825733982,0.000610115221927883,0.0016015751414212482,0.0015172413793103445,0.0016340306523639071,0.0009325110199800096,0.0021019717386406792,0.0012871726586773193,0.0010768533659674126,0.0009018256306290504,0.0016725196867255882,0.0010719754977029097,0.0009126545685580974,0.0007453862546887585,0.0013985647407170607,0.001333333333333333,0.001602555260806732,0.0007598662982182842,0.001906800368448382,0.0010663160969909438,0.0006477624845428472,0.0008345172688603341,0.0012981149251215535
0.008,0.024,0.00147,0.00040099015380464875,0.00040099015380464875,0.0013265075163168354,0.0016134924836831645,0.00147,0.0014042867701404287,0.001885337711231739,0.0007296273347419962,0.002078946205538861,0.001327088212334114,0.002190306172519472,0.0005432972146267257,0.0021108792100415024,0.0013020833333333333,0.002535923356042194,0.000394614814877104,0.0022095518517895626,0.0025514403292181066,0.0030746191322462706,0.001451202002965522,0.003651678655470691,0.000984848484848485,0.0016543910040786505,0.0003928322672283861,0.0015768647024685836,0.0022653721682847896,0.0025443221794731164,0.001354898169462809,0.0031758461671067702,0.0014388489208633092,0.0019512618809231954,0.0007405988243126681,0.0021370990174139504,0.0012317167051578138,0.0017923306056844366,0.000590339435040842,0.0018730939752747856,0.0017267267267267266,0.0021064430983464295,0.0009729457446973238,0.002480507708756129,0.0012170385395537525,0.0017342911672513063,0.0005964304157445558,0.0018376466633629493,0.001369141653501843,0.0014804145436202885,0.0008393821127021386,0.0018989011943015477,0.0009655172413793102,0.0012626010067421987,0.0005137012737319729,0.0014173332090266476,0.0019529516200621393,0.0015135040669931703,0.001411351145395066,0.002494552094729213,0.0009698825931597755,0.0013021245141891491,0.0005039233200132317,0.0014358418663063192,0.0012307692307692306,0.0014789552773859156,0.0007015318816850543,0.0017600065798534068,0.0015921706105755187,0.0008416074905169109,0.0012910052379228529,0.0018933359832281845
0.012,0.036000000000000004,0.0022366666666666663,0.0010111391095445645,0.0010111391095445645,0.0018748351832721462,0.0025984981500611864,0.0022366666666666663,0.0016260162601626014,0.001640088593445825,0.0010391180944569656,0.0022129144258682372,0.00195160031225605,0.0026866756672110433,0.0009901857720699858,0.002913014852442114,0.0026041666666666665,0.0036187934051023496,0.0013091980777686814,0.0038991352555646517,0.00345679012345679,0.0037586389881846287,0.0021117784353500086,0.004801801811563571,0.00196969696969697,0.0022909406045169586,0.0011498944029913094,0.00278949953640263,0.0021035598705501615,0.0020882673162722154,0.0013562830086044243,0.002850836732495899,0.002478017585931255,0.002225077937551196,0.0016817836719100654,0.003274251499952444,0.003079291762894534,0.003992446924269751,0.0016506129793856213,0.004507970546403447,0.0028528528528528533,0.0031260391354121166,0.0017342141147815337,0.003971491590924173,0.00196078431372549,0.002227312726244958,0.001163750690840798,0.0027578179366101823,0.0020537124802527647,0.0019961252419541664,0.0013394082361385784,0.002768016724366951,0.0020689655172413794,0.0020086328098719314,0.0013501854974296425,0.0027877455370531163,0.0021304926764314247,0.0024627305631093046,0.0012492158625494786,0.0030117694903133707,0.0017866258295048498,0.0017101809384375652,0.0011746454402717457,0.002398606218737954,0.0019999999999999996,0.0019439188894722881,0.001304377559193415,0.002695622440806584,0.0022787028921998245,0.001100204600625394,0.0018849997321459437,0.0026724060522537053
0.016,0.048,0.0021433333333333335,0.0010254295427412049,0.0010254295427412049,0.0017763880840948438,0.002510278582571823,0.0021433333333333335,0.001995565410199557,0.0020463171111432116,0.001263300236366021,0.0027278305840330933,0.002185792349726776,0.0033648496594104824,0.0009816963631592809,0.003389888336294271,0.0030381944444444445,0.0032137869910612354,0.0018881555394974615,0.004188233349391428,0.001975308641975309,0.003858003405645836,0.0005947398537353768,0.003355877430215241,0.0016666666666666668,0.0016810908082819708,0.0010650960468183898,0.002268237286514944,0.002588996763754045,0.0023792840672502958,0.0017375808949149029,0.003440412632593187,0.001998401278976818,0.002363375195809531,0.0011526783266693464,0.00284412423128429,0.0030792917628945345,0.002929655100490329,0.002030928149185438,0.004127655376603631,0.002927927927927928,0.003840005251053618,0.0015537996965935626,0.004302056159262293,0.002434077079107505,0.0033436221264641157,0.0012375772676481505,0.0036305768905668598,0.001632438125329121,0.0019229284385722525,0.0009443270209099705,0.0023205492297482715,0.0022068965517241376,0.002099653503744517,0.0014555451949196596,0.002958247908528616,0.002441189525077674,0.002041489228777674,0.0017106519867608407,0.003171727063394507,0.0016845329249617152,0.0016751455854538781,0.0010850897757796343,0.002283976074143796,0.0019487179487179484,0.0014529741161566903,0.0014287778387763832,0.0024686580586595133,0.0018989190768331878,0.001075450379368324,0.0015140741010916084,0.002283764052574767
0.02,0.060000000000000005,0.004226666666666667,0.0023088933508820034,0.0023088933508820034,0.0034004397921808477,0.005052893541152486,0.004226666666666667,0.002439024390243902,0.0033626942102224166,0.0012356997212624222,0.003642349059225382,0.005308352849336456,0.005634499690671873,0.0032920730298563704,0.007324632668816541,0.008159722222222221,0.008141806471032685,0.005246214194378481,0.011073230250065961,0.006748971193415637,0.008148879137801131,0.0038329322442731103,0.009665010142558165,0.0037878787878787884,0.004018575657895384,0.002349849957123418,0.005225907618634159,0.004288025889967638,0.005545221630066236,0.002303693814174446,0.00627235796576083,0.006874500399680256,0.005182999516843926,0.005019787842416577,0.008729212956943936,0.005850654349499614,0.004648046104362363,0.004187372412373207,0.007513936286626022,0.005855855855855856,0.0058132846912442755,0.0037755986455744787,0.007936113066137233,0.0036511156186612576,0.004405519526169925,0.0020746207029462686,0.005227610534376247,0.005002632964718271,0.004108751704575042,0.00353233505008635,0.0064729308793501925,0.004091954022988505,0.0028402508254722265,0.003075583318213751,0.005108324727763259,0.004216600088770529,0.0034454694344005156,0.002983654686232253,0.005449545491308805,0.003113833588565595,0.002494819666308513,0.002221073836577735,0.0040065933405534545,0.0022564102564102562,0.0024817911314804833,0.0013683127057345444,0.003144507807085968,0.003067484662576687,0.001598744315476027,0.0024953813567340282,0.003639587968419346
0.024,0.07200000000000001,0.013399999999999999,0.022896152364610265,0.022896152364610265,0.005206717101620769,0.02159328289837923,0.013399999999999999,0.00746489283074649,0.013549772511956937,0.0026161690088898184,0.012313616652603162,0.019359875097580016,0.033931705741679426,0.007217570140007699,0.03150218005515233,0.025173611111111112,0.050853536513461146,0.006975906780585392,0.04337131544163683,0.022798353909465028,0.04749337376155358,0.0058030683771968,0.03979363944173325,0.012651515151515148,0.024801027329282587,0.0037765815013823655,0.021526448801647932,0.013349514563106794,0.02195828426621091,0.005491843453519996,0.02120718567269359,0.01678657074340528,0.03030743772354358,0.005941193439844958,0.0276319480469656,0.01947652040030793,0.036433633849332736,0.006438911967681231,0.03251412883293463,0.019744744744744743,0.036121768810450046,0.006818735783024317,0.03267075370646517,0.017579445571331984,0.029236177732761177,0.007117413732215805,0.028041477410448164,0.013638757240652973,0.02369298997336919,0.005160329666056394,0.022117184815249553,0.011586206896551727,0.01888298983033544,0.004829015767517686,0.018343398025585766,0.015046604527296939,0.02626859586446734,0.005646508221445894,0.024446700833147983,0.006687085247575294,0.011031923973158908,0.002739361953891609,0.01063480854125898,0.007794871794871796,0.010893060961929645,0.003896839991574973,0.01169290359816862,0.00953841659363132,0.015271304330186997,0.004073650522373758,0.015003182664888884
0.028,0.084,0.08030000000000001,0.08169505113108348,0.08169505113108348,0.05106580140385887,0.10953419859614115,0.0803,0.042202512934220254,0.04398308396354875,0.02646336847370706,0.05794165739473345,0.10843091334894613,0.11180004739188408,0.0684237801963142,0.14843804650157805,0.14270833333333333,0.15047300551636614,0.08886225984761681,0.19655440681904984,0.1382716049382716,0.14803174084236753,0.08529912679667091,0.19124408307987228,0.06674242424242423,0.06905522954051163,0.04203132771284115,0.0914535207720073,0.08106796116504857,0.08418299905321315,0.05094346183899305,0.11119246049110408,0.09840127897681854,0.09676403899936357,0.06377471232551465,0.13302784562812242,0.11993841416474212,0.12343641082476878,0.07576726183562431,0.16410956649385994,0.12012012012012012,0.12591838910836553,0.0750608032688019,0.16517943697143833,0.09587559161595673,0.09804547031556073,0.060790470657306694,0.13096071257460676,0.08499210110584518,0.08372509169913331,0.055031461822013336,0.11495274038967702,0.07204597701149426,0.07334193332829272,0.045800903232129625,0.0982910507908589,0.08916999556147359,0.09064412055055913,0.05673341360137782,0.12160657752156936,0.051148545176110255,0.0534599398350266,0.03201815139537505,0.07027893895684546,0.04584615384615385,0.04566210185042842,0.029506180551189535,0.062186127141118167,0.058866491381828805,0.06087786221098705,0.0370816281698715,0.08065135459378611
0.032,0.096,0.2862066666666667,0.08197027608175747,0.08197027608175747,0.25687398008679563,0.3155393532465378,0.28620666666666666,0.16023651145602366,0.04839645218402444,0.1429180634606089,0.17755495945143843,0.3861046057767369,0.11557885478185947,0.34474524376610655,0.4274639677873672,0.47638888888888886,0.13826871536131818,0.42691006454712754,0.5258677132306502,0.4576131687242799,0.13827059133201028,0.4081336730750279,0.5070926643735318,0.25227272727272726,0.07513880003332114,0.22538465300094224,0.2791608015445123,0.2912621359223301,0.0850697440377155,0.26082031897884045,0.3217039528658197,0.33788968824940047,0.09872560408159428,0.3025611845483091,0.37321819195049183,0.41062355658198607,0.12018178378838387,0.36761705758034313,0.453630055583629,0.4153903903903904,0.12095198872869536,0.37210827709053657,0.4586725036902442,0.3382014874915483,0.0983358952773838,0.3030124392950343,0.37339053568806235,0.30042127435492366,0.08695276890811793,0.2693056256154971,0.33153692309435023,0.2544367816091954,0.07565790998580287,0.2273629462266213,0.28151061699176955,0.3084775854416334,0.09025670247654678,0.2761796392588412,0.3407755316244256,0.19285349668198062,0.057792656795472436,0.17217266004909143,0.21353433331486982,0.17656410256410254,0.05276703189011374,0.1576816627070135,0.19544654242119158,0.22296231375985975,0.06453106583628959,0.19987016841984706,0.24605445909987245
0.036000000000000004,0.10800000000000001,0.4296533333333333,0.02700713485976129,0.02700713485976129,0.4199889542421667,0.43931771242449985,0.42965333333333333,0.2476718403547672,0.030134008458704155,0.23688852391658982,0.25845515679294456,0.5526151444184232,0.045267542271064276,0.536416362455632,0.5688139263812144,0.6654513888888888,0.04243264444193748,0.6502670620857312,0.6806357156920464,0.6316872427983539,0.04789185625885977,0.6145493621357558,0.6488251234609519,0.3886363636363636,0.03957237940459528,0.37447556953171784,0.4027971577410094,0.45436893203883494,0.044638719163989746,0.43839517153498814,0.47034269254268174,0.5128697042366106,0.039251887908791215,0.49882359654083525,0.526915811932386,0.6026173979984605,0.043705337282299056,0.5869776439113745,0.6182571520855464,0.5960960960960962,0.0404599200676338,0.5816176996441088,0.6105744925480835,0.5100067613252197,0.03724093789899805,0.4966802628485986,0.5233332598018409,0.44807793575566085,0.03420977719365969,0.43583612420694795,0.46031974730437375,0.3885977011494253,0.03513566583400729,0.3760245646059291,0.40117083769292156,0.46888592987128275,0.03338474362536995,0.4569393527933234,0.4808325069492421,0.2998979070954569,0.03145650813933454,0.2886413402244614,0.31115447396645235,0.2777435897435898,0.027038353689227527,0.2680680391377731,0.2874191403494065,0.34817411627227574,0.023341341709692393,0.3398215244127437,0.35652670813180776
