Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0013468013468013467,0.0019372254605470067,0.0006535741187742593,0.002040028574828434,0.0011390887290167865,0.0014545267587077822,0.0006185930130738908,0.0016595844449596824,0.001220295439948619,0.001858006703916766,0.0005554162799110094,0.0018851745999862285,0.0007073386383731211,0.001381513155867872,0.00021297050465325152,0.0012017067720929908,0.0007036059806508355,0.0013742228489767487,0.0002118466497474297,0.0011953653115542415,0.0009540846750149076,0.0009665969581949541,0.0006081923957756614,0.0012999769542541538,0.0011558307533539732,0.0008248813697687165,0.000860650746141757,0.0014510107605661894,0.0008891645988420182,0.0006850669689543273,0.0006440165324073403,0.001134312665276696,0.0010829371368198627,0.0008700991870354708,0.0007715761415091232,0.0013942981321306022,0.0009478672985781991,0.0011390058415886794,0.0005402792927669258,0.0013554553043894724,0.0005434782608695652,0.0011798165365633283,0.00012128633541790766,0.0009656701863212228,0.0010384215991692627,0.001493655144814281,0.0005039239700829569,0.0015729192282555684,0.0008818342151675485,0.0020055503798383687,0.0001641572287772032,0.0015995112015578937,0.0015151515151515152,0.003928930723201824,0.00010920171228933511,0.002921101318013695,0.0008771929824561403,0.004804583837764616,-0.0008421052631578951,0.002596491228070176,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.004,0.012,0.0013166666666666667,0.0002450662589267805,0.0002450662589267805,0.001228970832176235,0.0014043625011570984,0.001316666666666667,0.00101010101010101,0.0014769359141145377,0.0004815862808829807,0.0015386157393190395,0.0009592326139088729,0.0012256212004695323,0.0005206496999857731,0.0013978155278319727,0.001220295439948619,0.0013841915265590328,0.0007249688635860751,0.0017156220163111627,0.001945181255526083,0.0031100302504141267,0.0008322712233782481,0.003058091287673918,0.001407211961301671,0.002270095341171907,0.0005948687762841413,0.002219555146319201,0.0017292784734645197,0.0017723826953524504,0.0010950394713839752,0.002363517475545064,0.0012383900928792566,0.0010538240785099235,0.0008612839895104961,0.001615496196248017,0.0015095119933829614,0.0009169937901530878,0.0011813699798630783,0.0018376540069028446,0.001056524035921817,0.0008663585952306403,0.0007465015941975617,0.0013665464776460724,0.001066350710900474,0.0009514355129114198,0.0007258838851775271,0.0014068175366234211,0.0014492753623188408,0.001458615579479887,0.0009273164806538998,0.0019712342439837816,0.001246105919003115,0.002255369809347635,0.0004390321978738423,0.0020531796401323877,0.0019400352733686065,0.0029420815701986,0.0008872249045835184,0.002992845642153695,0.0003787878787878788,0.0020747066572165385,-0.0003636363636363638,0.0011212121212121214,0.0008771929824561403,0.004804583837764616,-0.0008421052631578951,0.002596491228070176,0.0,0.0,0.0,0.0
0.008,0.024,0.0024599999999999995,0.0019379334887700745,0.0019379334887700745,0.0017665194073272173,0.0031534805926727817,0.0024599999999999995,0.0020875420875420877,0.0019480918774400034,0.0013904263621693212,0.002784657812914854,0.0011990407673860913,0.001363485689890114,0.000711123679516396,0.0016869578552557865,0.0016698779704560048,0.0023040038794965552,0.0008454007708346153,0.002494355170077394,0.001768346595932803,0.002727676971413158,0.0007922599274703006,0.0027444332643953052,0.0031662269129287598,0.004237528089167484,0.0016498469608962143,0.0046826068649613055,0.0033691115086463925,0.003651720641756823,0.0020623600594373895,0.004675862957855395,0.0031578947368421048,0.0032003336088938686,0.002012670062875154,0.004303119410809055,0.002605459057071961,0.0024185593907714554,0.001739988694210862,0.00347092941993306,0.0019809825673534074,0.0018348765181801035,0.001324380437980804,0.0026375846967260108,0.0020537124802527647,0.0017305610031758804,0.001434439178515008,0.0026729857819905215,0.0027777777777777766,0.0036460216724436634,0.0014730656785463738,0.00408248987700918,0.0025960539979231565,0.002723617800769835,0.0016214198850203797,0.0035706881108259333,0.0014109347442680775,0.0027557167183184543,0.0004248141812395543,0.002397055307296601,0.0011363636363636363,0.0034673701889700527,-0.00010441885054666457,0.002377146123273937,0.003508771929824561,0.009098576411625273,0.0002528881758279344,0.006764655683821188,0.0,0.0,0.0,0.0
0.012,0.036000000000000004,0.0052,0.003521950870048372,0.003521950870048372,0.003939686067205713,0.006460313932794287,0.0052,0.003434343434343434,0.0036429368972782676,0.0021307352077280716,0.004737951660958796,0.002517985611510792,0.0018655354513044627,0.001850412323820836,0.003185558899200748,0.002954399486191394,0.002982097736908158,0.0018872695160541205,0.004021529456328667,0.004332449160035367,0.00474923085429462,0.00263295872516686,0.0060319395949038745,0.009762532981530344,0.008602972872317418,0.006683998676398481,0.012841067286662207,0.00849731663685152,0.007303504239601205,0.005883791209886913,0.011110842063816129,0.006625386996904025,0.005269496744851269,0.004739721804118703,0.008511052189689347,0.005272952853598014,0.0037496129817006525,0.003931171080430135,0.006614734626765894,0.004965662968832541,0.003506427263964049,0.00371090408713271,0.006220421850532372,0.0037914691943127963,0.002908903194426925,0.0027505315548176403,0.004832406833807952,0.004166666666666667,0.003500871350216141,0.0029138959431678603,0.005419437390165473,0.0029075804776739354,0.003265609775523128,0.0017389970274725147,0.004076163927875356,0.001763668430335097,0.002892445892013407,0.0007286199608747524,0.0027987168997954414,0.0015151515151515152,0.003928930723201824,0.00010920171228933511,0.002921101318013695,0.002631578947368421,0.008029699384983281,-0.00024181207495017117,0.005504969969687013,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.016,0.048,0.05987000000000001,0.06300887813743339,0.06300887813743339,0.03732256253240865,0.08241743746759136,0.05987,0.035218855218855226,0.03954390387261942,0.021068250952460184,0.04936945948525027,0.031654676258992806,0.031662004970168675,0.020324573291498123,0.04298477922648749,0.026204238921001932,0.028016016513973282,0.016178836166456864,0.036229641675547,0.049071618037135285,0.053409331796947464,0.02995933411024413,0.06818390196402643,0.11838170624450307,0.12980874455991354,0.07193024357400117,0.164833168915005,0.10098389982110914,0.11044331781214438,0.061462266113379065,0.1405055335288392,0.07642930856553148,0.08021329783820234,0.04772534857546047,0.1051332685556025,0.06435070306038047,0.06785832269562428,0.04006791414453979,0.08863349197622115,0.05327522451135765,0.05389384845700028,0.03398955852439048,0.07256089049832481,0.043443917851500785,0.045714390321541405,0.027085233367454126,0.05980260233554745,0.04625603864734299,0.04737869939109824,0.029301788811525946,0.06321028848316004,0.03759086188992731,0.04060929434426544,0.023059012539536163,0.052122711240318455,0.017460317460317457,0.021755553825938072,0.009675192507081178,0.025245442413553736,0.0125,0.01848059760636239,0.005886803079015303,0.019113196920984697,0.008771929824561403,0.01595995881218744,0.0030607319118129703,0.014483127737309837,0.011428571428571429,0.01927613336180587,0.004530695693595303,0.018326447163547553
0.02,0.060000000000000005,0.3356733333333333,0.09340077875084536,0.09340077875084536,0.3022502939052137,0.36909637276145296,0.3356733333333333,0.2142087542087542,0.06179373452782042,0.19209615029735044,0.23632135812015798,0.19028776978417264,0.05691353251382735,0.16992152373522304,0.21065401583312224,0.17752087347463072,0.05268633652773381,0.15866731008211254,0.1963744368671489,0.2794871794871795,0.08360621562272019,0.24956907946096576,0.3094052795133932,0.5922603342128409,0.164737400363856,0.5333098125867323,0.6512108558389494,0.5093023255813953,0.14318778488094414,0.458063234818915,0.5605414163438757,0.42152734778121775,0.11765724906655968,0.3794242419276156,0.4636304536348199,0.37125723738626965,0.10490264043626718,0.3337183096138555,0.4087961651586838,0.31650818806127845,0.08970304304584334,0.28440836636127576,0.34860800976128115,0.2642969984202212,0.07457021472223063,0.23761238978892643,0.290981607051516,0.271195652173913,0.07699499511685572,0.24364334702211837,0.29874795732570764,0.22305295950155762,0.06300817413750422,0.2005057739571055,0.24560014504600974,0.11640211640211638,0.039276030116271926,0.10234736952834592,0.13045686327588685,0.05568181818181817,0.025904484548996843,0.04641201743683883,0.06495161892679752,0.05175438596491229,0.04762149241616987,0.03471325376089263,0.06879551816893195,0.04666666666666667,0.031373290686821834,0.03543987877860515,0.05789345455472819
0.024,0.07200000000000001,0.4805466666666668,0.13116631909285179,0.13116631909285179,0.43360940218864413,0.5274839311446894,0.4805466666666668,0.3260606060606061,0.09049186349667734,0.29367850858750455,0.35844270353370766,0.29592326139088726,0.0810760281427231,0.26691057732624773,0.3249359454555268,0.28028259473346184,0.08026365245051229,0.2515606155767936,0.3090045738901301,0.42873563218390803,0.11947103967265855,0.38598346969766567,0.4714877946701504,0.7545294635004397,0.20627485778770355,0.6807149536315293,0.8283439733693501,0.6797853309481217,0.18524404265487696,0.6134966016218452,0.7460740602743982,0.5862332301341591,0.16029336146590697,0.5288729874039307,0.6435934728643874,0.5314516129032258,0.14583093402885744,0.4792666833654526,0.583636542440999,0.47258320126782877,0.12973227919974714,0.4261591013750457,0.5190073011606118,0.4018957345971564,0.11203026371640204,0.36180621959081544,0.44198524960349733,0.4127415458937198,0.1144973036047899,0.3717692120012506,0.453713879786189,0.3423676012461059,0.09564298558624404,0.3081421984065907,0.3765930040856211,0.1835978835978836,0.0563924249205976,0.1634181135062841,0.20377765368948308,0.09621212121212121,0.040119217703540856,0.08185564353533711,0.1105685988889053,0.10000000000000002,0.05715581911583612,0.07954705280401345,0.12045294719598659,0.07714285714285715,0.045113041223004004,0.06099936267006399,0.09328635161565031
0.028,0.084,0.6182566666666667,0.01018056577701995,0.01018056577701995,0.6146135979908306,0.6218997353425028,0.6182566666666667,0.4448484848484849,0.02113751787818689,0.43728452121880446,0.4524124484781653,0.4128297362110312,0.02483520971486054,0.4039425705513135,0.4217169018707489,0.39646756583172765,0.023444049693747457,0.3880782203921231,0.4048569112713322,0.5633952254641911,0.023151395177302827,0.5551106050983253,0.5716798458300568,0.8892700087950748,0.017370954050700372,0.8830538927208246,0.895486124869325,0.8217054263565892,0.017005722405284647,0.8156200067481328,0.8277908459650455,0.7360577915376677,0.013673567646031249,0.7311647681960157,0.7409508148793197,0.6858354011579819,0.021128072035734018,0.6782748176796124,0.6933959846363514,0.6201003697834125,0.022458276344541783,0.6120637788064403,0.6281369607603848,0.541390205371248,0.018089544001602804,0.5349169451855368,0.5478634655569593,0.5471618357487923,0.021421780628600003,0.5394961500002808,0.5548275214973037,0.4730010384215991,0.026218860172279528,0.463618739804624,0.48238333703857417,0.26331569664902993,0.027534388075209682,0.2534626424178461,0.27316875088021375,0.13295454545454546,0.03582949195269055,0.12013312642313902,0.1457759644859519,0.13421052631578947,0.06532503945229634,0.11083426116620355,0.15758679146537538,0.13523809523809524,0.05140302229814899,0.11684375994482557,0.1536324305313649
0.032,0.096,0.69709,0.007009616547139439,0.007009616547139439,0.6945816409331446,0.6995983590668554,0.69709,0.5244444444444444,0.024141202822286306,0.515805625961743,0.5330832629271458,0.49568345323741,0.020379071472030656,0.4883908961685324,0.5029760103062876,0.47694283879254973,0.024328621884446386,0.468236953259788,0.4856487243253115,0.645446507515473,0.030028694884192755,0.6347008770559383,0.6561921379750076,0.9356200527704487,0.013571132420925109,0.9307636854033329,0.9404764201375645,0.8848837209302327,0.01058111102913305,0.8810973189767392,0.8886701228837263,0.8171310629514963,0.01415379852212501,0.8120661911978615,0.8221959347051311,0.772125723738627,0.012121659393418532,0.7677880436329694,0.7764634038442846,0.7112255678816696,0.011938937212895207,0.7069532740685645,0.7154978616947747,0.6269747235387046,0.017942163887499495,0.6205542026495011,0.6333952444279082,0.6342391304347824,0.01898436989928693,0.6274456609139929,0.6410325999555719,0.5473520249221182,0.025795082719391307,0.5381213731190783,0.5565826767251582,0.3091710758377425,0.026020267542488516,0.2998598426806534,0.3184823089948316,0.16666666666666666,0.02959263975921522,0.15607707652959898,0.17725625680373433,0.15526315789473685,0.05324057827171185,0.1362112616413,0.1743150541481737,0.14476190476190479,0.06407830068239863,0.12183177935141049,0.1676920301723991
0.036000000000000004,0.10800000000000001,0.7524933333333332,0.008063623440396116,0.008063623440396116,0.7496078027436921,0.7553788639229744,0.7524933333333332,0.5873400673400673,0.025243095882619904,0.5783069414897651,0.5963731931903694,0.5640287769784172,0.022212349483487978,0.5560801897984514,0.5719773641583831,0.5526653821451508,0.023429848018999326,0.5442811187095874,0.5610496455807142,0.7141467727674623,0.03111083217856936,0.7030139044503817,0.7252796410845429,0.9563764291996482,0.010706149902857457,0.9525452826598413,0.960207575739455,0.9216457960644006,0.007753677665186996,0.9188711781459806,0.9244204139828205,0.867450980392157,0.009331145069847982,0.8641118730126458,0.8707900877716681,0.829383788254756,0.009506930980743747,0.8259817766949012,0.8327857998146108,0.7691759112519809,0.015289001318217633,0.7637048123948877,0.7746470101090741,0.6891390205371247,0.01947001302711344,0.6821717658549433,0.6961062752193061,0.698550724637681,0.023217279624588135,0.6902425278251435,0.7068589214502184,0.6151609553478713,0.029776606286943827,0.6045055336343226,0.62581637706142,0.36067019400352723,0.029181964088722735,0.3502275622677771,0.37111282573927734,0.18295454545454545,0.037434040024048786,0.1695589462699266,0.1963501446391643,0.20877192982456144,0.0666220757040869,0.18493152621314388,0.232612333435979,0.17619047619047615,0.04569170213924942,0.15983991056819316,0.19254104181275913
