Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0008878127522195319,0.000589106665401487,0.0006770036394003973,0.0010986218650386663,0.0007067943456452348,0.0006836013147154788,0.0004621707568441289,0.0009514179344463408,0.0010785051417105595,0.0008766784710818256,0.0007647897798406641,0.001392220503580455,0.0009337860780984721,0.0006816736612030884,0.0006898522912477358,0.0011777198649492084,0.0009186351706036745,0.0010317526948257125,0.000549427210451454,0.0012878431307558951,0.001056338028169014,0.0008356416417862099,0.0007573075070670008,0.0013553685492710271,0.0015376984126984127,0.0013807403273197153,0.0010436068321227638,0.0020317899932740615,0.001079622132253711,0.0014783334885429583,0.0005506072874493925,0.0016086369770580294,0.0010156971375807943,0.0019900149647760056,0.00030357942807342534,0.0017278148470881633,0.0016260162601626016,0.0019907542290012745,0.0009136340083497036,0.0023383985119754995,0.0005747126436781609,0.0014902840674213807,4.142133914423075e-05,0.001108003948212091,0.001356589147286822,0.0033041905648600904,0.00017419973892934468,0.002538978555644299,0.0008264462809917355,0.002521723773796402,-7.594098221575614e-05,0.0017288335441992273,0.0015873015873015873,0.005168720064944103,-0.00026230113372472156,0.0034369043083278964,0.0018867924528301887,0.005757142955271031,-0.00017337469524729204,0.003946959600907669,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.004,0.012,0.0013166666666666667,0.0002260352937551756,0.0002260352937551756,0.0012357809756010827,0.0013975523577322508,0.001316666666666667,0.0011904761904761904,0.0009469306227831651,0.0008516214189822305,0.0015293309619701502,0.0015275877792977656,0.0009949927019885052,0.001171534213642114,0.001883641344953417,0.0014045648357160771,0.0012611478200664928,0.0009532688842421393,0.001855860787190015,0.0012167515563101304,0.0010617545868344409,0.0008368075569841805,0.0015966955556360803,0.001443569553805774,0.0012324061330301036,0.0010025586829478178,0.0018845804246637302,0.0015649452269170586,0.0012457010105756628,0.0011191768452295343,0.002010713608604583,0.001091269841269841,0.0012316696232063501,0.0006505225270674903,0.0015320171554721919,0.0014170040485829956,0.0017751149582367629,0.0007817873187861333,0.002052220778379858,0.0014773776546629736,0.0014055852171881574,0.0009743954444291356,0.0019803598648968114,0.0011614401858304297,0.0019047814410819998,0.0004798229010638613,0.0018430574705969982,0.0008620689655172415,0.0017536125093641647,0.00023454678822927317,0.0014895911428052097,0.0009689922480620155,0.002203773382496813,0.000180382071156345,0.001757602424967686,0.0008264462809917355,0.002521723773796402,-7.594098221575614e-05,0.0017288335441992273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002857142857142857,0.011502225712469965,-0.00125887575255782,0.006973161466843535
0.008,0.024,0.00192,0.0006650900898270901,0.0006650900898270901,0.001682000567951996,0.002157999432048004,0.00192,0.0018966908797417273,0.001410539573931896,0.0013919357757161935,0.002401445983767261,0.002576379388964888,0.0014777790173379412,0.0020475629591330665,0.003105195818796709,0.002232254828191623,0.0013030240521299007,0.0017659736595270446,0.002698535996856201,0.002320316921335597,0.0021606308634295967,0.0015471450966053244,0.00309348874606587,0.0016732283464566927,0.0016378158351014332,0.001087143476879538,0.0022593132160338473,0.0016040688575899846,0.0014615267001874877,0.0010810682447586505,0.0021270694704213187,0.001388888888888889,0.0017004359039385886,0.0007803957154653719,0.001997382062312406,0.0015519568151147096,0.0017375705195598683,0.0009301751901530208,0.0021737384400763986,0.0007386888273314866,0.001245918130495301,0.0002928427502785514,0.0011845349043844216,0.0025551684088269454,0.003765349823212399,0.0012077552792468856,0.003902581538407005,0.0010057471264367818,0.0018542373584141223,0.00034221680936427363,0.0016692774435092899,0.0017441860465116277,0.0027098348819732496,0.0007744840877571769,0.0027138880052660786,0.001652892561983471,0.0033622983650618693,0.00044970954437348223,0.0028560755795934596,0.0007936507936507937,0.0030203349012197897,-0.0002871621700064411,0.0018744637573080284,0.0,0.0,0.0,0.0,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.012,0.036000000000000004,0.00297,0.0021192305044601643,0.0021192305044601643,0.002211643103460689,0.003728356896539311,0.0029699999999999996,0.0027037933817594833,0.0023456781184404227,0.0018644032472569685,0.003543183516261998,0.0037391700866393073,0.003830425513819699,0.002368469920247895,0.0051098702530307195,0.0035114120892901935,0.0033143747667021255,0.002325378311107725,0.004697445867472662,0.002914544425580079,0.0025387082298895104,0.002006079352816208,0.0038230094983439495,0.0027559055118110227,0.0023176631479278577,0.001926540405756256,0.0035852706178657896,0.002699530516431925,0.0025445403038355397,0.001788978462809299,0.003610082570054551,0.0029761904761904756,0.002621518837119212,0.0020380920082074053,0.003914288944173546,0.0022267206477732796,0.003023612920228763,0.0011447346600786832,0.003308706635467876,0.003047091412742383,0.0043251732271728785,0.0014993480508709149,0.004594834774613851,0.002671312427409989,0.0038478325921755246,0.0012943832180277563,0.0040482416367922215,0.002873563218390805,0.004133304323149864,0.0013944792620399073,0.004352647174741703,0.0019379844961240308,0.0038424101875073643,0.0005629956693322111,0.0033129733229158506,0.0027548209366391185,0.003962506623846151,0.0013368561520382574,0.004172785721239979,0.0015873015873015873,0.00411602266240191,0.00011440179382692268,0.003060201380776252,0.0025157232704402514,0.006523507615882273,0.000181316050593613,0.00485013049028689,0.0,0.0,0.0,0.0
0.016,0.048,0.012683333333333335,0.018201744579768347,0.018201744579768347,0.006169922686372812,0.019196743980293855,0.012683333333333336,0.013034705407586765,0.01897220781316643,0.0062455880334213836,0.019823822781752147,0.017806657546739626,0.024728722894047823,0.008957597706461535,0.02665571738701772,0.015174316528718333,0.019216293615301642,0.008297854172019437,0.02205077888541723,0.013299377475947937,0.02002950663664664,0.006131910576895283,0.02046684437500059,0.01017060367454068,0.01752569655070621,0.0038991137078233287,0.01644209364125803,0.008881064162754302,0.01365530866506954,0.003994574713525464,0.01376755361198314,0.009027777777777777,0.012901692694434714,0.004410966340199997,0.013644589215355557,0.011403508771929827,0.019405281303366738,0.004459418039599515,0.01834759950426014,0.013388734995383194,0.020653742960174682,0.0059978879967984115,0.020779581993967976,0.011382113821138216,0.01975131397861214,0.004314196886255604,0.01845003075602083,0.012068965517241377,0.019975024382502093,0.004920994842446807,0.019216936192035947,0.00988372093023256,0.014496742257392973,0.004696128337020397,0.015071313523444723,0.0049586776859504135,0.01119364287340437,0.0009530840270356757,0.008964271344865151,0.0035714285714285713,0.009960238411119947,7.203030907362504e-06,0.00713565411194978,0.005031446540880503,0.011005514735578766,0.0010931736714942675,0.008969719410266738,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.02,0.060000000000000005,0.20638333333333334,0.1094997152675666,0.1094997152675666,0.16719936345960648,0.2455673032070602,0.2063833333333333,0.2131961259079903,0.11215401320032516,0.1730623277175508,0.2533299240984298,0.2775421796625627,0.14831592593695217,0.22446800719091237,0.3306163521342131,0.23739653875094055,0.12700431720967595,0.19194862751923691,0.2828444499826442,0.20829088851160157,0.10971665427477087,0.169029288011147,0.24755248901205615,0.1670603674540682,0.08952866728817489,0.13502294531755746,0.19909778959057892,0.17057902973395936,0.09283402475109162,0.13735880061998437,0.20379925884793434,0.18035714285714288,0.09940930935588224,0.1447839783657952,0.21593030734849056,0.19973009446693657,0.10980999950109921,0.16043509080623297,0.23902509812764017,0.19916897506925207,0.10794466489412816,0.16054147282501674,0.2377964773134874,0.17909407665505225,0.09709040148218313,0.1443507226891561,0.2138374306209484,0.164367816091954,0.08836285441875123,0.13274757473296656,0.19598805745094144,0.15852713178294575,0.08827778138318682,0.12693733341875948,0.19011693014713202,0.11019283746556474,0.06718756870811055,0.08615007478152929,0.13423560014960018,0.058730158730158744,0.0392892387001126,0.04467068522536442,0.07278963223495306,0.042767295597484274,0.03738724251705736,0.029388442685672027,0.05614614850929652,0.02380952380952381,0.026082026547865053,0.01447619047619048,0.03314285714285714
0.024,0.07200000000000001,0.4721133333333333,0.02059351644426541,0.02059351644426541,0.4647440381166798,0.47948262854998674,0.4721133333333333,0.48085149313962877,0.032576711961471216,0.4691940664790733,0.49250891980018424,0.5939124487004104,0.028926524876864868,0.5835612247126855,0.6042636726881353,0.5198143967895661,0.02863869487388314,0.5095661714456097,0.5300626221335225,0.4984153933220147,0.02491022991670758,0.4895013820278411,0.5073294046161883,0.403280839895013,0.03251057235768167,0.39164708098771167,0.41491459880231435,0.40301251956181533,0.024522262351975157,0.3942373406776742,0.4117876984459565,0.42460317460317465,0.03280178657946078,0.41286520602496124,0.43634114318138806,0.4730094466936572,0.020556920542074374,0.4656532471524167,0.4803656462348977,0.47146814404432136,0.035327876220756775,0.4588262258972802,0.4841100621913625,0.43252032520325207,0.040164735157738225,0.4181475593146709,0.44689309109183323,0.4002873563218391,0.028383193428901964,0.390130560995745,0.4104441516479332,0.38081395348837205,0.03474142321509996,0.368381894854206,0.39324601212253807,0.2801652892561984,0.041370732533911006,0.26536096274903226,0.2949696157633645,0.15238095238095234,0.036108930685959766,0.13945953748307977,0.1653023672788249,0.1106918238993711,0.040477300270117436,0.0962072080218003,0.1251764397769419,0.08952380952380952,0.05018380478059258,0.0715657656159623,0.10748185343165674
0.028,0.084,0.6090700000000001,0.013374658229600506,0.013374658229600506,0.6042839400193009,0.6138560599806994,0.6090700000000001,0.6180589184826474,0.01783721951936458,0.6116759514532815,0.6244418855120133,0.7271773825809392,0.01718665960136573,0.7210272154284098,0.7333275497334687,0.6590418861299222,0.0203076007704309,0.6517749045231497,0.6663088677366947,0.6389360498019241,0.024443595653252093,0.6301890214343875,0.6476830781694607,0.547014435695538,0.02423998765064512,0.5383402675160001,0.5556886038750759,0.5483176838810643,0.021494743151740475,0.5406258888289655,0.5560094789331631,0.5613095238095237,0.024340472612626493,0.5525993975481458,0.5700196500709016,0.6095141700404859,0.03043339913478163,0.5986237180248029,0.620404622056169,0.6231763619575253,0.024919955352067792,0.6142588704610039,0.6320938534540468,0.5667828106852497,0.03231657794369603,0.5552184717874407,0.5783471495830588,0.5413793103448278,0.0326033619729593,0.5297123471001385,0.5530462735895171,0.5052325581395348,0.04292371284164292,0.4898725047663767,0.520592611512693,0.37988980716253445,0.040223833933105094,0.3654958930487922,0.3942837212762767,0.2166666666666667,0.04524025576035156,0.2004776490563316,0.2328556842770018,0.14842767295597487,0.031233282520553487,0.13725098634676808,0.15960435956518165,0.13142857142857142,0.04839434540455961,0.1141108773345059,0.14874626552263695
0.032,0.096,0.7061966666666667,0.011917315230321404,0.011917315230321404,0.701932110180656,0.7104612231526773,0.7061966666666667,0.7165859564164649,0.01610387626699977,0.7108232583039225,0.7223486545290074,0.8203374373005017,0.016347260332976336,0.814487645318485,0.8261872292825183,0.7589415600702283,0.01797143338582493,0.7525105652255647,0.7653725549148919,0.7378324844368988,0.02166115569375313,0.7300811394214334,0.7455838294523641,0.646489501312336,0.01666743942328615,0.6405251347143193,0.6524538679103526,0.6456181533646322,0.023260590001288457,0.6372944581328368,0.6539418485964277,0.6590277777777777,0.020078291453261714,0.6518428534563028,0.6662127020992525,0.7114709851551956,0.01806466454537499,0.7050066279685553,0.7179353423418359,0.7131117266851338,0.026496739352206315,0.7036299902806888,0.7225934630895787,0.6662020905923345,0.027639280949636958,0.6563115009280996,0.6760926802565693,0.6505747126436782,0.04046523931164319,0.636094412724668,0.6650550125626883,0.6110465116279069,0.03126625572614433,0.5998580257086165,0.6222349975471974,0.46694214876033063,0.04006346989600272,0.45260562018027034,0.4812786773403909,0.2527777777777778,0.0467577415189337,0.23604573486273947,0.2695098206928162,0.19937106918238995,0.05259808978191446,0.18054908448230209,0.2181930538824778,0.19523809523809527,0.052028971160486784,0.17661976702115081,0.21385642345503972
0.036000000000000004,0.10800000000000001,0.7640033333333333,0.011308967553514189,0.011308967553514189,0.7599564712676462,0.7680501953990203,0.7640033333333333,0.7720944309927361,0.02034322561181912,0.7648147012001961,0.7793741607852761,0.8607387140902872,0.013372893777775651,0.8559532855105646,0.8655241426700099,0.8107850514171057,0.013629849682571235,0.8059076723477604,0.8156624304864509,0.8022637238256932,0.0156829049451266,0.7966516683659985,0.8078757792853879,0.7106955380577428,0.02038193074664775,0.703401957810584,0.7179891183049015,0.7080594679186228,0.023213571467543753,0.6997525980530419,0.7163663377842038,0.7278769841269842,0.018022010768216037,0.7214278903984737,0.7343260778554948,0.7755060728744939,0.022512388690399752,0.7674501180432439,0.7835620277057439,0.7799630655586334,0.023092493750458618,0.7716995227976668,0.7882266083195999,0.7390243902439023,0.02844469803011942,0.7288455857789231,0.7492031947088815,0.7225574712643678,0.03146100364523679,0.7112992956972455,0.73381564683149,0.6732558139534884,0.03953252504874959,0.6591092815469208,0.687402346360056,0.5272727272727274,0.03872729449921891,0.5134143429176604,0.5411311116277945,0.3126984126984127,0.05155466105603147,0.2942498141725306,0.3311470112242948,0.2320754716981132,0.058449625733259486,0.21115954175011065,0.2529914016461158,0.1857142857142857,0.0702864351759258,0.1605626079063993,0.21086596352217207
