Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0010084925690021231,0.0005806104391196298,0.0008007237917113064,0.00121626134629294,0.0009866102889358702,0.0006115682387208523,0.0007677634053324749,0.0012054571725392655,0.0009048667155783813,0.0005253054991284418,0.0007168885568949982,0.0010928448742617645,0.0010909090909090905,0.0004845288548070755,0.0009175226669963031,0.001264295514821878
0.004,0.000937721160651097,0.00080898902893979,0.0006482281545670755,0.0012272141667351185,0.001014799154334038,0.0005938378434315487,0.0008022970112002202,0.0012273012974678558,0.0012839325018341894,0.0005596635668183505,0.0010836594665295186,0.0014842055371388602,0.0009696969696969693,0.00047497216679943016,0.0007997303626674419,0.0011396635767264968
0.008,0.0013446567586694975,0.0009004853206167685,0.0010224222251041678,0.0016668912922348273,0.001127554615926709,0.0006964103710956416,0.000878347365167353,0.001376761866686065,0.0011738811445341161,0.0005042726669792009,0.0009934294881734208,0.0013543328008948114,0.0010578512396694213,0.0004864693065239974,0.0008837704340275902,0.0012319320453112524
0.012,0.0012384996461429585,0.0009889240680542204,0.0008846177132506857,0.0015923815790352311,0.0011557434813248767,0.0006928602526229903,0.0009078066241454549,0.0014036803385042986,0.0011861090731230131,0.0005913775086601498,0.0009744873494800242,0.0013977307967660022,0.0012011019283746554,0.0005171336822604259,0.0010160480168017556,0.0013861558399475551
0.016,0.0014331210191082804,0.0009366211873461846,0.001097955431705719,0.0017682866065108418,0.0015081042988019735,0.0007505225515818143,0.0012395332529424132,0.0017766753446615338,0.0013083883590119835,0.0007566134629675941,0.001037637708505409,0.001579139009518558,0.0009917355371900824,0.0005558819191900419,0.0007928157471096445,0.0011906553272705202
0.02,0.0020169851380042463,0.0014512750917567104,0.0014976530161359,0.002536317259872593,0.0013530655391120507,0.0008485770409910882,0.0010494061448526049,0.0016567249333714965,0.0014184397163120568,0.000679381836360714,0.0011753260484484798,0.0016615533841756339,0.0011570247933884298,0.0004891730074921705,0.0009819764807807076,0.001332073105996152
0.024,0.0016277423920736023,0.0009026404541035183,0.0013047366538945226,0.0019507481302526819,0.0014094432699083865,0.0007476419828642576,0.0011419030223259919,0.001676983517490781,0.0012839325018341897,0.0006656973610714034,0.0010457157605622833,0.001522149243106096,0.001322314049586777,0.0005421543209162322,0.0011283066174598297,0.0015163214817137242
0.028,0.0021939136588818116,0.0014333130742378516,0.001681009162433408,0.002706818155330215,0.0017336152219873152,0.0008482137024854611,0.0014300858467422902,0.0020371445972323403,0.0015774027879677183,0.0009640856623778768,0.0012324091643952921,0.0019223964115401445,0.0012341597796143246,0.0005131101833132964,0.0010505456586486065,0.0014177739005800426
0.032,0.0027954706298655347,0.0019954525378445415,0.0020814071098253888,0.0035095341499056807,0.002085976039464412,0.001318231592847968,0.0016142529222441307,0.002557699156684693,0.0021643433602347765,0.0010699407397191808,0.0017814699837206433,0.00254721673674891,0.0012672176308539944,0.0007572432061971762,0.0009962416296268647,0.0015381936320811242
0.036000000000000004,0.0036093418259023355,0.0031675845588260607,0.0024758362489952675,0.004742847402809404,0.0023819591261451728,0.0017075959770421942,0.0017709037534675315,0.0029930144988228142,0.002470041574957202,0.00158570124616575,0.0019026056715243669,0.0030374774783900375,0.0016969696969696972,0.0006596353725463865,0.0014609222104320038,0.0019330171835073907
0.04,0.0032731776362349614,0.0032123025069497563,0.0021236699471049334,0.004422685325364989,0.002861169837914024,0.001954086436569417,0.0021619089871063716,0.0035604306887216763,0.002457813646368305,0.0014772793901283341,0.0019291760058372728,0.002986451286899337,0.00149862258953168,0.0007144829086029478,0.001242948164282439,0.001754297014780921
0.044,0.0036093418259023355,0.005560639972488895,0.0016194923671322475,0.0055991912846724235,0.002635658914728682,0.0025820006371208137,0.0017117018529987456,0.0035596159764586183,0.0030202983614575686,0.002609422928732757,0.0020865283587006593,0.003954068364214478,0.001950413223140496,0.0010750595217150368,0.001565708114013856,0.002335118332267136
0.048,0.005767869780608634,0.008187057922528,0.002838168728812255,0.008697570832405013,0.004439746300211417,0.005885978802967342,0.0023334758361348708,0.006546016764287963,0.004084128148691611,0.005076416350921483,0.0022675558875222762,0.0059007004098609464,0.0019614325068870522,0.0009703530687134802,0.0016141961207609464,0.002308668893013158
0.052000000000000005,0.009217975937721161,0.012611224726801396,0.004705107127438941,0.01373084474800338,0.005553206483439041,0.007864155153077718,0.0027390547037057507,0.008367358263172331,0.006089508437270725,0.007611546438813253,0.0033657515250071174,0.008813265349534333,0.00243526170798898,0.002169456996909334,0.001658931491955804,0.0032115919240221563
0.056,0.010792639773531492,0.013559204847591997,0.005940540633716596,0.01564473891334639,0.008442565186751233,0.010662565140061912,0.004627015254005542,0.012258115119496924,0.007238933724627048,0.009441420156852733,0.003860364912029474,0.010617502537224622,0.0031074380165289255,0.003138065084980302,0.0019844958476730483,0.004230380185384803
0.06,0.023496107572540694,0.03200929179595341,0.01204172961048699,0.0349504855345944,0.013967582804792105,0.01854706315626669,0.0073306014922340885,0.02060456411735012,0.014062117877231597,0.0176659241661051,0.00774044810279668,0.020383787651666513,0.0047933884297520655,0.00439398927285928,0.0032210195621939753,0.006365757297310155
0.064,0.035226468506723285,0.055442715575097036,0.015386547539771832,0.05506638947367474,0.022170542635658912,0.03308300555438288,0.0103319411396855,0.03400914413163232,0.02060405967229152,0.03300740653170404,0.008792510939148514,0.032415608405434525,0.007228650137741047,0.009405518440108125,0.003862928589484739,0.010594371685997356
0.068,0.055891719745222924,0.0713756229964422,0.030350281081414156,0.08143315840903169,0.03424947145877378,0.04383041161284345,0.01856496009731449,0.049933982820233064,0.03325996576179995,0.04225162264550155,0.018140416776563584,0.04837951474703632,0.011449035812672174,0.01330623176445718,0.006687461928052663,0.016210609697291684
0.07200000000000001,0.07466383581033262,0.09868195464558516,0.03935095185931466,0.10997671976135057,0.04642706131078223,0.06021754733849532,0.02487848874129524,0.06797563388026923,0.0455001222792859,0.05983886543693968,0.024087059287938212,0.06691318527063359,0.015250688705234158,0.018304152465404552,0.00870063186704112,0.021800745543427195
0.076,0.23593418259023355,0.10539146157096804,0.19822033242127296,0.27364803275919414,0.15885835095137418,0.07282470572804656,0.13279836469170203,0.18491833721104634,0.14898508192712157,0.06768975048297003,0.12476261580286122,0.17320754805138192,0.04990633608815427,0.022857279739807255,0.041726963579911416,0.058085708596397126
0.08,0.22954706298655345,0.15350435258737494,0.17461623588283004,0.28447789009027685,0.1566737138830162,0.10512456680280376,0.11905537078025803,0.1942920569857744,0.14529224749327463,0.09757977050644473,0.11037377507107066,0.1802107199154786,0.05088705234159779,0.03445996978108956,0.03855571052529903,0.06321839415789654
0.084,0.26424274593064406,0.1905396574193062,0.1960590051983085,0.33242648666297964,0.1837773079633545,0.13205609854088113,0.1365216399990703,0.23103297592763872,0.17676693568109564,0.12669385320605253,0.13143012256626957,0.2221037487959217,0.06256749311294765,0.044847391589267475,0.046519060140724273,0.07861592608517104
0.088,0.3494692144373673,0.17776874459535502,0.2858554861669903,0.41308294270774426,0.24947145877378438,0.12753101382521081,0.20383507157878455,0.2951078459687842,0.23378576669112255,0.11959628684729284,0.1909887850790437,0.2765827483032014,0.08848484848484847,0.0453429617384018,0.07225907801228047,0.10471061895741647
0.092,0.3624734607218684,0.22132045450423168,0.2832749532139496,0.44167196822978727,0.2673572938689218,0.1636033056312146,0.20881260283085806,0.3259019849069856,0.250831499144045,0.15308298329871603,0.19605145710375468,0.30561154118433537,0.09417079889807163,0.05712522383736272,0.07372880008187811,0.11461279771426515
0.096,0.5097664543524415,0.10033213467328096,0.4738630610623494,0.5456698476425336,0.3774630021141649,0.07422235069254113,0.35090287502719375,0.40402312920113603,0.3531058938615798,0.07057987753819767,0.32784920905294607,0.37836257867021356,0.13890909090909093,0.0284138947206685,0.12874130926683403,0.14907687255134783
0.1,0.5511854210898797,0.0327102229008425,0.5394802181532549,0.5628906240265045,0.41340380549682887,0.028089990868180263,0.40335193135959946,0.4234556796340583,0.38937393005624854,0.02452070887112575,0.3805993070780899,0.39814855303440716,0.15373002754820939,0.013679082517940309,0.14883503073498974,0.15862502436142903
0.10400000000000001,0.5288039631988676,0.1794240351578105,0.4645978968080395,0.5930100295896956,0.4049471458773785,0.1377898776965754,0.35563967139332087,0.45425462036143616,0.38573000733675716,0.1312035094797847,0.3387794344496888,0.43268058022382555,0.15540495867768597,0.053052504682281974,0.1364203636938849,0.17438955366148703
0.108,0.5973637650389242,0.11512572938748183,0.5561665518682148,0.6385609782096335,0.4662015503875969,0.09069638686644148,0.4337462651665663,0.49865683560862756,0.43686720469552454,0.08414422971221663,0.4067565787999699,0.46697783059107917,0.17951515151515152,0.03625232148447438,0.16654242487902066,0.19248787815128238
0.112,0.622593772116065,0.11959380035375253,0.5797976802842723,0.6653898639478578,0.4901198026779422,0.0954762006680236,0.4559540830549082,0.5242855223009762,0.45842504279775015,0.08968816774035047,0.4263305441574547,0.4905195414380456,0.19469972451790632,0.038807340623004546,0.1808126960253156,0.20858675301049703
0.116,0.6547947629157821,0.1248870892298953,0.6101044919863643,0.6994850338451999,0.5236363636363636,0.10004074143161092,0.4878372440786287,0.5594354831940984,0.4886402543409146,0.09287620133721808,0.4554049325294279,0.5218755761524013,0.2138292011019284,0.04133130328746534,0.19903898416939536,0.22861941803446145
0.12,0.6878980891719746,0.020002018274481875,0.6807404588569926,0.6950557194869565,0.5594362226920367,0.02178136432232942,0.5516418615712857,0.5672305838127878,0.5168867693812669,0.01996545586697735,0.5097422227557782,0.5240313160067556,0.22836363636363635,0.013646789972414978,0.22348019528942406,0.23324707743784864
0.124,0.705661712668082,0.016845999521194605,0.6996334491596486,0.7116899761765153,0.5731923890063425,0.015027800774908999,0.5678147595632564,0.5785700184494286,0.5380899975544142,0.014726257869217059,0.5328202738543102,0.5433597212545183,0.24196143250688706,0.0128725051208947,0.2373550657083614,0.24656779930541273
0.128,0.6786447275300779,0.1849089604168298,0.6124759058427278,0.7448135492174279,0.5553206483439043,0.15137259165508288,0.5011526620927329,0.6094886345950756,0.5229151381755931,0.14225168217478298,0.4720110274644061,0.5738192488867802,0.23997796143250694,0.06565412737443792,0.21648393368239285,0.26347198918262105
0.132,0.7170912951167728,0.13581431044674402,0.6684907682938279,0.7656918219397177,0.5930655391120507,0.11272234939434854,0.5527283644265186,0.6334027137975828,0.5558449498654928,0.10566685650405698,0.5180325508853763,0.5936573488456094,0.25585674931129476,0.04872158539731495,0.23842195388973927,0.2732915447328502
0.136,0.7530254777070063,0.01393085039666831,0.7480403869154495,0.7580105684985632,0.6296546863988726,0.017657581446206837,0.6233360020284121,0.635973370769333,0.5936414771337735,0.015561206914445814,0.5880729707550625,0.5992099835124844,0.27792837465564735,0.014178626118620034,0.27285461846070863,0.28300213085058606
0.14,0.7473991507430997,0.1413395930930062,0.696821426918081,0.7979768745681184,0.6310077519379844,0.11970720944456213,0.5881710771842468,0.6738444266917221,0.5925898752751284,0.11246398694795198,0.5523451544036666,0.6328345961465902,0.28315151515151515,0.054602782266998516,0.2636121604587321,0.3026908698442982
0.14400000000000002,0.7837756546355271,0.013740092468345184,0.7788588256919424,0.7886924835791118,0.6641719520789289,0.016051792409264038,0.6584278919355121,0.6699160122223456,0.6248226950354608,0.014798507950700717,0.6195271169757421,0.6301182730951795,0.30047382920110194,0.011667363734533828,0.296298716709141,0.3046489416930629
0.148,0.7691613588110404,0.14529238092000887,0.717169148028206,0.8211535695938749,0.6601127554615925,0.12484854503794518,0.6154362773941241,0.704789233529061,0.6175470775250672,0.11679038958874283,0.5757541733517209,0.6593399816984136,0.3045840220385675,0.05895605756114179,0.28348686778839804,0.32568117628873694
0.152,0.7783970276008494,0.14719720177460657,0.7257231854293029,0.8310708697723959,0.668118393234672,0.12640861984449098,0.6228836495674157,0.7133531369019284,0.6272438248960625,0.11914276908008845,0.5846091325327174,0.6698785172594075,0.31211019283746555,0.05929005748319599,0.2908935182501736,0.3333268674247575
0.156,0.8150212314225055,0.01119801821135348,0.8110140720690137,0.8190283907759973,0.7061874559548976,0.012386332971993527,0.7017550636255241,0.7106198482842712,0.666874541452678,0.011007812899084262,0.6629354461960432,0.6708136367093128,0.3305234159779615,0.011401805548187371,0.326443332262542,0.33460349969338093
0.16,0.8234253361641897,0.011305584971072227,0.8193796845400839,0.8274709877882954,0.721028893587033,0.01247063590953607,0.7165663338388963,0.7254914533351697,0.67849107361213,0.009596319816416782,0.6750570746682396,0.6819250725560204,0.3424462809917355,0.011613435661885017,0.33829046641273125,0.3466020955707398
0.164,0.8296886058032555,0.012532597434070456,0.8252038734083247,0.8341733381981864,0.7302184637068357,0.011265356504916358,0.7261872076544633,0.7342497197592082,0.6903643922719492,0.012359217936675304,0.6859417029333501,0.6947870816105484,0.3535757575757576,0.013855139988445273,0.3486177594058362,0.358533755745679
0.168,0.8083510261854211,0.1526839257519367,0.7537137850542717,0.8629882673165705,0.7108809020436926,0.13453696367934972,0.6627374678910763,0.7590243361963088,0.6749205184641723,0.12788735753880262,0.6291566153089351,0.7206844216194096,0.34671074380165284,0.06572035689535753,0.32319301612185286,0.3702284714814528
0.17200000000000001,0.8431351733899504,0.010197232771907372,0.8394861405065913,0.8467842062733094,0.746412966878083,0.012960928318145088,0.7417749582447933,0.7510509755113727,0.7075446319393495,0.013340994925306205,0.7027706182173834,0.7123186456613155,0.36696418732782365,0.010883648953895972,0.3630695235683463,0.370858851087301
0.176,0.8499823071479123,0.009365675954534079,0.8466308430500121,0.8533337712458126,0.75646229739253,0.014300855292726377,0.7513448020493737,0.7615797927356863,0.7147835656639766,0.011850838400718018,0.7105427976059278,0.7190243337220255,0.374534435261708,0.011799538358768305,0.37031202468790797,0.378756845835508
0.18,0.8561217268223636,0.008530159382567279,0.8530692484899053,0.859174205154822,0.7622551092318535,0.011234366249889174,0.7582349428998186,0.7662752755638883,0.7238689166055271,0.009319729861354842,0.7205338941059136,0.7272039391051406,0.38128925619834714,0.011495782847489228,0.37717554313826995,0.3854029692584243
0.184,0.8610226468506724,0.012202164474814946,0.8566561583716195,0.8653891353297254,0.7695560253699789,0.013807583818542926,0.7646150449569001,0.7744970057830577,0.7307165566153092,0.012496250696085384,0.7262448307335253,0.7351882824970931,0.38926721763085403,0.011510895550696967,0.38514809655938836,0.3933863387023197
