Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.001059788042391522,0.0006989236281150247,0.000809681434158114,0.00130989465062493,0.0009400705052878965,0.0006654461476843032,0.0007019436595720465,0.0011781973510037464,0.0011183732752360202,0.0005685062100940501,0.0009149359406738357,0.0013218106097982046,0.0009378843788437886,0.00027040622795344225,0.0008411207528936655,0.0010346480047939118
0.004,0.0010997800439912014,0.0008640589578883724,0.0007905805169212876,0.0014089795710611152,0.0010967489228358794,0.0008553843029313822,0.0007906535811756638,0.001402844264496095,0.0013798111837327524,0.0007334426244271663,0.0011173521113101807,0.001642270256155324,0.0010224477244772448,0.00044787231270248536,0.0008621786756917944,0.0011827167732626953
0.008,0.001199760047990402,0.001178893064044433,0.00077789858293557,0.001621621513045234,0.001410105757931845,0.000907600011112512,0.001085325265070047,0.001734886250793643,0.0013362381989832975,0.0008246248314446868,0.001041149992831346,0.0016313264051352491,0.0012376998769987704,0.00033983419699530284,0.001116091771401529,0.0013593079825960116
0.012,0.002659468106378724,0.001766116078273462,0.0020274715844200066,0.003291464628337441,0.0016059537798668235,0.001405144551655361,0.0011031292597687022,0.0021087782999649448,0.0019026870007262163,0.0009259737989954489,0.0015713315323120892,0.002234042469140343,0.0017220172201722018,0.0005305407630042372,0.001532165646370899,0.0019118687939735047
0.016,0.0033593281343731254,0.0026576503738743812,0.002408300162014208,0.004310356106732043,0.001684292988640815,0.0011723836674223378,0.0012647608812515537,0.0021038250960300764,0.0021205519244734935,0.0009825739432790391,0.001768942354548349,0.002472161494398638,0.0016758917589175892,0.0007366475468810255,0.001412285819723969,0.0019394976981112096
0.02,0.00649870025994801,0.011386374063706005,0.002424138630330761,0.010573261889565259,0.0029181355268311795,0.002775124029527638,0.0019250701466778583,0.003911200906984501,0.0037472766884531585,0.00409646792179226,0.0022813744690366976,0.0052131789078696195,0.0025830258302583027,0.0025274117221190107,0.0016786031608840297,0.0034874484996325755
0.024,0.005658868226354728,0.004067618352499296,0.004203289692723964,0.007114446759985493,0.003779866823345084,0.0023637283670415684,0.002934017490335319,0.004625716156354849,0.004081336238198984,0.0029341052140923053,0.0030313801717890883,0.005131292304608879,0.003244157441574416,0.0015128498253647365,0.0027027910842673383,0.0037855237988814938
0.028,0.02605478904219156,0.05094358749530806,0.007824860381664921,0.044284717702718204,0.012142577359968664,0.02119955600988083,0.004556413669974116,0.01972874104996321,0.014132171387073346,0.02543312859636789,0.005031043203501888,0.023233299570644805,0.009547970479704796,0.01526046474714385,0.004087083303423065,0.015008857655986526
0.032,0.07638472305538892,0.09699694477264931,0.041674812143494534,0.11109463396728331,0.04038386212299256,0.05209218180105218,0.02174291426882293,0.05902480997716219,0.04454611474219317,0.05640752654440144,0.024360940603918975,0.06473128888046736,0.030719557195571956,0.03846553168658211,0.016954843460007064,0.04448427093113685
0.036000000000000004,0.2906618676264747,0.13587192205773962,0.24204072475330435,0.3392830104996451,0.168096357226792,0.08090152864825988,0.1391461170042878,0.1970465974492962,0.18800290486564997,0.0891202797224042,0.1561116223426977,0.21989418738860222,0.1305658056580566,0.06197793928689601,0.1083872849201791,0.15274432639593408
0.04,0.4092581483703259,0.16333874451415983,0.35080812931213995,0.4677081674285119,0.2533490011750882,0.1017463619573665,0.2169395331508399,0.28975846919933645,0.27798111837327527,0.11184901759842979,0.23795646145728644,0.3180057752892641,0.20044587945879458,0.08024371527619666,0.17173103472832865,0.2291607241892605
0.044,0.5318136372725456,0.14508946022034236,0.47989404072951136,0.5837332338155798,0.36276929103016065,0.10019100371428225,0.3269164008051417,0.39862218125517956,0.3924909222948438,0.10825994391625475,0.3537505989014882,0.43123124568819937,0.2913822263222631,0.08050836903719166,0.26257267645971116,0.3201917761848151
0.048,0.6099380123975205,0.11670750895461525,0.568174766678197,0.6517012581168441,0.43325499412455926,0.08458574515878026,0.4029863739555523,0.4635236142935662,0.46955700798838057,0.09004860840772712,0.4373335273117644,0.5017804886649968,0.35732626076260765,0.06961461151501934,0.33241499196423413,0.38223752956098117
0.052000000000000005,0.6831233753249351,0.018682282657898,0.676438006335155,0.6898087443147151,0.5053858206032119,0.01948607217200919,0.4984128192298336,0.5123588219765902,0.5500217864923747,0.02447913171911577,0.541262041706984,0.5587815312777653,0.42068726937269374,0.020905726963212048,0.41320625105668085,0.42816828768870663
0.056,0.7203159368126374,0.019096146468454884,0.7134824685602698,0.727149405065005,0.5526047786917352,0.024627952868359025,0.5437917789420347,0.5614177784414357,0.5992737835875092,0.021132807245758223,0.5917115056359944,0.6068360615390239,0.47057964329643304,0.018909177641906614,0.46381308097938123,0.47734620561348484
0.06,0.760987802439512,0.015398053352580082,0.7554776798130997,0.7664979250659244,0.6016647081864474,0.01698909140737466,0.595585239904161,0.6077441764687337,0.6477705156136528,0.014397278193130721,0.6426185157787236,0.652922515448582,0.5205412054120542,0.014633596757676469,0.5153046400648664,0.5257777707592419
0.064,0.7930813837232553,0.010734371536528075,0.7892401382015394,0.7969226292449713,0.6427732079905993,0.014090079062994377,0.637731137952575,0.6478152780286237,0.6851416122004356,0.012691017910509904,0.6806001897660738,0.6896830346347973,0.5625999384993852,0.010798149427355687,0.5587358703525447,0.5664640066462256
0.068,0.812017596480704,0.00917164318292752,0.8087355661183945,0.8152996268430136,0.6716803760282022,0.01863887973215551,0.6650105385759296,0.6783502134804748,0.7226289034132171,0.013207759785448785,0.7179025672737318,0.7273552395527023,0.5989468019680196,0.011852396544071728,0.5947054763355325,0.6031881276005068
0.07200000000000001,0.8310137972405519,0.009078720469755682,0.8277650188441001,0.8342625756370037,0.7027027027027027,0.01263914520339695,0.6981798426781867,0.7072255627272188,0.7449963689179376,0.011576885280247131,0.7408536337250256,0.7491391041108497,0.6249231242312424,0.012732248471137268,0.6203669476302461,0.6294793008322387
0.076,0.8472905418916217,0.008484584101225373,0.8442543724641384,0.850326711319105,0.7302585193889541,0.01164029777241964,0.726093092327147,0.7344239464507613,0.7747421931735657,0.011300324566242642,0.7706984239611526,0.7787859623859789,0.658348708487085,0.012012729427902196,0.6540500084689712,0.6626474085051989
0.08,0.8625274945010998,0.008648843263990956,0.859432545687117,0.8656224433150825,0.7571680376028201,0.011951915029876015,0.7528910997375514,0.7614449754680889,0.797923021060276,0.011099354818111955,0.7939511679486221,0.80189487417193,0.6868465559655597,0.01223113483233462,0.6824697005772092,0.6912234113539101
