Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0011299435028248592,0.0007910961458027314,0.0008468533827399787,0.0014130336229097398,0.0009455263900649168,0.000313158321610528,0.0008334641238781082,0.0010575886562517254,0.0009287232852187536,0.0004962047632516875,0.0007511586911287732,0.001106287879308734,0.0016190476190476191,0.0023348575833053624,0.0007835295633145673,0.002454565674780671
0.004,0.0013182674199623357,0.0007711044670160722,0.0010423312302542376,0.0015942036096704337,0.0014324019192774485,0.00037573789891849927,0.0012979458389519066,0.0015668579996029903,0.001107754279959718,0.00039571546281091745,0.0009661493202074291,0.001249359239712007,0.0012380952380952382,0.001788749473083693,0.0005979994598214048,0.0018781910163690717
0.008,0.0019346002396849855,0.001226475947613855,0.0014957114584245054,0.0023734890209454657,0.0015946937623482927,0.0008333738266600437,0.0012964747684668368,0.0018929127562297486,0.0014993845809555778,0.0007308515944678045,0.0012378526966962033,0.0017609164652149522,0.001142857142857143,0.001423636797492685,0.0006334152575721199,0.001652299028142166
0.012,0.002054442732408834,0.0014464351514510685,0.0015368425609356418,0.0025720429038820266,0.0027025119954840527,0.0016618734104376339,0.0021078182331357603,0.003297205757832345,0.0017455521987244044,0.000744894215150118,0.0014789952271904248,0.002012109170258384,0.0017142857142857142,0.002068496310858831,0.0009740838157642956,0.0024544876128071327
0.016,0.005529875021400446,0.005172608781115996,0.003678880741163644,0.007380869301637247,0.0093847022297488,0.00884727275544657,0.006218746334183603,0.012550658125313996,0.004072955130356944,0.0029787073427191145,0.0030070383971987705,0.005138871863515117,0.002190476190476191,0.0024524566761787857,0.0013128758398159787,0.0030680765411364034
0.02,0.02184557438794727,0.029881413996410287,0.011152647717237393,0.032538501058657146,0.0315763477279142,0.046199106060200126,0.015044209944427313,0.04810848551140108,0.013695871097683788,0.018868072555408802,0.006944018046925979,0.020447724148441596,0.00561904761904762,0.009112119925307865,0.0023583173809224606,0.008879777857172779
0.024,0.24026707755521315,0.11149235261231624,0.2003700515653572,0.2801641035450691,0.32587496471916455,0.1502495083959629,0.2721088686508445,0.3796410607874846,0.1519077990377084,0.07000525651524235,0.12685673972131703,0.17695885835409977,0.05523809523809523,0.026595024570883058,0.045721187919842386,0.06475500255634807
0.028,0.44851908919705524,0.016769175667647844,0.4425183167515494,0.4545198616425611,0.5596387242449902,0.018840001670919343,0.5528969162312398,0.5663805322587405,0.28837417477900856,0.014703595211815189,0.2831125608067036,0.2936357887513135,0.11342857142857142,0.01813469037711677,0.10693915581986452,0.11991798703727832
0.032,0.554562574901558,0.022192266651518345,0.5466211742707167,0.5625039755323994,0.6718388371436638,0.019339963349634653,0.6649181201408906,0.678759554146437,0.3742083473201299,0.01571669668582996,0.3685841996413234,0.37983249499893645,0.15552380952380954,0.023171281374874387,0.1472320729735351,0.16381554607408397
0.036000000000000004,0.6393425783256294,0.014199300751867396,0.6342614238081987,0.64442373284306,0.7471069714930849,0.013680897228440752,0.7422113252940526,0.7520026176921172,0.4393084927828131,0.011835782778433876,0.43507311231000656,0.4435438732556196,0.18800000000000003,0.019456369565733364,0.1810376275677714,0.19496237243222866
0.04,0.7118472864235577,0.013393656266291177,0.7070544280827392,0.7166401447643761,0.8022368049675417,0.007854839636978628,0.7994259867024326,0.8050476232326508,0.4983887210473313,0.013978053623699943,0.493386738797916,0.5033907032967466,0.2223809523809524,0.022170516122270233,0.21444733507704214,0.23031456968486266
0.044,0.761462078411231,0.012724400332491115,0.756908710230581,0.766015446591881,0.8415961049957664,0.008960218053858137,0.8383897321442345,0.8448024778472983,0.548651672820857,0.012261328639868577,0.5442640127172441,0.5530393329244699,0.25266666666666665,0.024286390408824503,0.24397589347337031,0.26135743985996296
0.048,0.8022598870056499,0.011072553198558217,0.7982976247303794,0.8062221492809204,0.8747459779847586,0.006928669680907205,0.8722665853819718,0.8772253705875455,0.5937786729327513,0.01125543768734133,0.5897509662836636,0.597806379581839,0.2802857142857143,0.023967489122447172,0.27170905845215326,0.28886237011927535
0.052000000000000005,0.8343091936312276,0.012669175205211245,0.829775587508573,0.8388427997538821,0.9001552356759809,0.005647731114094914,0.8981342210524373,0.9021762502995244,0.6337585319458431,0.009993992526646504,0.6301822276502066,0.6373348362414796,0.30276190476190473,0.020867644745682163,0.2952945139924181,0.3102292955313914
0.056,0.8589625064201336,0.007836561324195442,0.8561582289652512,0.861766783875016,0.9179861699125035,0.005368131623921583,0.9160652086815454,0.9199071311434616,0.6649994405281416,0.009318783493085939,0.6616647566820639,0.6683341243742194,0.32895238095238094,0.024655068248444264,0.32012967808853277,0.3377750838162291
0.06,0.8812703304228727,0.008789097940828288,0.878125192117361,0.8844154687283845,0.9331569291560825,0.00554818171381165,0.9311715378279248,0.9351423204842402,0.6903547051583304,0.011842193734005607,0.6861170305545358,0.6945923797621251,0.3428571428571429,0.026676048080032235,0.3333112416485059,0.35240304406577994
0.064,0.9019517205957884,0.00897676894242515,0.8987394250848467,0.9051640161067301,0.944044594976009,0.004572468367436631,0.942408358184704,0.945680831767314,0.720521427772183,0.0092296263937658,0.717218648384352,0.7238242071600139,0.3741904761904762,0.02256567031785686,0.3661154547737104,0.382265497607242
0.068,0.913627803458312,0.007639639541119152,0.9108939935584974,0.9163616133581265,0.9529212531752751,0.003453194097646512,0.951685543537495,0.9541569628130552,0.7381783596285106,0.010249660503890048,0.7345105657222071,0.7418461535348142,0.3875238095238095,0.02232739985811412,0.37953405209602803,0.39551356695159096
0.07200000000000001,0.9255949323745934,0.007122845778521388,0.9230460547476628,0.9281438100015241,0.9615580016934799,0.0032749780320044533,0.9603860658557509,0.962729937531209,0.7616649882510911,0.007836353309375215,0.758860785233356,0.7644691912688262,0.41238095238095246,0.021815338280287307,0.4045744338354825,0.4201874709264224
0.076,0.9366204417051874,0.005453254854602821,0.9346690195173363,0.9385718638930386,0.9672523285351399,0.002523222398692995,0.9663494049959005,0.9681552520743792,0.7783036813248294,0.008700866390549762,0.7751901162740935,0.7814172463755653,0.41800000000000004,0.02159247660048367,0.4102732314824283,0.4257267685175718
0.08,0.9437596302003083,0.006204149039598029,0.9415395039792885,0.945979756421328,0.9724033305108665,0.003192737821219524,0.9712608239546103,0.9735458370671226,0.791988362985342,0.009596048936589486,0.788554460974553,0.7954222649961311,0.4359047619047619,0.02185852190933755,0.4280827902960981,0.44372673351342573
0.084,0.9505906522855675,0.006436795409736355,0.9482872746301814,0.9528940299409536,0.9761007620660459,0.0021316528192435484,0.9753379599012514,0.9768635642308404,0.8105852075640596,0.0076104285664083515,0.8078618506772987,0.8133085644508206,0.44961904761904753,0.02602962998862244,0.440304464153637,0.45893363108445806
0.088,0.9570107858243451,0.004320713522376646,0.9554646383473392,0.9585569333013509,0.9794312729325431,0.0023055834915287937,0.9786062304760155,0.9802563153890707,0.82186416023274,0.007003908405294318,0.8193578437982105,0.8243704766672695,0.469904761904762,0.02105899134774894,0.4623688986331094,0.47744062517641456
0.092,0.9614278376990242,0.0043190289515158435,0.9598822930379589,0.9629733823600894,0.9825289302850693,0.0020057053036463502,0.9818111978599062,0.9832466627102323,0.8305471634776768,0.007597892355714637,0.8278282926162991,0.8332660343390544,0.4831428571428572,0.02995986055031348,0.47242185873335485,0.49386385555235957
0.096,0.966050333846944,0.004759877324945875,0.9643470336214817,0.9677536340724064,0.9847304544171607,0.0020968524110735695,0.9839801054184953,0.985480803415826,0.8405617097459995,0.006392573741838403,0.8382741566112384,0.8428492628807607,0.49780952380952387,0.0248365050313481,0.48892189462675406,0.5066971529922937
0.1,0.9697483307652799,0.004065150770960137,0.9682936352443625,0.9712030262861973,0.9863533728478692,0.0015342904798111106,0.9858043340509046,0.9869024116448337,0.8509231285666329,0.006445760859094422,0.8486165426663971,0.8532297144668687,0.5116190476190476,0.024324030432599834,0.502914805116228,0.5203232901218673
0.10400000000000001,0.9745249101181305,0.003866163911891549,0.9731414211302343,0.9759083991060267,0.9886042901495907,0.0018065717068151453,0.9879578167668829,0.9892507635322986,0.8610160008951548,0.0060810667692515995,0.8588399190989215,0.8631920826913881,0.5223809523809524,0.02478431472982032,0.5135119992577301,0.5312499055041747
