Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.001014054438711973,0.0002847618610821555,0.0009121537154218316,0.0011159551620021143,0.001021753460777851,0.00039994416232641674,0.0008786352803380426,0.0011648716412176593,0.0008871989860583016,0.00086234518946743,0.0005786127231417481,0.001195785248974855,0.0009101251422070534,0.0015350731914976238,0.000360806255462652,0.0014594440289514548
0.004,0.0013995137282808514,0.0007157968726361393,0.0011433691070410004,0.0016556583495207025,0.001109646231597451,0.0006841991297364231,0.0008648087174385165,0.0013544837457563855,0.00123574144486692,0.001201090568590292,0.0008059367048248289,0.0016655461849090112,0.0011376564277588168,0.0016363935204279326,0.0005520805269509527,0.0017232323285666807
0.008,0.0032200676036292478,0.004609048445786019,0.0015707407994003763,0.00486939440785812,0.0017688420127444516,0.0011067184867400207,0.0013728078884807306,0.0021648761370081726,0.001584283903675539,0.0011797148141368173,0.0011621283791267163,0.002006439428224362,0.0006825938566552901,0.0013885259459811817,0.00018571622822249607,0.0011794714850880841
0.012,0.01917808219178083,0.02963593707337368,0.00857299830982577,0.029783166073735892,0.005954735223027906,0.008420468559126124,0.0029415092476249233,0.00896796119843089,0.005101394169835234,0.006847762694365747,0.002650953760352871,0.007551834579317597,0.004436860068259385,0.007178714950457919,0.0018679899149126678,0.007005730221606102
0.016,0.22012097491549545,0.16909217467274257,0.15961211731646377,0.28062983251452717,0.07441221709514392,0.05751060200220655,0.053832312473767865,0.09499212171651998,0.06330798479087453,0.04880519506347837,0.0458432700345327,0.08077269954721636,0.040386803185438,0.03390633436478526,0.028253577258486415,0.05252002911238958
0.02,0.46860582340034385,0.18665886939071014,0.4018108048288582,0.5354008419718295,0.19707756537024831,0.07808085695917824,0.16913668954854255,0.22501844119195408,0.1564638783269962,0.062964990091892,0.13393214599480277,0.17899561065918965,0.09829351535836175,0.04131107771418147,0.0835105360542764,0.11307649466244711
0.024,0.6676095593903814,0.016462767898760867,0.6617184335567942,0.6735006852239686,0.3194682487365414,0.014892254880208374,0.31413912376893716,0.32479737370414563,0.2555133079847909,0.017680573119513272,0.24918639614970198,0.2618402198198798,0.1606370875995449,0.01882065979022097,0.15390220098891172,0.16737197421017808
0.028,0.7633279962047084,0.011194215555478483,0.7593221976141453,0.7673337947952714,0.4118655240606461,0.013631943641716408,0.406987395677644,0.41674365244364814,0.32588719898605834,0.01779594890370149,0.31951900045683745,0.3322553975152792,0.2077360637087599,0.01977397238075997,0.20066003856880135,0.21481208884871847
0.032,0.8240823103836802,0.008464707341609591,0.8210532537632764,0.8271113670040839,0.48314656119534166,0.013095746976568476,0.47846030832472985,0.48783281406595347,0.3848225602027883,0.019412132001786337,0.37787601797951276,0.3917691024260639,0.24152445961319682,0.025863560671196436,0.2322693032898119,0.25077961593658177
0.036000000000000004,0.8676629306766294,0.006382659462724296,0.8653789253210855,0.8699469360321732,0.5541529334212262,0.012472314205336994,0.5496897731026501,0.5586160937398023,0.4402724968314321,0.013169320414028192,0.43555991604435146,0.44498507761851275,0.2844141069397042,0.023257521756350166,0.276091509665259,0.2927367042141494
