Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0011019283746556475,0.0012991946794005298,0.000637017529423384,0.001566839219887911,0.0011228070175438593,0.001202834660470244,0.0006923781622379609,0.0015532358728497578,0.0008830022075055189,0.0012433594878036337,0.0004380717289808807,0.0013279326860301571,0.0009180790960451978,0.0014383698176363615,0.00040336506721123325,0.0014327931248791623,0.0012109623964308475,0.001701564028038669,0.0006020655289827078,0.001819859263878987,0.0012979351032448377,0.0012238793049265855,0.0008599755186364418,0.0017358946878532336,0.0007612833061446438,0.0011913486840786647,0.0003349646547036433,0.0011876019575856444,0.0007530120481927713,0.0008619751076390648,0.00044455821735768985,0.0010614658790278528,0.0012111637704054765,0.0017932443450404453,0.0005694595228592868,0.0018528680179516663,0.0008431703204047218,0.0011505703865447102,0.0004314439953288441,0.0012548966454805997,0.0006842619745845551,0.0008377514130841143,0.00038447648151959646,0.0009840474676495138,0.0008964955175224124,0.000959554098734598,0.0005531234931737397,0.001239867541871085,0.0012719298245614033,0.0013596735161639057,0.0007853769055397836,0.0017584827435830229,0.0012759170653907493,0.0013507193693457627,0.0007925683466568628,0.0017592657841246358,0.0006693440428380187,0.0012178281824560694,0.00023354982459617058,0.0011051382610798668,0.0010526315789473684,0.0009040064059294923,0.0007291370411849551,0.0013761261167097817
0.004,0.012,0.00106,6.746646676632054e-05,6.746646676632054e-05,0.0010358574349275836,0.0010841425650724163,0.00106,0.0006198347107438017,0.0015489929516693296,6.553470179387812e-05,0.0011741347196937253,0.0007719298245614035,0.0011706387721421797,0.00035302211992902107,0.001190837529193786,0.001030169242089772,0.0015042944535564235,0.0004918643852658352,0.001568474098913709,0.0013418079096045197,0.0017133832157659465,0.0007286816001463631,0.001954934219062676,0.0014021669853409814,0.0016603154319514521,0.0008080307384338687,0.001996303232248094,0.0010619469026548673,0.0015132841512475999,0.0005204251238266655,0.001603468681483069,0.0008156606851549757,0.001113031385352387,0.00041736751913540706,0.0012139538511745443,0.000853413654618474,0.0010224556535005462,0.00048753259797746306,0.001219294711259485,0.0011058451816745654,0.00125493963492857,0.0006567708007208838,0.001554919562628247,0.001461495222034851,0.0015169525973315469,0.0009186607066348187,0.002004329737434883,0.0013685239491691102,0.001150902130153814,0.0009566789111673298,0.0017803689871708907,0.0012224938875305621,0.0011575356393007318,0.0008082750787665949,0.0016367126962945292,0.0008771929824561404,0.000997497425761715,0.0005202431129093634,0.0012341428520029174,0.0008506113769271664,0.0009112383791441242,0.0005245289107863342,0.0011766938430679986,0.0006693440428380187,0.0010977354891376183,0.00027652444298258675,0.0010621636426934506,0.0012280701754385963,0.0010706265846644374,0.0008449513724627841,0.0016111889784144085
0.008,0.024,0.0011600000000000002,0.0001673320053068151,0.0001673320053068151,0.001100121010919244,0.0012198789890807565,0.0011600000000000004,0.0010330578512396695,0.001510502639435323,0.0004925314236303211,0.001573584278849018,0.001263157894736842,0.0015241551764222966,0.0007177459695105334,0.0018085698199631504,0.0009565857247976454,0.0013820360167313304,0.00046203048772073207,0.0014511409618745588,0.00211864406779661,0.002668320042044079,0.001163798003718436,0.0030734901318747844,0.0011472275334608029,0.0014725279119291756,0.0006202901875666708,0.001674164879354935,0.0006489675516224188,0.0009841653394115674,0.0002967885079049291,0.0010011465953399085,0.001141924959216966,0.0017741387699270219,0.000507057553920414,0.001776792364513518,0.001506024096385542,0.0012506849375563248,0.0010584722393329365,0.001953575953438148,0.0011058451816745654,0.00125493963492857,0.0006567708007208838,0.001554919562628247,0.0014052838673412028,0.0012590893475596032,0.000954724530793603,0.0018558432038888026,0.0010263929618768328,0.0010296381962724434,0.0006579416653141649,0.0013948442584395008,0.0011817440912795436,0.0011343001221990816,0.0007758400055254654,0.0015876481770336218,0.0011403508771929824,0.0010211567792912644,0.0007749346167184445,0.0015057671376675203,0.0007974481658692185,0.0011660020374588455,0.0003801996954339322,0.0012146966363045049,0.0012717536813922354,0.001342721155540907,0.0007912670867105192,0.0017522402760739516,0.0010526315789473684,0.0010656584530561177,0.0006712905990352365,0.0014339725588595003
0.012,0.036000000000000004,0.0011933333333333336,0.00016595249285580936,0.00016595249285580936,0.001133947996443257,0.00125271867022341,0.0011933333333333336,0.0006887052341597796,0.0011294881685754833,0.0002845230838953062,0.0010928873844242531,0.0014035087719298245,0.001777225798134644,0.0007675366877764259,0.002039480856083223,0.0011037527593818985,0.0017148329643097832,0.000490107664070031,0.001717397854693766,0.001765536723163842,0.001766753915120326,0.0011333119542208214,0.0023977614921068626,0.0009560229445506691,0.0019284586012012482,0.000265932896850051,0.0016461129922512871,0.0015339233038348082,0.0015227719191223939,0.0009890063708761468,0.0020788402367934696,0.0010875475802066342,0.001078131406608918,0.0007017432111883747,0.0014733519492248935,0.0010542168674698797,0.0013785929666989365,0.0005608937100236156,0.0015475400249161438,0.001369141653501843,0.001076532997568815,0.000983909267812675,0.001754374039191011,0.001011804384485666,0.0013721352518464966,0.0005207920906212186,0.0015028166783501134,0.0012218963831867055,0.0012819374106262716,0.000763160972274988,0.001680631794098423,0.0011409942950285248,0.0010118361696756324,0.0007789133718696254,0.0015030752181874243,0.0008771929824561404,0.0008695980950674563,0.0005660113006032548,0.001188374664309026,0.0011695906432748538,0.0013849202087888508,0.0006740033113252208,0.001665177975224487,0.0008701472556894243,0.0012571532441351253,0.0004202807448544009,0.0013200137665244477,0.0015789473684210524,0.0012490643487751772,0.001131975431615938,0.0020259193052261665
0.016,0.048,0.0012833333333333334,0.00022141135586447938,0.00022141135586447938,0.001204102297191411,0.0013625643694752556,0.0012833333333333334,0.001721763085399449,0.0017229500990429626,0.001105213310727743,0.0023383128600711553,0.0018245614035087717,0.002048850971038435,0.00109138949955675,0.0025577333074607933,0.0008830022075055189,0.0018874294601653292,0.00020759424936438414,0.0015584101656466536,0.0012711864406779662,0.0014293742958966218,0.000759691417957279,0.0017826814633986536,0.0014659018483110262,0.0022277355412385204,0.0006687169230240453,0.002263086773598007,0.0019469026548672567,0.0019360532164626237,0.0012540949089984094,0.002639710400736104,0.0014681892332789562,0.0015055285760613186,0.0009294427513883776,0.0020069357151695348,0.0012048192771084338,0.0013353660946925775,0.0007269646571491737,0.001682673897067694,0.0014218009478672987,0.0018249575780544048,0.0007687482656335757,0.002074853630101022,0.0011242270938729624,0.0014235788433624883,0.0006148059472070868,0.001633648240538838,0.0013685239491691102,0.0016755028261682286,0.0007689529630391929,0.0019680949352990276,0.0013039934800325999,0.0013210946201246436,0.0008312458416591559,0.0017767411184060437,0.0012280701754385965,0.001421914999028893,0.0007192444278208633,0.0017368959230563297,0.0009569377990430622,0.0015446066925406774,0.00040420739276411817,0.0015096682053220064,0.0011378848728246316,0.0016409641649736478,0.0005506733878716838,0.0017250963577775794,0.0007894736842105262,0.0007760846224806215,0.0005117553687570549,0.0010671919996639975
0.02,0.060000000000000005,0.0014366666666666664,0.0003643447905992092,0.0003643447905992092,0.0013062875577931534,0.0015670457755401794,0.0014366666666666666,0.0013774104683195593,0.0018266252990433564,0.0007237609997943908,0.0020310599368447277,0.0017543859649122803,0.001666268618688248,0.0011581193974908423,0.0023506525323337183,0.0016188373804267842,0.001526471980758324,0.0010725963974163126,0.002165078363437256,0.003319209039548022,0.0038419994995832103,0.0019443671755424363,0.004694050903553608,0.0012109623964308475,0.0013736049756866882,0.0007194241686446903,0.0017025006242170045,0.0014749262536873156,0.001681228541560694,0.0008733063466182372,0.002076546160756394,0.0012506797172376293,0.001584716127544172,0.0006835963339761538,0.0018177631004991047,0.0014558232931726907,0.0013973757529500733,0.0009557788019876967,0.0019558677843576847,0.0007898894154818326,0.0010778645169368293,0.0004041805517061684,0.0011755982792574968,0.0016301292861157952,0.0015646838110604533,0.0010702143752442336,0.002190044196987357,0.0021016617790811337,0.001951449506246238,0.0014033445416709233,0.002799979016491344,0.0011817440912795438,0.0011343001221990816,0.0007758400055254656,0.001587648177033622,0.0010087719298245616,0.0010182294246416672,0.0006444032097579532,0.00137314064989117,0.0012759170653907496,0.0013507193693457625,0.0007925683466568632,0.001759265784124636,0.001405622489959839,0.0016800402139238464,0.0008044278204743339,0.0020068171594453442,0.0010818713450292396,0.0009122845796992051,0.0007554145008278619,0.0014083281892306174
0.024,0.07200000000000001,0.00139,0.0002746157189664282,0.0002746157189664282,0.001291730027036704,0.0014882699729632958,0.0013900000000000002,0.002410468319559229,0.0027174606373504434,0.001438037519289216,0.003382899119829242,0.0014035087719298242,0.0019416127889575327,0.0007087115585941529,0.0020983059852654955,0.0012509197939661516,0.001606913999546592,0.0006758930042247754,0.0018259465837075278,0.0014124293785310737,0.0016997787226393096,0.0008041713744152539,0.0020206873826468935,0.0013384321223709368,0.0019544322776129824,0.0006390475139352482,0.0020378167308066253,0.000943952802359882,0.0012925606076818078,0.0004814159292035398,0.001406489675516224,0.0014681892332789562,0.0016228615654698593,0.0008874556803631768,0.0020489227861947355,0.0018072289156626504,0.0016016582074118184,0.0012340828869823262,0.0023803749443429747,0.0012111637704054763,0.001149971630007277,0.0007996517076047755,0.001622675833206177,0.0013490725126475548,0.0020002136616845906,0.0006333052463222456,0.0020648397789728642,0.0012707722385141738,0.001478026196462554,0.0007418673567685864,0.0017996771202597613,0.0013039934800326,0.001359543806277593,0.0008174869770976815,0.0017904999829675187,0.001403508771929824,0.001618283946995732,0.0008244132987473602,0.001982604245112288,0.0015948963317384368,0.0014509053465624946,0.0010756965214885792,0.0021140961419882946,0.0013386880856760372,0.001695145088582241,0.0007320882062124541,0.0019452879651396203,0.001111111111111111,0.0008598816102694052,0.0008034064286885438,0.001418815793533678
0.028,0.084,0.001626666666666667,0.0005545630981998869,0.0005545630981998869,0.0014282188106165671,0.001825114522716767,0.001626666666666667,0.0029614325068870527,0.0030055358064198234,0.0018859153312908493,0.004036949682483256,0.0016140350877192982,0.002514390081275453,0.0007142721526765133,0.0025137980227620833,0.0019131714495952907,0.002441254099879783,0.0010395798893792876,0.0027867630098112935,0.002259887005649717,0.0029927692674855,0.0011889382773391704,0.003330835733960264,0.0020395156150414275,0.0022973835366098577,0.001217407474696514,0.002861623755386341,0.0018289085545722713,0.0018289413668753423,0.0011744302918175263,0.0024833868173270166,0.001794453507340946,0.001678455046866109,0.0011938260826019997,0.0023950809320798924,0.0013554216867469877,0.0013324344422107055,0.0008786161451551846,0.0018322272283387909,0.002211690363349131,0.001789240668813087,0.001571418812940953,0.0028519619137573086,0.0015739179314221469,0.001822353118485596,0.0009217972430756424,0.0022260386197686514,0.0013685239491691105,0.0013847993775686933,0.0008729798561162991,0.0018640680422219217,0.0012632436837815809,0.0013034225065890212,0.0007968199300200087,0.001729667437543153,0.0014035087719298245,0.001503543325587805,0.0008654727027974514,0.0019415448410621977,0.0015948963317384368,0.00156715688816752,0.0010340964415897884,0.0021556962218870854,0.0012717536813922354,0.0014425610487633293,0.0007555398397613917,0.0017879675230230792,0.0009064327485380116,0.0008139100876832006,0.0006151787641986818,0.0011976867328773414
0.032,0.096,0.0019933333333333335,0.0008854896690662114,0.0008854896690662114,0.0016764649247589059,0.0023102017419077614,0.0019933333333333335,0.0023415977961432502,0.0031977453005275504,0.001197299336429934,0.0034858962558565664,0.0016140350877192982,0.0019689699698227678,0.00090944823293813,0.0023186219425004664,0.003605592347314202,0.0034042576102945293,0.002387394406632465,0.004823790287995939,0.0036723163841807906,0.004378609628324442,0.0021054510517382868,0.005239181716623294,0.0021669853409815166,0.0022863824349114957,0.0013488138943209024,0.002985156787642131,0.00247787610619469,0.0022579979980823467,0.0016698618998052341,0.003285890312584146,0.00190320826536161,0.0019198770742923066,0.0012161890776266901,0.00259022745309653,0.0018574297188755017,0.0018416663060719309,0.0011983978951100658,0.0025164615426409376,0.0024223275408109526,0.0018890647921938584,0.0017463343866190076,0.0030983206950028976,0.0024732996065205174,0.002016489061481808,0.0017517082631756586,0.003194890949865376,0.0018084066471163245,0.001833939740895852,0.0011521397391896838,0.0024646735550429653,0.002037489812550937,0.0016158791008588425,0.0014592549025064555,0.0026157247225954187,0.0012719298245614035,0.0011709447192950315,0.0008529126381464339,0.0016909470109763732,0.001488569909622541,0.0017235333321562341,0.0008718114276616523,0.00210532839158343,0.0017402945113788486,0.0019542253237816395,0.0010409839604205951,0.002439605062337102,0.0009356725146198831,0.0007957781923857335,0.0006509069456828531,0.001220438083556913
0.036000000000000004,0.10800000000000001,0.0024300000000000003,0.0012879146469898673,0.0012879146469898673,0.0019691256625255335,0.002890874337474467,0.0024300000000000003,0.003099173553719008,0.0028062898819081116,0.0020949556165222147,0.004103391490915801,0.002596491228070175,0.0027467826361386206,0.0016135676852907783,0.0035794147708495716,0.002869757174392936,0.006139279925281811,0.0006728440678081564,0.005066670280977716,0.005861581920903956,0.0067385178875882705,0.00345023426346364,0.008272929578344272,0.002868068833652008,0.003205369620869451,0.0017210420459439146,0.004015095621360102,0.0025958702064896753,0.003244745284928984,0.0014347530183591091,0.0037569873946202417,0.0020119630233822734,0.0019948881357777525,0.0012981014720278698,0.002725824574736677,0.0021586345381526106,0.0021907821239566185,0.0013746732234107997,0.0029425958528944214,0.0026329647182727752,0.0032490812582077746,0.0014702959220315006,0.00379563351451405,0.00326025857223159,0.002833347624604824,0.002246358146161759,0.004274158998301421,0.002639296187683284,0.002417017167663943,0.001774377702273516,0.003504214673093052,0.0016299918500407495,0.0012974783141937224,0.0011656951982097338,0.002094288501871765,0.0017982456140350875,0.0018114948731076544,0.0011500104988951538,0.002446480729175021,0.0016480595427963846,0.0014193269324788258,0.0011401599228994517,0.0021559591626933174,0.001874163319946452,0.0018964521596422665,0.0011955266302636862,0.0025528000096292176,0.0015789473684210524,0.0008111888828487227,0.0012886671547257273,0.0018692275821163775
