Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0009641873278236915,0.00129919467940053,0.000499276482591428,0.0014290981730559552,0.001333333333333333,0.0015124113732297641,0.0007921238741077327,0.0018745427925589333,0.0011037527593818985,0.0013901181675991228,0.0006063053617605978,0.0016012001570031992,0.0007062146892655368,0.0011582039694714703,0.0002917567216214581,0.0011206726569096155,0.0010197578075207138,0.0009702031805065485,0.0006725750582006077,0.0013669405568408198,0.0006489675516224188,0.0010884033625812002,0.00025948741036695643,0.0010384476928778812,0.001250679717237629,0.0011874910959128978,0.0008257414859931862,0.0016756179484820719,0.0007530120481927712,0.0011010290323594822,0.0003590138690317403,0.0011470102273538022,0.0008952080042127435,0.0012909955041972775,0.0004332311961454954,0.0013571848122799915,0.001068015739179314,0.0013637721380126927,0.0005799961471654017,0.0015560353311932264,0.0008797653958944282,0.0015688653390672261,0.00031835414444295583,0.0014411766473459006,0.0011817440912795436,0.001380234386766894,0.0006878335592055389,0.0016756546233535484,0.0010964912280701756,0.0012967466534902295,0.0006324563976593655,0.0015605260584809857,0.0011164274322169056,0.0015188375810025947,0.0005729183840731276,0.0016599364803606836,0.0010709504685408298,0.0013683642318495178,0.000581287616851586,0.0015606133202300736,0.0009356725146198831,0.0009479433326859284,0.0005964553495413944,0.0012748896796983718
0.004,0.012,0.0011033333333333333,0.00010661996103898188,0.00010661996103898188,0.0010651798702756368,0.0011414867963910299,0.0011033333333333336,0.0011707988980716253,0.0016884300705720596,0.0005666019569423524,0.0017749958392008981,0.0009122807017543858,0.0016291670794266672,0.00032929074964781235,0.0014952706538609592,0.0007358351729212657,0.0014589283714155998,0.00021376436009964755,0.001257905985742884,0.0009180790960451979,0.0012040694431269816,0.0004872083794403546,0.0013489498126500411,0.0010834926704907583,0.0012981081336985905,0.000618970640644427,0.0015480147003370897,0.0007669616519174041,0.0011080748948306062,0.0003704421432521975,0.0011634811605826106,0.0015225666122892878,0.0014165497078476499,0.001015660809463154,0.0020294724151154213,0.0017570281124497991,0.001586119670019788,0.0011894424779637734,0.002324613746935825,0.0011585044760400213,0.0014331550384198044,0.0006456565319828109,0.0016713524200972318,0.0009555930297920178,0.0013780778316304833,0.0004624542110625608,0.0014487318485214748,0.0014662756598240467,0.0015876548152601463,0.0008981406806689229,0.0020344106389791703,0.001100244498777506,0.0010815849261954873,0.0007132043036467513,0.0014872846939082609,0.0006140350877192983,0.0010211567792912644,0.0002486188272447604,0.000979451348193836,0.0008506113769271664,0.0014945811899707217,0.00031578236683751264,0.00138544038701682,0.0012048192771084334,0.001546449995861363,0.0006514292532075677,0.0017582093010092992,0.0011988304093567255,0.0008766887036087982,0.0008851113858240791,0.0015125494328893719
0.008,0.024,0.0011833333333333333,0.00018210139906170376,0.00018210139906170376,0.0011181691845740277,0.001248497482092639,0.0011833333333333335,0.0011019283746556475,0.0014079450154154127,0.0005981017214712603,0.0016057550278400347,0.000982456140350877,0.0015374668280846767,0.0004322807017543858,0.0015326315789473684,0.001324503311258278,0.0014893259771814689,0.0007915548549135442,0.0018574517676030115,0.0009887005649717516,0.0012104797960240802,0.0005555359330431462,0.001421865196900357,0.001147227533460803,0.0015557862415773852,0.0005904965769376343,0.001703958489983972,0.0017109144542772862,0.0021036227906549064,0.0009581427063938282,0.002463686202160744,0.001359434475258293,0.0016638117567916264,0.0007640470845754054,0.0019548218659411806,0.0012048192771084334,0.0011462716793785954,0.0007946312246361093,0.0016150073295807576,0.001158504476040021,0.001603210942827567,0.0005848028081271758,0.0017322061439528664,0.0015177065767284991,0.0017906890751198242,0.0008769167207799878,0.0021584964326770103,0.001075268817204301,0.0012136099513118293,0.0006409840735914274,0.0015095535608171747,0.001466992665036675,0.0014851474773642718,0.0009355394656481291,0.001998445864425221,0.001228070175438596,0.0010890552457824571,0.0008383567607754647,0.0016177835901017275,0.0007442849548112706,0.00100288712094076,0.00038540640761443556,0.0011031635020081058,0.0012717536813922354,0.001342721155540907,0.0007912670867105192,0.0017522402760739516,0.000847953216374269,0.0010922989022453856,0.00045707907415295607,0.001238827358595582
0.012,0.036000000000000004,0.00136,0.00038019958461041364,0.00038019958461041364,0.001223947325954458,0.0014960526740455421,0.0013600000000000003,0.0017906336088154271,0.0024706157302865957,0.0009065351240974495,0.002674732093533405,0.0010526315789473682,0.0016354091217522769,0.0004674079406815242,0.0016378552172132122,0.0011037527593818985,0.0017148329643097832,0.000490107664070031,0.001717397854693766,0.0013418079096045197,0.0018854194632716606,0.0006671192196143143,0.002016496599594725,0.0015933715742511153,0.0022502574503655524,0.0007881272872883892,0.0023986158612138413,0.002005899705014749,0.001592129009234703,0.0014361636561081666,0.0025756357539213313,0.0014681892332789564,0.001678455046866109,0.0008675618085400101,0.0020688166580179026,0.0011546184738955823,0.001292710597383396,0.000692027927613844,0.0016172090201773206,0.0017377567140600314,0.0017771755233178864,0.0011018026205187584,0.0023737108076013046,0.0017425519955030914,0.0015646838110604533,0.00118263708463153,0.002302466906374653,0.001319648093841642,0.0014586717589927032,0.0007976691085962275,0.0018416270790870565,0.0014669926650366747,0.0011752089612479773,0.00104644953923629,0.0018875357908370593,0.0008333333333333334,0.000809141973497866,0.0005437855967421015,0.0011228810699245653,0.0017012227538543323,0.0013200669645847965,0.001228842857292961,0.0021736026504157037,0.001004016064257028,0.001728983657275138,0.00038530720850074346,0.0016227249200133126,0.0009064327485380115,0.0008139100876832006,0.0006151787641986817,0.0011976867328773412
0.016,0.048,0.0016333333333333334,0.0005026367258377759,0.0005026367258377759,0.001453467090991699,0.001813199575674968,0.0016333333333333334,0.0023415977961432507,0.0020826732768335987,0.0015963227355017414,0.00308687285678476,0.0016140350877192982,0.0021894829912780917,0.0008305386616359918,0.0023975315138026047,0.0014716703458425308,0.0017710718699464768,0.0008379004166092706,0.0021054402750757912,0.0016949152542372883,0.0019592273865414065,0.0009938147381087486,0.002396015770365828,0.0024856596558317395,0.0016766860217379749,0.0018856652686048752,0.0030856540430586037,0.0015929203539823008,0.0023402191717886373,0.0007554836784511007,0.0024303570295135008,0.002011963023382273,0.001900661807614594,0.0013318199305191554,0.0026921061162453906,0.0022590361445783136,0.001886420989504692,0.0015839890630283955,0.0029340832261282317,0.002264349657714586,0.0021430501275433327,0.0014974690185243123,0.00303123029690486,0.0015739179314221473,0.0017677246845580507,0.0009413457770972636,0.002206490085747031,0.001270772238514174,0.001621536814143023,0.0006905127417724594,0.0018510317352558887,0.0014669926650366747,0.0011305077340434523,0.00106244566795517,0.0018715396621181793,0.0011842105263157896,0.0012143276541126161,0.0007496689560540465,0.0016187520965775326,0.0017012227538543325,0.001506273007179982,0.0011622098807091692,0.002240235626999496,0.0010709504685408298,0.0014664593239763484,0.0005461847389558231,0.0015957161981258365,0.0009649122807017542,0.0010644127969283758,0.000584017053110194,0.0013458075082933144
0.02,0.060000000000000005,0.0017966666666666662,0.0005647601464236881,0.0005647601464236881,0.0015945698437728989,0.0019987634895604336,0.0017966666666666665,0.0014462809917355373,0.0019675850481169982,0.0007421897248220065,0.002150372258649068,0.0014736842105263154,0.0018461195565662334,0.0008130588115375785,0.002134309609515052,0.00235467255334805,0.0025882591708744494,0.0014284759040771146,0.0032808692026189855,0.002401129943502825,0.003279043909862996,0.0012277391500679841,0.0035745207369376657,0.0021669853409815166,0.002783678936117041,0.0011708586268215034,0.00316311205514153,0.0015339233038348082,0.0012060980309045307,0.0011023266664166782,0.001965519941252938,0.0027188689505165853,0.0022803649643596937,0.0019028508280380632,0.0035348870729951074,0.0025602409638554218,0.0019029326478267883,0.0018792852612586146,0.003241196666452229,0.002474986835176408,0.0021430501275433327,0.001708106195986134,0.0032418674743666816,0.0020798201236649798,0.00228760662855806,0.0012612106049340469,0.0028984296423959126,0.0018084066471163243,0.0016192491993465919,0.0012289657628161766,0.002387847531416472,0.0014262428687856561,0.001542453061002192,0.0008742831296551783,0.001978202607916134,0.0008333333333333334,0.0010641011550546408,0.000452549625354057,0.0012141170413126098,0.0014354066985645929,0.001586625422062239,0.0008676400830344927,0.002003173314094693,0.0017402945113788486,0.002157137791084658,0.0009683726665338789,0.0025122163562238185,0.0012280701754385965,0.0009664234989820137,0.0008822399677815236,0.0015739003830956694
0.024,0.07200000000000001,0.0019566666666666665,0.0005940412927324702,0.0005940412927324702,0.0017440917201355188,0.0021692416131978143,0.001956666666666667,0.0009641873278236915,0.001407945015415413,0.0004603606746393042,0.0014680139810080788,0.0015438596491228068,0.0019098676617257603,0.0008604222836739348,0.0022272970145716785,0.0019131714495952904,0.002225196172157752,0.0011168952258635233,0.0027094476733270575,0.0031779661016949155,0.004228146187218127,0.0016649434201579472,0.004690988783231884,0.002549394518801784,0.00220784041755115,0.0017593289720930494,0.0033394600655105187,0.002300884955752212,0.0019248620636553354,0.0016120819124835636,0.002989687999020861,0.0021750951604132683,0.002239761747822334,0.0013736067123698687,0.002976583608456668,0.002660642570281125,0.002226195767660809,0.001864008645892493,0.0034572764946697566,0.0035808320168509732,0.0028421892265959154,0.00256376766414254,0.004597896369559406,0.0022484541877459243,0.0016170769021429483,0.0016697906500167366,0.002827117725475112,0.0023460410557184746,0.002059276392544887,0.0016091384625931387,0.0030829436488438106,0.0014262428687856557,0.001326933024007655,0.0009514059844145985,0.001901079753156713,0.0017105263157894735,0.001589123289222824,0.001141865849975564,0.002279186781603383,0.0012759170653907491,0.001213914505753409,0.0008415233383706163,0.001710310792410882,0.0013386880856760372,0.0016951450885822408,0.0007320882062124542,0.00194528796513962,0.0009941520467836257,0.0007186905690584966,0.0007369719295777779,0.0012513321639894734
0.028,0.084,0.0026866666666666658,0.0014354461839882527,0.0014354461839882527,0.0021729988466973487,0.003200334486635983,0.0026866666666666658,0.002134986225895317,0.003139677064242906,0.001011467217668592,0.003258505234122042,0.002526315789473684,0.0031469866049838304,0.001400181095685738,0.0036524504832616293,0.001839587932303164,0.0025324735317861263,0.0009333539176023928,0.002745821947003935,0.004943502824858756,0.004285715858093701,0.003409879101175543,0.0064771265485419685,0.003377947737412364,0.002870631734761554,0.0023507053638718916,0.004405190110952836,0.0034808259587020647,0.003202861436839744,0.0023346967131219814,0.004626955204282148,0.002936378466557913,0.002283046170417334,0.002119400886813853,0.003753356046301973,0.004216867469879518,0.003524180718331614,0.002955755596124928,0.005477979343634108,0.0036861506055818846,0.003029783895642238,0.0026019563626959183,0.004770344848467851,0.004553119730185498,0.004973990287943551,0.0027732001649268755,0.006333039295444119,0.0030791788856304983,0.003183470895097141,0.0019399884562986656,0.004218369314962331,0.002485737571312144,0.0020677570885672294,0.0017458002000904842,0.0032256749425338036,0.0014035087719298245,0.0014632984651777251,0.0008798741411393463,0.0019271434027203025,0.0013822434875066453,0.0013721947915536726,0.0008912098876316154,0.0018732770873816753,0.0017402945113788484,0.001806331104854633,0.0010939072269768018,0.002386681795780895,0.001023391812865497,0.001057744522701259,0.0006448827965603006,0.0014019008291706932
0.032,0.096,0.0026066666666666664,0.0020751291332204436,0.0020751291332204436,0.0018640912431460263,0.0033492420901873065,0.0026066666666666664,0.0013774104683195593,0.002258976337150967,0.0005690461677906123,0.0021857747688485063,0.0022456140350877187,0.002869243736678147,0.0012188683502824833,0.003272359719892954,0.0025754231052244293,0.00492192767365564,0.0008141339072212843,0.0043367123032275745,0.006144067796610168,0.009332488425993352,0.0028044797032761733,0.009483655889944162,0.002995538559592096,0.0031230307115118257,0.0018779763721874913,0.0041131007469967,0.003775811209439528,0.003277867054724436,0.0026028415482074727,0.004948780870671583,0.002501359434475258,0.0032551337715380404,0.0013365247741546665,0.0036661940947958498,0.002710843373493976,0.0029437627255245427,0.001657431411001691,0.0037642553359862607,0.0035281727224855185,0.004814699836864903,0.0018052545130841826,0.005251090931886854,0.0034288926363125346,0.004548343208028413,0.0018012889224283196,0.00505649635019675,0.0031280547409579668,0.004033675062127382,0.0016846226577914634,0.00457148682412447,0.0027302363488182564,0.002660653853634727,0.0017781335950303812,0.0036823391026061317,0.002149122807017544,0.0019388435239100434,0.0014553165624522303,0.002842929051582858,0.0013822434875066449,0.0012377657930803206,0.0009393146869314474,0.0018251722880818424,0.0013386880856760372,0.002064928149041688,0.0005997630374624561,0.0020776131338896184,0.0012573099415204684,0.00102202253339276,0.0008915838749195113,0.0016230360081214254
0.036000000000000004,0.10800000000000001,0.005686666666666665,0.00623630822120628,0.00623630822120628,0.0034550324303043952,0.007918300903028936,0.005686666666666665,0.004201101928374655,0.006589342921193703,0.0018431358470858013,0.006559068009663509,0.0036491228070175434,0.004280126507221587,0.002117499206856583,0.0051807464071785036,0.006548933038999265,0.006747777183803382,0.004134271984961905,0.008963594093036625,0.01271186440677966,0.016439216767328325,0.006829166237340178,0.018594562576219144,0.007839388145315486,0.010620330471791194,0.004038951694509934,0.011639824596121038,0.00648967551622419,0.011080748948306065,0.0025244804295721226,0.010454870602876257,0.00799347471451876,0.012081884149740627,0.0036700279970137443,0.012316921432023776,0.007881526104417672,0.00951411522258936,0.004476943696635561,0.011286108512199784,0.0071090047393364926,0.008972618174544544,0.0038981945616049624,0.010319814917068022,0.009331084879145588,0.010727084124592457,0.005492447124299622,0.013169722633991554,0.006940371456500488,0.008267052246320005,0.003982044803570117,0.00989869810943086,0.00517522412387938,0.004790783576007854,0.003460864238512265,0.006889584009246495,0.003421052631578947,0.003178246578445648,0.002283731699951128,0.004558373563206766,0.0020202020202020198,0.0021736694974834447,0.0012423643801980533,0.0027980396602059862,0.0028112449799196785,0.0035998102934512275,0.0015230694102841597,0.004099420549555198,0.0017251461988304093,0.0012508333120589145,0.001277541246643946,0.0021727511510168727
