Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0009608277900960827,0.0013881647795549725,0.00046407940340907215,0.0014575761767830933,0.001014832162373146,0.0017047588800810452,0.0004047920318044259,0.001624872292941866,0.00078125,0.0013931851057862605,0.00028270511264335413,0.001279794887356646,0.0014814814814814816,0.0016658386855881618,0.0008853687636440387,0.0020775941993189245,0.000984848484848485,0.001542978531646279,0.00043270070846295914,0.0015369962612340107,0.000809061488673139,0.001326874450462461,0.0003342455645760391,0.0012838774127702389,0.0009592326139088727,0.0014903008783354085,0.00042593529366661664,0.0014925299341511287,0.0010007698229407237,0.0014458713985664956,0.00048337138784640095,0.0015181682580350463,0.001126126126126126,0.0016465839583033703,0.0005369036239573768,0.0017153486282948751,0.0012170385395537525,0.0016504588323427436,0.0006264294315180176,0.0018076476475894876,0.0012638230647709317,0.0016280684087829726,0.0006812262669049741,0.0018464198626368894,0.0009195402298850573,0.0012720911375928663,0.00046432826252720366,0.001374752197242911,0.0011096316023080336,0.0010538982608214618,0.0007324989531400136,0.0014867642514760535,0.0007146503318019398,0.0009629559338895201,0.00037006097637710733,0.0010592396872267722,0.0009743589743589742,0.0011052236958217505,0.0005788597541556508,0.0013698581945622975,0.0009348524685948001,0.0006482734054724516,0.0007028708097576031,0.0011668341274319973
0.004,0.012,0.00113,0.00015120207989811923,0.00015120207989811923,0.0010758930305974264,0.0011841069694025735,0.00113,0.0009608277900960827,0.0015053449089231991,0.00042214703264678924,0.001499508547545376,0.0012490241998438722,0.00236068821074347,0.0004042627727935429,0.0020937856268942014,0.0005208333333333333,0.0014345348813014265,7.491618842365684e-06,0.001034175047824301,0.001646090534979424,0.0023677200073352303,0.0007988128118352061,0.002493368258123642,0.0011363636363636363,0.0015506550891386654,0.0005814688391591013,0.0016912584335681713,0.000809061488673139,0.0019473193133149368,0.00011222222182200579,0.0015059007555242722,0.0013589128697042365,0.0018557658578601127,0.0006948355861296023,0.0020229901532788706,0.0010777521170130871,0.0017923306056844364,0.0004363748468961153,0.001719129387130059,0.001126126126126126,0.0015366852234707505,0.0005762303811486585,0.0016760218711035933,0.0014198782961460446,0.001856766186385586,0.0007554430496058429,0.002084313542686246,0.0018430753027909423,0.001611242664949869,0.001266499520028525,0.0024196510855533596,0.0011034482758620688,0.0013745458734412133,0.0006115733521385982,0.0015953231995855393,0.0010208610741233909,0.0010881493397561605,0.0006314718337684401,0.0014102503144783416,0.0011230219499744768,0.001058946106100338,0.0007440829525721128,0.0015019609473768407,0.0008717948717948715,0.0009631727931989117,0.0005271279142628072,0.0012164618293269357,0.0010371019573473565,0.0006353771413103167,0.000809735167372402,0.001264468747322311
0.008,0.024,0.0012833333333333334,0.00026920487433888725,0.00026920487433888725,0.001186999606253042,0.0013796670604136248,0.0012833333333333334,0.0008869179600886917,0.0013779500360662205,0.0003938248724145879,0.0013800110477627955,0.0010148321623731458,0.00201021039031048,0.0002954876126516605,0.0017341767120946311,0.0021701388888888886,0.0025664777516994125,0.0012517366203674933,0.003088541157410284,0.000823045267489712,0.001497477616945982,0.00028717978431825415,0.00135891075066117,0.0009090909090909092,0.0014123987869678759,0.0004036704942249529,0.0014145113239568655,0.0022653721682847896,0.002008936861152105,0.0015464833451197904,0.002984260991449789,0.0015187849720223819,0.002225077937551196,0.0007225510580011924,0.0023150188860435713,0.0010007698229407237,0.0015679227573310917,0.00043969587003164453,0.0015618437758498028,0.0012012012012012011,0.0018452865962312753,0.0005408738732402405,0.0018615285291621619,0.0010818120351588911,0.0014813321365927412,0.0005517241379310345,0.0016118999323867476,0.0014218009478672985,0.0014579605325838675,0.0009000764717236576,0.0019435254240109394,0.0015172413793103445,0.0016340306523639073,0.0009325110199800095,0.0021019717386406797,0.0011096316023080338,0.0010538982608214618,0.0007324989531400138,0.0014867642514760538,0.0013782542113323125,0.0016751455854538781,0.0007788110621502317,0.001977697360514393,0.0015897435897435895,0.0017833405001441915,0.0009515833875777973,0.0022279037919093816,0.0011393514460999127,0.000593527952533711,0.000926960195999701,0.0013517426962001244
0.012,0.036000000000000004,0.0019,0.0006736416728857234,0.0006736416728857234,0.0016589404232555157,0.0021410595767444845,0.0018999999999999998,0.0011825572801182557,0.00139425770472252,0.0006836285681616802,0.0016814859920748313,0.002888368462138954,0.003825164079907926,0.001519551075692565,0.004257185848585343,0.0030381944444444454,0.00432978857050708,0.0014887995031718588,0.004587589385717032,0.0037037037037037034,0.004337679854912204,0.002151484902573219,0.005255922504834188,0.0014393939393939393,0.0021087670453610197,0.0006847813436056759,0.002194006535182203,0.0011326860841423948,0.0013867632614644801,0.0006364392242630216,0.001628932944021768,0.0016786570743405273,0.0020063789605133707,0.0009606835841635931,0.0023966305645174617,0.0021555042340261742,0.0032623258527786515,0.0009880959204867329,0.0033229125475656156,0.0022522522522522522,0.0028365924771279393,0.0012371906706195983,0.0032673138338849064,0.00196078431372549,0.0020960484224839117,0.0012107230186820194,0.002710845608768961,0.002001053185887309,0.0014919955379176122,0.0014671494395018156,0.0025349569322728025,0.0015632183908045978,0.0013423506361975952,0.0010828643847670665,0.002043572396842129,0.0023524189968930314,0.0016283174796694572,0.0017697330701550162,0.0029351049236310467,0.0019397651863195511,0.001446298890508191,0.0014222137751985445,0.0024573165974405577,0.0014358974358974358,0.001335915339862476,0.0009578462710783282,0.0019139486007165433,0.001533742331288344,0.0008745333042799979,0.0012207946074998038,0.0018466900550768842
0.016,0.048,0.00206,0.0008900213093148291,0.0008900213093148291,0.0017415099647889506,0.00237849003521105,0.00206,0.001995565410199557,0.0021275515408519688,0.0012342308690289523,0.0027568999513701616,0.002654176424668228,0.002661924014781899,0.001701619149551197,0.003606733699785259,0.004427083333333333,0.005032502565935702,0.002626225418303799,0.0062279412483628675,0.004609053497942386,0.0055679190119145554,0.0026165992683665675,0.006601507727518205,0.0012121212121212121,0.001429114147340583,0.0007007192823657221,0.001723523141876702,0.0020226537216828477,0.002710553768931383,0.0010526945125342631,0.0029926129308314323,0.0016786570743405275,0.0024512424009390642,0.0008014912464943282,0.002555822902186727,0.0018475750577367207,0.0021356935945670763,0.0010833269200631163,0.002611823195410325,0.002927927927927928,0.002720120945516546,0.001954545148606822,0.003901310707249034,0.0022988505747126436,0.00217901545630864,0.0015190999079118424,0.003078601241513445,0.001790416008425487,0.00197807998603252,0.001082569176211137,0.002498262840639837,0.0017931034482758616,0.0013625618097205536,0.001305516966678909,0.0022806899298728144,0.0022192632046160675,0.0023283124208977823,0.0013860873051705512,0.0030524391040615837,0.0008167432363450741,0.0011884826221460352,0.00039145019199492284,0.0012420362806952255,0.0013846153846153843,0.0010953333520028474,0.0009926553784939765,0.0017765753907367922,0.0018258837277242187,0.000949556397334307,0.0014860893348745711,0.0021656781205738663
0.02,0.060000000000000005,0.00356,0.004202593616262257,0.004202593616262257,0.002056121188546022,0.005063878811453978,0.0035600000000000002,0.002365114560236512,0.0023961317056806174,0.0015076698414128375,0.0032225592790601863,0.005620608899297425,0.009339374172944276,0.0022785567730623053,0.008962661025532545,0.01032986111111111,0.02228134300325937,0.0023565849171730043,0.01830313730504922,0.008395061728395064,0.01713859698009544,0.0022620935640027783,0.014528029892787349,0.0025,0.0036961195212724773,0.0011773606158030608,0.003822639384196939,0.002508090614886731,0.002587863132014124,0.0015820356863018624,0.0034341455434715997,0.002717825739408473,0.003491280775993315,0.0014684869588192956,0.00396716451999765,0.0039260969976905305,0.005006809096692563,0.002134433372548551,0.00571776062283251,0.00412912912912913,0.007246015557597088,0.0015361757628153208,0.006722082495442939,0.003313049357674104,0.003512614534037805,0.002056076389813608,0.0045700223255346,0.0033175355450236967,0.003528836660381424,0.0020547575638041895,0.004580313526243204,0.004183908045977011,0.004839236268454361,0.0024522095872950194,0.005915606504659003,0.004704837993786063,0.0063881610281574484,0.0024188639283358733,0.006990812059236252,0.002399183256763655,0.0036568892343096116,0.0010905822504632646,0.003707784263064046,0.0027692307692307695,0.0031915006490008655,0.0016271669293673372,0.003911294609094201,0.0018843120070113936,0.001582717963793271,0.0013179436574650904,0.0024506803565576968
0.024,0.07200000000000001,0.0039299999999999995,0.0019255361993928896,0.0019255361993928896,0.0032409557203558355,0.004619044279644163,0.0039299999999999995,0.0025129342202512934,0.0029538434859788846,0.0014559149039592113,0.0035699535365433755,0.007962529274004685,0.007671723117385871,0.005217238413871636,0.010707820134137734,0.00685763888888889,0.007057088981233588,0.004332292029664935,0.009382985748112844,0.005596707818930041,0.007615450357844058,0.0028715539071827475,0.008321861730677334,0.0029545454545454545,0.0033841827780056633,0.0017435312003391107,0.004165559708751798,0.0040453074433656954,0.003788882071502056,0.0026894734068838248,0.005401141479847566,0.0037569944044764185,0.0031288291418845207,0.002637357275411158,0.004876631533541679,0.004387990762124711,0.0048272680168243935,0.002660575087285252,0.00611540643696417,0.004654654654654655,0.004343718375372981,0.003100274996728892,0.006209034312580419,0.004394861392832996,0.003576655317137785,0.0031149717250564526,0.0056747510606095395,0.004054765666140074,0.0037033608875070784,0.0027295349923156876,0.00537999633996446,0.003540229885057471,0.0034303139000767028,0.002312707820825723,0.004767751949289219,0.005548158011540169,0.004197424909423323,0.004046128798074351,0.007050187225005987,0.002960694231750893,0.002410746643002776,0.0020980196247732765,0.0038233688387285096,0.002307692307692308,0.002166314799904023,0.0015324865124166885,0.0030828981029679273,0.0028337715454279867,0.0016425984331492418,0.0022459752451191124,0.003421567845736861
0.028,0.084,0.013793333333333333,0.024484490986144164,0.024484490986144164,0.005031670758866529,0.022554995907800135,0.013793333333333333,0.009534368070953435,0.01494966928022885,0.00418469762416484,0.014884038517742032,0.027088212334113976,0.05182486701635261,0.008542921847133615,0.04563350282109434,0.034201388888888885,0.07017345144878051,0.009090141788514985,0.059312635989262785,0.035637860082304525,0.07459638004161383,0.00894388831171809,0.062331831852890957,0.00909090909090909,0.015655161114963977,0.0034887816333340057,0.014693036548484174,0.008656957928802589,0.016334159040187438,0.0028118541842000275,0.01450206167340515,0.013669064748201438,0.023632213616481743,0.005212385713603282,0.022125743782799592,0.017090069284064667,0.030666166888479843,0.0061163223974662305,0.028063816170663104,0.01659159159159159,0.030295085570611942,0.005750634449190285,0.027432548733992895,0.015077755240027045,0.029368600440348377,0.004568336543584205,0.025587173936469886,0.013428120063191152,0.024766572285600585,0.004565515992092747,0.022290724134289557,0.012597701149425286,0.021348935757158703,0.004958082603381309,0.020237319695469262,0.019351975144252107,0.03553165884842747,0.006637134320435761,0.03206681596806846,0.009851965288412456,0.017225957662480626,0.00368773550531765,0.016016195071507262,0.007897435897435896,0.011866999698055082,0.003650884593408477,0.012143987201463315,0.006704645048203331,0.009473094384458147,0.0033147417588244117,0.010094548337582249
0.032,0.096,0.04315,0.05451663934540758,0.05451663934540758,0.023641471155815774,0.06265852884418423,0.04315,0.02586844050258684,0.0337544189958907,0.013789576792227101,0.03794730421294658,0.08056206088992975,0.10415369188513877,0.04329114091454667,0.11783298086531283,0.10998263888888887,0.13779222170589916,0.06067432561186723,0.15929095216591052,0.09637860082304527,0.12698158225312567,0.05093882519105866,0.14181837645503187,0.0303030303030303,0.04101924100250262,0.015624483425006783,0.04498157718105382,0.027669902912621353,0.033423624412375695,0.015709412523718852,0.039630393301523854,0.046203037569944046,0.06023396321552789,0.02464859065430444,0.06775748448558365,0.057120862201693594,0.07523715444025167,0.030197592257402067,0.08404413214598512,0.05705705705705706,0.07473699376522168,0.030312767311704947,0.08380134680240918,0.04685598377281948,0.059461272670101095,0.025578040617758004,0.06813392692788095,0.04023170089520801,0.05116501299453983,0.02192253613740046,0.058540865653015556,0.03908045977011495,0.049117625888606964,0.021503943078858972,0.056656976461370925,0.0644030181979583,0.08133634671553912,0.035297180328399125,0.09350885606751747,0.028483920367534457,0.036043826296741875,0.015585802776139157,0.04138203795892976,0.027538461538461536,0.034975958746934904,0.015022475442098174,0.040054447634824894,0.021180251241600934,0.026780394218131873,0.011597010246995124,0.030763492236206745
0.036000000000000004,0.10800000000000001,0.17682333333333336,0.0833062637183582,0.0833062637183582,0.14701256971758764,0.20663409694907908,0.1768233333333333,0.11574279379157429,0.05973343588895701,0.09436745827944296,0.13711812930370562,0.30640124902419985,0.14778891800827915,0.25351566391782143,0.35928683413057827,0.3986111111111111,0.18487108429419088,0.33245584322017774,0.4647663790020444,0.3665020576131687,0.1729813725794876,0.3046014684170413,0.4284026468092961,0.12590909090909091,0.061866913302083375,0.10377030030962948,0.14804788150855233,0.12548543689320388,0.06478151122077153,0.10230367082334202,0.14866720296306574,0.17849720223820945,0.08817792194526211,0.14694313811495419,0.2100512663614647,0.24149345650500384,0.1153853025630743,0.2002033562663456,0.28278355674366207,0.2331831831831832,0.11192041586756574,0.19313297672471363,0.2732333896416528,0.19357674104124406,0.09296458033440688,0.16030979321178226,0.22684368887070586,0.1723012111637704,0.08305587658072211,0.14258004743450772,0.20202237489303307,0.1702528735632184,0.08087323919477347,0.14131275659163267,0.1991929905348041,0.2575233022636485,0.12461600340109699,0.2129300381522199,0.3021165663750771,0.13272077590607453,0.06414394707623582,0.10976715923524089,0.15567439257690818,0.11451282051282052,0.05754365759504487,0.09392108709946295,0.1351045539261781,0.09274028629856851,0.04363896998753627,0.07712428144290501,0.10835629115423201
