Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0013468013468013467,0.0015315111991493,0.0007987571026487192,0.0018948455909539742,0.0010191846522781775,0.001221062147345976,0.0005822331745630133,0.0014561361299933416,0.0009633911368015414,0.0015799776693368032,0.00039800338903274056,0.0015287788845703423,0.001237842617152962,0.002282138287278919,0.0004211899192175676,0.0020544953150883564,0.001407211961301671,0.0019269043359900302,0.0007176781002638524,0.0020967458223394896,0.0008646392367322598,0.0007605432090925888,0.0005924823446350389,0.0011367961288294808,0.0009907120743034056,0.0007899497640350005,0.0007080321816656083,0.001273391966941203,0.000847808105872622,0.0006811818697510945,0.0006040503043328246,0.0010915659074124194,0.0007395668251452721,0.0005479332862785427,0.0005434914168221789,0.0009356422334683653,0.0010663507109004739,0.0010934703994379008,0.0006750573537927431,0.0014576440680082047,0.0009057971014492755,0.0013244262273309712,0.00043185726274832533,0.0013797369401502256,0.0013499480789200414,0.0019503498927703818,0.000652024333138603,0.0020478718247014796,0.002116402116402116,0.0035696543262603454,0.0008390177210361675,0.0033937865117680648,0.0007575757575757576,0.0028830469511643463,-0.00027410934409705806,0.0017892608592485733,0.0008771929824561403,0.004804583837764615,-0.0008421052631578949,0.0025964912280701754,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.004,0.012,0.0013066666666666667,0.00020330600909302543,0.00020330600909302543,0.001233914545659021,0.0013794187876743124,0.001306666666666667,0.001616161616161616,0.0020132237540300595,0.0008957387480817854,0.0023365844842414465,0.0012589928057553958,0.001646377212028946,0.0006698442867907925,0.0018481413247199991,0.000899165061014772,0.0013129968929885547,0.00042931515708174024,0.0013690149649478037,0.0015915119363395225,0.0021582923192174338,0.0008191769489081769,0.002363846923770868,0.0017590149516270891,0.00222739381032706,0.0009619523131762598,0.0025560775900779183,0.0016994633273703036,0.0012057700856479405,0.0012679840436550858,0.0021309426110855214,0.0013003095975232198,0.0009104628814617232,0.0009745046396640311,0.0016261145553824086,0.00130272952853598,0.0009265910561991371,0.0009711531774682812,0.001634305879603679,0.001241415742208135,0.0010338524185149326,0.0008714564055835603,0.0016113750788327099,0.0010268562401263824,0.0010658209599734684,0.0006454571078607198,0.001408255372392045,0.0008454106280193237,0.0010350479415278367,0.000475023478978922,0.0012157977770597254,0.001246105919003115,0.002399165414140059,0.0003875756015494355,0.0021046362364567947,0.0008818342151675485,0.0020055503798383687,0.0001641572287772032,0.0015995112015578937,0.0022727272727272726,0.00462316025196007,0.0006183506235135383,0.003927103921941007,0.0008771929824561403,0.004804583837764616,-0.0008421052631578951,0.002596491228070176,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.008,0.024,0.0016166666666666669,0.0005113088906025353,0.0005113088906025353,0.0014336971300191797,0.001799636203314154,0.0016166666666666669,0.0018855218855218852,0.0018327012915550227,0.0012296981510002403,0.00254134562004353,0.0017985611510791366,0.001889301192226224,0.0011224834022220483,0.002474638899936225,0.002504816955684007,0.0028690566904094254,0.0014781382045264133,0.003531495706841601,0.0014146772767462423,0.002058565390613689,0.000678029112394389,0.0021513254410980955,0.0018469656992084436,0.0026064836729482893,0.0009142474956258823,0.002779683902791005,0.0014907573047107932,0.0013962606560454802,0.0009911118458283865,0.0019904027635931996,0.0018782249742002066,0.0013651698542415866,0.0013897052158573576,0.0023667447325430553,0.001323407775020678,0.0010007222304356787,0.000965303923941762,0.0016815116260995942,0.001399894347596408,0.001327287207017479,0.0009249307204630265,0.0018748579747297897,0.0018562401263823066,0.0013084454430739047,0.001388018937883846,0.002324461314880767,0.001388888888888889,0.0016943129269308239,0.0007825867946478475,0.0019951909831299303,0.0011422637590861888,0.0020831001104653327,0.00039683595799118964,0.0018876915601811878,0.0008818342151675485,0.0020055503798383687,0.0001641572287772032,0.0015995112015578937,0.0015151515151515152,0.003928930723201824,0.00010920171228933511,0.002921101318013695,0.0008771929824561403,0.004804583837764615,-0.0008421052631578949,0.0025964912280701754,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.012,0.036000000000000004,0.002256666666666667,0.0011125253451846214,0.0011125253451846214,0.0018585545847954923,0.002654778748537841,0.0022566666666666664,0.0022222222222222222,0.0024513749262592894,0.0013450089707992352,0.003099435473645209,0.0017386091127098327,0.0023843462598256144,0.0008853817615222516,0.0025918364638974137,0.0021836865767501604,0.0026162256413270243,0.0012474822545550496,0.0031198908989452712,0.002122015915119363,0.002988020413660721,0.0010527665423254054,0.003191265287913321,0.0026385224274406336,0.0030203243877168287,0.001557713225992116,0.003719331628889151,0.003339296362552176,0.0025508944109967125,0.002426470520883897,0.004252122204220455,0.0030546955624354997,0.002744827786954519,0.00207247155345261,0.00403691957141839,0.001923076923076923,0.0013566699142542355,0.0014375988291948354,0.0024085550169590103,0.0016904384574749076,0.0010759279776931263,0.0013054225753677266,0.0020754543395820886,0.0015402843601895735,0.0015911436826537906,0.0009709009058716428,0.0021096678145075044,0.002053140096618358,0.0020591332505649836,0.0013162887261926838,0.0027899914670440323,0.001973001038421599,0.0022379919074272214,0.0011721459196298227,0.0027738561572133755,0.0024691358024691358,0.0036055311505876183,0.0011789130503990647,0.003759358554539207,0.0007575757575757576,0.0028830469511643463,-0.00027410934409705806,0.0017892608592485733,0.0008771929824561403,0.004804583837764616,-0.0008421052631578951,0.002596491228070176,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.016,0.048,0.0068,0.005905111754030249,0.005905111754030249,0.004686882897316107,0.008913117102683893,0.0068,0.004848484848484849,0.005214340207903956,0.0029825571689597354,0.006714412528009963,0.005035971223021583,0.006619298237953908,0.0026672857692976344,0.007404656676745532,0.007514450867052023,0.008899665858917803,0.0043297463401959484,0.010699155393908097,0.004420866489832007,0.004368728190029688,0.00285753718467053,0.0059841957949934846,0.012225153913808266,0.013987229925983315,0.00721988796679298,0.01723041986082355,0.01216457960644007,0.01298016666418424,0.007519686619435212,0.016809472593444928,0.009184726522187823,0.00866428126801589,0.006084253289414135,0.01228519975496151,0.006989247311827958,0.0065183486345336186,0.004656686209747478,0.009321808413908438,0.004727945060750134,0.00353441065476934,0.00346317245125567,0.0059927176702445975,0.003554502369668246,0.0030644985443044896,0.002457885649298801,0.004651119090037691,0.004106280193236715,0.004226755659316483,0.0025937551057188127,0.005618805280754618,0.002803738317757009,0.0033080330889285223,0.0016199738798209746,0.003987502755693043,0.0029982363315696646,0.004323810339454374,0.0014509806728047541,0.004545491990334575,0.0011363636363636363,0.003467370188970053,-0.00010441885054666479,0.002377146123273937,0.0017543859649122805,0.006676529781643747,-0.0006347795336984494,0.00414355146352301,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.02,0.060000000000000005,0.02344666666666667,0.03347715364382035,0.03347715364382035,0.011467021088299379,0.03542631224503397,0.02344666666666667,0.020067340067340067,0.029495490246319755,0.009512514436985881,0.030622165697694253,0.02553956834532374,0.03604680721833403,0.012640384044836297,0.03843875264581118,0.019588953114964676,0.026865974489558544,0.009975087613535499,0.02920281861639385,0.02183908045977011,0.02998301113147318,0.01110979772119436,0.032568363198345864,0.0484608619173263,0.07496082530612573,0.02163647508373845,0.07528524875091415,0.038431723315444234,0.05542008499377883,0.018599900598012704,0.058263546032875764,0.029287925696594427,0.04291515994974405,0.013930932936495265,0.04464491845669359,0.02514474772539289,0.0370796548271053,0.011875963654829775,0.038413531795956,0.01716851558372953,0.02498873627835753,0.008226411148836175,0.026110620018622882,0.011295418641390205,0.015226571702480408,0.005846659935376876,0.016744177347403532,0.011714975845410628,0.01565444498920359,0.006113104650147753,0.017316847040673503,0.009761163032191069,0.01277227999113698,0.005190661335738232,0.014331664728643907,0.006525573192239858,0.010180613074769479,0.0028824875911214543,0.010168658793358262,0.004545454545454545,0.01016394535227177,0.0009083334122310387,0.008182575678678052,0.003508771929824561,0.01142559172250802,-0.0005798235587599117,0.007597367418409034,0.005714285714285714,0.02174641128878249,-0.002067567624046378,0.013496139052617807
0.024,0.07200000000000001,0.24791000000000002,0.11419113846287844,0.11419113846287844,0.20704722589650132,0.2887727741034987,0.24791000000000002,0.21710437710437713,0.10240861648633669,0.18045792434050192,0.2537508298682523,0.2529376498800959,0.11803075913639034,0.21070088516456875,0.2951744145956231,0.24283879254977522,0.11380506548106287,0.20211417288851918,0.28356341221103126,0.2484526967285588,0.11641392532866833,0.2067945085605395,0.2901108848965781,0.46068601583113455,0.21230945875588197,0.3847120517393592,0.5366599799229099,0.39105545617173526,0.18064579347766135,0.3264121891810606,0.45569872316240995,0.31479876160990716,0.1460183087711218,0.26254678088174455,0.3670507423380698,0.260070306038048,0.1206345864522374,0.21690177368411892,0.303238838391977,0.193026941362916,0.08934993355850322,0.16105347827015037,0.22500040445568165,0.13199052132701422,0.062278435979704526,0.10970446922862688,0.15427657342540158,0.12016908212560387,0.05632810131383767,0.10001232994106736,0.1403258343101404,0.09719626168224299,0.045743905149142755,0.08082701545278236,0.11356550791170363,0.06137566137566137,0.03182499454144479,0.049987233339147015,0.07276408941217571,0.05,0.03317741629238374,0.03812761405532238,0.06187238594467762,0.05087719298245614,0.041426777838968754,0.03605281092044605,0.06570157504446623,0.039999999999999994,0.037963647933138264,0.026414883059066047,0.053585116940933944
0.028,0.084,0.44157666666666656,0.015666561872968176,0.015666561872968176,0.4359704595002349,0.44718287383309824,0.44157666666666656,0.4118518518518518,0.029422877229085764,0.40132301045600255,0.42238069324770106,0.4679856115107913,0.03710204659316622,0.4547088146496506,0.48126240837193207,0.44656390494540793,0.027911104247773953,0.43657604456317034,0.4565517653276455,0.47064544650751544,0.03124312436759771,0.4594652380385747,0.4818256549764562,0.7372031662269127,0.033637191336081895,0.725166251895865,0.7492400805579604,0.6486881335718544,0.0280212221166339,0.6386608680163209,0.6587153991273879,0.5503199174406604,0.021266121744712603,0.5427099335083767,0.5579299013729442,0.46546732837055416,0.022138747933634018,0.4575450791669483,0.47338957757416,0.36008980454305334,0.019094334346935547,0.3532569847500433,0.3669226243360634,0.2578988941548183,0.018524258458763296,0.2512700733984569,0.2645277149111797,0.22741545893719808,0.018637745797802845,0.2207460272581223,0.23408489061627386,0.1913811007268951,0.026124237713244902,0.18203266232202311,0.20072953913176708,0.13121693121693123,0.023840924782012527,0.122685565850935,0.13974829658292748,0.09318181818181819,0.025740666894515544,0.08397063883162781,0.10239299753200856,0.09561403508771929,0.048614058120319936,0.07821771780806656,0.11301035236737202,0.08761904761904762,0.042400412498712674,0.0724462548686426,0.10279184036945264
0.032,0.096,0.54227,0.016713883347436783,0.016713883347436783,0.5362890136571713,0.5482509863428288,0.54227,0.5136026936026936,0.032059545015956946,0.5021303327568135,0.5250750544485737,0.5842326139088728,0.03187787553392419,0.5728252626522282,0.5956399651655174,0.554592164418754,0.028939728014794493,0.5442362157487995,0.5649481130887085,0.5645446507515474,0.0293731622521787,0.5540335996317061,0.5750557018713887,0.8311345646437994,0.02554385953008681,0.8219938119044898,0.840275317383109,0.7572748956469886,0.022729658786808018,0.7491411917102608,0.7654085995837163,0.6636945304437564,0.02097886040093555,0.6561873416631581,0.6712017192243547,0.583291976840364,0.02472492678121768,0.5744442754216161,0.592139678259112,0.459270998415214,0.022116240111677028,0.4513568035322548,0.4671851932981732,0.3400078988941548,0.02057960029000322,0.3326435835093487,0.34737221427896087,0.2986714975845411,0.021914033481166894,0.29082966141501615,0.30651333375406603,0.2596053997923157,0.023317291589081957,0.2512614141579155,0.267949385426716,0.1832451499118166,0.02991377726141261,0.17254064219545953,0.19394965762817365,0.13106060606060604,0.03476774982986625,0.1186191265683368,0.14350208555287527,0.11842105263157893,0.048744873178521865,0.10097792378454368,0.13586418147861418,0.10761904761904763,0.055990012848921786,0.0875832788379067,0.12765481640018855
0.036000000000000004,0.10800000000000001,0.6148633333333334,0.011293314572037234,0.011293314572037234,0.6108220726151304,0.6189045940515364,0.6148633333333332,0.6030303030303031,0.022965009154558826,0.5948123800460903,0.611248226014516,0.6652877697841727,0.017882051144946814,0.6588887599636277,0.6716867796047177,0.6369942196531792,0.024469585555156766,0.6282378909186893,0.645750548387669,0.6519893899204244,0.025436354796715785,0.6428871072558854,0.6610916725849635,0.8851363236587511,0.018756411978985147,0.8784244278321008,0.8918482194854013,0.8225402504472272,0.015025217945576031,0.8171635452577479,0.8279169556367065,0.7463983488132094,0.01618807739551821,0.7406055197137951,0.7521911779126238,0.6630479735318445,0.01970692593349287,0.6559959406549108,0.6701000064087782,0.5394875858425778,0.01891478588729274,0.5327190166406888,0.5462561550444669,0.39960505529225904,0.01997186613863774,0.3924582147805168,0.4067518958040013,0.3483695652173913,0.020601314317776967,0.34099747956753895,0.3557416508672437,0.3062305295950155,0.02257075529651791,0.29815368854200525,0.3143073706480258,0.2181657848324515,0.027393792008595586,0.2083630422575593,0.2279685274073437,0.15984848484848485,0.045643546458763846,0.1435151515151515,0.1761818181818182,0.1491228070175439,0.05094077842316953,0.13089388357057222,0.1673517304645156,0.1380952380952381,0.05912014191390481,0.11693936701352527,0.15925110917695096
