Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0007407407407407407,0.0011233402358940114,0.0003387585999318887,0.0011427228815495928,0.0011390887290167867,0.0012920780616621189,0.0006767245327359229,0.0016014529252976505,0.001348747591522158,0.001444532926026889,0.0008318281226748305,0.0018656670603694856,0.0010610079575596816,0.0014940102068303608,0.0005263832711627026,0.0015956326439566606,0.001319261213720317,0.0016615396567873416,0.0007246868835819289,0.001913835543858705,0.0011627906976744186,0.0010544153521589651,0.0007854730097477023,0.001540108385601135,0.0010319917440660476,0.0007684581947194624,0.0007570025107376503,0.001306980977394445,0.0007650951199338295,0.0008256132526426392,0.0004696532117987405,0.0010605370280689186,0.0008716323296354989,0.0007882837873478794,0.0005895485990987534,0.0011537160601722443,0.0013033175355450237,0.0010010222416618117,0.0009451063268276165,0.001661528744262431,0.0006038647342995169,0.0011972727395856279,0.0001754261868209064,0.0010323032817781273,0.0005192107995846313,0.0011808380741104411,9.665332161648419e-05,0.0009417682775527784,0.0014109347442680775,0.0027557167183184543,0.0004248141812395543,0.002397055307296601,0.0007575757575757576,0.0028830469511643463,-0.00027410934409705806,0.0017892608592485733,0.0008771929824561403,0.004804583837764616,-0.0008421052631578951,0.002596491228070176,0.0038095238095238095,0.009878454389764585,0.00027456430518461384,0.007344483313863006
0.004,0.012,0.0014166666666666668,0.00039486648405490815,0.00039486648405490815,0.0012753655100605104,0.0015579678232728231,0.0014166666666666668,0.0010774410774410774,0.0013766573484061816,0.0005848105721052321,0.0015700715827769228,0.0012589928057553958,0.0015771704844765484,0.0006946095961876798,0.0018233760153231117,0.0010276172125883109,0.0015786266834810908,0.00046271290889916545,0.0015925215162774563,0.0011494252873563218,0.0016606427468946752,0.0005551719123010388,0.001743678662411605,0.0021987686895338612,0.001970026340640751,0.0014938038173103081,0.0029037335617574144,0.0020870602265951107,0.0018986355295357153,0.0014076422280302255,0.002766478225159996,0.0017750257997936017,0.0013083003501952982,0.001306856532114938,0.0022431950674722655,0.0012200165425971876,0.0009974016077512705,0.0008631009610850913,0.0015769321241092841,0.0012414157422081355,0.0010338524185149326,0.0008714564055835607,0.0016113750788327103,0.001421800947867299,0.0011807414197214214,0.0009992780572280618,0.001844323838506536,0.0010869565217391304,0.0014740510948278486,0.0005594741118448962,0.0016144389316333648,0.001246105919003115,0.0017546475014798939,0.0006182133745431119,0.0018739984634631183,0.000529100529100529,0.0016144369133828818,-4.861830078363232e-05,0.0011068193589846903,0.0007575757575757576,0.0028830469511643463,-0.00027410934409705806,0.0017892608592485733,0.0008771929824561403,0.004804583837764616,-0.0008421052631578951,0.002596491228070176,0.0,0.0,0.0,0.0
0.008,0.024,0.0018633333333333338,0.0006088334426750391,0.0006088334426750391,0.0016454650839264576,0.0020812015827402102,0.0018633333333333338,0.0022222222222222222,0.002009725534612169,0.0015030511758840955,0.002941393268560349,0.0019184652278177456,0.0023584755529352176,0.001074495590195248,0.002762434865440243,0.001734104046242774,0.001916790249774612,0.0010481894644751963,0.0024200186280103515,0.0015915119363395225,0.002267919218713246,0.0007799474667428809,0.002403076405936164,0.0031662269129287598,0.004564798942164908,0.0015327345902104589,0.004799719235647061,0.002206320810971974,0.001423653713334922,0.0016968728724305476,0.0027157687495134005,0.0019195046439628488,0.0013044208975686808,0.001452723620577574,0.0023862856673481235,0.0018403639371381308,0.001298018321462455,0.0013758740461877446,0.002304853828088517,0.0019017432646592713,0.0011321461642781407,0.001496609962848121,0.0023068765664704216,0.0013428120063191155,0.001234195402280066,0.0009011608536831181,0.0017844631589551128,0.001811594202898551,0.0018425638685348109,0.001152241190530758,0.002470947215266344,0.001557632398753894,0.0022775179984009224,0.0007426330499597367,0.0023726317475480513,0.000529100529100529,0.0016144369133828818,-4.861830078363232e-05,0.0011068193589846903,0.0,0.0,0.0,0.0,0.0008771929824561403,0.004804583837764615,-0.0008421052631578949,0.0025964912280701754,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.012,0.036000000000000004,0.005503333333333334,0.0034572745228628843,0.0034572745228628843,0.004266163534142192,0.006740503132524476,0.005503333333333334,0.005050505050505052,0.0044938829115099155,0.0034423897034433493,0.006658620397566754,0.0038968824940047967,0.004146879832530702,0.0024129406040117934,0.0053808243839978,0.004046242774566474,0.0030084538246809424,0.00296968139954605,0.0051228041495868975,0.004155614500442087,0.0044973415302584615,0.002546261502556211,0.005764967498327963,0.009058927000879508,0.008533864068102191,0.006005122963728357,0.012112731038030658,0.008199165175909361,0.007913854636352018,0.005367228664493424,0.011031101687325299,0.006480908152734777,0.005192622850491265,0.004622751929751961,0.008339064375717593,0.005748552522746071,0.004016788266460989,0.004311163301801071,0.007185941743691071,0.004780771262546222,0.0034663714209862036,0.0035403461801688406,0.006021196344923604,0.004660347551342812,0.0034917561094114525,0.0034108386748744743,0.00590985642781115,0.005193236714975845,0.0037681319596271504,0.003844828010665807,0.006541645419285884,0.001973001038421599,0.002648870117649577,0.0010251150404007486,0.0029208870364424494,0.003527336860670194,0.004011100759676737,0.0020919828878895033,0.004962690833450884,0.0018939393939393942,0.004307375247607406,0.00035256495726012954,0.0034353138306186587,0.0008771929824561403,0.004804583837764615,-0.0008421052631578949,0.0025964912280701754,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.016,0.048,0.12477,0.08424747678611857,0.08424747678611857,0.09462242761354869,0.15491757238645132,0.12477,0.07946127946127947,0.05320497238444106,0.060422124610966244,0.0985004343115927,0.08788968824940045,0.06150163890275694,0.06588160941502332,0.10989776708377759,0.08657675016056518,0.0600795079712586,0.0650775743442476,0.10807592597688276,0.12811671087533155,0.09162990472883305,0.0953273705774712,0.1609060511731919,0.2371152154793316,0.16011278063151665,0.17981959277078308,0.2944108381878801,0.19994036970781162,0.13516066865508644,0.1515737455960284,0.24830699381959484,0.15347781217750256,0.10405980556166272,0.11624048899149607,0.19071513536350904,0.12915632754342432,0.0882496790113582,0.09757658548384507,0.16073606960300357,0.10625990491283675,0.07145772447618208,0.08068908661182203,0.13183072321385148,0.09328593996840441,0.064230938482978,0.07030119382245999,0.11627068611434883,0.09221014492753625,0.06178562942550228,0.07010044138974791,0.11431984846532459,0.07403946002076842,0.05163609258160104,0.055561721597701286,0.09251719844383555,0.03474426807760141,0.026967606167623275,0.02509403414725191,0.04439450200795092,0.019696969696969692,0.017638162551394564,0.01338523428877313,0.026008705105166254,0.014035087719298244,0.020423135585825286,0.006726762509807488,0.021343412928789,0.013333333333333334,0.020865621238292043,0.005866666666666667,0.020800000000000003
0.02,0.060000000000000005,0.39645666666666673,0.10852850788151704,0.10852850788151704,0.3576202388925985,0.435293094440735,0.3964566666666667,0.26888888888888896,0.07792912306274578,0.2410023103446885,0.2967754674330894,0.3121702637889688,0.08656794160859736,0.2811923237301005,0.34314820384783706,0.29653179190751444,0.0858905766260892,0.2657962437946276,0.3272673400204013,0.4204244031830238,0.1218084484849987,0.37683580969546315,0.4640129966705845,0.6396657871591906,0.17457161888087852,0.577196135632506,0.7021354386858752,0.5646094215861658,0.15525254091569746,0.5090530133234119,0.6201658298489197,0.47475748194014444,0.13017819533370892,0.42817381300814816,0.5213411508721407,0.42458643507030597,0.11768310074910564,0.38247407831091296,0.466698791829699,0.3701796090861068,0.10165831301783715,0.333801648970217,0.4065575692019966,0.3109794628751975,0.0878931892563103,0.2795272890361196,0.3424316367142754,0.3144323671497584,0.08880658751505864,0.2826533379415496,0.3462113963579672,0.25347871235721703,0.07225563517290456,0.22762236538038885,0.2793350593340452,0.13703703703703704,0.043793065100866155,0.12136588995325309,0.152708184120821,0.07121212121212121,0.030276895731283567,0.06037767322012737,0.08204656920411506,0.06842105263157895,0.04123418368646156,0.053665589501926424,0.08317651576123149,0.03809523809523809,0.037765402985786664,0.024581062197627065,0.051609413992849115
0.024,0.07200000000000001,0.5419733333333333,0.14712176269155855,0.14712176269155855,0.48932648669095546,0.5946201799757111,0.5419733333333333,0.4031649831649831,0.11273713901776959,0.36282251608067934,0.4435074502492869,0.4562350119904078,0.12468612563166527,0.4116166549610355,0.5008533690197801,0.4416827231856134,0.12329712541163856,0.39756141350146146,0.48580403286976537,0.5784261715296197,0.15924100842848074,0.521442508497469,0.6354098345617705,0.7852242744063325,0.21499489078995562,0.7082893408027738,0.8621592080098911,0.7209004174120455,0.19584437883404265,0.6508184065006903,0.7909824283234006,0.6347574819401445,0.17254876080094209,0.5730117008807882,0.6965032629995007,0.5795078577336642,0.1571600186696284,0.5232688673229824,0.635746848144346,0.519783412572636,0.14188535691102316,0.4690103896735413,0.5705564354717308,0.44241706161137434,0.12127277167311155,0.3990201576091037,0.485813965613645,0.4525966183574879,0.12521762134440187,0.4077880680299413,0.4974051686850345,0.38390446521287636,0.10767901761717376,0.3453720236258472,0.42243690679990553,0.2054673721340388,0.0650256219536395,0.18219825216029528,0.2287364921077823,0.10378787878787879,0.045428414641546816,0.08753152938664166,0.12004422818911592,0.08859649122807016,0.05842985387397065,0.06768763654904733,0.10950534590709299,0.07333333333333332,0.03651483716701107,0.060266666666666656,0.08639999999999999
0.028,0.084,0.6762766666666665,0.01079216456935096,0.01079216456935096,0.672414740173758,0.680138593159575,0.6762766666666666,0.5272053872053871,0.025682762433492688,0.5180149287004586,0.5363958457103156,0.5832134292565948,0.02803055990373705,0.5731828222168608,0.5932440362963288,0.586062941554271,0.02819131453000546,0.575974809210317,0.596151073898225,0.7135278514588859,0.01984964130914558,0.706424748540661,0.7206309543771108,0.9078276165347408,0.01711267778885582,0.9017039234338151,0.9139513096356664,0.8510137149672033,0.019843688853482866,0.8439127421078813,0.8581146878265254,0.7747368421052631,0.011491722579215293,0.7706245819935277,0.7788491022169984,0.7286186931348222,0.01471506994191851,0.7233529729830849,0.7338844132865595,0.6631273111463283,0.019261478239366643,0.6562346796795656,0.670019942613091,0.5808451816745657,0.019810637988681837,0.5737560359153188,0.5879343274338126,0.5870169082125604,0.02814355050909918,0.5769458680039755,0.5970879484211452,0.49283489096573213,0.02399723294722912,0.48424759144116847,0.5014221904902958,0.2774250440917107,0.037249717328587284,0.2640954039365593,0.2907546842468621,0.14015151515151517,0.03484450933663711,0.1276825676225165,0.15262046268051382,0.13421052631578947,0.05998933263978217,0.11274361932741625,0.1556774333041627,0.11238095238095239,0.05561166921390037,0.09248057213082608,0.1322813326310787
0.032,0.096,0.7480999999999998,0.008926172288508541,0.008926172288508541,0.7449058102691319,0.7512941897308676,0.7480999999999999,0.6020202020202021,0.03441915965635581,0.5897034639194857,0.6143369401209186,0.6766187050359712,0.01910671135251298,0.6697814561883971,0.6834559538835453,0.6742453436095054,0.022326681724711642,0.6662558431624617,0.6822348440565491,0.7864721485411141,0.02412792798682197,0.7778380803972756,0.7951062166849526,0.9467897977132805,0.01237738355027568,0.9423606078933393,0.9512189875332218,0.8999105545617172,0.011603800524386218,0.895758187872386,0.9040629212510484,0.8402683178534573,0.00983006670773052,0.8367506736587557,0.843785962048159,0.8045492142266336,0.013654382512967652,0.7996630561966781,0.8094353722565891,0.7438193343898575,0.01700149682365972,0.7377354268863658,0.7499032418933491,0.6628357030015798,0.01487909667148111,0.6575112866384966,0.668160119364663,0.6672101449275362,0.020792688988575884,0.659769576731251,0.6746507131238213,0.5754932502596053,0.030423669097324954,0.5646062800931092,0.5863802204261014,0.3291005291005291,0.02259357317836587,0.32101552277336515,0.3371855354276931,0.18106060606060606,0.043546690340075536,0.16547762305269095,0.19664358906852117,0.17368421052631583,0.07300699945638506,0.14755899129373656,0.1998094297588951,0.15904761904761908,0.06127123088741813,0.13712199066263023,0.18097324743260793
0.036000000000000004,0.10800000000000001,0.7993166666666667,0.007292749509087702,0.007292749509087702,0.7967069897705902,0.8019263435627432,0.7993166666666667,0.6705723905723906,0.027051534528764343,0.6608921232637216,0.6802526578810596,0.7321942446043165,0.02294718465673427,0.723982700034733,0.7404057891739,0.7272960822093771,0.027101525102124154,0.7175979260037763,0.736994238414978,0.8471264367816091,0.02265225356217109,0.8390204319487816,0.8552324416144367,0.9688654353562004,0.0073461525818154455,0.9662366484159761,0.9714942222964247,0.9368515205724507,0.009412237452976329,0.9334833946563185,0.9402196464885829,0.8885655314757481,0.007312837919824489,0.885948666034211,0.8911823969172853,0.85343258891646,0.01190359686544156,0.8491729414842752,0.8576922363486448,0.7968040147913363,0.01449149978807661,0.7916182981916758,0.8019897313909968,0.7252764612954187,0.016092139816416936,0.7195179630177794,0.731034959573058,0.7293478260869565,0.02297719747724231,0.721125541567486,0.737570110606427,0.6412253374870196,0.03277628739900568,0.6294964936733439,0.6529541813006953,0.3878306878306878,0.03575463808598018,0.375036054911473,0.4006253207499026,0.2212121212121212,0.047722918645000535,0.20413469409824542,0.23828954832599697,0.20964912280701756,0.06463906465593172,0.18651833058573292,0.2327799150283022,0.14476190476190476,0.06363749081258904,0.121989521137464,0.16753428838634551
