Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0009887005649717514,0.0006646883620089373,0.0007508448893772275,0.0012265562405662752,0.0008891928864569083,0.0008260832420036569,0.0005935827947889389,0.0011848029781248777,0.0010785051417105593,0.0008541186383826953,0.0007728627122923966,0.001384147571128722,0.0011318619128466328,0.0008140293743385131,0.0008405652423259126,0.001423158583367353,0.0008202099737532807,0.000820775440882671,0.0005264992543230586,0.0011139206931835028,0.000978090766823161,0.000876338008336672,0.0006644972379819326,0.0012916842956643894,0.0012896825396825397,0.0013386203723476297,0.0008106633914203088,0.0017687016879447705,0.001147098515519568,0.0014735466433089194,0.0006197966212830428,0.0016744004097560931,0.001015697137580794,0.0017034567863112968,0.00040612295528346363,0.0016252713198781246,0.0008130081300813008,0.0014988957043626354,0.0002766351908449876,0.001349381069317614,0.0004310344827586207,0.0013152093820231235,-3.96071502073556e-05,0.0009016761157245969,0.001356589147286822,0.0025010643439074202,0.00046159476611925285,0.002251583528454391,0.0011019283746556475,0.002857404162328598,7.94194271195169e-05,0.0021244373221917783,0.0003968253968253968,0.0021735022123220873,-0.0003809523809523807,0.0011746031746031743,0.0,0.0,0.0,0.0,0.002857142857142857,0.008717959332267562,-0.00026253882423161404,0.005976824538517328
0.004,0.012,0.0012866666666666666,0.00027257815498442394,0.00027257815498442394,0.0011891258266101693,0.001384207506723164,0.001286666666666667,0.001230831315577078,0.0008776819833354374,0.0009167568514591324,0.0015449057796950239,0.001709986320109439,0.0013650376199500379,0.0012215138812001034,0.002198458759018775,0.0013794833207925758,0.0011869825738228669,0.0009547270618410033,0.0018042395797441483,0.0012733446519524619,0.001086431916158049,0.000884569983739223,0.001662119320165701,0.0010170603674540682,0.001140916658556815,0.00060878858457241,0.0014253321503357266,0.0011345852895148672,0.0011730341808850117,0.0007148203988725939,0.0015543501801571404,0.0011408730158730157,0.0011515689921542665,0.0007287893443691132,0.0015529566873769183,0.001214574898785425,0.0013657179507352336,0.0007258590066312461,0.0017032907909396038,0.0013850415512465376,0.0018899951224958813,0.0007087154826315915,0.002061367619861484,0.0009291521486643438,0.002032377285664371,0.00020187527731427247,0.001656429020014415,0.0008620689655172414,0.0017536125093641647,0.00023454678822927306,0.0014895911428052097,0.0019379844961240308,0.0027875773342173494,0.000940462758119937,0.0029355062341281245,0.0011019283746556475,0.002857404162328598,7.94194271195169e-05,0.0021244373221917783,0.0015873015873015873,0.00411602266240191,0.00011440179382692268,0.003060201380776252,0.0012578616352201257,0.004786945881178536,-0.0004551249486894546,0.002970848219129706,0.0,0.0,0.0,0.0
0.008,0.024,0.0025333333333333328,0.0029082917528233357,0.0029082917528233357,0.0014926144954059807,0.0035740521712606848,0.0025333333333333328,0.0019774011299435027,0.0021792540627454614,0.0011975650789258637,0.002757237180961142,0.00535795713634291,0.010713112021144425,0.0015243192345033418,0.009191595038182478,0.0025833960371206416,0.004100813804283704,0.001115938663627265,0.004050853410614019,0.003027730616864743,0.0027993912737074157,0.0020259813149081985,0.004029479918821287,0.0017716535433070862,0.0009808521242567713,0.0014206601184059875,0.002122646968208185,0.0016823161189358372,0.00170737010599436,0.0010713415731746136,0.0022932906646970608,0.001984126984126984,0.0023555880770146365,0.0011411906164925105,0.0028270633517614575,0.0016194331983805667,0.002625934947826661,0.0006797544454762352,0.0025591119512848983,0.0013850415512465376,0.002025161433481153,0.0006603468394378823,0.002109736263055193,0.0016260162601626016,0.002374374172338188,0.0007763573746530425,0.0024756751456721606,0.0014367816091954025,0.0028486834148761502,0.00041739334105663915,0.0024561698773341656,0.002131782945736434,0.00357527848754871,0.000852385970100758,0.00341117992137211,0.0011019283746556475,0.002857404162328598,7.94194271195169e-05,0.0021244373221917783,0.0,0.0,0.0,0.0,0.0006289308176100629,0.0034447959591519884,-0.0006037735849056604,0.001861635220125786,0.0009523809523809524,0.005216405309573011,-0.0009142857142857145,0.0028190476190476195
0.012,0.036000000000000004,0.013253333333333334,0.020071574227100947,0.020071574227100947,0.006070812740369295,0.020435853926297372,0.013253333333333334,0.0120863599677159,0.017805314732336656,0.005714809919761068,0.018457910015670733,0.03440492476060191,0.05943744304339625,0.013135508927941443,0.05567434059326238,0.018058690744920988,0.02596566576322348,0.00876699658360502,0.02735038490623696,0.01148839841539332,0.015287831413884912,0.006017718203189023,0.01695907862759762,0.004954068241469816,0.007765007616985061,0.0021753959518686764,0.007732740531070956,0.006064162754303599,0.008149686041282252,0.0031478350584586913,0.008980490450148508,0.006746031746031747,0.009441782084855027,0.003367333419161887,0.010124730072901607,0.0067476383265856945,0.010833965387428361,0.002870753603034884,0.010624523050136505,0.005078485687903971,0.006630797317539159,0.0027056853413974886,0.007451286034410454,0.004878048780487806,0.006699100559587772,0.0024808064327197592,0.007275291128255852,0.004454022988505748,0.008656534673213834,0.0013563218390804598,0.007551724137931036,0.006395348837209301,0.010394711045379723,0.002675649261251615,0.010115048413166988,0.004132231404958678,0.008335403706018618,0.0011494454963022873,0.007115017313615068,0.004365079365079364,0.010122467949589455,0.0007428007297853997,0.00798735800037333,0.006918238993710691,0.016043156750292723,0.0011772690811693125,0.01265920890625207,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.016,0.048,0.15415,0.11841192492953251,0.11841192492953251,0.11177683685714467,0.19652316314285534,0.15415,0.13811541565778854,0.10755370859369962,0.09962781532891896,0.17660301598665812,0.34329685362517093,0.26422695460712137,0.24874445224355116,0.4378492550067907,0.24549786807123153,0.1883612085457979,0.17809367525664552,0.3129020608858175,0.15362195812110924,0.11817357608231045,0.11133408701783742,0.19590982922438105,0.0716535433070866,0.05569653534139878,0.05172279410325964,0.09158429251091357,0.06514084507042255,0.05099780511146264,0.046891514885126315,0.08339017525571878,0.07772817460317459,0.06029199927641265,0.056152959749867365,0.09930338945648182,0.09156545209176789,0.07131572266894919,0.06604544848486477,0.11708545569867101,0.07802400738688826,0.06185152507813035,0.05589072339264779,0.10015729138112874,0.05807200929152149,0.04607354565928507,0.04158480272045617,0.0745592158625868,0.053160919540229876,0.04445464396795029,0.037253029499319745,0.06906880958114,0.05484496124031006,0.04266040811652555,0.03957913025294901,0.07011079222767111,0.044077134986225903,0.038905277571609394,0.03015506020667199,0.05799920976577982,0.04563492063492063,0.04053209378801907,0.031130697148786766,0.0601391441210545,0.03459119496855346,0.03840759722650269,0.020847212813274917,0.048335177123832,0.02380952380952381,0.03277744313997472,0.012080266419253829,0.0355387811997938
0.02,0.060000000000000005,0.34253666666666666,0.13614022305451587,0.13614022305451587,0.29381951351484775,0.39125381981848556,0.34253666666666666,0.34741727199354316,0.13834169892050796,0.29791233082054097,0.39692221316654536,0.648654810761514,0.2582425274492579,0.5562439091353251,0.7410657123877029,0.5137446701780788,0.2058256138028812,0.4400909202045181,0.5873984201516395,0.36417657045840407,0.1481058161861858,0.31117758479545077,0.41717555612135737,0.19875328083989496,0.07937521083500228,0.1703492264322696,0.22715733524752033,0.17382629107981223,0.07061206350837376,0.1485580886696701,0.19909449348995437,0.2007936507936508,0.08086764396168908,0.17185553605050996,0.22973176553679164,0.22867746288798915,0.09160972121300073,0.19589534516851073,0.26145958060746755,0.1860572483841182,0.0761371852646926,0.1588119065456291,0.21330259022260728,0.15087108013937284,0.06539821926446213,0.1274686279303205,0.1742735323484252,0.1331896551724138,0.054526141121514785,0.11367772616131752,0.15270158418351007,0.13507751937984494,0.057345892949541864,0.11455655513600112,0.15559848362368875,0.10523415977961434,0.049536087577807024,0.087507898496029,0.12296042106319968,0.10873015873015872,0.05019055616307636,0.09076969887111744,0.1266906185892,0.08176100628930819,0.051334275586329234,0.0633912716909196,0.10013074088769677,0.07428571428571427,0.04600890284987986,0.05782163984691156,0.09074978872451699
0.024,0.07200000000000001,0.5037766666666667,0.01453000897864624,0.01453000897864624,0.49857716973014,0.5089761636031933,0.5037766666666667,0.5205205811138015,0.028532339498041476,0.5103104145523059,0.5307307476752972,0.848472412220702,0.016205920900882156,0.8426731979048977,0.8542716265365063,0.7311010785051419,0.018887764149875894,0.724342178907802,0.7378599781024819,0.5777872099603847,0.0281948242794372,0.5676978216687265,0.5878765982520429,0.3290682414698162,0.02153339245433408,0.32136261594240734,0.3367738669972251,0.2887323943661972,0.02284655547195501,0.2805568594879191,0.2969079292444753,0.3205853174603174,0.02262445965919034,0.3124892585479373,0.32868137637269745,0.35121457489878544,0.020566655966664668,0.343854891580597,0.35857425821697386,0.30092336103416434,0.033244844344938164,0.28902684627076347,0.3128198757975652,0.24576074332171896,0.028317597445861275,0.23562742121669233,0.2558940654267456,0.21408045977011494,0.022817562008927924,0.20591530006933398,0.2222456194708959,0.23236434108527135,0.031531060942447404,0.22108109583630897,0.24364758633423372,0.17548209366391188,0.03806997700770506,0.16185892735230747,0.18910525997551628,0.17896825396825403,0.036657406830528455,0.1658505694027141,0.19208593853379397,0.14025157232704402,0.04367209797005838,0.12462371277508334,0.15587943187900472,0.09619047619047619,0.04832643709851411,0.07889708277163854,0.11348386960931384
0.028,0.084,0.5943966666666667,0.009764378728522509,0.009764378728522509,0.5909025286134383,0.5978908047198951,0.5943966666666667,0.6354923325262309,0.02051906532900728,0.6281496792990129,0.642834985753449,0.9111947104423165,0.011888027824087856,0.9069406343200285,0.9154487865646045,0.8241785803862555,0.01738596904281036,0.8179570912660841,0.8304000695064269,0.6904357668364461,0.019067237164759533,0.6836126436455455,0.6972588900273468,0.43674540682414703,0.0198639933468877,0.4296371680951747,0.44385364555311935,0.37793427230046955,0.024238801637281978,0.369260528530363,0.3866080160705761,0.4028273809523809,0.0199425056561048,0.39569104695437923,0.4099637149503826,0.4315114709851552,0.024379078781370474,0.42278752968371713,0.44023541228659324,0.38365650969529086,0.026844634110334015,0.37405028075049185,0.39326273864008987,0.31219512195121957,0.02425426815832715,0.30351584355763744,0.3208744003448017,0.2714080459770115,0.02597289308073433,0.2621137655533393,0.2807023264006837,0.300968992248062,0.0371705433324999,0.2876676841435455,0.3142703003525785,0.23526170798898074,0.03763755581710774,0.22179328161312614,0.24873013436483535,0.21984126984126984,0.04317675628103036,0.2043906660362547,0.23529187364628498,0.18050314465408807,0.05141790465440222,0.16210348377802897,0.19890280553014716,0.12476190476190475,0.05738045840530311,0.10422857142857142,0.1452952380952381
0.032,0.096,0.6573633333333333,0.008786489759787502,0.008786489759787502,0.6542191283534204,0.6605075383132462,0.6573633333333334,0.7113196125907991,0.01752483583939782,0.7050484306256678,0.7175907945559304,0.9456452348381214,0.008834106307725485,0.9424839904953632,0.9488064791808795,0.8793328317030349,0.014297806283064715,0.8742164274339734,0.8844492359720963,0.7690152801358234,0.014808316419997115,0.7637161921604445,0.7743143681112024,0.5147965879265091,0.021247839763327843,0.5071931461172442,0.5224000297357739,0.4453051643192488,0.018671781978352703,0.4386235529493855,0.45198677568911216,0.4666666666666666,0.023322188283655104,0.45832092877261743,0.4750124045607158,0.5057354925775979,0.023111574126339192,0.49746512199181137,0.5140058631633844,0.4423822714681441,0.0234728297442843,0.4339826272197212,0.45078191571656695,0.38164924506387926,0.02441140383055192,0.37291373639214986,0.39038475373560866,0.32758620689655177,0.035053978630853175,0.3150423017432892,0.34013011204981436,0.3465116279069767,0.030521107725994607,0.335589789775016,0.3574334660389374,0.2633608815426997,0.03757492741526845,0.24991486645261798,0.2768068966327814,0.26746031746031745,0.046025611579995185,0.25099026387923234,0.28393037104140256,0.20566037735849058,0.051338261012024176,0.18728921659383313,0.22403153812314802,0.15809523809523807,0.055000906311173034,0.13841341654293102,0.17777705964754512
0.036000000000000004,0.10800000000000001,0.7104933333333334,0.006753233367768377,0.006753233367768377,0.7080767198089395,0.7129099468577274,0.7104933333333333,0.7749192897497983,0.012448298104004019,0.7704647234827119,0.7793738560168847,0.9648426812585498,0.004908091144127655,0.9630863433990487,0.9665990191180508,0.910208176573865,0.009545076437263445,0.9067925148377022,0.9136238383100278,0.8291171477079797,0.014210263667120568,0.8240320701617088,0.8342022252542507,0.5862204724409448,0.01736728493472118,0.5800056693429854,0.5924352755389042,0.5155712050078248,0.01713369212604445,0.5094399920229131,0.5217024179927365,0.5418650793650794,0.01927894307668985,0.5349661981865449,0.548763960543614,0.5714574898785425,0.028519753141734962,0.5612518272868072,0.5816631524702778,0.5072945521698984,0.02444018406189176,0.49854874462465115,0.5160403597151456,0.4214866434378629,0.02798672815652661,0.41147172138742777,0.43150156548829804,0.3814655172413793,0.02654059366439859,0.37196808777286033,0.39096294670989823,0.4102713178294574,0.0324492441338285,0.3986595049452119,0.4218831307137029,0.30743801652892555,0.030338416431559555,0.2965815536370725,0.3182944794207786,0.3142857142857143,0.05953201913829223,0.29298245483214463,0.3355889737392839,0.24339622641509437,0.03784953596939839,0.22985194391595315,0.2569405089142356,0.19523809523809527,0.05668949878780524,0.1749520186283967,0.21552417184779382
