Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0010785824345146378,0.0007053890484049707,0.0008261622053440139,0.0013310026636852617,0.0009949195596951736,0.0003102666777712539,0.0008838920549669386,0.0011059470644234086,0.0009063444108761329,0.00045933592435830746,0.0007419731613436923,0.0010707156604085736,0.0014285714285714286,0.0017992100854925786,0.0007847323682215739,0.002072410488921283
0.004,0.0011299435028248588,0.0007313473844908587,0.000868234202384268,0.0013916528032654495,0.001693480101608806,0.0007959449661907781,0.0014086548534320937,0.0019783053497855183,0.0012644064003580618,0.0005553279958345314,0.0010656848292046929,0.0014631279715114308,0.0005714285714285715,0.0011623945776356752,0.0001554710139119752,0.0009873861289451677
0.008,0.0018832391713747647,0.0009473714173136395,0.001544226663583862,0.0022222516791656675,0.002060400790290714,0.0009974452881820134,0.001703469577937221,0.002417332002644207,0.0016896050128678522,0.0006741577858964784,0.0014483607474544025,0.001930849278281302,0.0005714285714285715,0.0011623945776356754,0.00015547101391197516,0.0009873861289451677
0.012,0.004280089025851737,0.002484639063984385,0.0033909723556179282,0.0051692056960855465,0.006844482077335591,0.00501842168355103,0.005048662941355009,0.008640301213316173,0.004520532617209355,0.0028384354801707467,0.003504811525407838,0.005536253709010871,0.002571428571428572,0.002636825763215967,0.001627852590288787,0.0035150045525683573
0.016,0.09318609827084402,0.06340137909349272,0.07049820613996832,0.11587399040171972,0.162884561106407,0.11022537621912264,0.12344091679613178,0.20232820541668223,0.09650889560255121,0.0650026486420257,0.0732479965227888,0.11976979468231364,0.026571428571428576,0.020523068498770048,0.019227342828308548,0.0339155143145486
0.02,0.3179592535524739,0.08805689334268976,0.28644849895843033,0.34947000814651746,0.4921323736946091,0.1346467377215023,0.4439496574055041,0.5403150899837141,0.3305024057289918,0.09109975968395144,0.2979027753990212,0.3631020360589624,0.10314285714285715,0.031942506409065236,0.09171237802457155,0.11457333626114274
0.024,0.4625235404896422,0.12595775379692534,0.41745013716543367,0.5075969438138508,0.6483629692351116,0.17581851899063547,0.5854471202346082,0.711278818235615,0.4707731901085375,0.12849716819414325,0.424791069012832,0.516755311204243,0.154,0.046630896783512794,0.13731334789058364,0.17068665210941636
0.028,0.5949666153055982,0.01740411520766009,0.5887386326637308,0.6011945979474657,0.7877293254304263,0.010855766361730617,0.7838446393284135,0.791614011532439,0.6073626496587221,0.01586107057205367,0.6016868384482386,0.6130384608692057,0.21085714285714285,0.026383198970099286,0.20141603635663016,0.22029824935765555
0.032,0.6782913884608798,0.01640478684154371,0.6724210108821506,0.684161766039609,0.850740897544454,0.007516611764706616,0.8480511125690222,0.8534306825198859,0.6885420163365784,0.011642791589102012,0.6843756968739324,0.6927083357992244,0.258,0.02034398070733474,0.25072,0.26528
0.036000000000000004,0.7374764595103577,0.014279366547360568,0.7323666538159733,0.742586265204742,0.8944467965001411,0.0057722531296020615,0.8923812222456221,0.8965123707546602,0.7472753720487859,0.012997284459715278,0.7426243535373196,0.7519263905602522,0.30228571428571427,0.02582243268084264,0.29304527542466297,0.31152615314676557
0.04,0.7899674713234037,0.011921456311247847,0.785701432970615,0.7942335096761924,0.9224668360146767,0.0061953485142595055,0.9202498590212043,0.9246838130081492,0.7952892469508785,0.010397802903810666,0.7915684409675908,0.7990100529341663,0.32542857142857146,0.02821801122750269,0.3153308857941098,0.33552625706303313
