Beta,0-19_mean,0-19_sd,0-19_ci95_low,0-19_ci95_high,20-39_mean,20-39_sd,20-39_ci95_low,20-39_ci95_high,40-59_mean,40-59_sd,40-59_ci95_low,40-59_ci95_high,60+_mean,60+_sd,60+_ci95_low,60+_ci95_high
0.0,0.0009606831524639744,0.00028648133779501787,0.0008581671223344432,0.0010631991825935056,0.001021753460777851,0.0005892848713926541,0.0008108805777637699,0.0012326263437919321,0.0010773130544993665,0.0009901719767341976,0.0007229845632210568,0.001431641545777676,0.0012514220705346986,0.002098798293032007,0.0005003767469533463,0.002002467394116051
0.004,0.0016248591591057344,0.0005443091949881213,0.0014300806151954528,0.001819637703016016,0.0013183915622940012,0.000605896526050137,0.0011015742750039726,0.0015352088495840298,0.0016159695817490494,0.0011748627229240562,0.0011955503557416504,0.002036388807756448,0.001023890784982935,0.0020340048917011524,0.0002960314822926935,0.0017517500876731763
0.008,0.0027693767419794822,0.0019374328303383682,0.002076075307625579,0.0034626781763333857,0.0019666007470885523,0.0010185894571508403,0.0016021031910431604,0.0023310983031339444,0.0018694550063371358,0.0013554657564136528,0.0013844078148042764,0.002354502197869995,0.0018202502844141069,0.0026487343080592515,0.0008724128852310056,0.002768087683597208
0.012,0.01946272905177015,0.029827667153389338,0.008789035441827547,0.03013642266171275,0.008910129641836958,0.01196470973775942,0.004628613249153556,0.01319164603452036,0.0091254752851711,0.010536718100301745,0.005354959137240378,0.01289599143310182,0.00409556313993174,0.006363025251868929,0.0018185837965083189,0.006372542483355161
0.016,0.3530451283875941,0.12136634587343881,0.3096147392877812,0.396475517487407,0.19292463194902218,0.06788383090073076,0.16863271503921382,0.21721654885883054,0.20320025348542461,0.07257497537011219,0.17722963208663764,0.2291708748842116,0.08236632536973836,0.03411478235358466,0.07015850728797252,0.0945741434515042
0.02,0.5557670639862421,0.1518311231631929,0.5014349943421958,0.6100991336302883,0.3618984838497034,0.09960549120000188,0.3262551165870428,0.397541851112364,0.36666666666666664,0.10227997157123399,0.33006624889443936,0.4032670844388939,0.16439135381114903,0.05013683829471743,0.1464501166444254,0.18233259097787266
0.024,0.7238035936666074,0.012146626687325999,0.7194569791295689,0.728150208203646,0.5281586464513294,0.017836694228577175,0.5217758673948576,0.5345414255078011,0.5368187579214195,0.020684739230043988,0.5294168190501135,0.5442206967927256,0.24050056882821383,0.02700396400173836,0.23083732441401825,0.25016381324240944
0.028,0.809434857380063,0.008919239905135505,0.8062431483707256,0.8126265663894005,0.6389364974730828,0.01690930854191091,0.6328855791225394,0.6449874158236262,0.645659062103929,0.015474533211934654,0.6401215715113299,0.6511965526965281,0.3018202502844141,0.030377255808306303,0.2909498889000888,0.3126906116687394
0.032,0.8616497657593548,0.007444958314169989,0.8589856216418952,0.8643139098768144,0.7180509778070754,0.011053755967322066,0.7140954420346151,0.7220065135795357,0.7251901140684412,0.018055401389037263,0.7187290716597252,0.7316511564771573,0.3574516496018202,0.03979095346792863,0.3432126397731252,0.37169065943051516
0.036000000000000004,0.899573029710016,0.005314536039023987,0.8976712474128009,0.901474812007231,0.7801911667765326,0.011387496507179138,0.7761162034856769,0.7842661300673882,0.7865652724968315,0.014864602297767461,0.781246042878769,0.791884502114894,0.4124004550625711,0.02359614771499291,0.4039566820450704,0.4208442280800718
