Beta,R0,mean_infected_ratio,std_infected_ratio,sd_infected_ratio,ci95_low,ci95_high,mean_R_all,R_age1,R_age1_sd,R_age1_ci95_low,R_age1_ci95_high,R_age2,R_age2_sd,R_age2_ci95_low,R_age2_ci95_high,R_age3,R_age3_sd,R_age3_ci95_low,R_age3_ci95_high,R_age4,R_age4_sd,R_age4_ci95_low,R_age4_ci95_high,R_age5,R_age5_sd,R_age5_ci95_low,R_age5_ci95_high,R_age6,R_age6_sd,R_age6_ci95_low,R_age6_ci95_high,R_age7,R_age7_sd,R_age7_ci95_low,R_age7_ci95_high,R_age8,R_age8_sd,R_age8_ci95_low,R_age8_ci95_high,R_age9,R_age9_sd,R_age9_ci95_low,R_age9_ci95_high,R_age10,R_age10_sd,R_age10_ci95_low,R_age10_ci95_high,R_age11,R_age11_sd,R_age11_ci95_low,R_age11_ci95_high,R_age12,R_age12_sd,R_age12_ci95_low,R_age12_ci95_high,R_age13,R_age13_sd,R_age13_ci95_low,R_age13_ci95_high,R_age14,R_age14_sd,R_age14_ci95_low,R_age14_ci95_high,R_age15,R_age15_sd,R_age15_ci95_low,R_age15_ci95_high,R_age16,R_age16_sd,R_age16_ci95_low,R_age16_ci95_high
0.0,0.0,0.0010000000000000002,2.205473771126446e-19,2.205473771126446e-19,0.0010000000000000002,0.0010000000000000002,0.0010000000000000002,0.0009685230024213075,0.0007037752529977963,0.0007166802625205194,0.0012203657423220957,0.0010031919744642043,0.0008373977637166488,0.0007035330332001043,0.0013028509157283043,0.0010534236267870575,0.0008522116955294838,0.0007484635881050586,0.0013583836654690565,0.0007923033389926428,0.000770107928115226,0.0005167237561503557,0.00106788292183493,0.001148293963254593,0.0012945383351157622,0.0006850493694251774,0.0016115385570840085,0.000978090766823161,0.0011567223669631155,0.0005641629838276027,0.0013920185498187193,0.000992063492063492,0.0011938921980442767,0.0005648346558392854,0.0014192923282876986,0.0008771929824561403,0.0012673326226301468,0.0004236838278086874,0.0013307021371035932,0.0010156971375807943,0.001703456786311297,0.00040612295528346374,0.0016252713198781248,0.0015098722415795587,0.0021814017964435274,0.0007292676339285424,0.002290476849230575,0.001293103448275862,0.0020090155159456858,0.0005741864788544585,0.0020120204176972654,0.0001937984496124031,0.0010614778246224147,-0.0001860465116279069,0.0005736434108527132,0.0013774104683195593,0.003811016837829868,1.3655607433427563e-05,0.0027411653292056908,0.0003968253968253968,0.0021735022123220873,-0.0003809523809523807,0.0011746031746031743,0.0006289308176100629,0.0034447959591519884,-0.0006037735849056604,0.001861635220125786,0.0038095238095238095,0.009878454389764585,0.00027456430518461384,0.007344483313863006
0.004,0.012,0.0015133333333333338,0.0003148435115761625,0.0003148435115761625,0.001400668029662057,0.0016259986370046105,0.001513333333333334,0.0014124293785310734,0.0009449270057256944,0.0010742915921929798,0.0017505671648691671,0.0020975832193342453,0.0015340222461586541,0.001548640408549498,0.0026465260301189925,0.0016804614998745927,0.0011637278633955775,0.0012640268321762811,0.0020968961675729043,0.0012733446519524619,0.0010154996053335084,0.0009099527851796746,0.0016367365187252491,0.0013779527559055116,0.0016870466448524579,0.0007742508673121009,0.0019816546444989223,0.0011737089201877935,0.0010677437233505681,0.0007916217358842011,0.001555796104491386,0.0015873015873015873,0.001510167450609895,0.0010468951054729697,0.002127708069130205,0.0010796221322537112,0.0013794441041721861,0.000585994399174271,0.0015732498653331514,0.0019390581717451528,0.00231761780203345,0.001109709292510301,0.0027684070509800046,0.0013937282229965155,0.0023507479709519354,0.0005525238650725978,0.002234932580920433,0.0017241379310344827,0.0024277665860993358,0.0008553728156393921,0.0025929030464295734,0.0011627906976744186,0.002365337803328409,0.0003163654352859959,0.0020092159600628413,0.0011019283746556475,0.0035882023591347506,-0.00018209334903203844,0.0023859500983433334,0.0011904761904761904,0.0036324830551114837,-0.00010939117676317259,0.0024903435577155533,0.0,0.0,0.0,0.0,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.008,0.024,0.002403333333333334,0.001276439912637768,0.001276439912637768,0.0019465651768116033,0.0028601014898550652,0.002403333333333334,0.0020379338175948343,0.0016934485159146502,0.0014319410488633022,0.0026439265863263664,0.003716370269037848,0.004457048140495275,0.002121436075499846,0.00531130446257585,0.002784048156508653,0.0028233564408374065,0.001773723029632877,0.0037943732833844294,0.0026032823995472553,0.0023160530523726724,0.0017744934587872936,0.003432071340307217,0.0018044619422572176,0.001792336604938029,0.001163082525334919,0.0024458413591795162,0.001956181533646323,0.0012832682478651034,0.0014969698887449022,0.0024153931785477435,0.0016865079365079366,0.0015985931844645232,0.001114458712203182,0.002258557160812691,0.0026990553306342783,0.0027792994967916814,0.0017044957787099785,0.003693614882558578,0.001569713758079409,0.002143640893982457,0.0008026217158339175,0.0023368058003249005,0.002787456445993032,0.002805420905480479,0.0017835494680172568,0.003791363423968807,0.001724137931034483,0.002427766586099336,0.0008553728156393921,0.002592903046429574,0.0011627906976744186,0.0028153151052994325,0.00015534312576483155,0.002170238269584006,0.0013774104683195593,0.003811016837829868,1.3655607433427563e-05,0.0027411653292056908,0.001984126984126984,0.005489679016397786,1.967057737434219e-05,0.003948583390879626,0.0025157232704402514,0.006523507615882273,0.000181316050593613,0.00485013049028689,0.0019047619047619048,0.007248803762927498,-0.0006891892080154597,0.004498713017539269
0.012,0.036000000000000004,0.014723333333333333,0.021542687107603174,0.021542687107603174,0.007014381756968146,0.02243228490969852,0.014723333333333333,0.01192493946731235,0.016422221906497007,0.006048322830716998,0.0178015561039077,0.03271773825809394,0.05341626951707474,0.013602971699939358,0.051832504816248515,0.02016553799849511,0.03196291706577178,0.00872775502050962,0.0316033209764806,0.01279003961516695,0.01825305455605348,0.006258267929001298,0.019321811301332602,0.008366141732283465,0.011298589367507508,0.0043229934527631644,0.012409290011803766,0.008646322378716743,0.0105767877307094,0.004861467497695179,0.012431177259738309,0.007539682539682539,0.011917156246385117,0.00327518294534284,0.011804182134022238,0.012348178137651824,0.01813973021637235,0.0058569590456292245,0.018839397229674423,0.010433979686057247,0.01627759971353741,0.004609115436563122,0.01625884393555137,0.008826945412311268,0.009672204711658396,0.005365791407407672,0.012288099417214864,0.008620689655172414,0.008318114494431168,0.0056440906114254685,0.011597288698919359,0.007558139534883721,0.010484033512515947,0.003806476324566253,0.01130980274520119,0.00440771349862259,0.011221662048336575,0.000392093306727858,0.008423333690517322,0.005555555555555556,0.009239037526920964,0.0022494084369764035,0.008861702674134709,0.0018867924528301887,0.005757142955271032,-0.00017337469524729247,0.00394695960090767,0.002857142857142857,0.008717959332267562,-0.00026253882423161404,0.005976824538517328
0.016,0.048,0.28077,0.09682112604321363,0.09682112604321363,0.24612300501241294,0.31541699498758713,0.28077,0.23698547215496366,0.08146535512967279,0.2078334692172989,0.2661374750926284,0.512357501139991,0.17681398225445186,0.4490854301854445,0.5756295720945376,0.3818660647103085,0.1332334447601367,0.33418908881226816,0.4295430406083488,0.28556876061120545,0.10164084989634935,0.2491970495930837,0.3219404716293272,0.1809055118110236,0.0638765172306878,0.15804759368137505,0.20376342994067215,0.1779342723004695,0.06592153822122407,0.15434455280778991,0.20152399179314906,0.20401785714285714,0.07184040543875472,0.17831009821809693,0.22972561606761735,0.22840755735492574,0.08191562588365449,0.19909442709728642,0.25772068761256506,0.23333333333333334,0.08353339215332155,0.2034412928509645,0.26322537381570216,0.19744483159117307,0.07295777718646847,0.17133722632166956,0.22355243686067658,0.18764367816091954,0.07178515613881514,0.16195568994422999,0.21333166637760909,0.17054263565891473,0.06983980031018056,0.14555078408510716,0.1955344872327223,0.11322314049586776,0.04887635870857838,0.09573296015617816,0.13071332083555737,0.07658730158730158,0.03913344793068952,0.0625835770933678,0.09059102608123536,0.05345911949685535,0.03872589767383946,0.03960123498933086,0.06731700400437984,0.03333333333333333,0.027139832170908342,0.02362146911921821,0.043045197547448455
0.02,0.060000000000000005,0.46558666666666665,0.12726308003592357,0.12726308003592357,0.420046158346803,0.5111271749865303,0.46558666666666665,0.4134382566585956,0.11411213030749982,0.3726037552603964,0.45427275805679485,0.7200866393068855,0.19672594253678533,0.6496891648759621,0.790484113737809,0.600250815149235,0.16441031691691338,0.5414173388314167,0.6590842914670532,0.5012450481041314,0.13869357373884897,0.45161419014451926,0.5508759060637436,0.3499671916010499,0.09688852124579252,0.31529607954995237,0.3846383036521474,0.3435054773082944,0.09569238415633852,0.30926239741749506,0.3777485571990937,0.3696428571428571,0.10272102653859407,0.33288460987754426,0.40640110440816996,0.40762483130904176,0.113331006925507,0.3670698513232305,0.448179811294853,0.4045244690674054,0.11411954855189008,0.3636873130845436,0.4453616250502672,0.3685249709639954,0.10644519498478346,0.3304340471356103,0.4066158947923805,0.3456896551724139,0.10318411575939875,0.3087656935576845,0.3826136167871433,0.3124031007751938,0.09249465557162151,0.2793043133624318,0.3455018881879558,0.2325068870523416,0.08044181237134965,0.20372115418678252,0.26129261991790065,0.1412698412698413,0.05057853325441854,0.12317054559171409,0.1593691369479685,0.09748427672955977,0.045435476745242946,0.08122540018697073,0.1137431532721488,0.0857142857142857,0.04920193493274393,0.06810759941904972,0.10332097200952169
0.024,0.07200000000000001,0.6306133333333331,0.01219561066696661,0.01219561066696661,0.6262491901042989,0.6349774765623674,0.6306133333333331,0.5806093623890233,0.01934440520743415,0.5736870558878503,0.5875316688901963,0.8746694026447789,0.014163902419765494,0.8696009152578086,0.8797378900317492,0.7770002508151492,0.01693562414598834,0.7709399155466271,0.7830605860836714,0.6773627617430672,0.023900393172131974,0.6688101158869694,0.685915407599165,0.5163713910761154,0.02137168038328973,0.5087236334701394,0.5240191486820914,0.5064945226917057,0.01979585856713495,0.4994106656805366,0.5135783797028748,0.534375,0.025707375263059964,0.5251757339071256,0.5435742660928745,0.5813090418353576,0.02717995691993082,0.5715828191642086,0.5910352645065066,0.5812557710064634,0.03071811891519979,0.5702634333258625,0.5922481086870643,0.5390243902439025,0.029919437360312492,0.5283178570871666,0.5497309234006383,0.49971264367816093,0.04341347088791122,0.48417733263895774,0.5152479547173641,0.48992248062015503,0.04390589164068566,0.47421095907762073,0.5056340021626893,0.34710743801652894,0.04804283958480825,0.32991552866462387,0.364299347368434,0.19047619047619052,0.040280120105208796,0.1760621346144389,0.20489024633794214,0.15220125786163527,0.04143642166184017,0.13737342480193138,0.16702909092133916,0.12571428571428572,0.05284316151128823,0.10680460322213312,0.14462396820643833
0.028,0.084,0.7256033333333332,0.009697723989406624,0.009697723989406624,0.7221330473721679,0.7290736192944984,0.7256033333333332,0.6879943502824858,0.0164456973561326,0.6821093330641259,0.6938793675008457,0.925968992248062,0.009334809476097846,0.9226285735776151,0.9293094109185088,0.8538500125407575,0.012108146734306222,0.8495171678780623,0.8581828572034528,0.7850028296547822,0.01642434129070323,0.7791254546062888,0.7908802047032756,0.6276902887139109,0.023338838376386152,0.6193385926606978,0.6360419847671239,0.617566510172144,0.024683676487004293,0.6087335699816039,0.6263994503626842,0.6476190476190474,0.024008812923066856,0.639027604253349,0.6562104909847458,0.6871120107962214,0.023310035277865796,0.6787706217994416,0.6954533997930012,0.692797783933518,0.025568415003017198,0.6836482441310714,0.7019473237359646,0.6456445993031359,0.029397169102194684,0.6351249574423462,0.6561642411639256,0.6206896551724138,0.029582737906716564,0.6101036083677562,0.6312757019770714,0.5804263565891473,0.041141562915752605,0.5657040373766299,0.5951486758016648,0.4435261707988981,0.04554297640784637,0.42722882599608947,0.45982351560170676,0.23690476190476192,0.0425630761432725,0.22167376071671477,0.25213576309280905,0.1861635220125786,0.05237590098577281,0.1674210465520629,0.2049059974730943,0.14285714285714282,0.06232646563126979,0.12055390356867576,0.16516038214560988
0.032,0.096,0.7889533333333334,0.007208985453194361,0.007208985453194361,0.7863736310196985,0.7915330356469683,0.7889533333333334,0.7585956416464891,0.011328421731195132,0.7545418179927257,0.7626494653002525,0.9550843593251255,0.007527869785144653,0.9523905457188191,0.9577781729314319,0.8967143215450214,0.014192894540988484,0.8916354594607124,0.9017931836293304,0.8506508205998867,0.017245035060063623,0.844479764057742,0.8568218771420314,0.7109251968503938,0.0158012904388842,0.7052707776858297,0.7165796160149579,0.6999217527386541,0.016334307666523173,0.6940765958088003,0.7057669096685079,0.7205357142857143,0.016052983090006807,0.7147912280626657,0.7262802005087629,0.7605937921727396,0.020235467940056987,0.7533526229678109,0.7678349613776683,0.7689750692520776,0.024503616487264523,0.7602065627049311,0.777743575799224,0.7299651567944251,0.03150871331916788,0.7186899085397489,0.7412404050491013,0.7008620689655172,0.034531030421856256,0.6885052984254979,0.7132188395055364,0.6581395348837209,0.03604715833550819,0.6452402249375664,0.6710388448298754,0.49669421487603305,0.05479231167920575,0.47708703795412394,0.5163013917979422,0.30238095238095236,0.049688213913598546,0.28460025338724065,0.32016165137466407,0.23584905660377362,0.0589931604152534,0.21473862526777626,0.25695948793977097,0.1923809523809524,0.05029586403016586,0.17438280858564317,0.21037909617626163
0.036000000000000004,0.10800000000000001,0.8371900000000001,0.0067749716884508435,0.0067749716884508435,0.8347656075174541,0.8396143924825461,0.8371899999999999,0.8156981436642451,0.010467361846486,0.8119524463329975,0.8194438409954927,0.9734154126766987,0.004676253533989592,0.9717420368405149,0.9750887885128826,0.9297717582141961,0.008186378800969996,0.9268423001829281,0.9327012162454641,0.891482739105829,0.009837006946891687,0.8879626113784392,0.8950028668332187,0.774507874015748,0.01779996270980501,0.7681382391644596,0.7808775088670366,0.7600547730829421,0.016572066347180146,0.7541245353018979,0.7659850108639863,0.7815972222222223,0.01610656533774893,0.7758335618380705,0.787360882606374,0.8246963562753038,0.020393132432287513,0.8173987675564192,0.8319939449941884,0.8310249307479224,0.02186012656749498,0.8232023849197115,0.8388474765761332,0.7826945412311265,0.026888159880289912,0.7730727367895829,0.7923163456726701,0.7662356321839081,0.02486904828860637,0.7573363575460895,0.7751349068217267,0.7271317829457365,0.03835122921083735,0.7134079718258098,0.7408555940656633,0.5782369146005509,0.04845693601410598,0.5608968227445108,0.5955770064565911,0.35,0.04869474670228845,0.3325748086821154,0.36742519131788454,0.2572327044025157,0.05660015892456257,0.23697859765229368,0.27748681115273777,0.22380952380952382,0.06236409102898063,0.20149282044540337,0.24612622717364427
