Beta,R0,mean_infected_ratio,std_infected_ratio,mean_R_all,R_age1,R_age2,R_age3,R_age4,R_age5,R_age6,R_age7,R_age8,R_age9,R_age10,R_age11,R_age12,R_age13,R_age14,R_age15,R_age16
0.0,0.0,0.009999999999999998,1.734723475976807e-18,0.009999999999999998,0.011308203991130823,0.012646370023419205,0.008854166666666666,0.010123456790123457,0.011363636363636364,0.007524271844660193,0.009832134292565946,0.008775981524249422,0.008558558558558558,0.010547667342799188,0.008688783570300156,0.008275862068965517,0.008655126498002663,0.011638591117917305,0.009846153846153848,0.010955302366345312
0.001,0.003,0.01022,0.0001720465053408526,0.01022,0.01130820399113082,0.011475409836065573,0.009895833333333333,0.00888888888888889,0.01090909090909091,0.006796116504854369,0.008872901678657074,0.011778290993071594,0.00990990990990991,0.008519269776876268,0.010900473933649289,0.012689655172413794,0.009454061251664448,0.010260336906584993,0.011538461538461539,0.0098159509202454
0.002,0.006,0.01061,0.00022561028345356935,0.01061,0.012416851441241685,0.01288056206088993,0.011718749999999998,0.01037037037037037,0.010227272727272727,0.010922330097087377,0.007434052757793764,0.012009237875288684,0.01126126126126126,0.008924949290060852,0.010584518167456557,0.011172413793103448,0.010652463382157123,0.010107197549770292,0.012615384615384617,0.009640666082383873
0.003,0.009000000000000001,0.0111,0.0004358898943540675,0.0111,0.010643015521064302,0.010772833723653395,0.011979166666666666,0.010864197530864197,0.010454545454545454,0.010436893203883493,0.012230215827338128,0.011547344110854504,0.009009009009009007,0.010547667342799188,0.010268562401263823,0.012827586206896552,0.012250332889480693,0.011944869831546707,0.010923076923076924,0.010736196319018405
0.004,0.012,0.011309999999999999,0.0003753664875824692,0.011309999999999999,0.009312638580931263,0.010304449648711944,0.01171875,0.012345679012345678,0.007954545454545454,0.01140776699029126,0.014868105515587529,0.014087759815242495,0.010810810810810811,0.015415821501014199,0.010900473933649289,0.012275862068965516,0.010785619174434088,0.010260336906584993,0.010307692307692308,0.01086765994741455
0.005,0.015000000000000001,0.01192,0.0006046486583132388,0.01192,0.011529933481152993,0.01124121779859485,0.014583333333333334,0.012839506172839507,0.009772727272727273,0.013834951456310677,0.012709832134292564,0.013856812933025403,0.012162162162162161,0.0127789046653144,0.011532385466034755,0.011310344827586208,0.013715046604527298,0.012557427258805511,0.012461538461538461,0.01021034180543383
0.006,0.018000000000000002,0.012629999999999999,0.0003067572330035592,0.012629999999999999,0.010643015521064303,0.011943793911007024,0.01328125,0.008395061728395062,0.011363636363636364,0.010436893203883493,0.013189448441247,0.013625866050808316,0.015315315315315315,0.01480730223123732,0.01358609794628752,0.013655172413793104,0.014114513981358188,0.01424196018376723,0.01030769230769231,0.012269938650306749
0.007,0.021,0.013070000000000002,0.0009381364506296512,0.013070000000000002,0.010864745011086476,0.014051522248243561,0.0125,0.012592592592592591,0.011136363636363637,0.01674757281553398,0.013669064748201436,0.015473441108545035,0.012387387387387386,0.01440162271805274,0.011848341232227489,0.012275862068965518,0.015712383488681758,0.013169984686064317,0.013846153846153847,0.01196319018404908
0.008,0.024,0.0132,0.0007758865896508331,0.0132,0.009756097560975611,0.011475409836065573,0.0125,0.013333333333333332,0.01318181818181818,0.015776699029126214,0.012470023980815348,0.01478060046189376,0.014189189189189188,0.015212981744421905,0.012796208530805686,0.01503448275862069,0.015312916111850866,0.013476263399693721,0.012153846153846154,0.012094653812445224
0.009000000000000001,0.027000000000000003,0.013739999999999999,0.0005102940328869228,0.013739999999999999,0.011529933481152993,0.010304449648711942,0.014322916666666666,0.012098765432098766,0.012272727272727272,0.016019417475728152,0.016786570743405275,0.015473441108545033,0.016216216216216217,0.013184584178498987,0.015007898894154817,0.013379310344827585,0.017310252996005325,0.017764165390505356,0.012461538461538461,0.011437335670464505
0.01,0.030000000000000002,0.014350000000000002,0.0010800462953040487,0.014350000000000002,0.01286031042128603,0.014285714285714287,0.01614583333333333,0.012098765432098766,0.012045454545454543,0.015291262135922329,0.015587529976019181,0.018244803695150115,0.01981981981981982,0.016227180527383367,0.016429699842022118,0.016413793103448274,0.01651131824234354,0.012557427258805511,0.01430769230769231,0.011174408413672215
0.011,0.033,0.01555,0.002155574169449987,0.015549999999999998,0.013525498891352553,0.016393442622950817,0.01796875,0.013333333333333336,0.012954545454545455,0.01868932038834951,0.014628297362110316,0.019168591224018476,0.023198198198198197,0.018864097363083164,0.014849921011058453,0.014068965517241381,0.018641810918774964,0.01347626339969372,0.012461538461538461,0.014110429447852757
0.012,0.036000000000000004,0.01593,0.0013431678971744375,0.01593,0.011751662971175168,0.01686182669789227,0.015364583333333334,0.01382716049382716,0.016363636363636365,0.016504854368932037,0.01630695443645084,0.019168591224018476,0.024549549549549552,0.018864097363083164,0.015007898894154817,0.015448275862068966,0.01770972037283622,0.013935681470137823,0.011076923076923078,0.015644171779141104
0.013000000000000001,0.03900000000000001,0.01687,0.0018363278574372276,0.01687,0.011751662971175168,0.01475409836065574,0.021093749999999998,0.01975308641975309,0.015909090909090907,0.016262135922330095,0.01870503597122302,0.026327944572748264,0.020945945945945944,0.020892494929006085,0.018009478672985784,0.014620689655172414,0.02077230359520639,0.016845329249617153,0.012,0.014066608238387379
0.014,0.042,0.018639999999999997,0.0025028783430282825,0.01864,0.014190687361419069,0.016393442622950817,0.01953125,0.01925925925925926,0.01977272727272727,0.023543689320388347,0.02038369304556355,0.02817551963048499,0.02454954954954955,0.019066937119675456,0.01990521327014218,0.019586206896551724,0.025432756324900135,0.014548238897396629,0.012769230769230769,0.015162138475021911
0.015,0.045,0.021279999999999997,0.0017577258034175863,0.021279999999999997,0.014855875831485588,0.019203747072599534,0.02291666666666667,0.01728395061728395,0.020227272727272726,0.02233009708737864,0.02494004796163069,0.0325635103926097,0.030180180180180177,0.023732251521298174,0.024960505529225907,0.019586206896551724,0.02942743009320905,0.020520673813169986,0.01646153846153846,0.016739702015775636
0.016,0.048,0.02213,0.0023622235287965444,0.02213,0.017516629711751663,0.017330210772833723,0.021875000000000002,0.02419753086419753,0.025681818181818177,0.023058252427184463,0.02733812949640288,0.030946882217090067,0.026351351351351353,0.029006085192697772,0.02496050552922591,0.02262068965517241,0.030758988015978695,0.02036753445635528,0.014000000000000002,0.016871165644171775
0.017,0.051000000000000004,0.022289999999999997,0.0019588006534611937,0.022289999999999997,0.017738359201773836,0.021545667447306793,0.021093749999999998,0.02222222222222222,0.021136363636363637,0.02524271844660194,0.02446043165467626,0.03279445727482679,0.031081081081081076,0.0281947261663286,0.02401263823064771,0.01944827586206897,0.028761651131824235,0.01898928024502297,0.015692307692307693,0.01897458369851008
0.018000000000000002,0.054000000000000006,0.0235,0.003456587912956938,0.0235,0.019733924611973395,0.018266978922716625,0.019531250000000003,0.023209876543209874,0.024545454545454544,0.02936893203883495,0.03333333333333334,0.040184757505773674,0.03423423423423423,0.026774847870182555,0.025118483412322274,0.022068965517241378,0.030892143808255657,0.017611026033690656,0.018923076923076924,0.017484662576687116
0.019,0.057,0.02403,0.0045091129948139465,0.02403,0.01574279379157428,0.017798594847775177,0.025260416666666664,0.022469135802469137,0.021818181818181816,0.02815533980582524,0.025419664268585128,0.034180138568129334,0.03558558558558558,0.030020283975659222,0.024170616113744072,0.023586206896551727,0.0340878828229028,0.022970903522205204,0.016615384615384615,0.02007011393514461
0.02,0.060000000000000005,0.028200000000000003,0.004138115513129134,0.028200000000000003,0.024168514412416853,0.029039812646370018,0.025260416666666664,0.02641975308641975,0.026136363636363635,0.032038834951456305,0.04412470023980815,0.04849884526558891,0.043018018018018016,0.034685598377281954,0.02812006319115324,0.028965517241379312,0.0388814913448735,0.02113323124042879,0.02076923076923077,0.01871165644171779
0.021,0.06300000000000001,0.03165,0.003604788482005567,0.03165,0.020399113082039913,0.03021077283372365,0.03463541666666667,0.031604938271604946,0.029318181818181816,0.03713592233009708,0.043165467625899276,0.055196304849884525,0.053378378378378374,0.03204868154158215,0.0363349131121643,0.03268965517241379,0.04434087882822903,0.024808575803981624,0.02430769230769231,0.02046450482033304
0.022,0.066,0.03683,0.009104619706500651,0.03683,0.020620842572062082,0.035362997658079626,0.03776041666666667,0.036049382716049384,0.031818181818181815,0.04975728155339806,0.058992805755395686,0.05796766743648961,0.05720720720720721,0.04746450304259635,0.03823064770932069,0.03296551724137931,0.0559254327563249,0.031699846860643185,0.029230769230769234,0.02278702892199825
0.023,0.069,0.038489999999999996,0.008427271207217674,0.038489999999999996,0.027494456762749447,0.03466042154566744,0.03229166666666667,0.033827160493827155,0.04363636363636363,0.04587378640776699,0.06115107913669064,0.06466512702078522,0.06126126126126126,0.0513184584178499,0.039494470774091635,0.035172413793103444,0.05379494007989347,0.03124042879019908,0.029538461538461534,0.02497808939526731
0.024,0.07200000000000001,0.045869999999999994,0.009725024421563165,0.04587,0.03370288248337029,0.03770491803278688,0.0421875,0.04296296296296297,0.04931818181818182,0.06067961165048543,0.0657074340527578,0.08198614318706697,0.07364864864864865,0.05537525354969573,0.05323854660347551,0.04386206896551724,0.06524633821571238,0.03767228177641654,0.031384615384615386,0.028352322524101657
0.025,0.07500000000000001,0.04825,0.010493450338187148,0.04825,0.03170731707317073,0.03981264637002342,0.05,0.044444444444444446,0.04909090909090909,0.06723300970873786,0.06810551558752996,0.0789838337182448,0.07409909909909909,0.0742393509127789,0.04802527646129541,0.04606896551724138,0.07403462050599201,0.039050535987748845,0.03338461538461539,0.02892199824715162
0.026000000000000002,0.07800000000000001,0.059539999999999996,0.017436467532157995,0.059539999999999996,0.041019955654102006,0.05667447306791569,0.05963541666666666,0.05604938271604939,0.06454545454545454,0.07766990291262135,0.08681055155875299,0.10230946882217089,0.10112612612612612,0.08397565922920894,0.06303317535545024,0.05296551724137931,0.08841544607190413,0.04318529862174579,0.03907692307692308,0.0357581069237511
0.027,0.081,0.0628,0.010803055123436147,0.0628,0.0385809312638581,0.05199063231850117,0.05989583333333333,0.061481481481481484,0.06477272727272729,0.0720873786407767,0.08992805755395683,0.10993071593533488,0.11036036036036037,0.08397565922920892,0.07124802527646129,0.0649655172413793,0.09107856191744342,0.04624808575803981,0.04215384615384615,0.038825591586327785
0.028,0.084,0.08012,0.022892566479099714,0.08012,0.05631929046563193,0.07213114754098361,0.07708333333333332,0.06987654320987655,0.08045454545454545,0.1116504854368932,0.11726618705035971,0.14688221709006927,0.13693693693693693,0.10750507099391482,0.08672985781990522,0.08262068965517241,0.11890812250332891,0.06416539050535988,0.056307692307692316,0.042418930762489045
0.029,0.08700000000000001,0.09707000000000002,0.029763637210529225,0.09707,0.06740576496674057,0.08149882903981263,0.08333333333333333,0.08444444444444445,0.10090909090909092,0.12378640776699028,0.14196642685851318,0.17806004618937646,0.1603603603603604,0.1389452332657201,0.10821484992101107,0.09875862068965516,0.1540612516644474,0.077947932618683,0.06569230769230769,0.05192813321647678
0.03,0.09,0.1213,0.021122215792856582,0.1213,0.07339246119733925,0.09976580796252928,0.1171875,0.10839506172839505,0.1286363636363636,0.1633495145631068,0.18992805755395684,0.2249422632794457,0.21779279279279282,0.15882352941176472,0.13570300157977885,0.12482758620689653,0.1844207723035952,0.09035222052067382,0.07907692307692307,0.06468010517090271
0.031,0.093,0.14301000000000003,0.028147307153615957,0.14301,0.09645232815964523,0.1227166276346604,0.13411458333333334,0.14148148148148149,0.15113636363636362,0.18689320388349512,0.20887290167865707,0.2612009237875289,0.2549549549549549,0.19127789046653146,0.15766192733017378,0.14413793103448275,0.21544607190412784,0.10199081163859111,0.09492307692307693,0.07879053461875549
0.032,0.096,0.17026,0.029879899598224888,0.17026,0.11995565410199557,0.13957845433255267,0.15130208333333334,0.16740740740740742,0.17977272727272728,0.23349514563106796,0.265947242206235,0.29907621247113164,0.290990990990991,0.22941176470588237,0.19652448657187993,0.164551724137931,0.26657789613848204,0.12649310872894332,0.11076923076923077,0.09049079754601227
0.033,0.099,0.20743,0.02405793216384151,0.20742999999999995,0.1419068736141907,0.18430913348946137,0.20546875,0.21160493827160493,0.22227272727272726,0.2808252427184466,0.3127098321342926,0.36836027713625863,0.3448198198198198,0.2862068965517241,0.23807266982622438,0.2033103448275862,0.3097203728362184,0.155895865237366,0.13384615384615386,0.10950920245398774
0.034,0.10200000000000001,0.23403000000000002,0.0331708019197607,0.23402999999999996,0.16141906873614192,0.2021077283372365,0.22916666666666666,0.23679012345679012,0.255,0.2997572815533981,0.350599520383693,0.41270207852193996,0.3968468468468469,0.3200811359026369,0.25260663507109005,0.22951724137931034,0.3490013315579228,0.17917304747320062,0.15692307692307692,0.12940403155127084
0.035,0.10500000000000001,0.25287,0.026875976261337926,0.25287,0.175609756097561,0.21733021077283374,0.2296875,0.25827160493827156,0.2706818181818182,0.3356796116504855,0.3724220623501199,0.4427251732101617,0.4288288288288288,0.331237322515213,0.2816745655608215,0.2564137931034483,0.3773635153129161,0.1900459418070444,0.17507692307692307,0.14035933391761612
