Beta,R0,mean_infected_ratio,std_infected_ratio,mean_R_all,R_age1,R_age2,R_age3,R_age4,R_age5,R_age6,R_age7,R_age8,R_age9,R_age10,R_age11,R_age12,R_age13,R_age14,R_age15,R_age16
0.0,0.0,0.009999999999999998,1.734723475976807e-18,0.009999999999999998,0.008849557522123894,0.010735826296743065,0.01057471264367816,0.009265536723163841,0.009619686800894856,0.011201866977829638,0.008979089790897909,0.009868421052631578,0.00962962962962963,0.008067226890756302,0.011196911196911196,0.009750566893424035,0.012328767123287671,0.011498257839721254,0.011940298507462685,0.00958904109589041
0.001,0.003,0.01044,0.00017999999999999996,0.01044,0.009355246523388115,0.010977080820265378,0.01218390804597701,0.010621468926553673,0.010626398210290825,0.010618436406067678,0.013161131611316112,0.011052631578947368,0.009037037037037036,0.009747899159663866,0.007528957528957531,0.008390022675736962,0.009041095890410958,0.010801393728222997,0.00945273631840796,0.010958904109589041
0.002,0.006,0.01119,0.00037000000000000005,0.011189999999999997,0.010366624525916562,0.010494571773220749,0.01310344827586207,0.011638418079096045,0.011633109619686801,0.012252042007001168,0.010947109471094712,0.010263157894736842,0.011407407407407406,0.011596638655462186,0.012548262548262547,0.007029478458049887,0.013424657534246575,0.010801393728222997,0.00945273631840796,0.0073059360730593605
0.003,0.009000000000000001,0.011519999999999999,0.00039446165846632056,0.011519999999999999,0.011125158027812896,0.011338962605548852,0.011839080459770114,0.013220338983050847,0.012416107382550336,0.011668611435239205,0.010332103321033211,0.0125,0.012592592592592594,0.011428571428571429,0.01138996138996139,0.009297052154195011,0.0076712328767123295,0.010801393728222997,0.011940298507462687,0.010958904109589041
0.004,0.012,0.01245,0.0006667083320313317,0.01245,0.012768647281921619,0.014716525934861276,0.015862068965517243,0.01435028248587571,0.009619686800894856,0.01295215869311552,0.01230012300123001,0.008815789473684211,0.013333333333333332,0.012436974789915966,0.011583011583011582,0.012698412698412698,0.010958904109589041,0.011846689895470384,0.00845771144278607,0.01004566210045662
0.005,0.015000000000000001,0.01328,0.0011762652762026089,0.01328,0.012262958280657394,0.013148371531966224,0.016091954022988506,0.01615819209039548,0.012192393736017899,0.01411901983663944,0.012915129151291513,0.015657894736842107,0.012740740740740742,0.012100840336134453,0.011776061776061776,0.010430839002267574,0.010410958904109589,0.011149825783972125,0.00945273631840796,0.01415525114155251
0.006,0.018000000000000002,0.013640000000000003,0.001342534915747073,0.01364,0.013653603034134007,0.015319662243667067,0.015747126436781608,0.016045197740112992,0.01319910514541387,0.013885647607934653,0.013530135301353014,0.01368421052631579,0.012740740740740742,0.011596638655462187,0.011196911196911196,0.013605442176870746,0.012602739726027398,0.009407665505226481,0.013432835820895522,0.01187214611872146
0.007,0.021,0.0153,0.001258570617804182,0.0153,0.01731984829329962,0.019179734620024126,0.01896551724137931,0.01774011299435028,0.015548098434004476,0.01645274212368728,0.014145141451414513,0.015000000000000003,0.014074074074074072,0.013781512605042017,0.012355212355212355,0.009523809523809525,0.012328767123287671,0.00975609756097561,0.01144278606965174,0.010958904109589041
0.008,0.024,0.01684,0.0018698663053812166,0.01684,0.013780025284450062,0.02605548854041013,0.0203448275862069,0.021242937853107345,0.01610738255033557,0.018553092182030335,0.014391143911439114,0.015789473684210527,0.016,0.015294117647058823,0.01467181467181467,0.014512471655328799,0.011780821917808219,0.00975609756097561,0.007960199004975122,0.01278538812785388
0.009000000000000001,0.027000000000000003,0.017769999999999998,0.0015166080574756287,0.01777,0.015423514538558785,0.020868516284680335,0.020114942528735632,0.024293785310734464,0.022035794183445194,0.016219369894982495,0.01968019680196802,0.01644736842105263,0.017037037037037038,0.015126050420168066,0.01467181467181467,0.015419501133786848,0.013972602739726026,0.00975609756097561,0.011442786069651743,0.0091324200913242
0.01,0.030000000000000002,0.02089,0.0029696632805757627,0.02089,0.01643489254108723,0.026417370325693607,0.028390804597701148,0.03333333333333334,0.019798657718120803,0.021586931155192533,0.02017220172201722,0.020921052631578948,0.018518518518518517,0.020168067226890758,0.01525096525096525,0.014058956916099773,0.015342465753424659,0.013240418118466898,0.00845771144278607,0.0073059360730593605
0.011,0.033,0.02373,0.005547260585189775,0.02373,0.01706700379266751,0.0344993968636912,0.035862068965517246,0.04,0.02348993288590604,0.022520420070011666,0.020295202952029516,0.02026315789473684,0.020148148148148148,0.016302521008403358,0.018532818532818535,0.017913832199546485,0.014520547945205478,0.01742160278745645,0.011940298507462688,0.013242009132420091
0.012,0.036000000000000004,0.02456,0.0036288290122297026,0.02456,0.01946902654867257,0.03208685162846803,0.03540229885057471,0.04655367231638417,0.02505592841163311,0.021120186697782962,0.020664206642066422,0.02223684210526316,0.020740740740740744,0.017310924369747897,0.019884169884169883,0.018594104308390022,0.015342465753424656,0.012195121951219513,0.012437810945273632,0.0136986301369863
