Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05131492160518446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10232379000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15302933509415265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20343425442687751,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.512584382358409e-16
0.005,0.25354121364532023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3033528469744598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3528717576787464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.402100518515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.45104167218111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.49969773174757287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5480711810939013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5961644753281854,7.771561172376096e-16,1.6653345369377348e-15,2.1094237467877974e-15,3.9968028886505635e-15,2.220446049250313e-15,1.887379141862766e-15,1.7763568394002505e-15,1.7763568394002505e-15,2.1094237467877974e-15,1.887379141862766e-15,9.992007221626409e-16,1.1102230246251565e-15,6.661338147750939e-16,0.0,0.0,1.1102230246251565e-16,1.509603678194562e-15
0.013,0.64398004120308,1.5543122344752192e-15,3.3306690738754696e-15,4.107825191113079e-15,8.326672684688674e-15,5.551115123125783e-15,4.218847493575595e-15,3.4416913763379853e-15,3.9968028886505635e-15,4.218847493575595e-15,3.3306690738754696e-15,2.55351295663786e-15,2.4424906541753444e-15,1.2212453270876722e-15,9.992007221626409e-16,6.661338147750939e-16,5.551115123125783e-16,3.2678825106641397e-15
0.014,0.6915202775239924,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.512584382358409e-16
0.015,0.7387875555502392,5.551115123125783e-16,1.3322676295501878e-15,1.887379141862766e-15,3.774758283725532e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.7763568394002505e-15,1.5543122344752192e-15,7.771561172376096e-16,8.881784197001252e-16,4.440892098500626e-16,0.0,0.0,1.1102230246251565e-16,1.2637077169258499e-15
0.016,0.7857842193893131,2.55351295663786e-15,4.884981308350689e-15,6.994405055138486e-15,1.2434497875801753e-14,7.993605777301127e-15,5.773159728050814e-15,4.773959005888173e-15,5.440092820663267e-15,6.439293542825908e-15,5.440092820663267e-15,3.6637359812630166e-15,3.552713678800501e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.1102230246251565e-15,9.992007221626409e-16,4.8532043091821004e-15
0.017,0.832512586384396,1.4432899320127035e-15,3.1086244689504383e-15,4.107825191113079e-15,7.882583474838611e-15,4.6629367034256575e-15,3.6637359812630166e-15,3.1086244689504383e-15,3.6637359812630166e-15,3.885780586188048e-15,2.9976021664879227e-15,2.220446049250313e-15,1.9984014443252818e-15,1.1102230246251565e-15,7.771561172376096e-16,6.661338147750939e-16,4.440892098500626e-16,2.9541162329918034e-15
0.018,0.8789749474952562,2.6645352591003757e-15,5.218048215738236e-15,7.66053886991358e-15,1.554312234475219e-14,9.43689570931383e-15,6.8833827526759706e-15,4.9960036108132044e-15,5.88418203051333e-15,6.994405055138486e-15,6.106226635438361e-15,4.107825191113079e-15,3.6637359812630166e-15,2.220446049250313e-15,1.3322676295501878e-15,1.2212453270876722e-15,9.992007221626409e-16,5.44855283428237e-15
0.019,0.9251735676726586,3.4416913763379853e-15,6.772360450213455e-15,9.547918011776346e-15,1.942890293094024e-14,1.1657341758564144e-14,8.104628079763643e-15,6.994405055138486e-15,7.216449660063518e-15,9.325873406851315e-15,7.438494264988549e-15,4.9960036108132044e-15,4.440892098500626e-15,2.6645352591003757e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,6.841900965590923e-15
0.02,0.9711106862264152,2.3092638912203256e-14,4.674038933671909e-14,7.205347429817266e-14,1.4643841694805815e-13,8.58202398035246e-14,6.272760089132134e-14,4.973799150320701e-14,5.473399511402022e-14,6.661338147750939e-14,5.3512749786932545e-14,3.752553823233029e-14,3.3306690738754696e-14,1.9539925233402755e-14,1.27675647831893e-14,1.1435297153639112e-14,9.880984919163893e-15,5.042148186816919e-14
0.021,1.0167885171872062,0.008406043869216617,0.016663100356438365,0.0258226519308159,0.052327644535308915,0.030879928023465397,0.022658592969549418,0.01799848648884217,0.01984841128563075,0.02410455073672224,0.019489830827882915,0.013572497699053887,0.012090521035711843,0.007110407494901105,0.004552903356384919,0.004083279158148545,0.003605967717162928,0.01818134975985601
0.022,1.062209249662289,0.03210303256077751,0.06315780130186022,0.09402762426939615,0.17768149992090398,0.11125593952993929,0.08399376697825789,0.06754964821017151,0.07409132674243302,0.0889301784951746,0.0719951535857073,0.05079683676747193,0.04548115295210908,0.027010258688311528,0.017419375230798395,0.015532541969228153,0.013645015604579536,0.06656422828831282
0.023,1.10737504818522,0.05657252703928961,0.11029282315434075,0.15858195894692972,0.28222151881937196,0.18577353587629475,0.14377229178612805,0.11695836068058596,0.1276689221985592,0.15163071522770144,0.12307645896621144,0.08790692029042912,0.07908150996058905,0.04742077816667267,0.030786840491088818,0.027327486728911943,0.023904889540079077,0.11297146283709307
0.024,1.1522880530597015,0.08132098502932905,0.15693367295991867,0.21890119933347407,0.3699349711629296,0.25405870587803103,0.20092362046350987,0.16519497662241378,0.17954223149140291,0.2112160507808959,0.17205586740200007,0.12430877919525263,0.1123229341030465,0.06799594005753085,0.044421422886451456,0.039288739304939035,0.03424983426031725,0.15699610597154712
0.025,1.1969503806976745,0.10599449072072609,0.2023102593070315,0.2747994141390937,0.44403276978361994,0.31619286841901595,0.25486140327559814,0.21161085056666606,0.22908298526093007,0.2671693017279244,0.21856260431286345,0.15962317860052277,0.14482612166041675,0.08848954270502296,0.05815197663377503,0.0512868224536982,0.044583646781776065,0.1984574932759956
