Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05852047627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11669192385685886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1745174559960357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.23200014901185773,3.3306690738754696e-16,1.6653345369377348e-15,1.887379141862766e-15,1.9984014443252818e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,7.044243386172723e-16
0.005,0.2891430428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3459491416502948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.40242141420176303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.45856279453125004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5143761823758519,3.3306690738754696e-16,1.6653345369377348e-15,1.887379141862766e-15,1.9984014443252818e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,7.044243386172723e-16
0.01,0.5698644436893204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6250304111326235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6798768845559846,1.2212453270876722e-15,3.885780586188048e-15,4.3298697960381105e-15,4.773959005888173e-15,2.55351295663786e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.2212453270876722e-15,7.771561172376096e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.307080325035592e-15
0.013,0.7344066314725698,3.219646771412954e-15,8.326672684688674e-15,9.43689570931383e-15,1.176836406102666e-14,5.995204332975845e-15,4.440892098500626e-15,4.107825191113079e-15,4.107825191113079e-15,3.885780586188048e-15,3.219646771412954e-15,3.1086244689504383e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.2212453270876722e-15,6.661338147750939e-16,4.440892098500626e-16,5.203024165488166e-15
0.014,0.7886223875239924,8.881784197001252e-16,2.6645352591003757e-15,3.9968028886505635e-15,4.551914400963142e-15,2.1094237467877974e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.1102230246251565e-15,9.992007221626409e-16,8.881784197001252e-16,6.661338147750939e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.8644088620512853e-15
0.015,0.8425268569377989,1.2212453270876722e-15,3.774758283725532e-15,4.3298697960381105e-15,4.773959005888173e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.2212453270876722e-15,7.771561172376096e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.287954755592048e-15
