country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Germany,0,0,intra_group,484,484,0.9583227287493958,0.001984105028466658,116886
Germany,1,1,intra_group,475,475,1.078762485567613,0.002275870222716483,112575
Germany,2,2,intra_group,453,453,1.4757507733844881,0.0032649353393462126,102378
Germany,3,3,intra_group,472,472,2.76493361652056,0.005870347381147686,111156
Germany,4,4,intra_group,523,523,2.7333789871233973,0.005236358212880071,136503
Germany,5,5,intra_group,565,565,1.61170023734089,0.002857624534292358,159330
Germany,6,6,intra_group,613,613,2.011490879897011,0.003286749803753286,187578
Germany,7,7,intra_group,664,664,1.9124828740819189,0.0028845895536680527,220116
Germany,8,8,intra_group,633,633,1.5125312797020687,0.002393245695731121,200028
Germany,9,9,intra_group,593,593,1.3661625909464805,0.0023077070793014872,175528
Germany,10,10,intra_group,682,682,1.462396783712459,0.002147425526743699,232221
Germany,11,11,intra_group,818,818,0.9625575906282194,0.0011781610656404155,334153
Germany,12,12,intra_group,760,760,0.8481233643442494,0.0011174220874100782,288420
Germany,13,13,intra_group,627,627,0.9097926784515524,0.0014533429368235663,196251
Germany,14,14,intra_group,498,498,1.1004988688194812,0.002214283438268574,123753
Germany,15,15,intra_group,1140,1140,0.2898997164718484,0.0002545212611693138,649230
Germany,0,1,inter_group,484,475,0.3690675212867953,0.0007769842553406217,229900
Germany,0,2,inter_group,484,453,0.16452826685656619,0.00036319705707851254,219252
Germany,0,3,inter_group,484,472,0.11629890061772526,0.00024639597588501115,228448
Germany,0,4,inter_group,484,523,0.27478874793612246,0.0005254086958625669,253132
Germany,0,5,inter_group,484,565,0.39023648917664144,0.0006906840516400734,273460
Germany,0,6,inter_group,484,613,0.7076434198087047,0.0011543938332931561,296692
Germany,0,7,inter_group,484,664,0.471223159497078,0.0007096734329775271,321376
Germany,0,8,inter_group,484,633,0.2601949865279727,0.00041105053163976725,306372
Germany,0,9,inter_group,484,593,0.16249231206029846,0.0002740173896463718,287012
Germany,0,10,inter_group,484,682,0.17397666400058998,0.0002550977478014516,330088
Germany,0,11,inter_group,484,818,0.08341244491007446,0.0001019712040465458,395912
Germany,0,12,inter_group,484,760,0.09923340433656058,0.0001305702688638955,367840
Germany,0,13,inter_group,484,627,0.04766681877100036,7.602363440350935e-05,303468
Germany,0,14,inter_group,484,498,0.08087011112471776,0.00016238978137493525,241032
Germany,0,15,inter_group,484,1140,0.08267173808546417,7.251906849602121e-05,551760
Germany,1,2,inter_group,475,453,0.3896499689949068,0.0008601544569423991,215175
Germany,1,3,inter_group,475,472,0.16423943035549762,0.0003479648948209695,224200
Germany,1,4,inter_group,475,523,0.05369909218158866,0.00010267512845428042,248425
Germany,1,5,inter_group,475,565,0.1874623097987637,0.0003317916987588738,268375
Germany,1,6,inter_group,475,613,0.4349097261954794,0.0007094775304983351,291175
Germany,1,7,inter_group,475,664,0.4521268287524869,0.0006809138987236248,315400
Germany,1,8,inter_group,475,633,0.44615336206205675,0.0007048236367489048,300675
Germany,1,9,inter_group,475,593,0.1329391893735315,0.00022418075779684907,281675
Germany,1,10,inter_group,475,682,0.1418128572056505,0.00020793674077074854,323950
Germany,1,11,inter_group,475,818,0.0990093400096002,0.00012103831297017139,388550
Germany,1,12,inter_group,475,760,0.091045510321518,0.00011979672410726052,361000
Germany,1,13,inter_group,475,627,0.09507069920472068,0.00015162790941741734,297825
Germany,1,14,inter_group,475,498,0.045759579009804714,9.188670483896529e-05,236550
Germany,1,15,inter_group,475,1140,0.06973599334236373,6.117192398452958e-05,541500
Germany,2,3,inter_group,453,472,0.5990905777581922,0.0012692596986402377,213816
Germany,2,4,inter_group,453,523,0.12381608054865226,0.00023674202781769074,236919
Germany,2,5,inter_group,453,565,0.09032639422783798,0.00015986972429705838,255945
Germany,2,6,inter_group,453,613,0.1668751206913636,0.00027222695055687375,277689
Germany,2,7,inter_group,453,664,0.5546869674530087,0.0008353719389352541,300792
Germany,2,8,inter_group,453,633,0.8676107798937206,0.0013706331435919756,286749
Germany,2,9,inter_group,453,593,0.26087761700771034,0.0004399285278376228,268629
Germany,2,10,inter_group,453,682,0.21194477511043353,0.00031076946497131017,308946
Germany,2,11,inter_group,453,818,0.08937878363683238,0.00010926501667094423,370554
Germany,2,12,inter_group,453,760,0.02867275639049898,3.7727311040130236e-05,344280
Germany,2,13,inter_group,453,627,0.0745408638264817,0.00011888495028147002,284031
Germany,2,14,inter_group,453,498,0.03642105686888092,7.313465234715044e-05,225594
Germany,2,15,inter_group,453,1140,0.0192725700705383,1.690576321977044e-05,516420
Germany,3,4,inter_group,472,523,1.2621246461991882,0.002413240241298639,246856
Germany,3,5,inter_group,472,565,0.3043499938529661,0.0005386725554919755,266680
Germany,3,6,inter_group,472,613,0.18957296007040159,0.00030925442099576116,289336
Germany,3,7,inter_group,472,664,0.7338095786785592,0.0011051349076484326,313408
Germany,3,8,inter_group,472,633,1.0064333830844618,0.0015899421533719777,298776
Germany,3,9,inter_group,472,593,0.6801791684033914,0.0011470137747106096,279896
Germany,3,10,inter_group,472,682,0.4807525413486885,0.0007049157497781356,321904
Germany,3,11,inter_group,472,818,0.3366736052114899,0.00041158142446392413,386096
Germany,3,12,inter_group,472,760,0.11688927756961537,0.0001538016810126518,358720
Germany,3,13,inter_group,472,627,0.04860720455068475,7.752345223394697e-05,295944
Germany,3,14,inter_group,472,498,0.10205952420584724,0.00020493880362619927,235056
