country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Monaco,0,0,intra_group,451,451,0.6616143072268665,0.0014702540160597033,101475
Monaco,1,1,intra_group,427,427,1.5215166910821152,0.0035716354250753877,90951
Monaco,2,2,intra_group,384,384,2.373159542044508,0.00619623901317104,73536
Monaco,3,3,intra_group,405,405,2.526377865609115,0.006253410558438404,81810
Monaco,4,4,intra_group,440,440,2.1002777330574647,0.004784231738171901,96580
Monaco,5,5,intra_group,412,412,2.248554289133185,0.005470935010056411,84666
Monaco,6,6,intra_group,417,417,2.1147958468658588,0.005083643862658314,86736
Monaco,7,7,intra_group,433,433,2.77780007612827,0.006430092768815439,93528
Monaco,8,8,intra_group,444,444,2.6010325812506605,0.005871405375283658,98346
Monaco,9,9,intra_group,493,493,1.9202076780734691,0.003902861134295669,121278
Monaco,10,10,intra_group,633,633,1.6839461773840092,0.0026644717996582423,200028
Monaco,11,11,intra_group,725,725,1.6874626551082945,0.002330749523630241,262450
Monaco,12,12,intra_group,751,751,1.87152815327402,0.0024953708710320267,281625
Monaco,13,13,intra_group,653,653,1.8300251349819137,0.002806787016843426,212878
Monaco,14,14,intra_group,650,650,1.7018590190281282,0.002622278919920074,210925
Monaco,15,15,intra_group,2282,2282,4.13515940423173,0.0018128712863795396,2602621
Monaco,0,1,inter_group,451,427,0.4116996355408538,0.0009641677647326787,192577
Monaco,0,2,inter_group,451,384,0.14202898531985214,0.0003698671492704483,173184
Monaco,0,3,inter_group,451,405,0.07066142656311447,0.00017447265818052956,182655
Monaco,0,4,inter_group,451,440,0.11733858988232031,0.00026667861336890976,198440
Monaco,0,5,inter_group,451,412,0.2994075454828505,0.0007267173434049769,185812
Monaco,0,6,inter_group,451,417,0.5610339538268658,0.001345405165052436,188067
Monaco,0,7,inter_group,451,433,0.5985247928069377,0.0013822743482839208,195283
Monaco,0,8,inter_group,451,444,0.2650025916718473,0.000596852683945602,200244
Monaco,0,9,inter_group,451,493,0.14431738533879765,0.00029273303314157736,222343
Monaco,0,10,inter_group,451,633,0.22538808246562006,0.0003560633214306794,285483
Monaco,0,11,inter_group,451,725,0.35737984924541477,0.0004929377230971238,326975
Monaco,0,12,inter_group,451,751,1.139040128917917,0.0015166979080132052,338701
Monaco,0,13,inter_group,451,653,0.26732565928266017,0.0004093807952261258,294503
Monaco,0,14,inter_group,451,650,0.13555791550521581,0.00020855063923879357,293150
Monaco,0,15,inter_group,451,2282,0.5799411140615566,0.00025413721036878027,1029182
Monaco,1,2,inter_group,427,384,0.5442289770225316,0.001417262960996176,163968
Monaco,1,3,inter_group,427,405,0.15408889669365386,0.0003804664115892688,172935
Monaco,1,4,inter_group,427,440,0.08057651728025783,0.00018312844836422234,187880
Monaco,1,5,inter_group,427,412,0.14272964439821884,0.00034643117572383215,175924
Monaco,1,6,inter_group,427,417,0.4979276003992583,0.0011940709841708832,178059
Monaco,1,7,inter_group,427,433,0.8767006653638373,0.002024712853034266,184891
Monaco,1,8,inter_group,427,444,0.6238570111529766,0.00140508335845265,189588
Monaco,1,9,inter_group,427,493,0.28348840592921404,0.0005750271925541867,210511
Monaco,1,10,inter_group,427,633,0.2175307328299415,0.00034365044680875436,270291
Monaco,1,11,inter_group,427,725,0.35222868538587954,0.0004858326694977649,309575
Monaco,1,12,inter_group,427,751,1.149100697540273,0.001530094137869871,320677
Monaco,1,13,inter_group,427,653,0.4135832661774924,0.0006333587537174463,278831
Monaco,1,14,inter_group,427,650,0.3515798095300612,0.0005408920146616325,277550
Monaco,1,15,inter_group,427,2282,0.8290315550870501,0.0003632916542888037,974414
Monaco,2,3,inter_group,384,405,0.6778106842918937,0.001673606627881219,155520
Monaco,2,4,inter_group,384,440,0.1410691981068896,0.0003206118138792945,168960
Monaco,2,5,inter_group,384,412,0.0823257518444275,0.00019981978603016384,158208
Monaco,2,6,inter_group,384,417,0.22898442625131923,0.0005491233243436912,160128
Monaco,2,7,inter_group,384,433,0.6192430108606162,0.0014301224269298294,166272
Monaco,2,8,inter_group,384,444,0.9265913524853663,0.0020869174605526266,170496
Monaco,2,9,inter_group,384,493,0.5386613721163895,0.0010926194160575853,189312
Monaco,2,10,inter_group,384,633,0.3530461324308572,0.0005577348063678628,243072
Monaco,2,11,inter_group,384,725,0.2820882453893269,0.0003890872350197613,278400
Monaco,2,12,inter_group,384,751,0.9665250922922509,0.0012869841441974046,288384
Monaco,2,13,inter_group,384,653,0.3804623037424804,0.00058263752487363,250752
Monaco,2,14,inter_group,384,650,0.38130782681856323,0.0005866274258747127,249600
Monaco,2,15,inter_group,384,2282,1.3519994263318356,0.0005924625005836265,876288
Monaco,3,4,inter_group,405,440,0.8244139649122886,0.0018736681020733832,178200
Monaco,3,5,inter_group,405,412,0.30638647406852015,0.0007436564904575732,166860
Monaco,3,6,inter_group,405,417,0.20907456156799675,0.0005013778454868028,168885
Monaco,3,7,inter_group,405,433,0.4010875837741248,0.0009262992696862005,175365
Monaco,3,8,inter_group,405,444,0.6680329384656769,0.001504578690238011,179820
Monaco,3,9,inter_group,405,493,0.9140357360424007,0.0018540278621549712,199665
Monaco,3,10,inter_group,405,633,0.6068055793640864,0.0009586186087900259,256365
Monaco,3,11,inter_group,405,725,0.3865276492395129,0.0005331415851579488,293625
Monaco,3,12,inter_group,405,751,0.8765269679430806,0.0011671464286858596,304155
Monaco,3,13,inter_group,405,653,0.22118918127891316,0.00033872768955423146,264465
Monaco,3,14,inter_group,405,650,0.37257531781172626,0.0005731927966334251,263250
Monaco,3,15,inter_group,405,2282,0.9245762152360515,0.0004051604799456843,924210
Monaco,4,5,inter_group,440,412,1.0524810582691788,0.002554565675410628,181280
Monaco,4,6,inter_group,440,417,0.6820437362497174,0.0016355964898074756,183480
Monaco,4,7,inter_group,440,433,0.6464020799652226,0.001492845450266103,190520
Monaco,4,8,inter_group,440,444,0.6797252168355238,0.0015309126505304589,195360
Monaco,4,9,inter_group,440,493,0.8740950982210383,0.0017730123696167105,216920
Monaco,4,10,inter_group,440,633,0.8923854043113109,0.0014097715707919603,278520
Monaco,4,11,inter_group,440,725,0.5858322967075683,0.0008080445471828528,319000
Monaco,4,12,inter_group,440,751,0.9702556209045189,0.001291951559127189,330440
Monaco,4,13,inter_group,440,653,0.20923956345467462,0.0003204281216763777,287320
Monaco,4,14,inter_group,440,650,0.1435736712412314,0.00022088257114035603,286000
Monaco,4,15,inter_group,440,2282,0.3607351657688248,0.00015807851260684697,1004080
Monaco,5,6,inter_group,412,417,1.191312549301028,0.00285686462662117,171804
Monaco,5,7,inter_group,412,433,1.0451225070216592,0.00241367784531561,178396
Monaco,5,8,inter_group,412,444,0.9338805913047058,0.0021033346651006886,182928
Monaco,5,9,inter_group,412,493,0.7442147170915255,0.0015095633206724656,203116
Monaco,5,10,inter_group,412,633,1.0769498448631063,0.0017013425669243386,260796
Monaco,5,11,inter_group,412,725,0.8398338838573672,0.0011583915639411962,298700
Monaco,5,12,inter_group,412,751,1.6270222650112054,0.0021664743874982764,309412
Monaco,5,13,inter_group,412,653,0.3169092088240381,0.00048531272407969085,269036
Monaco,5,14,inter_group,412,650,0.22454534981598082,0.00034545438433227816,267800
Monaco,5,15,inter_group,412,2282,0.41454976863777837,0.00018166072245301418,940184
Monaco,6,7,inter_group,417,433,1.3694427426337261,0.0031626853178607995,180561
Monaco,6,8,inter_group,417,444,1.1611961045305672,0.002615306541735512,185148
Monaco,6,9,inter_group,417,493,0.9015461040771527,0.001828693923077389,205581
Monaco,6,10,inter_group,417,633,0.9113079304743134,0.0014396649770526278,263961
Monaco,6,11,inter_group,417,725,0.9599549026742027,0.0013240757278264864,302325
Monaco,6,12,inter_group,417,751,2.22685183222347,0.0029651822000312518,313167
Monaco,6,13,inter_group,417,653,0.5112250107539983,0.0007828866933445609,272301
Monaco,6,14,inter_group,417,650,0.2587914259872033,0.00039814065536492813,271050
Monaco,6,15,inter_group,417,2282,0.7296521164011294,0.00031974238229672626,951594
Monaco,7,8,inter_group,433,444,1.620753260341029,0.0036503451809482635,192252
Monaco,7,9,inter_group,433,493,1.1374959596688365,0.002307294035839425,213469
Monaco,7,10,inter_group,433,633,1.0103005164061256,0.0015960513687300563,274089
Monaco,7,11,inter_group,433,725,0.8348683597366809,0.0011515425651540427,313925
Monaco,7,12,inter_group,433,751,2.569810098308801,0.003421850996416513,325183
Monaco,7,13,inter_group,433,653,0.6297075145967727,0.0009643300376673394,282749
Monaco,7,14,inter_group,433,650,0.5513203336237781,0.0008481851286519662,281450
Monaco,7,15,inter_group,433,2282,1.0164739898569417,0.00044543119625632856,988106
Monaco,8,9,inter_group,444,493,1.3537690386705152,0.0027459818228610855,218892
Monaco,8,10,inter_group,444,633,1.255776519811114,0.001983849162418821,281052
Monaco,8,11,inter_group,444,725,0.8277868449041934,0.0011417749584885426,321900
Monaco,8,12,inter_group,444,751,2.1897381416189563,0.00291576317126359,333444
