country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Qatar,0,0,intra_group,495,495,1.0725420425086616,0.0021711377378717846,122265
Qatar,1,1,intra_group,556,556,1.4862675872600088,0.0026779596166847004,154290
Qatar,2,2,intra_group,519,519,1.7150272862464693,0.003310863486962296,134421
Qatar,3,3,intra_group,377,377,2.407720608188333,0.0064035122558200345,70876
Qatar,4,4,intra_group,379,379,7.956210930671273,0.021048177065267917,71631
Qatar,5,5,intra_group,1118,1118,10.024383723269619,0.008974381130948629,624403
Qatar,6,6,intra_group,1615,1615,7.456239172465227,0.004619726872655035,1303305
Qatar,7,7,intra_group,1612,1612,6.127877710467196,0.0038037726321956526,1298466
Qatar,8,8,intra_group,1262,1262,3.9124732131754194,0.003102675030273925,795691
Qatar,9,9,intra_group,844,844,2.0591824467925575,0.002442683804024386,355746
Qatar,10,10,intra_group,552,552,1.598212555137719,0.0029005672507036646,152076
Qatar,11,11,intra_group,321,321,0.7825083946986668,0.002445338733433334,51360
Qatar,12,12,intra_group,189,189,0.14954918610084647,0.0007954743941534386,17766
Qatar,13,13,intra_group,88,88,0.06415348692381388,0.0007373964014231481,3828
Qatar,14,14,intra_group,38,38,0.03228214953138667,0.0008724905278753154,703
Qatar,15,15,intra_group,35,35,0.02732248418312984,0.0008036024759744071,595
Qatar,0,1,inter_group,495,556,0.528095447488292,0.0009498119559141942,275220
Qatar,0,2,inter_group,495,519,0.21881084081097393,0.0004216008493467706,256905
Qatar,0,3,inter_group,495,377,0.09974819038089096,0.0002645840593657585,186615
Qatar,0,4,inter_group,495,379,0.3626530227979319,0.0009568681340314826,187605
Qatar,0,5,inter_group,495,1118,1.7948877079324193,0.00160544517704152,553410
Qatar,0,6,inter_group,495,1615,3.09598871033555,0.0019170208732727865,799425
Qatar,0,7,inter_group,495,1612,2.3949686295450117,0.0014857125493455408,797940
Qatar,0,8,inter_group,495,1262,0.9115752807959786,0.0007223258960348483,624690
Qatar,0,9,inter_group,495,844,0.25321595730872715,0.0003000189067638947,417780
Qatar,0,10,inter_group,495,552,0.19675187555747087,0.00035643455716933127,273240
Qatar,0,11,inter_group,495,321,0.11741423147195691,0.0003657764220310184,158895
Qatar,0,12,inter_group,495,189,0.047400821479354566,0.00025079799724526226,93555
Qatar,0,13,inter_group,495,88,0.013460874289233761,0.00015296448055947457,43560
Qatar,0,14,inter_group,495,38,0.004926646910838506,0.00012964860291680278,18810
Qatar,0,15,inter_group,495,35,0.007062364175447385,0.000201781833584211,17325
Qatar,1,2,inter_group,556,519,0.5278838928504822,0.0010171173272648982,288564
Qatar,1,3,inter_group,556,377,0.13919105961503536,0.0003692070546817914,209612
Qatar,1,4,inter_group,556,379,0.18533664319295032,0.0004890148896911617,210724
Qatar,1,5,inter_group,556,1118,0.7585178569270941,0.000678459621580585,621608
Qatar,1,6,inter_group,556,1615,2.4775641006888613,0.0015340954183831958,897940
Qatar,1,7,inter_group,556,1612,3.01078477039917,0.001867732487840676,896272
Qatar,1,8,inter_group,556,1262,1.3348400682536539,0.0010577179621661284,701672
Qatar,1,9,inter_group,556,844,0.3702829234774799,0.00043872384298279606,469264
Qatar,1,10,inter_group,556,552,0.13953867085366478,0.0002527874471986681,306912
Qatar,1,11,inter_group,556,321,0.09996463004373679,0.00031141629297114264,178476
Qatar,1,12,inter_group,556,189,0.03831177946074328,0.00020270782783462054,105084
Qatar,1,13,inter_group,556,88,0.014129554625271531,0.00016056312074172195,48928
Qatar,1,14,inter_group,556,38,0.005674635865053195,0.00014933252276455776,21128
Qatar,1,15,inter_group,556,35,0.007265184883887351,0.00020757671096821004,19460
Qatar,2,3,inter_group,519,377,0.38929203491507175,0.0010326048671487314,195663
Qatar,2,4,inter_group,519,379,0.28071820256950014,0.0007406812732704489,196701
Qatar,2,5,inter_group,519,1118,0.45393654755877355,0.000406025534489064,580242
Qatar,2,6,inter_group,519,1615,1.65999742440028,0.001027862182291195,838185
Qatar,2,7,inter_group,519,1612,2.4981086444494824,0.0015496951888644432,836628
Qatar,2,8,inter_group,519,1262,1.8947493170008105,0.0015013861465933522,654978
Qatar,2,9,inter_group,519,844,0.5991546753726145,0.0007098989044699224,438036
Qatar,2,10,inter_group,519,552,0.2125886511056541,0.0003851243679450255,286488
Qatar,2,11,inter_group,519,321,0.08392550006296323,0.000261450155959387,166599
Qatar,2,12,inter_group,519,189,0.0253280192007542,0.00013401068360187408,98091
Qatar,2,13,inter_group,519,88,0.011181380010769116,0.00012706113648601269,45672
Qatar,2,14,inter_group,519,38,0.006939927403292355,0.00018262966850769355,19722
Qatar,2,15,inter_group,519,35,0.005903887939504043,0.00016868251255725838,18165
Qatar,3,4,inter_group,377,379,1.8822228256549,0.004966287138931135,142883
Qatar,3,5,inter_group,377,1118,1.9994277436771806,0.0017883969084769057,421486
Qatar,3,6,inter_group,377,1615,1.5594940488514624,0.0009656309900009055,608855
Qatar,3,7,inter_group,377,1612,2.695008341030789,0.001671841402624559,607724
Qatar,3,8,inter_group,377,1262,2.4326868617631394,0.001927644105992979,475774
Qatar,3,9,inter_group,377,844,1.5572162750145921,0.001845042979875109,318188
Qatar,3,10,inter_group,377,552,0.6354431528460871,0.001151165131967549,208104
Qatar,3,11,inter_group,377,321,0.23628921299767422,0.0007361034672824742,121017
Qatar,3,12,inter_group,377,189,0.041519512064442314,0.0002196799580129223,71253
Qatar,3,13,inter_group,377,88,0.007735888144307329,8.79078198216742e-05,33176
Qatar,3,14,inter_group,377,38,0.003518878822037459,9.260207426414365e-05,14326
Qatar,3,15,inter_group,377,35,0.004474651401497113,0.0001278471828999175,13195
Qatar,4,5,inter_group,379,1118,9.528229432292523,0.008522566576290271,423722
Qatar,4,6,inter_group,379,1615,6.451972133173889,0.0039950291846277955,612085
Qatar,4,7,inter_group,379,1612,4.090325586636467,0.0025374228204940864,610948
Qatar,4,8,inter_group,379,1262,3.301650208015342,0.002616204602230857,478298
Qatar,4,9,inter_group,379,844,2.1343767657725006,0.002528882423901067,319876
Qatar,4,10,inter_group,379,552,1.2889213459612276,0.002335002438335557,209208
Qatar,4,11,inter_group,379,321,0.4845099625836916,0.0015093768304787901,121659
Qatar,4,12,inter_group,379,189,0.11291000388053561,0.0005974074279393418,71631
Qatar,4,13,inter_group,379,88,0.011586377511140434,0.00013166338080841403,33352
Qatar,4,14,inter_group,379,38,0.008553983410489196,0.00022510482659182096,14402
Qatar,4,15,inter_group,379,35,0.011668369893613377,0.0003333819969603822,13265
Qatar,5,6,inter_group,1118,1615,6.154748821816113,0.0038109899825486764,1805570
Qatar,5,7,inter_group,1118,1612,3.988742419553414,0.002474405967464897,1802216
Qatar,5,8,inter_group,1118,1262,2.3157226036929113,0.00183496244349676,1410916
Qatar,5,9,inter_group,1118,844,1.3340874425231197,0.00158067232526436,943592
Qatar,5,10,inter_group,1118,552,1.2158053631439318,0.002202545947724514,617136
Qatar,5,11,inter_group,1118,321,0.5511783921548752,0.0017170666422270254,358878
Qatar,5,12,inter_group,1118,189,0.16537297450377914,0.0008749892830887785,211302
Qatar,5,13,inter_group,1118,88,0.026424851762474087,0.000300282406391751,98384
Qatar,5,14,inter_group,1118,38,0.005507184730481972,0.00014492591396005189,42484
Qatar,5,15,inter_group,1118,35,0.01372478434543386,0.0003921366955838246,39130
Qatar,6,7,inter_group,1615,1612,4.204824826276048,0.0026084521254814193,2603380
Qatar,6,8,inter_group,1615,1262,2.373824349377052,0.0018810018616299937,2038130
Qatar,6,9,inter_group,1615,844,1.2189358676505448,0.001444236810012494,1363060
Qatar,6,10,inter_group,1615,552,0.8254267337627074,0.0014953382858020061,891480
Qatar,6,11,inter_group,1615,321,0.5020618456391382,0.0015640555938913963,518415
Qatar,6,12,inter_group,1615,189,0.16072092637033833,0.0008503752718007319,305235
Qatar,6,13,inter_group,1615,88,0.028520486441955175,0.0003240964368403997,142120
Qatar,6,14,inter_group,1615,38,0.01145568480300136,0.00030146538955266736,61370
Qatar,6,15,inter_group,1615,35,0.010703588059304311,0.0003058168016944089,56525
Qatar,7,8,inter_group,1612,1262,2.8353966093035314,0.002246748501825302,2034344
Qatar,7,9,inter_group,1612,844,1.3283075600375434,0.0015738241232672314,1360528
Qatar,7,10,inter_group,1612,552,0.8067091202472441,0.0014614295656652971,889824
Qatar,7,11,inter_group,1612,321,0.3725239660308914,0.001160510797604023,517452
Qatar,7,12,inter_group,1612,189,0.13140362579846082,0.0006952572793569356,304668
Qatar,7,13,inter_group,1612,88,0.045795824817119135,0.0005204071001945356,141856
Qatar,7,14,inter_group,1612,38,0.020933467552970278,0.0005508807250781652,61256
Qatar,7,15,inter_group,1612,35,0.0070587905448824696,0.00020167972985378485,56420
Qatar,8,9,inter_group,1262,844,1.5377711878486582,0.00182200377707187,1065128
Qatar,8,10,inter_group,1262,552,0.9993468196881639,0.0018104109052321808,696624
Qatar,8,11,inter_group,1262,321,0.3589584394837446,0.0011182505902920393,405102
Qatar,8,12,inter_group,1262,189,0.11304343949650562,0.0005981134364894477,238518
Qatar,8,13,inter_group,1262,88,0.0343565586479066,0.0003904154391807568,111056
Qatar,8,14,inter_group,1262,38,0.01494019009751137,0.00039316289730293076,47956
Qatar,8,15,inter_group,1262,35,0.010297812449813851,0.0002942232128518243,44170
