country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Uganda,0,0,intra_group,1652,1652,8.57904981110657,0.005196274870446135,1363726
Uganda,1,1,intra_group,1462,1462,11.35439619707411,0.007771660641392272,1067991
Uganda,2,2,intra_group,1329,1329,9.360537864060314,0.007048597789202043,882456
Uganda,3,3,intra_group,1178,1178,9.31046706898225,0.007910337356824343,693253
Uganda,4,4,intra_group,1016,1016,4.561647174115057,0.004494233669078874,515620
Uganda,5,5,intra_group,852,852,3.1204736606073857,0.003666831563580947,362526
Uganda,6,6,intra_group,672,672,2.191268740445078,0.003265676215268373,225456
Uganda,7,7,intra_group,494,494,2.1142440347866875,0.004288527453928373,121771
Uganda,8,8,intra_group,361,361,1.8638331334662275,0.00517731425962841,64980
Uganda,9,9,intra_group,287,287,1.3186779567338363,0.004610762086481945,41041
Uganda,10,10,intra_group,232,232,1.2608189512339332,0.005458090697982395,26796
Uganda,11,11,intra_group,172,172,0.7912106493844286,0.004626962861897244,14706
Uganda,12,12,intra_group,121,121,0.2080973974810642,0.0017341449790088683,7260
Uganda,13,13,intra_group,84,84,0.034944255017813716,0.0004210151206965508,3486
Uganda,14,14,intra_group,53,53,0.019473131970540007,0.00037448330712576937,1378
Uganda,15,15,intra_group,35,35,0.02274492687618289,0.0006689684375347909,595
Uganda,0,1,inter_group,1652,1462,3.8495747217989216,0.002633088045006102,2415224
Uganda,0,2,inter_group,1652,1329,1.4757820162727833,0.001110445459949423,2195508
Uganda,0,3,inter_group,1652,1178,0.7587584092133693,0.0006441073083305343,1946056
Uganda,0,4,inter_group,1652,1016,0.943870904566466,0.0009290067958331358,1678432
Uganda,0,5,inter_group,1652,852,1.1795463041817977,0.0013844440189927202,1407504
Uganda,0,6,inter_group,1652,672,1.0272573849345426,0.0015286568228192598,1110144
Uganda,0,7,inter_group,1652,494,0.7439748327739116,0.0015060219286921288,816088
Uganda,0,8,inter_group,1652,361,0.3675428758131176,0.0010181243097316277,596372
