country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Germany,0,0,intra_group,484,484,2.285792551260064,0.004732489754161623,116886
Germany,1,1,intra_group,475,475,1.719495497516042,0.003627627631890384,112575
Germany,2,2,intra_group,453,453,2.4309528510713245,0.005378214272281691,102378
Germany,3,3,intra_group,472,472,3.6357814208832577,0.007719281148372097,111156
Germany,4,4,intra_group,523,523,2.311898461844669,0.004428924256407412,136503
Germany,5,5,intra_group,565,565,1.1082790393673365,0.0019650337577435044,159330
Germany,6,6,intra_group,613,613,0.9112635504823459,0.0014889927295463168,187578
Germany,7,7,intra_group,664,664,1.0694941309206722,0.001613113319639023,220116
Germany,8,8,intra_group,633,633,1.044994290536553,0.0016534719786970775,200028
Germany,9,9,intra_group,593,593,0.8299876192707697,0.0014020061136330569,175528
Germany,10,10,intra_group,682,682,0.9318109292735018,0.001368297987185759,232221
Germany,11,11,intra_group,818,818,0.8718721083239145,0.001067162923285085,334153
Germany,12,12,intra_group,760,760,0.847233566498321,0.001116249758232307,288420
Germany,13,13,intra_group,627,627,0.9097871234528663,0.001453334063023748,196251
Germany,14,14,intra_group,498,498,1.1004988688194812,0.002214283438268574,123753
Germany,15,15,intra_group,1140,1140,0.2898997164718484,0.0002545212611693138,649230
Germany,0,1,inter_group,484,475,0.5202644721613084,0.0010952936256027547,229900
Germany,0,2,inter_group,484,453,0.16452826685656638,0.000363197057078513,219252
Germany,0,3,inter_group,484,472,0.23726786504302214,0.0005026861547521655,228448
Germany,0,4,inter_group,484,523,0.2802683387415444,0.0005358859249360314,253132
Germany,0,5,inter_group,484,565,0.4049637896425589,0.0007167500701638211,273460
Germany,0,6,inter_group,484,613,0.8003621172416935,0.001305647825842893,296692
Germany,0,7,inter_group,484,664,0.5101269041187979,0.0007682634098174667,321376
Germany,0,8,inter_group,484,633,0.2633673654309595,0.0004160621886745016,306372
Germany,0,9,inter_group,484,593,0.1766999664551304,0.00029797633466295174,287012
Germany,0,10,inter_group,484,682,0.3142183781671526,0.00046073075977588355,330088
Germany,0,11,inter_group,484,818,0.08341244491007446,0.0001019712040465458,395912
Germany,0,12,inter_group,484,760,0.09923340433656058,0.0001305702688638955,367840
Germany,0,13,inter_group,484,627,0.04766681877100036,7.602363440350935e-05,303468
Germany,0,14,inter_group,484,498,0.08087011112471776,0.00016238978137493525,241032
Germany,0,15,inter_group,484,1140,0.08267173808546417,7.251906849602121e-05,551760
Germany,1,2,inter_group,475,453,0.4390906990638383,0.0009692951414212766,215175
Germany,1,3,inter_group,475,472,0.21365337007099272,0.00045265544506566254,224200
Germany,1,4,inter_group,475,523,0.06443167160238548,0.00012319631281526862,248425
Germany,1,5,inter_group,475,565,0.21652484728525767,0.0003832298182039959,268375
Germany,1,6,inter_group,475,613,0.4580845163176791,0.0007472830608771274,291175
Germany,1,7,inter_group,475,664,0.5955951291989111,0.0008969806162634203,315400
Germany,1,8,inter_group,475,633,0.5025573070537094,0.0007939293950295567,300675
Germany,1,9,inter_group,475,593,0.14801386447929527,0.0002496017950746969,281675
Germany,1,10,inter_group,475,682,0.2942838749214106,0.0004315012828759686,323950
Germany,1,11,inter_group,475,818,0.0990093400096002,0.00012103831297017139,388550
Germany,1,12,inter_group,475,760,0.2214011750476499,0.000291317335589013,361000
Germany,1,13,inter_group,475,627,0.09507069920472068,0.00015162790941741734,297825
Germany,1,14,inter_group,475,498,0.045759579009804714,9.188670483896529e-05,236550
Germany,1,15,inter_group,475,1140,0.06973599334236373,6.117192398452958e-05,541500
Germany,2,3,inter_group,453,472,0.9827423914819305,0.002082081337885446,213816
Germany,2,4,inter_group,453,523,0.12513428549034186,0.00023926249615744143,236919
Germany,2,5,inter_group,453,565,0.09612249473062084,0.000170128309257736,255945
Germany,2,6,inter_group,453,613,0.14804910276116945,0.0002415156651895097,277689
Germany,2,7,inter_group,453,664,0.7319719411632699,0.001102367381269985,300792
Germany,2,8,inter_group,453,633,1.0034392203282751,0.001585212038433294,286749
Germany,2,9,inter_group,453,593,0.4546178004267368,0.000766640472895003,268629
Germany,2,10,inter_group,453,682,0.23639383101742098,0.0003466185205534032,308946
Germany,2,11,inter_group,453,818,0.08699554724794503,0.00010635152475298904,370554
Germany,2,12,inter_group,453,760,0.030473150496066047,4.009625065271848e-05,344280
Germany,2,13,inter_group,453,627,0.07517374596883902,0.00011989433168873847,284031
Germany,2,14,inter_group,453,498,0.03642105686888092,7.313465234715044e-05,225594
Germany,2,15,inter_group,453,1140,0.0192725700705383,1.690576321977044e-05,516420
Germany,3,4,inter_group,472,523,1.056086496748125,0.002019285844642686,246856
Germany,3,5,inter_group,472,565,0.21929102794077307,0.00038812571316950984,266680
Germany,3,6,inter_group,472,613,0.047220556510972234,7.70319029542777e-05,289336
Germany,3,7,inter_group,472,664,0.6528690639814624,0.0009832365421407565,313408
Germany,3,8,inter_group,472,633,1.1668214807397495,0.001843319874786334,298776
Germany,3,9,inter_group,472,593,1.4477624412075323,0.002441420642845754,279896
Germany,3,10,inter_group,472,682,0.7632500263469567,0.0011191349359926052,321904
Germany,3,11,inter_group,472,818,0.2285608957561199,0.0002794142979903666,386096
Germany,3,12,inter_group,472,760,0.11193278490772512,0.0001472799801417436,358720
Germany,3,13,inter_group,472,627,0.04938575713728761,7.876516289838534e-05,295944
Germany,3,14,inter_group,472,498,0.10205952420584724,0.00020493880362619927,235056
Germany,3,15,inter_group,472,1140,0.01637804193574915,1.4366703452411536e-05,538080
