country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Qatar,0,0,intra_group,495,495,2.488431066789999,0.005037309851801617,122265
Qatar,1,1,intra_group,556,556,4.974720487648062,0.008963460338104617,154290
Qatar,2,2,intra_group,519,519,5.605426920628198,0.010821287491560229,134421
Qatar,3,3,intra_group,377,377,4.957857817712714,0.013185792068384878,70876
Qatar,4,4,intra_group,379,379,7.322203130934255,0.019370907753794325,71631
Qatar,5,5,intra_group,1118,1118,8.714368717976182,0.007801583453873036,624403
Qatar,6,6,intra_group,1615,1615,6.24561798193246,0.003869651785583928,1303305
Qatar,7,7,intra_group,1612,1612,4.786301070375304,0.002971012458333522,1298466
Qatar,8,8,intra_group,1262,1262,2.543828340873282,0.0020173103416917383,795691
Qatar,9,9,intra_group,844,844,1.0972341605196574,0.0013015826340683956,355746
Qatar,10,10,intra_group,552,552,0.543689413870569,0.0009867321485854247,152076
Qatar,11,11,intra_group,321,321,0.3296282811219137,0.0010300883785059804,51360
Qatar,12,12,intra_group,189,189,0.13641485488482746,0.0007256109302384439,17766
Qatar,13,13,intra_group,88,88,0.08141238282721949,0.0009357745152553965,3828
Qatar,14,14,intra_group,38,38,0.040178341765644575,0.0010859011288012047,703
Qatar,15,15,intra_group,35,35,0.02732248418312984,0.0008036024759744071,595
Qatar,0,1,inter_group,495,556,0.8549750878742356,0.0015377249781910712,275220
Qatar,0,2,inter_group,495,519,0.24339854373277817,0.00046897599948512173,256905
Qatar,0,3,inter_group,495,377,0.1283857475944995,0.00034054574958753184,186615
Qatar,0,4,inter_group,495,379,0.38084423972248044,0.0010048660678693415,187605
Qatar,0,5,inter_group,495,1118,1.8848521324788436,0.001685914250875531,553410
Qatar,0,6,inter_group,495,1615,3.2977695633003696,0.002041962577894966,799425
Qatar,0,7,inter_group,495,1612,2.6178783704088,0.0016239940263081884,797940
Qatar,0,8,inter_group,495,1262,0.9686959822927086,0.0007675879415948563,624690
Qatar,0,9,inter_group,495,844,0.41528570030890544,0.0004920446686124472,417780
Qatar,0,10,inter_group,495,552,0.22338120924890023,0.0004046761037117758,273240
Qatar,0,11,inter_group,495,321,0.15210669619673772,0.0004738526361269088,158895
Qatar,0,12,inter_group,495,189,0.05617181232399845,0.000297205356211632,93555
Qatar,0,13,inter_group,495,88,0.014013307717695685,0.0001592421331556328,43560
Qatar,0,14,inter_group,495,38,0.0049206176533308265,0.00012948993824554806,18810
Qatar,0,15,inter_group,495,35,0.007062364175447385,0.000201781833584211,17325
Qatar,1,2,inter_group,556,519,0.9522259052425252,0.0018347319946869463,288564
Qatar,1,3,inter_group,556,377,0.1579046946849859,0.00041884534399200507,209612
Qatar,1,4,inter_group,556,379,0.20523040910938053,0.000541505037227917,210724
Qatar,1,5,inter_group,556,1118,0.9452860569733517,0.0008455152566845722,621608
Qatar,1,6,inter_group,556,1615,3.2091330273907124,0.0019870792739261375,897940
Qatar,1,7,inter_group,556,1612,3.411347716378618,0.0021162206677286712,896272
Qatar,1,8,inter_group,556,1262,1.5024653934246095,0.001190543100970372,701672
Qatar,1,9,inter_group,556,844,0.5280597690969099,0.0006256632335271444,469264
Qatar,1,10,inter_group,556,552,0.2622785408852689,0.0004751422842124437,306912
