country,group_i,group_j,connection_type,n_i,n_j,target_avg_degree,probability_p,max_possible_edges
Uganda,0,0,intra_group,1652,1652,8.900950662143604,0.005391248129705393,1363726
Uganda,1,1,intra_group,1462,1462,23.74645897827971,0.016253565351320814,1067991
Uganda,2,2,intra_group,1329,1329,15.650043773057217,0.011784671515856339,882456
Uganda,3,3,intra_group,1178,1178,11.723503279824365,0.00996049556484653,693253
Uganda,4,4,intra_group,1016,1016,4.153826944438877,0.004092440339348647,515620
Uganda,5,5,intra_group,852,852,1.6159569572543615,0.0018988918416619994,362526
Uganda,6,6,intra_group,672,672,0.7828549361406959,0.001166698861610575,225456
Uganda,7,7,intra_group,494,494,0.5547580598977908,0.0011252698983728008,121771
Uganda,8,8,intra_group,361,361,0.296572608240113,0.0008238128006669806,64980
Uganda,9,9,intra_group,287,287,0.16522637394825623,0.0005777145942246722,41041
Uganda,10,10,intra_group,232,232,0.10943798633638169,0.00047375751660771293,26796
Uganda,11,11,intra_group,172,172,0.13072312053116542,0.00076446269316471,14706
Uganda,12,12,intra_group,121,121,0.06380739963922089,0.0005317283303268407,7260
Uganda,13,13,intra_group,84,84,0.05236469657711066,0.0006308999587603694,3486
Uganda,14,14,intra_group,53,53,0.027369324159020377,0.000526333156904238,1378
Uganda,15,15,intra_group,35,35,0.02274492687618289,0.0006689684375347909,595
Uganda,0,1,inter_group,1652,1462,3.896304791811649,0.0026650511571899103,2415224
Uganda,0,2,inter_group,1652,1329,1.4799674998022447,0.0011135948079776107,2195508
Uganda,0,3,inter_group,1652,1178,0.7637538832555364,0.0006483479484342414,1946056
Uganda,0,4,inter_group,1652,1016,0.9487847026222423,0.0009338432112423645,1678432
Uganda,0,5,inter_group,1652,852,1.1923493573152564,0.0013994710766610991,1407504
Uganda,0,6,inter_group,1652,672,1.0503166239008257,0.0015629711665190859,1110144
Uganda,0,7,inter_group,1652,494,0.7625876485638796,0.001543699693449149,816088
Uganda,0,8,inter_group,1652,361,0.37544249893039977,0.0010400069222448747,596372
Uganda,0,9,inter_group,1652,287,0.21696739153249528,0.0007559839426219347,474124
Uganda,0,10,inter_group,1652,232,0.19675234501243677,0.0008480704526398137,383264
Uganda,0,11,inter_group,1652,172,0.17751028784775136,0.0010320365572543684,284144
Uganda,0,12,inter_group,1652,121,0.09352533161254699,0.0007729366248970825,199892
Uganda,0,13,inter_group,1652,84,0.056306959103576464,0.0006703209417092436,138768
Uganda,0,14,inter_group,1652,53,0.02191714197134572,0.0004135309805914287,87556
Uganda,0,15,inter_group,1652,35,0.010686783646573602,0.00030533667561638865,57820
Uganda,1,2,inter_group,1462,1329,4.89350160830447,0.0036820930085059967,1942998
Uganda,1,3,inter_group,1462,1178,1.1942459860453536,0.0010137911596310302,1722236
Uganda,1,4,inter_group,1462,1016,0.5816982107565789,0.0005725376090123808,1485392
Uganda,1,5,inter_group,1462,852,0.8457283139679822,0.0009926388661596036,1245624
Uganda,1,6,inter_group,1462,672,1.0674465312822803,0.0015884621001224408,982464
