Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.056174021066799605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11201300821073559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.16751994984142715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22269779893280633,0.0,2.220446049250313e-16,1.4432899320127035e-15,1.9984014443252818e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,3.211751979523475e-16
0.005,0.27754947354679804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3320778573477407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.38628580010773755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.44017611820312497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4937515951022395,0.0,0.0,0.0,1.6653345369377348e-15,3.3306690738754696e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.7131580325132748e-16
0.01,0.5470149818446602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5999689975121006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6526163296911197,9.992007221626409e-16,1.5543122344752192e-15,3.885780586188048e-15,4.9960036108132044e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.887379141862766e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.1102230246251565e-15,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.5671450873719305e-15
0.013,0.7049596349278152,1.887379141862766e-15,3.1086244689504383e-15,6.5503158452884236e-15,1.1435297153639112e-14,4.3298697960381105e-15,3.219646771412954e-15,2.886579864025407e-15,3.3306690738754696e-15,3.9968028886505635e-15,3.4416913763379853e-15,2.7755575615628914e-15,1.887379141862766e-15,1.3322676295501878e-15,7.771561172376096e-16,9.992007221626409e-16,4.440892098500626e-16,3.271182134314909e-15
0.014,0.7570015391746642,0.0,2.220446049250313e-16,1.4432899320127035e-15,1.9984014443252818e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,3.211751979523475e-16
0.015,0.808744638229665,7.771561172376096e-16,1.4432899320127035e-15,3.9968028886505635e-15,6.661338147750939e-15,2.4424906541753444e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.6888095236250671e-15
0.016,0.8601914981679389,3.1086244689504383e-15,5.329070518200751e-15,1.432187701766452e-14,2.6645352591003757e-14,9.43689570931383e-15,5.662137425588298e-15,4.9960036108132044e-15,5.995204332975845e-15,7.66053886991358e-15,6.8833827526759706e-15,5.773159728050814e-15,3.3306690738754696e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.887379141862766e-15,1.2212453270876722e-15,6.574073940171494e-15
0.017,0.9113446557659373,2.1094237467877974e-15,3.6637359812630166e-15,1.0103029524088925e-14,1.9095836023552692e-14,6.106226635438361e-15,3.774758283725532e-15,3.3306690738754696e-15,3.885780586188048e-15,4.9960036108132044e-15,4.551914400963142e-15,3.552713678800501e-15,2.4424906541753444e-15,1.4432899320127035e-15,9.992007221626409e-16,1.3322676295501878e-15,6.661338147750939e-16,4.46428031557494e-15
0.018,0.962206618918406,6.106226635438361e-15,1.1435297153639112e-14,3.3084646133829665e-14,6.372680161348399e-14,2.0317081350640365e-14,1.1657341758564144e-14,9.992007221626409e-15,1.199040866595169e-14,1.6209256159527285e-14,1.4765966227514582e-14,1.2545520178264269e-14,7.66053886991358e-15,4.3298697960381105e-15,3.219646771412954e-15,3.774758283725532e-15,2.9976021664879227e-15,1.4468724411492548e-14
0.019,1.0127798670482497,0.0031907119768025405,0.005785448555999162,0.01734709602380924,0.034237381311481796,0.010769835853915,0.0060317310881254915,0.005167246047214746,0.0062574151476242346,0.008389161777553111,0.007754368953135415,0.0064316690188555015,0.003990883108462295,0.002173066149522951,0.0017266995777746041,0.0019870531305105077,0.0015845252303281487,0.00759721127077453
0.02,1.063066851509434,0.016726874348380383,0.03003920030044327,0.08526294847290361,0.15716489131487554,0.053512975427692844,0.03107407126641737,0.026882882922121376,0.03230607875647029,0.04270823568018778,0.03918334002032586,0.0327471632474976,0.020540228958330853,0.011261031741106486,0.009019060024201275,0.010263844413040402,0.008140401507107597,0.037599295729220286
