Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06027191605184447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1201843574552684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17974053062438056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2389436039525692,2.220446049250313e-16,3.3306690738754696e-16,1.5543122344752192e-15,2.4424906541753444e-15,1.3322676295501878e-15,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,0.0,0.0,0.0,0.0,0.0,6.130486455626022e-16
0.005,0.29779670837438427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3563029379174853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.41446535024485803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.47228696718749996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5297707752677702,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.7763568394002505e-15,4.440892098500626e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,2.4719967704528806e-16
0.01,0.5869197262135922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.643736737463698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7002246926640926,1.1102230246251565e-15,2.220446049250313e-15,4.218847493575595e-15,7.549516567451064e-15,4.107825191113079e-15,2.6645352591003757e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.2212453270876722e-15,7.771561172376096e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.3047063524925474e-15
0.013,0.7563864421559192,2.55351295663786e-15,4.3298697960381105e-15,8.770761894538737e-15,1.5210055437364645e-14,8.548717289613705e-15,5.440092820663267e-15,3.885780586188048e-15,3.552713678800501e-15,3.3306690738754696e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.6653345369377348e-15,8.881784197001252e-16,9.992007221626409e-16,6.661338147750939e-16,2.220446049250313e-16,4.845395499355404e-15
0.014,0.8122248034548945,7.771561172376096e-16,2.1094237467877974e-15,4.107825191113079e-15,7.327471962526033e-15,3.885780586188048e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.1102230246251565e-15,6.661338147750939e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.151757180446292e-15
0.015,0.867742561722488,1.2212453270876722e-15,2.220446049250313e-15,4.551914400963142e-15,9.325873406851315e-15,4.551914400963142e-15,2.7755575615628914e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.3322676295501878e-15,8.881784197001252e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.562832154581205e-15
0.016,0.9229424702290077,6.772360450213455e-15,1.2434497875801753e-14,2.631228568361621e-14,5.084821452783217e-14,2.4424906541753444e-14,1.4432899320127035e-14,9.992007221626409e-15,8.992806499463768e-15,9.2148511043888e-15,7.771561172376096e-15,6.439293542825908e-15,4.107825191113079e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.41363441052523e-14
0.017,0.9778272508087535,1.3082868122182845e-12,2.447375635483695e-12,5.597189378647727e-12,1.1466383398328617e-11,5.219824572577636e-12,2.9206637108813993e-12,1.9727552924564407e-12,1.8568480086855743e-12,1.8737233986598767e-12,1.6375789613221059e-12,1.354472090042691e-12,8.666400930223972e-13,5.140332604014475e-13,4.664046926450283e-13,4.248823515240474e-13,3.4938718584953676e-13,2.9863942139004646e-12
0.018,1.0323995943074002,0.010402505926648598,0.01947154691895514,0.043118516232320325,0.08403578310319426,0.03989419714104525,0.022847055719613207,0.015594036097370534,0.014633462160719146,0.014667035039529819,0.012762200207463548,0.01060774815582699,0.006825441366811513,0.004068752187034397,0.003702602680428546,0.0033560178771472327,0.002748915803000407,0.02290208471632785
0.019,1.0866621610217597,0.029208862778061118,0.054600682557498836,0.11468579413679025,0.20732824858901322,0.10511499864261287,0.06249202475788518,0.04335253688998364,0.04051590285209139,0.04019108184429876,0.03474968414609325,0.02910657474273437,0.01890256805376722,0.011359819356438261,0.01038317676293199,0.009335638653086509,0.007603151352180371,0.060776238918701535
0.02,1.1406175811320756,0.04942203390109923,0.09201474787561958,0.18377247786382855,0.3113180919846793,0.1675450953716482,0.10313382709109331,0.07263821401306014,0.06766029737237356,0.06651475362966142,0.05721405279123393,0.048262392329361026,0.031622247459224706,0.019152961754873243,0.017568558990096905,0.015685031122598447,0.012708198476566568,0.09769592541900446
0.021,1.194268455126999,0.0707568952356491,0.13091016694919344,0.24931094306177293,0.39931682693440296,0.22681751653991977,0.14419152021105797,0.10300011313154012,0.09568963408018616,0.09333711220573204,0.07996026498976527,0.06788741687034627,0.04485924895991911,0.027375153661165275,0.025182331717512163,0.02234484570388562,0.018019955844206126,0.13350483830934373
0.022,1.2476173542213882,0.0929301979146322,0.1705399460297078,0.31065023537118586,0.47405857291374764,0.28269288497435174,0.18513936183744661,0.13401083814499526,0.12424885468773827,0.12038215132080377,0.10280864528817701,0.08780503434064013,0.05849051963475138,0.03595183663979107,0.033148211567073704,0.029256851761701452,0.02349623997929906,0.16806830769848852
0.023,1.3006668207670722,0.1156771554729008,0.21025541374553447,0.3674847060222334,0.5377918082834424,0.3350507532524887,0.22552909159090773,0.16528802473368742,0.15302181940242854,0.14740996384975913,0.1256021117651035,0.1078575539964004,0.07240179274536773,0.04481149414505747,0.041394390820185256,0.036367036029607114,0.029098792738436408,0.20128593828172023
0.024,1.3534193686567164,0.138760757319356,0.24952315362152022,0.4197639300468754,0.5923604609865794,0.38387148270928884,0.264997961662894,0.1965044090999717,0.18173862612412894,0.17422028072520634,0.14820859858609636,0.12790938391645734,0.08649103809446235,0.053888316731765196,0.049855829253859896,0.04362708481018662,0.03479407054142214,0.23309363573667
0.025,1.4058774837209302,0.16197580042299264,0.287925323404988,0.46760970310463135,0.6392750368109072,0.4292148935513277,0.30326707840869827,0.22739006066281142,0.21017664068506792,0.20065146328626116,0.17052061004234698,0.14784734224028628,0.10066976857133492,0.06312350941550804,0.05847517971308691,0.05099484829933276,0.04055332361406072,0.26346037400566835
0.026,1.4580436241187384,0.18514939114386364,0.325150242775607,0.5112498982122744,0.6797734928585235,0.47119938490491897,0.340133929205627,0.2577297367025553,0.238157810680095,0.22657708936486665,0.19245322605944004,0.16757932804700781,0.11486299110898557,0.07246569360756971,0.06720286841378242,0.05843421409086247,0.046352304069608774,0.29238283875279847
0.027,1.5099202207215539,0.20813927001512034,0.36097822961095916,0.5509701587555955,0.714872150595802,0.5099834693644187,0.3754620205762882,0.2873575407353277,0.26554404013718824,0.2519014856492753,0.21394139517116673,0.18703215860873512,0.1290083618706631,0.08187073832764369,0.07599668637295476,0.06591466470367047,0.052170804971961804,0.3198796192433255
0.028,1.561509677490775,0.23083093969579072,0.39526596585010865,0.5870807507489089,0.7454075606549138,0.5457505204193303,0.4091696464857518,0.3161503877740912,0.2922317854918717,0.2765550158187231,0.23493702453708298,0.20614908418652222,0.1430549282747562,0.091301258919249,0.0848211260187196,0.07341068908755011,0.05799214467535474,0.3459857718867905
0.029,1.6128143718491261,0.25313426992228405,0.42793136516389807,0.6198950039013398,0.772070540691502,0.5786968272346797,0.4412190499251549,0.3440212468772411,0.3181465903215305,0.30048958088678,0.25540616322662546,0.22488729079532843,0.15696171029682315,0.1007259477465845,0.0936466127397817,0.08090115063886383,0.06380265851643874,0.37074810977033046
0.03,1.6638366550458716,0.2749800153206866,0.458939986701707,0.6497160669678161,0.7954336594203579,0.6090226634146143,0.47160666964222697,0.37091273715683337,0.34323796874066237,0.3236745633885061,0.27532643608034835,0.24321556632789787,0.1706962791982326,0.11011884579907372,0.10244872368359359,0.08836867119376779,0.06959122942954654,0.3942213197836797
0.031,1.714578852516011,0.29631650623282746,0.4882934269658067,0.6768293703325547,0.8159733466972088,0.6369259034440683,0.5003547689521115,0.39679137751840554,0.36747484127600827,0.34609330741577515,0.2946847965799885,0.2611122163424967,0.18423342507514118,0.119458623172644,0.11120744716715814,0.09579906288387574,0.07534887125803291,0.41646487817858735
0.032,1.765043264233577,0.31710664986312764,0.5160197489464815,0.7014988687993443,0.8340876550902323,0.6625976815143211,0.5275044945155731,0.42164260895967276,0.39084159556190645,0.3677401437142602,0.31347561271349444,0.2785632593807006,0.19755395919001717,0.12872790729968475,0.11990651019152376,0.1031808222885563,0.08106836828982789,0.4375406742519676
