Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05774128513459622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11513818884691851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1721937829236868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22891110272727275,2.220446049250313e-16,1.5543122344752192e-15,1.9984014443252818e-15,1.7763568394002505e-15,4.440892098500626e-16,2.220446049250313e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,5.783720415795901e-16
0.005,0.28529314773399017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.34134288206286845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3970632349951029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.452457101484375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5075273426582279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5622767863106797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6167082273862536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6708244284555984,1.4432899320127035e-15,3.552713678800501e-15,4.551914400963142e-15,4.218847493575595e-15,2.3314683517128287e-15,2.1094237467877974e-15,2.4424906541753444e-15,2.4424906541753444e-15,2.220446049250313e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.2212453270876722e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.1327496021794644e-15
0.013,0.7246281201828682,3.219646771412954e-15,6.772360450213455e-15,9.2148511043888e-15,9.769962616701378e-15,5.662137425588298e-15,5.440092820663267e-15,5.88418203051333e-15,5.88418203051333e-15,4.6629367034256575e-15,3.774758283725532e-15,3.1086244689504383e-15,2.220446049250313e-15,1.5543122344752192e-15,8.881784197001252e-16,6.661338147750939e-16,5.551115123125783e-16,4.785840610018234e-15
0.014,0.7781220017850289,8.881784197001252e-16,2.4424906541753444e-15,4.107825191113079e-15,4.107825191113079e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.4432899320127035e-15,9.992007221626409e-16,9.992007221626409e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.760144888261276e-15
0.015,0.8313087414832535,1.2212453270876722e-15,2.55351295663786e-15,4.3298697960381105e-15,4.218847493575595e-15,2.220446049250313e-15,2.1094237467877974e-15,2.220446049250313e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.2212453270876722e-15,1.2212453270876722e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.963385534287713e-15
0.016,0.8841909769465649,6.328271240363392e-15,1.509903313490213e-14,2.19824158875781e-14,2.19824158875781e-14,1.1102230246251565e-14,1.0547118733938987e-14,1.199040866595169e-14,1.2101430968414206e-14,1.0769163338864018e-14,8.104628079763643e-15,6.328271240363392e-15,4.3298697960381105e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.887379141862766e-15,1.0263134997838886e-14
0.017,0.9367713157278783,6.661338147750939e-15,1.6542323066914832e-14,2.3869795029440866e-14,2.375877272697835e-14,1.2101430968414206e-14,1.1213252548714081e-14,1.2434497875801753e-14,1.2656542480726785e-14,1.1213252548714081e-14,8.43769498715119e-15,6.772360450213455e-15,4.551914400963142e-15,2.886579864025407e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.0948621953848659e-14
0.018,0.9890523356925996,1.3205546134376078e-07,3.2760622703520426e-07,4.887618744175981e-07,4.869900320780829e-07,2.422907362520377e-07,2.2371863750425547e-07,2.474494027460139e-07,2.5714750739869174e-07,2.2632298046776356e-07,1.7045345956923086e-07,1.3977568302792065e-07,9.538904166550566e-08,6.112624018062007e-08,4.42870400352291e-08,3.9699124432246435e-08,3.9459770895255986e-08,2.2166171491272166e-07
0.019,1.0410365854399244,0.02982679688462697,0.07160372467276532,0.1027481382177644,0.10272897295155525,0.0536897394607716,0.050133706540089196,0.05518817636445594,0.057116090895069305,0.050320377744853984,0.038140637819910506,0.03145663223714512,0.021589630786649106,0.01390765288230067,0.01004401924333953,0.008976084889904978,0.008881314867616119,0.04855760358366072
0.02,1.0927265847169811,0.06723124954307946,0.15511405201363382,0.2134830708009473,0.214169122186322,0.11830590437089972,0.11179360488296342,0.12237768749653832,0.12609466816410864,0.11131395783873188,0.0850607610333981,0.07063851266285426,0.0488251666211289,0.031655407738921726,0.02278965051745563,0.0203025599578196,0.019989048876997706,0.10572380679661446
0.021,1.1441248248259643,0.10381457401769911,0.23070295362823035,0.3066245906602143,0.30839614528829506,0.17884853653549815,0.17066838444191812,0.18586764392484234,0.19080715488512845,0.1688757339496897,0.1300986889771525,0.10874051862729728,0.07568364754059709,0.04937503008659616,0.0354656701534628,0.03151676645725876,0.03090077684989978,0.1582954686669119
0.022,1.1952337690243902,0.139274288737137,0.298778733543128,0.3855791522015677,0.38854537781634646,0.23520807920536613,0.2262767883678788,0.24526565120721922,0.2510033814952036,0.22281464470835444,0.17303331392921972,0.14550834029335735,0.10196347715051846,0.06692110639405346,0.04799348423807459,0.042566493783617876,0.04158678023539342,0.2065715522745906
0.023,1.2460558529186156,0.1734285837626678,0.35993341729629114,0.4529991211899699,0.4571227362930603,0.2874452540265192,0.27839945253893006,0.3004520494879358,0.3066747870609785,0.2731148926786795,0.2137672656387376,0.1807952946524113,0.1275340656840347,0.08419293586924981,0.06032050450729676,0.05341830329673769,0.052030756499934605,0.25088283314138415
0.024,1.2965934848507463,0.20618148021914806,0.4148237166710743,0.5109618077757235,0.5161319490015339,0.33572603432339587,0.3269957158273389,0.3514850918972361,0.3579644308059675,0.3198727778122912,0.2522877702315225,0.2145316427484235,0.15231688278140565,0.10112336198266858,0.0724131617297159,0.06405221157330154,0.0622256607988797,0.29156628189594813
0.025,1.3468490462790699,0.23749610068128402,0.4641034119469326,0.5611061960921764,0.567180504656795,0.3802756199763666,0.37214059366539687,0.39853176694302384,0.4051030969655923,0.3632513566150999,0.2886373372286687,0.24670074282078458,0.17627046542854152,0.11766972763005834,0.0842514422745444,0.07445763244204795,0.07217063872590979,0.32894882262218866
0.026,1.3968248921521336,0.26737518803512983,0.5083883463025298,0.6047360315893932,0.611564408136237,0.42134748542401823,0.4139796952785366,0.4418200229319976,0.44836627395757855,0.40344949500102956,0.3228928565845405,0.27732146931952195,0.19937918523260934,0.13380696987997087,0.09582483403388742,0.08463042359946271,0.0818688601951224,0.36333811500467594
0.027,1.4465233512765956,0.2958473126834763,0.5482407880146688,0.6428971576332501,0.6503346367242218,0.45920340708272467,0.4526981820390157,0.48160703221422907,0.4880463365157741,0.44068150854708954,0.35515115273963505,0.3064356474632871,0.22164508151933937,0.14952251043909526,0.10712939953686451,0.09457079057556539,0.09132602653950372,0.39501808276817074
0.028,1.495946726678967,0.32295727761078175,0.5841647141115947,0.676435559571267,0.6843487773874992,0.49410110242272665,0.48850001398570486,0.5181588060610691,0.5244352401740163,0.47516420615423705,0.3855192288337367,0.3340992494794739,0.24308202524668843,0.1648125380709683,0.11816569325870818,0.10428181922374125,0.10054935674097976,0.4242474400607078
0.029,1.5450972959613616,0.3487595235646135,0.6166069160535166,0.7060410999856631,0.7143110413661831,0.5262869780425128,0.5215944523542736,0.5517375680753459,0.5578142512477096,0.5071089535779405,0.4141078129289223,0.3603763153437972,0.2637115920485402,0.1796793278972093,0.12893729080022187,0.11376845596489171,0.10954690627013586,0.45126000310193853
0.03,1.5939773116513762,0.3733136415431263,0.6459609589633266,0.7322806715770311,0.740803306406498,0.5559922240840638,0.55218755599346,0.5825943066693284,0.5884482747998022,0.5367170689098613,0.4410271854205451,0.3853348083281751,0.28356016463344813,0.19412931731140937,0.13944975431410944,0.12303680248878046,0.11832711387507933,0.47626599271190123
