Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04913780841475573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09798254838966203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1465368340138751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.19480324837944663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.24278434403940885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2904826434577603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3379006394515181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.38504079562499993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.43190554679649457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4784972994174757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5248184319845111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5708712954440154,1.2212453270876722e-15,1.5543122344752192e-15,2.220446049250313e-15,3.774758283725532e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.3322676295501878e-15,6.661338147750939e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.6241845501822575e-15
0.013,0.6166582135899903,2.4424906541753444e-15,3.4416913763379853e-15,4.440892098500626e-15,5.995204332975845e-15,3.885780586188048e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.552713678800501e-15,3.1086244689504383e-15,2.6645352591003757e-15,2.4424906541753444e-15,1.887379141862766e-15,1.3322676295501878e-15,9.992007221626409e-16,6.661338147750939e-16,7.771561172376096e-16,3.116900610395468e-15
0.014,0.6621814834548944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.7074433756937798,1.2212453270876722e-15,1.5543122344752192e-15,2.220446049250313e-15,3.774758283725532e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.2212453270876722e-15,5.551115123125783e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.5989116268163298e-15
0.016,0.752446134961832,3.3306690738754696e-15,5.218048215738236e-15,7.327471962526033e-15,9.880984919163893e-15,5.773159728050814e-15,5.10702591327572e-15,4.884981308350689e-15,4.884981308350689e-15,4.551914400963142e-15,3.885780586188048e-15,3.774758283725532e-15,2.7755575615628914e-15,1.887379141862766e-15,1.5543122344752192e-15,1.2212453270876722e-15,1.1102230246251565e-15,4.654569020174494e-15
0.017,0.7971919802854424,1.887379141862766e-15,2.886579864025407e-15,4.3298697960381105e-15,5.773159728050814e-15,3.774758283725532e-15,3.219646771412954e-15,3.219646771412954e-15,2.9976021664879227e-15,2.886579864025407e-15,2.220446049250313e-15,1.887379141862766e-15,1.7763568394002505e-15,1.1102230246251565e-15,8.881784197001252e-16,5.551115123125783e-16,5.551115123125783e-16,2.78337182189473e-15
