Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.051828711385842476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10334830520874753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15456153871159564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20547113644268777,0.0,0.0,2.220446049250313e-16,1.4432899320127035e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.7613066494053822e-16
0.005,0.2560797907389163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.306390162200393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3564048801567092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.406126543125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4555577192599805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5047009467961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.553558734482091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6021335620077221,6.661338147750939e-16,1.5543122344752192e-15,1.9984014443252818e-15,4.107825191113079e-15,2.55351295663786e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.2212453270876722e-15,6.661338147750939e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.529731153194953e-15
0.013,0.6504278804234842,2.1094237467877974e-15,3.219646771412954e-15,3.9968028886505635e-15,8.659739592076221e-15,5.551115123125783e-15,4.3298697960381105e-15,3.3306690738754696e-15,2.9976021664879227e-15,2.9976021664879227e-15,3.552713678800501e-15,3.6637359812630166e-15,2.55351295663786e-15,1.2212453270876722e-15,2.220446049250313e-16,1.3322676295501878e-15,7.771561172376096e-16,3.2450962075278437e-15
0.014,0.6984441125527832,0.0,0.0,2.220446049250313e-16,1.4432899320127035e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.7613066494053822e-16
0.015,0.7461846533971291,4.440892098500626e-16,1.3322676295501878e-15,1.9984014443252818e-15,3.9968028886505635e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.6653345369377348e-15,1.3322676295501878e-15,9.992007221626409e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.352599344211831e-15
0.016,0.7936518705343512,2.7755575615628914e-15,4.9960036108132044e-15,7.105427357601002e-15,1.509903313490213e-14,9.325873406851315e-15,7.216449660063518e-15,5.440092820663267e-15,4.773959005888173e-15,4.9960036108132044e-15,5.773159728050814e-15,5.773159728050814e-15,3.885780586188048e-15,1.9984014443252818e-15,9.992007221626409e-16,1.5543122344752192e-15,1.3322676295501878e-15,5.346930778635221e-15
0.017,0.8408481045099906,1.7763568394002505e-15,3.219646771412954e-15,3.9968028886505635e-15,1.0103029524088925e-14,5.88418203051333e-15,4.218847493575595e-15,3.219646771412954e-15,2.9976021664879227e-15,3.1086244689504383e-15,3.4416913763379853e-15,3.6637359812630166e-15,2.3314683517128287e-15,1.3322676295501878e-15,3.3306690738754696e-16,1.3322676295501878e-15,8.881784197001252e-16,3.322033035552198e-15
0.018,0.8877756692220113,2.4424906541753444e-15,3.4416913763379853e-15,5.440092820663267e-15,1.3655743202889425e-14,7.438494264988549e-15,5.329070518200751e-15,3.885780586188048e-15,3.6637359812630166e-15,3.6637359812630166e-15,4.3298697960381105e-15,4.3298697960381105e-15,2.9976021664879227e-15,1.6653345369377348e-15,6.661338147750939e-16,1.4432899320127035e-15,9.992007221626409e-16,4.188003785127475e-15
0.019,0.9344368522989593,2.220446049250313e-15,3.4416913763379853e-15,5.662137425588298e-15,1.509903313490213e-14,7.438494264988549e-15,5.218048215738236e-15,3.885780586188048e-15,3.6637359812630166e-15,3.6637359812630166e-15,4.3298697960381105e-15,4.551914400963142e-15,2.9976021664879227e-15,1.6653345369377348e-15,6.661338147750939e-16,1.5543122344752192e-15,1.1102230246251565e-15,4.291797099837062e-15
0.02,0.9808339154716982,3.091094047391607e-11,5.4640292290741854e-11,8.935530093623356e-11,2.3848378827295846e-10,1.2499479229433064e-10,8.468992174215373e-11,6.037403910141848e-11,5.671263458850717e-11,6.255540530020198e-11,7.002354251994802e-11,7.272948909786692e-11,4.756040006270723e-11,2.495215145614793e-11,1.067834709544968e-11,2.0608403872302006e-11,1.7097989690739723e-11,6.816933945182806e-11
0.021,1.0269690949388524,0.011000539672818666,0.019447204045896394,0.030922242551513324,0.07831629885823888,0.04282553104236475,0.029626980868413533,0.021321799714535183,0.019993556950617997,0.021925138504257258,0.024399129311208134,0.025412697695682995,0.01674308040314154,0.008832021821357783,0.003801111627841691,0.007284493153192684,0.0060196165482510056,0.023540844326093668
0.022,1.0728446017260789,0.03131759381139054,0.05529477219186185,0.0841466846899418,0.19623661668808023,0.11455332006334251,0.08189532348862139,0.059879327365925494,0.056030914634358164,0.060897432811734986,0.06715145449271032,0.07021273272792727,0.046851151763311116,0.024953326390645958,0.010841392289439145,0.020548490410533082,0.01687918212925199,0.06394431006995119
0.023,1.1184626220392893,0.053138182647159526,0.09354285447756427,0.13692423121107022,0.29659023426659237,0.1832679115850374,0.13493686840848196,0.10017706638974189,0.09363055560196498,0.10097752067992327,0.11044927559708628,0.1158180620788366,0.07825409821343476,0.04209596236314128,0.018458591357197296,0.03463894408338952,0.028311734959537094,0.1040470300103521
0.024,1.1638253176119404,0.07598597734773338,0.13316204176406143,0.18835251833172806,0.38204455023500317,0.24799928403116434,0.187457990802943,0.14120624175443852,0.1319248437474415,0.14132586391764357,0.15348185996842434,0.16127312154520557,0.11030345196550051,0.05994231871787481,0.026520921266863673,0.049320383503089094,0.04014523008691351,0.1433092721004139
0.025,1.2089348260465116,0.09943597265739124,0.1732470513537928,0.23777637349605252,0.4549673436238655,0.30821356527234867,0.23848248494955904,0.18213189143311836,0.17018823587295828,0.18125904090946143,0.19561396206882165,0.2058266748420028,0.14245245616658986,0.07821021178284504,0.03490696144349825,0.06438146963779012,0.05222693744957707,0.1813165961953357
0.026,1.2537932611502782,0.12313676118470274,0.2130682406935247,0.28477545212833,0.5173991237953299,0.363724971252701,0.28734801782798314,0.22231904600266872,0.20786198827362068,0.22026614944854273,0.23639180677710792,0.24894042613278022,0.17427481669175648,0.09666669537662909,0.04351287343004662,0.07964579712528796,0.06443062674787914,0.21778672421501946
0.027,1.298402713265495,0.1468128017374719,0.25207650263341097,0.32912204663199185,0.5710605645529332,0.41459058034156226,0.3336557917783606,0.2613182614879549,0.24454406970782516,0.2579929729719861,0.27551967778862174,0.2902623147117983,0.20545800881903709,0.11512890572019074,0.052253994631442646,0.09497308814569749,0.0766568782075916,0.2525522787466258
0.028,1.342765249594096,0.17025640464866199,0.2898833091861679,0.37073228069504527,0.6173825742999164,0.46101882209071643,0.37720736796695886,0.29883379410779753,0.2799637401698384,0.2942132589127271,0.3128266186987442,0.32958760888575356,0.2357853516484394,0.13345842315888135,0.061063400394326006,0.11025548308987476,0.08883000095096605,0.2855354397503829
0.029,1.3868829145170194,0.19331609239549852,0.3262316198038546,0.4096224246219805,0.6575460174917105,0.5033011683997682,0.4179464580858461,0.3346887592359873,0.3139529560187613,0.3287986044177704,0.3482340434325468,0.3668207574217194,0.2651156805977428,0.15155347531373586,0.069889262735648,0.12541210647863166,0.10089384958207326,0.3167232793797182
0.03,1.430757729908257,0.21588490505126834,0.3609664724509475,0.4458742710078416,0.6925223947191337,0.5417657308842557,0.45591210264791826,0.36879401908424225,0.34642044851810916,0.36169212237395865,0.38172861764804566,0.4019433223063327,0.29336484975290433,0.1693412434987699,0.078692019759384,0.14038359669444866,0.11280772366188963,0.34614726144796143
