Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.046517083788634096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09275672970178928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.13872141240832506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1844135772332016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.229835640591133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2749899904125737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.31987898656219393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.36450496125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.40887021943524826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.45297703922330096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.4968276722555663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.540424344092664,7.771561172376096e-16,1.3322676295501878e-15,1.9984014443252818e-15,3.552713678800501e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.1102230246251565e-15,5.551115123125783e-16,1.1102230246251565e-16,0.0,0.0,1.3524758333294598e-15
0.013,0.5837692545909529,1.887379141862766e-15,2.886579864025407e-15,3.6637359812630166e-15,5.88418203051333e-15,3.552713678800501e-15,3.552713678800501e-15,3.3306690738754696e-15,3.3306690738754696e-15,3.3306690738754696e-15,2.886579864025407e-15,2.7755575615628914e-15,2.220446049250313e-15,1.2212453270876722e-15,1.1102230246251565e-15,5.551115123125783e-16,2.220446049250313e-16,2.6966076699401735e-15
0.014,0.6268645782725528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.6697124646889951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.7123150387786259,2.1094237467877974e-15,3.219646771412954e-15,4.884981308350689e-15,7.327471962526033e-15,3.885780586188048e-15,3.552713678800501e-15,3.552713678800501e-15,3.552713678800501e-15,3.6637359812630166e-15,3.219646771412954e-15,3.1086244689504383e-15,2.3314683517128287e-15,1.4432899320127035e-15,1.3322676295501878e-15,6.661338147750939e-16,2.220446049250313e-16,3.0494937004802785e-15
0.017,0.7546744012178878,7.771561172376096e-16,1.3322676295501878e-15,1.9984014443252818e-15,3.552713678800501e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,9.992007221626409e-16,4.440892098500626e-16,0.0,0.0,0.0,1.3413998011225474e-15
0.018,0.7967926287666034,1.7763568394002505e-15,2.886579864025407e-15,3.774758283725532e-15,7.105427357601002e-15,3.774758283725532e-15,3.4416913763379853e-15,3.219646771412954e-15,3.4416913763379853e-15,3.4416913763379853e-15,2.9976021664879227e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.2212453270876722e-15,1.1102230246251565e-15,5.551115123125783e-16,2.220446049250313e-16,2.7795402434546268e-15
0.019,0.8386717746073793,1.7763568394002505e-15,2.886579864025407e-15,3.774758283725532e-15,7.105427357601002e-15,3.774758283725532e-15,3.4416913763379853e-15,3.219646771412954e-15,3.4416913763379853e-15,3.4416913763379853e-15,2.9976021664879227e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.2212453270876722e-15,1.1102230246251565e-15,4.440892098500626e-16,2.220446049250313e-16,2.7747539153598342e-15
0.02,0.8803138686792452,6.328271240363392e-15,1.1102230246251565e-14,1.609823385706477e-14,2.6978419498391304e-14,1.509903313490213e-14,1.354472090042691e-14,1.199040866595169e-14,1.2323475573339238e-14,1.3655743202889425e-14,1.176836406102666e-14,1.0658141036401503e-14,7.66053886991358e-15,4.218847493575595e-15,3.774758283725532e-15,2.6645352591003757e-15,2.220446049250313e-15,1.0816434439266667e-14
0.021,0.9217209180056444,4.773959005888173e-15,8.104628079763643e-15,1.2101430968414206e-14,2.120525977034049e-14,1.1657341758564144e-14,1.021405182655144e-14,9.103828801926284e-15,9.880984919163893e-15,9.992007221626409e-15,8.992806499463768e-15,8.215650382226158e-15,5.662137425588298e-15,3.552713678800501e-15,2.6645352591003757e-15,2.220446049250313e-15,1.4432899320127035e-15,8.247670440817851e-15
0.022,0.9628949070168855,1.7985612998927536e-14,3.0309088572266774e-14,4.6851411639181606e-14,7.904787935331115e-14,4.3298697960381105e-14,3.7969627442180354e-14,3.430589146091734e-14,3.574918139293004e-14,3.852473895449293e-14,3.397282455352979e-14,3.0531133177191805e-14,2.1871393585115584e-14,1.2656542480726785e-14,9.880984919163893e-15,7.993605777301127e-15,6.106226635438361e-15,3.096672607486677e-14
0.023,1.0038377978671655,0.0027088278442255476,0.0044936306745594345,0.007257681759435974,0.012438719962470257,0.006691679166943354,0.005811225951719012,0.005218442504705267,0.0054657680683807275,0.0058531752803759884,0.005213110592279913,0.004675842275183695,0.0033080013826013444,0.0018711339694704732,0.0014883639698779483,0.0012020790005585757,0.0009324533321874995,0.00474484984508726
0.024,1.0445515307462685,0.03136801792045818,0.05149578702024704,0.07998797401023028,0.13008705846461055,0.07400689514633152,0.06545944148553151,0.05922361602643422,0.06181069899240588,0.06575534951657835,0.058510782459120114,0.05280920162564673,0.037775114687392475,0.021594859482046647,0.017273270927710804,0.01389833516516259,0.010739107659998415,0.052897060497218006
0.025,1.0850380241860464,0.0605940061951018,0.09839296507123252,0.14766402758742492,0.22966354601654326,0.13713166945015087,0.12316599481864055,0.11217685889066453,0.11671836080538611,0.12346662054782598,0.10987611794331842,0.09972413792246548,0.07209144552988234,0.04164952249088749,0.0334832895689684,0.02686784177316892,0.020693546492540627,0.098797332656037
0.026,1.125299175361781,0.08982434677614592,0.1442347284551706,0.20998635327585757,0.3143317643543352,0.19573904877951465,0.17807826482682154,0.1631568395418066,0.16930891926908165,0.1782285677280704,0.1587480376631285,0.14480507113271124,0.10574149670392996,0.06172904097438847,0.04985612744156531,0.039929487766623084,0.03067093247818642,0.14211774069973004
0.027,1.165336860388529,0.11870913639222858,0.18848012493283595,0.2671119422773611,0.3868288812211321,0.24989515461222034,0.22983034764615073,0.21170128493114593,0.21916755201277405,0.2297428835765708,0.20492123116264882,0.1877738806997583,0.1384440897269983,0.0816493699195262,0.06622860777637873,0.05297459183595088,0.040599666003391266,0.18280160362446027
0.028,1.2051529346125462,0.14701271477051436,0.2308115862390704,0.31935116431785315,0.4493241478151003,0.29980472343975495,0.2782939880894826,0.2575846511471519,0.2661127457101159,0.27792725839237575,0.24834669295577916,0.2285099815830678,0.17003229032738554,0.10128585677172097,0.082486865191009,0.06592814855580853,0.05043166804362986,0.2208960610493278
0.029,1.244749232897884,0.17458175626867978,0.271065716894587,0.3670804048654003,0.5035387382959222,0.3457415614700998,0.323490233373263,0.3007369092728681,0.31011352002392756,0.3228327970594006,0.28907162819545495,0.266994089286244,0.20041720673263008,0.12055612509033053,0.09855254343834707,0.07873910068126666,0.06013529909144377,0.25650816398688664
0.03,1.2841275699082568,0.20132127281686363,0.30918275500033265,0.4106923575409174,0.5508451279526527,0.38800633255356687,0.36552939717365707,0.3411866017527133,0.35123219374483927,0.3645886908932343,0.3271994769391924,0.3032697959378249,0.2295622198837165,0.13940750964407578,0.11437255244944522,0.09137324379240375,0.06969029723979292,0.2897763794265624
0.031,1.3232897403842634,0.22717724179264576,0.3451710151867725,0.4505692610683385,0.5923452951045829,0.4269020225498814,0.40457166539523026,0.37902229857183867,0.38958614502226663,0.40336635223571826,0.362864101103058,0.33741807174885674,0.2574651725887154,0.15780812170991143,0.12991171969897586,0.10380820417711722,0.07908425356052096,0.32085274727185215
0.032,1.3622375194160585,0.25212423790120864,0.37908234602548363,0.4870695782381731,0.6289308584911253,0.4627203732096842,0.4408018443961358,0.41436703965407873,0.425322793081536,0.4393566897081761,0.3962134497992017,0.36954062723378955,0.28414622337313333,0.17574057524837117,0.14514758742679934,0.11602992337918272,0.08831018009713798,0.34989203338581465
0.033,1.4009726627115562,0.2761566807387119,0.41099537105952755,0.5205223345362275,0.6613289373308928,0.4957349541438646,0.47441350388301473,0.44736163593670575,0.4586034952144874,0.47275601320709093,0.4273994157723763,0.3997491915870879,0.3096396107119894,0.1931975943724875,0.1600667396857719,0.12803020116037522,0.09736483250233541,0.3770453583522789
0.034,1.439496906860254,0.2992826456142339,0.44100413051442855,0.551225699960276,0.6901371030759267,0.5261981706055917,0.505599258446918,0.4781539126092338,0.4895933599694928,0.5037575234571583,0.45657168677572246,0.4281586937446431,0.3339880829723738,0.2101789320219858,0.17466220305101,0.13980497250057677,0.1062475487248753,0.402456645343495
0.035,1.4778119695927605,0.32151947957082083,0.46921044042981497,0.579447828481038,0.7158501149249479,0.5543405507655559,0.5345450200833597,0.5068919041140005,0.518454952748888,0.532546382536674,0.48387415675426804,0.4548830042245755,0.35723913912385796,0.22668919937845644,0.18893159783192182,0.15135309252814466,0.11495944040307493,0.42626082221815725
0.036,1.515919550036101,0.34289068853103244,0.49571880297539705,0.6054288154422933,0.7388804922797356,0.5803713078434459,0.5614267988182469,0.5337196641194353,0.5453445478000128,0.5592970624840382,0.5094429676317833,0.48003235278320955,0.3794425005956181,0.24273632928726985,0.20287581500347895,0.1626754740747679,0.12350282637819776,0.4485831004678491
