Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04913394900299103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.09797485258449304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1465253246283449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.1947879480237154,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.23339101780842e-16
0.005,0.2427652751231527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.2904598281925344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3378740998530852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.38501055351562496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4318716238072054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.4784597169902912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.524777211374637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5708264577220077,3.3306690738754696e-16,1.5543122344752192e-15,2.1094237467877974e-15,3.9968028886505635e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.887379141862766e-15,1.7763568394002505e-15,1.3322676295501878e-15,8.881784197001252e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,1.227401006565143e-15
0.013,0.6166097796438883,1.1102230246251565e-15,3.1086244689504383e-15,5.329070518200751e-15,8.326672684688674e-15,3.6637359812630166e-15,3.552713678800501e-15,3.1086244689504383e-15,3.6637359812630166e-15,3.774758283725532e-15,3.552713678800501e-15,2.886579864025407e-15,1.5543122344752192e-15,9.992007221626409e-16,9.992007221626409e-16,1.2212453270876722e-15,6.661338147750939e-16,2.7940838816178866e-15
0.014,0.6621294739923225,0.0,0.0,2.220446049250313e-16,1.3322676295501878e-15,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,1.23339101780842e-16
0.015,0.707387811244019,3.3306690738754696e-16,1.4432899320127035e-15,1.9984014443252818e-15,3.885780586188048e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.2212453270876722e-15,7.771561172376096e-16,0.0,0.0,1.1102230246251565e-16,0.0,1.1366594985595862e-15
0.016,0.7523870358778625,1.7763568394002505e-15,3.774758283725532e-15,6.994405055138486e-15,1.2212453270876722e-14,5.218048215738236e-15,4.9960036108132044e-15,4.6629367034256575e-15,4.773959005888173e-15,5.329070518200751e-15,4.884981308350689e-15,3.885780586188048e-15,2.4424906541753444e-15,1.2212453270876722e-15,1.3322676295501878e-15,1.5543122344752192e-15,8.881784197001252e-16,3.882064426779637e-15
0.017,0.7971293667459562,8.881784197001252e-16,2.886579864025407e-15,4.107825191113079e-15,7.882583474838611e-15,3.552713678800501e-15,3.219646771412954e-15,2.9976021664879227e-15,3.4416913763379853e-15,3.4416913763379853e-15,3.3306690738754696e-15,2.55351295663786e-15,1.4432899320127035e-15,8.881784197001252e-16,7.771561172376096e-16,8.881784197001252e-16,3.3306690738754696e-16,2.5064445953124005e-15
0.018,0.8416169974383301,1.2212453270876722e-15,3.1086244689504383e-15,5.551115123125783e-15,9.769962616701378e-15,3.774758283725532e-15,3.6637359812630166e-15,3.1086244689504383e-15,3.6637359812630166e-15,3.885780586188048e-15,3.6637359812630166e-15,2.9976021664879227e-15,1.5543122344752192e-15,9.992007221626409e-16,1.1102230246251565e-15,1.2212453270876722e-15,6.661338147750939e-16,2.9209966052864778e-15
0.019,0.8858520966414379,1.2212453270876722e-15,3.219646771412954e-15,5.773159728050814e-15,1.1102230246251565e-14,3.9968028886505635e-15,3.6637359812630166e-15,3.219646771412954e-15,3.774758283725532e-15,3.9968028886505635e-15,3.885780586188048e-15,3.1086244689504383e-15,1.6653345369377348e-15,9.992007221626409e-16,1.1102230246251565e-15,1.1102230246251565e-15,6.661338147750939e-16,3.0613332238837344e-15
0.02,0.9298368084905659,6.772360450213455e-15,1.6986412276764895e-14,3.108624468950438e-14,6.061817714453355e-14,2.4868995751603507e-14,2.142730437526552e-14,1.942890293094024e-14,2.1094237467877974e-14,2.398081733190338e-14,2.2315482794965646e-14,1.7541523789077473e-14,9.658940314238862e-15,6.217248937900877e-15,5.329070518200751e-15,6.439293542825908e-15,3.774758283725532e-15,1.7423479334520684e-14
0.021,0.9735732529162746,2.5979218776228663e-14,6.417089082333405e-14,1.2612133559741778e-13,2.6201263381153694e-13,1.0014211682118912e-13,8.393286066166183e-14,7.616129948928574e-14,8.337774914934926e-14,9.636735853746359e-14,9.048317650695026e-14,7.038813976123492e-14,3.697042672001771e-14,2.3203661214665772e-14,2.042810365310288e-14,2.4202861936828413e-14,1.454392162258955e-14,6.992667284485939e-14
0.022,1.0170635259849905,0.005525297434296972,0.013652291404083083,0.026473050033423262,0.05329958530441159,0.0209133080049404,0.017656793902521728,0.01606043737094165,0.01755573940656696,0.020215514496990217,0.01894139237703718,0.014750732232407748,0.007812799969564299,0.004932128441701655,0.004287005870615368,0.005116721580999073,0.003085203171975137,0.014621657505184371
0.023,1.0603097002338633,0.020641121237043425,0.05047742577466796,0.09294385442969078,0.1744441381030366,0.0742694000199513,0.06416167565513009,0.058782578052729906,0.06389135182396644,0.07284909544453544,0.06788668261487907,0.05333721742210429,0.028647260623745008,0.01830198009537609,0.016007177133724126,0.018936800547554422,0.011364506757466586,0.05205042705271734
0.024,1.1033138249999999,0.036948869510114446,0.08929910954089837,0.15694521917915383,0.27722900456018307,0.12690190453714412,0.11177390390535169,0.10304635672272155,0.11143272280215233,0.12594425619128125,0.11692749495916033,0.09265280758083527,0.05046507383215948,0.03260258747779321,0.028667812781318136,0.0336597794069482,0.020125878066433178,0.08922988256806691
0.025,1.1460779267441858,0.054066673606547155,0.1290021622199249,0.21746212503796658,0.3645176010265002,0.17790176513202272,0.15926458927702158,0.1476352750685589,0.15892080141694942,0.17821424363510607,0.16506509102233413,0.13186840047572124,0.07283010465285444,0.04754562449780764,0.042003208948726556,0.04900007799166051,0.029216075996902235,0.12557568130148034
0.026,1.188604009369202,0.07167250892159749,0.16870337491256093,0.2739705496204339,0.4388598908347534,0.2266676593052973,0.20572089535631966,0.19162243422628633,0.20541948914507013,0.2287477860704188,0.21159694446778055,0.17036714097272443,0.09539089214046037,0.0628886305824683,0.05578767622263758,0.06471966975851107,0.038508981010381804,0.16067977559649102
0.027,1.2308940545328397,0.08951235669057811,0.20775592363103346,0.32630154198321415,0.5024349925957858,0.2728563966421397,0.2505259507031862,0.2343606743502753,0.2502951350677647,0.2769673474657821,0.25608075724709345,0.20772788731032055,0.1178823429315714,0.0784402858608596,0.06984129468934186,0.08063209050601083,0.04790691374860856,0.1942908579033247
0.028,1.2729500219557195,0.1073941578951102,0.24571526091956264,0.37451402783952825,0.5570584252513879,0.31631617008403934,0.2933016707515145,0.27543353212730637,0.29315802263816915,0.3225540918432346,0.29827472226767016,0.243686351770522,0.14011354808133114,0.09405541060335887,0.08402595501781052,0.09659669135215421,0.05733698726961922,0.2262785764141779
0.029,1.314773849724011,0.12517679049968988,0.28229488383259804,0.4187988918138763,0.6042220214378828,0.3570260462107824,0.3338468163604724,0.31459882523422533,0.33379903995197013,0.36537369242530904,0.3380796315657081,0.2780943779620494,0.16195203728703622,0.10962652975764509,0.09823800792772064,0.11250986047595912,0.0667460791796829,0.25659828604556034
0.03,1.356367454587156,0.1427588060525532,0.3173253841509637,0.4594143394387592,0.6451442481864731,0.3950490385812676,0.37208397553909855,0.35173899111733,0.37213553077602235,0.40541586712363675,0.37549213109111634,0.31088559824690454,0.18330924378836666,0.12507543129475862,0.11240074200262629,0.1282964863323336,0.0760961017572308,0.28526248509146346
0.031,1.397732732250686,0.16006876203788367,0.3507211840331199,0.4966453253960533,0.6808192245413984,0.43049856349221005,0.4080187737268446,0.3868221264990205,0.4081696743759976,0.4427495280983075,0.41057020656187426,0.34204919692152935,0.20412870612675182,0.1403460020520918,0.12645792922633847,0.1439028271809527,0.08536012517015623,0.3123197478957617
