Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.061528171316051844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12268937540755469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18348688552031714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.24392393608695653,6.661338147750939e-16,6.661338147750939e-16,1.887379141862766e-15,3.219646771412954e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.4432899320127035e-15,9.992007221626409e-16,7.771561172376096e-16,0.0,0.0,0.0,0.0,1.2580549217810755e-15
0.005,0.30400372330049263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.36372940567779966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4231041046131244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.482130904921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5408128553748782,0.0,0.0,2.220446049250313e-16,1.7763568394002505e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.1311619998756713e-16
0.01,0.599152969223301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.657154224714424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7148195655984556,1.1102230246251565e-15,1.6653345369377348e-15,3.774758283725532e-15,7.882583474838611e-15,3.885780586188048e-15,2.55351295663786e-15,2.1094237467877974e-15,2.1094237467877974e-15,2.55351295663786e-15,2.4424906541753444e-15,1.7763568394002505e-15,1.3322676295501878e-15,1.1102230246251565e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,2.35433380797515e-15
0.013,0.772151901626564,2.9976021664879227e-15,4.107825191113079e-15,8.548717289613705e-15,1.9872992140790302e-14,9.547918011776346e-15,6.328271240363392e-15,5.329070518200751e-15,5.440092820663267e-15,6.106226635438361e-15,6.106226635438361e-15,4.773959005888173e-15,2.55351295663786e-15,1.3322676295501878e-15,5.551115123125783e-16,1.1102230246251565e-15,8.881784197001252e-16,5.894292890219237e-15
0.014,0.8291541090403072,8.881784197001252e-16,1.6653345369377348e-15,4.107825191113079e-15,9.769962616701378e-15,4.107825191113079e-15,2.55351295663786e-15,1.9984014443252818e-15,2.1094237467877974e-15,2.55351295663786e-15,2.6645352591003757e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.1102230246251565e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,2.513876248896791e-15
0.015,0.8858290310526314,1.2212453270876722e-15,1.7763568394002505e-15,4.107825191113079e-15,1.1546319456101628e-14,4.6629367034256575e-15,2.7755575615628914e-15,2.1094237467877974e-15,2.3314683517128287e-15,2.886579864025407e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.4432899320127035e-15,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.7885397056159858e-15
0.016,0.9421794783206107,8.326672684688674e-15,1.2101430968414206e-14,2.731148640577885e-14,7.238654120556021e-14,3.141931159689193e-14,2.042810365310288e-14,1.554312234475219e-14,1.6542323066914832e-14,1.965094753586527e-14,1.9317880628477724e-14,1.509903313490213e-14,7.882583474838611e-15,3.4416913763379853e-15,2.220446049250313e-15,3.9968028886505635e-15,2.9976021664879227e-15,1.9042040990470824e-14
0.017,0.9982082294100857,0.00010892695192576962,0.00015395083989377945,0.0003801693309758436,0.0010334866555385958,0.000436809300376817,0.00026910279496528133,0.0002003104106538256,0.00021606076601998758,0.0002604414688828216,0.0002608708862975595,0.0002009883946857416,0.00010341905517385896,4.495870922838208e-05,2.9128431317082537e-05,5.1470387646523896e-05,4.1053123477130526e-05,0.0002584200802190766
0.018,1.053918031252372,0.017477649866724843,0.02463407599469125,0.05783862279312513,0.14294422643041615,0.06571262550003598,0.04215300335417804,0.03184747584316239,0.03415460055538411,0.04064440207471509,0.040360490075782574,0.03136933935565911,0.016345668490805765,0.007142766202526296,0.004666393109995726,0.0081456125747148,0.006458126149480492,0.039095692200207637
0.019,1.1093115995931884,0.03771604853789934,0.052975718330661836,0.11829808667381325,0.2673463322146228,0.13302149214781145,0.08868802198089953,0.06799799214943136,0.07254381129778342,0.08528564991526777,0.08405360580899834,0.06590714609053916,0.03480323396842877,0.015300996475923423,0.01007293571705048,0.017382641023613865,0.013707172980827798,0.07985077893204959
0.02,1.1643916194339623,0.05978889135630794,0.08364383244710527,0.17813762947527678,0.3717224448961971,0.1985002756553954,0.1370567579991775,0.1065511257580194,0.11315824504952265,0.1315838698280789,0.12888922010705428,0.1019252626274324,0.05455216324624934,0.02414358770110181,0.016001703224243213,0.027330511991432993,0.02145302382492531,0.12049159363534649
0.021,1.2191607454656632,0.08324097573481759,0.11593600421923489,0.23619043531839068,0.45928200394565555,0.2610989273936557,0.18604127783194946,0.1465313161512749,0.15500062641023504,0.17847102297679063,0.17396439089441118,0.13869889254210943,0.07523990246060974,0.03353722827229133,0.02236053865775922,0.03783915795311943,0.029588644140145837,0.16049342726624818
0.022,1.2736216024953095,0.10761611378623415,0.14916664419713332,0.2915876969452854,0.5328163714387266,0.3200753180905441,0.23457644157547497,0.18703013804576551,0.19715151687338472,0.2249993530813056,0.21848557501465815,0.17556604291117917,0.0965201485814956,0.0433444037000037,0.029053333382001223,0.048756597492182974,0.0380065908862568,0.19939239103126927
0.023,1.3277767858652947,0.13250345530492558,0.18273322832062655,0.34377587633023265,0.5947159129331084,0.3750039293333144,0.28182927760307597,0.2272871790201445,0.23884944140365472,0.2704156276733586,0.2618283660748101,0.21198203608050736,0.11808636537062345,0.05343814402575675,0.03599051620207849,0.05994452518872362,0.046609803741021194,0.2368335196988053
0.024,1.3816288618656716,0.15755947385948432,0.21614508543423316,0.39247329459477687,0.6469922233507686,0.4257259605538073,0.3272105532348709,0.2667173549442433,0.27951604765085913,0.3141761165635576,0.3035473510090131,0.2475348394179585,0.13968642168586876,0.06370946603112371,0.043094489187872065,0.0712857624322134,0.05531656635844795,0.2725795297213704
0.025,1.4351803681395348,0.1825120187593272,0.24902555191324316,0.4376040549727124,0.6913139629619371,0.47227896944777814,0.37034631538775487,0.30490265654180493,0.3187453707523831,0.35592555773293233,0.3433564162715086,0.2819356391079232,0.16112388613562378,0.07406932803687427,0.05030121133960064,0.08268577947248268,0.06406131984637409,0.306497189892972
0.026,1.4884338140816327,0.20715430887987718,0.28109982093099295,0.4792334510712274,0.7290517397356484,0.5148299306566895,0.41103389823087066,0.34156673956329053,0.35627622846696017,0.3954612046986361,0.3810973412973867,0.31499828722149814,0.18225219385450953,0.08444742241121972,0.05755952697913369,0.09407091522471778,0.07279322569004976,0.338535230662344
0.027,1.541391681230342,0.23133480158251596,0.3121774502412191,0.5175152875181563,0.7613250913516849,0.553621709615245,0.4491974260610191,0.37654492193062594,0.3919605301446826,0.4326952325656137,0.4167076455826165,0.3466164788192443,0.20296616888704422,0.09478958715355412,0.06482948079963913,0.10538524222735246,0.08147384930050594,0.3687019840753875
0.028,1.5940564236531367,0.25494641599365986,0.3421346180138001,0.5526531012108706,0.789046533038676,0.5889344814660611,0.4848496747152691,0.40975619902499283,0.4257341099943608,0.4676218217735675,0.4501927590921314,0.37674308172919213,0.22319342755314797,0.10505489978170546,0.07208037028042613,0.11658720600389083,0.09007474108777336,0.3970463587413576
0.029,1.646430468325667,0.27791676538398313,0.3708984359955977,0.5848735040250064,0.8129601415969102,0.6210599135944179,0.5180621752965064,0.4411798696493583,0.457592587641106,0.5002908892081688,0.4816039832246559,0.4053731907051161,0.24288679612462172,0.11521297464124147,0.0792889097379712,0.1276465712774849,0.09857527001099065,0.4236430752592497
0.03,1.6985162155045872,0.30019997642708984,0.39843403284898216,0.6144088192324633,0.8336739600559377,0.6502849748937161,0.5489430473287984,0.47083719698077586,0.487572573754804,0.530788272546075,0.5110219599092171,0.4325310081910463,0.2620180839519566,0.12524166050007857,0.0864376526060644,0.13854185989106638,0.10696082413060193,0.4485818465771732
