Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06201860120638086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12366731015904574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.18494942619425173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.24586820952569172,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,2.220446049250313e-15,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,4.530004609945132e-16
0.005,0.30642688182266015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3666286267779961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.42647659066601373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.48597388289062504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5451235765238559,0.0,1.1102230246251565e-16,3.3306690738754696e-16,1.887379141862766e-15,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.72692638201861e-16
0.01,0.6039287088349515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6623922818102614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7205172626640927,1.1102230246251565e-15,3.3306690738754696e-15,4.440892098500626e-15,7.549516567451064e-15,2.3314683517128287e-15,1.887379141862766e-15,1.887379141862766e-15,2.220446049250313e-15,2.220446049250313e-15,1.887379141862766e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.1102230246251565e-15,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,2.4150048396158365e-15
0.013,0.7783065843407123,2.6645352591003757e-15,5.773159728050814e-15,9.2148511043888e-15,1.709743457922741e-14,5.551115123125783e-15,3.774758283725532e-15,3.774758283725532e-15,4.6629367034256575e-15,4.551914400963142e-15,4.107825191113079e-15,3.6637359812630166e-15,2.9976021664879227e-15,1.5543122344752192e-15,8.881784197001252e-16,5.551115123125783e-16,2.220446049250313e-16,5.119557883988807e-15
0.014,0.8357631460076776,8.881784197001252e-16,2.3314683517128287e-15,4.6629367034256575e-15,9.43689570931383e-15,2.6645352591003757e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.887379141862766e-15,1.4432899320127035e-15,1.1102230246251565e-15,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,2.5303732695289948e-15
0.015,0.8928898135406698,1.4432899320127035e-15,3.774758283725532e-15,6.5503158452884236e-15,1.1546319456101628e-14,3.1086244689504383e-15,2.220446049250313e-15,2.220446049250313e-15,2.7755575615628914e-15,2.7755575615628914e-15,2.220446049250313e-15,1.887379141862766e-15,1.6653345369377348e-15,1.3322676295501878e-15,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,3.2002445835506985e-15
0.016,0.94968942,1.0547118733938987e-14,2.6201263381153694e-14,4.796163466380676e-14,8.959499808725013e-14,2.6423307986078726e-14,1.7763568394002505e-14,1.7541523789077473e-14,2.1316282072803006e-14,2.2315482794965646e-14,1.9984014443252818e-14,1.6764367671839864e-14,1.2101430968414206e-14,8.215650382226158e-15,4.218847493575595e-15,3.774758283725532e-15,2.7755575615628914e-15,2.4994081899378418e-14
0.017,1.0061647660989534,0.0017491658277242195,0.004302535121693096,0.008351559941491726,0.01634981001817437,0.004617343834737886,0.002950897399354946,0.0028905921451622962,0.003615195304482288,0.0038441699404880847,0.0034627566405524,0.0028604130177810605,0.0020811809409193582,0.0013995717179384748,0.000701867595436112,0.0006271550379582935,0.00044659255314483115,0.004345632445031701
0.018,1.0623186206641366,0.018960383105582346,0.04617078265146224,0.08424511174803162,0.15218358051407876,0.04707612582352705,0.031247363226240554,0.030921833766397455,0.03827646569060661,0.0402156081477143,0.03594208095892748,0.03004158034028992,0.022117781570198503,0.015016447627241525,0.007570620939525319,0.006693968857637067,0.004738401882727339,0.043899736197124964
0.019,1.1181537210879848,0.03830876677381145,0.09198520408843036,0.15850065146407277,0.2670275344600518,0.08997609587829247,0.0618330363490216,0.061689125402253575,0.07560976709947898,0.07860569753613145,0.06982887270381011,0.059003685195104794,0.043929349551808716,0.030097994036652254,0.015248630394124607,0.013359901135445162,0.009405919769872595,0.08326431163647945
0.02,1.173672773773585,0.059493406170774144,0.14038936210000452,0.22959966925820285,0.36427041880086763,0.13291778358209394,0.09426499075035066,0.09464367712771626,0.11490885458112521,0.11837235080489039,0.10469508117033954,0.08935311332549634,0.06722883033954585,0.046464124295979015,0.02364868949889165,0.02055661768705197,0.014402909771069283,0.12220362762441887
0.021,1.2288784545719662,0.08215087406319332,0.19001412382089844,0.29647128233900377,0.44677691415782805,0.1754879037036745,0.12803143434805708,0.12916591308901826,0.1554170773829403,0.15884934945539153,0.1400853895870965,0.12065558560696421,0.09168210119549047,0.06389361861164478,0.032662928116700685,0.02820159460165672,0.019675402559358846,0.1604377751644003
0.022,1.2837734092120074,0.10589736113789372,0.23963330500395608,0.35848924968011586,0.5169509969752402,0.21729552134259866,0.1626046849344298,0.1646314454859713,0.19640484470067054,0.19940938761919214,0.1755597844403204,0.15247825795022185,0.11694264616512928,0.08214823679862904,0.04217518561393285,0.03620721003782834,0.025167362080870892,0.1976925745158818
0.023,1.3383602537231059,0.13036449207009926,0.28825521205548577,0.41540480760047616,0.5768056426351149,0.2580028793066441,0.19748778732260475,0.20046465177671013,0.23722754284991854,0.23950956747883356,0.2107272705510259,0.18442434771610627,0.1426814124260396,0.10099446681371205,0.05207179319903266,0.04448861287247263,0.03082544227643713,0.23373479316454734
0.024,1.3926415748507464,0.15522192859200046,0.3351479646391361,0.46724834896134737,0.6280198640731423,0.29734072556671776,0.2322440913468179,0.23617002462121617,0.2773547143364792,0.2787119290410469,0.24526308345132874,0.2161527837293128,0.16860533452288362,0.12021794999849011,0.06224846520902971,0.05296858969368656,0.0366017585610563,0.2683873909130576
0.025,1.4466199304651164,0.18018818947354642,0.3798208201472103,0.5142339477324755,0.6719891064395438,0.3351114081654786,0.2665111870808963,0.2713445137497754,0.3163766326164683,0.31668540660875,0.2789130663416787,0.24738554006744817,0.19446598760197442,0.13963116714433832,0.07261378460795787,0.06157990002146829,0.042455077312062106,0.3015312857014786
0.026,1.5002978499628943,0.2050329404471184,0.4219838885690673,0.5566821278661427,0.7098703557269576,0.37118396801501663,0.3000031658781591,0.30567659671958947,0.3539964071852446,0.3531965119929362,0.31148977379725185,0.2779065599620161,0.22006114076480465,0.15907604417584642,0.08309023320019415,0.07026583667198405,0.04835094891056302,0.3330995817413327
0.027,1.5536778346623497,0.229574058900059,0.46150225770279074,0.5949640316003315,0.7426219116908803,0.4054849920353861,0.3325055217927013,0.33893762871506117,0.3900146815273564,0.3880946831830545,0.34286421470751494,0.30755585591926027,0.24523195205872217,0.17842325980313245,0.09361370078128395,0.0789797168693458,0.05426123769158975,0.3630685626863544
0.028,1.6067623581918822,0.2536720538017817,0.4983535303368133,0.6294642986771907,0.7710377102718765,0.437987966837043,0.36386623854849665,0.37096969428479587,0.424311880725903,0.4212962803362942,0.3729559972098695,0.33622145186669383,0.2698579415390987,0.19756971328424888,0.10413219389053863,0.08768383207237895,0.06016337100575975,0.391448093349941
0.029,1.6595538668721252,0.27722356218904687,0.5325925726474464,0.660558196487435,0.7957763718894828,0.46870284301634335,0.39398553440230855,0.40167270684786516,0.4568309671000592,0.4527695015137556,0.4017235587033654,0.36383088226821636,0.29385117952217044,0.21643517640768795,0.11460422507124302,0.09634820047887083,0.0660395080754409,0.41827281475539924
0.03,1.7120547800917432,0.3001549324581667,0.5643241886022462,0.6885987320438105,0.8173854168799517,0.4976667139331693,0.42280577579733447,0.4309923049895569,0.4875621806020718,0.48252128083416823,0.4291553573620145,0.3903432126074362,0.3171505462347527,0.2349587713168203,0.12499716874596012,0.10494932194135298,0.07187573955579063,0.44359470620086533
0.031,1.7642674906770357,0.32241640787337755,0.5936829401945216,0.7139103487045906,0.8363212349634459,0.5249359703828131,0.4503023578048617,0.45890927053189823,0.5165302951892268,0.5105864873338941,0.45526237709735007,0.41574203413858735,0.33971650778627915,0.25309563348273456,0.13528573437850488,0.11346903712693623,0.07766137040669896,0.4674771277076801
0.032,1.8161943652554748,0.34397711351431093,0.6208188022972758,0.736786751085873,0.8529654353969833,0.5505799697074962,0.4764758813427631,0.485430688564636,0.5437843903330356,0.5370193397627172,0.48007199357718844,0.4400295730335523,0.3615265918152023,0.2708139323326929,0.14545062261070396,0.1218935325598679,0.08338830426497801,0.48999022819859145
0.033,1.8678377446132852,0.36482087420505416,0.6458873060776669,0.7574911843348426,0.8676381761466354,0.574676090016575,0.5013456797839447,0.5105827930836155,0.5693898788393355,0.5618867681821669,0.5036230933109432,0.46322188192432834,0.38257159451136824,0.2880923085791175,0.155477381128028,0.1302124992603353,0.08905052898017796,0.5112075140883137
0.034,1.9191999440471872,0.38494280214883636,0.6690430006338355,0.7762580746315743,0.8806090071887215,0.5973059701508886,0.5249446008954589,0.534405311452133,0.5934224373458723,0.5852633952583187,0.5259622731972264,0.48534499960308386,0.40285247162178706,0.3049177240306704,0.1653554513716432,0.1384184354219774,0.09464369415014118,0.5312033557859549
0.035,1.9702832537104078,0.40434655590952573,0.6904352973270215,0.7932953416312307,0.8921056873017336,0.6185527220072959,0.5473148852894976,0.5569470761275974,0.615963478913663,0.6072278179128016,0.5471409342148534,0.506431935335043,0.4223778312433114,0.3212836881929685,0.17507738557921448,0.14650607613398736,0.10016476818348774,0.5500512272393023
0.036,2.0210899389530685,0.42304216386285387,0.7102059854620788,0.8087869630015487,0.9023213583658919,0.6384989164469697,0.5685049651868412,0.5782626731965368,0.6370968417167779,0.6278599071863104,0.5672130948319096,0.5265203335650097,0.4411619365620809,0.33718881336245476,0.18463820988224167,0.1544719311461401,0.10561176202446343,0.5678225045428315
0.037,2.071622240657066,0.44104431109016407,0.7284878958140928,0.8228955457000143,0.9114203926719383,0.6572251707605488,0.5885670149000628,0.5984099200228499,0.6569064176879968,0.6472388906920383,0.5862337723890718,0.5456506879075049,0.4592231301839407,0.3526356477871134,0.19403490954513225,0.16231391242681348,0.1109835076766198,0.5845856827389879
0.038,2.1218823755655296,0.45837100071436365,0.7454043354774094,0.8357647689029011,0.9195431695386526,0.6748091953944707,0.607555103470174,0.6174479949744727,0.675474496399018,0.6654420277524893,0.6042578061072031,0.5638649916905905,0.4765826011739507,0.36762973965543067,0.2032660146994978,0.17003103523999885,0.11627948120867826,0.6004059002196291
0.039,2.1718725366069833,0.4750425144365029,0.7610690278879864,0.8475216315614935,0.9268099879690151,0.6913251857436093,0.6255238226288028,0.635436073501829,0.6928806461039865,0.6825437277769064,0.6213390194635319,0.5812057314270144,0.4932634273886497,0.38217889016823015,0.21233126788573498,0.17762317883127576,0.12149966157615066,0.6153446857465672
0.04,2.221594893214286,0.49108061029295647,0.7755863725783737,0.8582784784617068,0.9333242813978619,0.706843469317088,0.6425272856539112,0.6524323533754284,0.7092009934475739,0.698614996253277,0.6375296407743756,0.5977151472145562,0.5092898370549022,0.39629256007958114,0.22123135772717462,0.1850908951399608,0.12664441813415084,0.6294598638151988
0.041,2.271051591638469,0.5065079074408831,0.7890518971710387,0.8681348023796481,0.9391752676354845,0.7214303389546951,0.6586184128471535,0.6684933763572649,0.7245077955797103,0.7137231200084696,0.6528799184498724,0.613434699343278,0.5246866438491551,0.4099814000047365,0.22996770582949844,0.19243525605268363,0.13171442106486742,0.6428055703465615
0.042,2.320244755257549,0.5213474177890192,0.8015528151704864,0.8771788329455942,0.9444401406439386,0.7351480191934767,0.6738484366043638,0.683673573798174,0.7388692240075501,0.7279315248898397,0.6674378816903015,0.6284046931340066,0.5394788186031158,0.4232568800947303,0.23854229640381686,0.1996577315158211,0.13671057007766663,0.6554323432174758
0.043,2.3691764848804255,0.5356221925533603,0.8131686319014836,0.8854889293097762,0.94918588962797,0.7480547258453538,0.6882665733324407,0.6980249799603997,0.7523492994637316,0.741299755696406,0.6812492087749074,0.6426640244118519,0.553691168170483,0.4361309992363015,0.24695754013545934,0.20676009232748072,0.14163393767217503,0.6673872616516221
0.044,2.417848859045937,0.5493550585144008,0.8239717609475423,0.8931347962783105,0.9534708140604946,0.7602047889220896,0.7019198210436031,0.7115970698033488,0.7650079324261402,0.7538835409735384,0.6943571740280181,0.656250016332937,0.5673480980524168,0.44861605775475677,0.25521616548804715,0.213744332660615,0.14648572400957738,0.6787141156467356
0.045,2.466263934317181,0.562568424115311,0.8340281272310548,0.9001785439048846,0.9573457898369939,0.7716488167873532,0.7148528507044515,0.72443668811878,0.7769010356362096,0.7657349150068057,0.706802651492636,0.6691983248672182,0.580473440274374,0.46072448074157546,0.26332113198812357,0.22061260836455954,0.15126722104263035,0.6894535919474294
0.046,2.514423745571178,0.575284139799911,0.8433977422915696,0.9066756096028842,0.9608553310625122,0.7824338853141968,0.72710796672355,0.7365880447955897,0.7880806838326182,0.776902376695142,0.7186241587036186,0.6815428954136191,0.5930903319224936,0.4724686816874719,0.27127556112816786,0.22736718789151322,0.1559797840371595,0.6996434670250412
0.047,2.562330306283962,0.5875234003543431,0.8521352436790322,0.9126755603042684,0.9640384834535626,0.7926037402869262,0.7387251176895937,0.7480927570974811,0.7985953025972099,0.7874310705034967,0.7298579280705766,0.6933159570651314,0.605221132860183,0.4838609581681227,0.2790826814014631,0.23401041333278927,0.1606248090007295,0.7093188004360106
