Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05708340610169492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11382635451292249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17023188202180378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22630298940711466,1.3322676295501878e-15,1.887379141862766e-15,2.220446049250313e-15,2.4424906541753444e-15,2.220446049250313e-15,2.6645352591003757e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,8.881784197001252e-16,3.3306690738754696e-16,0.0,0.0,0.0,1.8111935335823088e-15
0.005,0.2820426419704434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3374537700589392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.39253926957884433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.4473020025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5017447973515092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5558704497087379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6096817226718296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6631813473359074,1.4432899320127035e-15,2.220446049250313e-15,2.4424906541753444e-15,3.552713678800501e-15,3.552713678800501e-15,4.218847493575595e-15,2.7755575615628914e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.887379141862766e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.3306690738754696e-16,0.0,0.0,0.0,2.4161705290254407e-15
0.013,0.7163720232531281,4.218847493575595e-15,5.995204332975845e-15,5.88418203051333e-15,7.105427357601002e-15,7.216449660063518e-15,8.881784197001252e-15,6.5503158452884236e-15,5.773159728050814e-15,5.329070518200751e-15,4.551914400963142e-15,4.3298697960381105e-15,2.6645352591003757e-15,1.2212453270876722e-15,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,5.661423315328013e-15
0.014,0.7692564188867563,1.3322676295501878e-15,1.887379141862766e-15,2.220446049250313e-15,2.4424906541753444e-15,2.220446049250313e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,8.881784197001252e-16,3.3306690738754696e-16,0.0,0.0,0.0,1.8529653994719368e-15
0.015,0.8218371720574162,1.4432899320127035e-15,1.9984014443252818e-15,2.220446049250313e-15,2.55351295663786e-15,2.7755575615628914e-15,3.774758283725532e-15,2.1094237467877974e-15,2.220446049250313e-15,1.887379141862766e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.2212453270876722e-15,3.3306690738754696e-16,0.0,0.0,0.0,2.0910071158296842e-15
0.016,0.8741168903816794,9.658940314238862e-15,1.2545520178264269e-14,1.4432899320127035e-14,1.687538997430238e-14,1.7319479184152442e-14,2.1316282072803006e-14,1.5210055437364645e-14,1.2878587085651816e-14,1.199040866595169e-14,1.0436096431476471e-14,9.992007221626409e-15,6.5503158452884236e-15,3.1086244689504383e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.4432899320127035e-15,1.3149032435836752e-14
0.017,0.9260981517031399,8.104628079763643e-15,1.0547118733938987e-14,1.2212453270876722e-14,1.4432899320127035e-14,1.4432899320127035e-14,1.7541523789077473e-14,1.27675647831893e-14,1.0769163338864018e-14,1.0103029524088925e-14,8.43769498715119e-15,8.326672684688674e-15,5.773159728050814e-15,2.7755575615628914e-15,1.1102230246251565e-15,1.3322676295501878e-15,1.2212453270876722e-15,1.0998949560734367e-14
0.018,0.977783504516129,4.6274095666376525e-12,6.0678129187863306e-12,6.7061911579457956e-12,8.167688747562352e-12,8.490874670030735e-12,1.0507039682750019e-11,7.60091989349121e-12,6.2695404423607215e-12,5.7480686876942855e-12,5.041744799427761e-12,4.887867888214714e-12,3.266165116144748e-12,1.5968337763183627e-12,7.175371408152387e-13,7.815970093361102e-13,6.09956529729061e-13,6.4109454890744184e-12
0.019,1.0291754683822139,0.034182483422506516,0.04474558428956421,0.04932695841052326,0.059367188450971886,0.06143886218218897,0.0754366071858995,0.055393657303090316,0.04601299969242456,0.042277417525703354,0.037147938323120355,0.03600374238915982,0.02421239007030085,0.011917377875871549,0.005383538444699076,0.005867425550731831,0.0045746651224058965,0.0468113288288134
0.02,1.0802765343396228,0.09060514093238292,0.11813001966227821,0.1296290933146158,0.1531771328494922,0.15746717613587646,0.19089825707050545,0.14356937202741404,0.12062094439814841,0.11123389642477732,0.09805837640673443,0.09500884258141773,0.06457859194001425,0.032159994972749906,0.014653167903696196,0.0159852539807277,0.012445778987561718,0.12174112776814675
0.021,1.1310891653057387,0.14265666746408523,0.1850823682378332,0.20217281764216544,0.23518354903844563,0.24048220921792607,0.28816909042140226,0.22137375827377626,0.18791579988875395,0.17388859795123768,0.15380401354405615,0.1490083794526701,0.10231920806312722,0.05152836640763936,0.023667107812887167,0.02583823330706103,0.020095293060374053,0.18836358127549568
0.022,1.1816157964727956,0.1907375290162161,0.24609510795781508,0.2676242374431139,0.30714891234909736,0.3127178610072343,0.3707549834989039,0.2902698964175012,0.24872250254274086,0.23090380867164828,0.20492000387369858,0.19854772901467477,0.13766904411764558,0.0700784011549368,0.032430652283912176,0.03542739700265063,0.027530374350332343,0.24783541465056796
0.023,1.2318588356969131,0.2352142037938143,0.30167845450507,0.32666690834427314,0.3705478898773463,0.37594595670474484,0.4413635921278656,0.3514876481005753,0.3037743023144547,0.28287649937855974,0.251883647467241,0.24410368421003747,0.17083931173946187,0.08786347441271836,0.040951526204452526,0.04475765922078678,0.034759516612454355,0.30112485973367464
0.024,1.2818206638805971,0.27641881724542894,0.35233073085958044,0.37995882111614854,0.42661211909448415,0.43158640929227765,0.5021123596193194,0.4060626014855995,0.3537178759761439,0.33033926333667707,0.2951181038382431,0.28609276607138956,0.20201918841263067,0.10493368263262937,0.04923879344784299,0.05383628394278739,0.041791799446359246,0.3490454077839062
0.025,1.3315036353488372,0.314650630626657,0.39852232275458543,0.4281111012350862,0.47637118647728993,0.48078821443679465,0.5546760951020551,0.4548691105074284,0.3991211388360715,0.3737645062267725,0.33499748878575064,0.3248791554350855,0.23137782819842279,0.12133557014013774,0.05730215221545254,0.06267187900421012,0.048636429960367544,0.3922833906322354
0.026,1.3809100782189239,0.35017842719611836,0.4406879941401467,0.47167935144549256,0.5206879022097322,0.524489580967956,0.6003932799278113,0.49864781598221486,0.44048186974908976,0.4135699886162737,0.3718522903935827,0.36078185175781585,0.2590664664886074,0.1371121221777285,0.06515148452916664,0.0712737367527122,0.05530246508909242,0.431420393131926
0.027,1.4300422947641072,0.38324324618283223,0.4792242178506493,0.5111621040077692,0.5602877532324901,0.5634630389439957,0.6403437479846419,0.538028348798756,0.47823617708453336,0.4501247004244786,0.40597458186404456,0.3940809476573257,0.2852204410526883,0.15230290248034295,0.07279657248267091,0.07965140406687554,0.06179864911055799,0.46695142903031855
0.028,1.478902561771218,0.4140611581540792,0.5144894164479596,0.5470030734919387,0.5957831146091062,0.5983496362622817,0.6754062118088955,0.5735479724253714,0.512766343660071,0.48375454402765516,0.4376227990966659,0.4250230410546537,0.3099610493067859,0.16694426348395008,0.08024692398435018,0.0878144046749707,0.06813332442820985,0.49929968633090477
0.029,1.5274931308923645,0.44282591933387205,0.5468058063246534,0.5795952663482525,0.6276930023204272,0.6296851313952365,0.7063013955499886,0.6056668684779689,0.5444078674814468,0.5147475799991768,0.4670260031091221,0.4538258634393655,0.33339721379892906,0.18106958718231536,0.0875116704040616,0.09577206297338325,0.07431438872115137,0.5288285123849685
0.03,1.5758162289908257,0.46971142632580787,0.576462044980353,0.6092858293767796,0.6564591420010988,0.6579202547739444,0.7336247501284769,0.6347806761834223,0.57345566265875,0.5433587413584222,0.49438762444279494,0.4806822211085713,0.35562695471519856,0.19470953253948153,0.09459951136002098,0.10353339567479036,0.08034928116707063,0.5558511837202744
0.031,1.6238740584812443,0.49487394074232294,0.6037162004069613,0.6363810133970457,0.6824590395867712,0.6834365297070302,0.7578715325304826,0.661230797310061,0.60016945881568,0.5698140029305243,0.5198887231848952,0.5057633462536744,0.37673868116483555,0.20789227606308813,0.10151869025790539,0.1111070488293221,0.08624498658794666,0.5806388982332262
0.032,1.671668797664234,0.5184540800037065,0.6287987609133834,0.6611509210569078,0.7060166306789475,0.7065587358471499,0.7794562221993931,0.6853128865938865,0.6247784706051059,0.5943140330894855,0.543690813136422,0.5292217467798792,0.39681231845898535,0.22064373852341368,0.10827698969129174,0.11850126514562231,0.09200805032011139,0.6034273388066077
0.033,1.7192026010555053,0.540578584778566,0.65191552741826,0.6838338787866916,0.7274109806520099,0.7275648097716139,0.7987276914858594,0.7072838687393799,0.6474854202748364,0.6170373735272611,0.5659383023391475,0.5511936329220853,0.4159202900919865,0.23298779458198537,0.11488173944204916,0.12572387143598918,0.09764459916440782,0.6244220859607817
0.034,1.7664775997096192,0.5613618804152467,0.6732503062253967,0.7046403710318544,0.7468834161796027,0.7466937713620838,0.8159811599193512,0.7273677573568453,0.6684699961241112,0.6381431988866635,0.5867606003023114,0.5718009875737898,0.4341283726219035,0.2449464643006105,0.12133983223090883,0.1327822792826534,0.1031603654315868,0.6438031002134017
0.035,1.813495901538462,0.5809074523794766,0.6929673663008926,0.7237565295085122,0.7646433928784535,0.7641521163056266,0.8314676890257807,0.745760497576897,0.6878918240379667,0.6577737078732352,0.6062739378972136,0.5911533368988539,0.45149644020181745,0.2565400867573111,0.12765774398071494,0.13968349422623316,0.10856071218095353,0.6617284497660048
0.036,1.8602595916245488,0.5993090560242743,0.7112136522990038,0.7413471990745261,0.7808733421436039,0.780119007096987,0.8454017795871578,0.7626340108242593,0.7058930213198369,0.6760561940715498,0.6245829406369143,0.6093492686740596,0.46807911371450284,0.2677874766759718,0.13384155643863227,0.14643413027208318,0.11385065845912545,0.6783374235886194
0.037,1.906770732529253,0.6166517800749869,0.72812076011248,0.7575586155861611,0.7957326909557356,0.7947505156456103,0.8579674926591483,0.7781395855502755,0.7226003934962979,0.6931048399474644,0.6417819907603413,0.6264777379944342,0.4839263276144511,0.2787060653111366,0.13989698073540924,0.15304042753054226,0.11903490381045112,0.6937531419491014
