Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06513345254237289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.12987843518886683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.19423841298315164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2582168098814229,4.440892098500626e-16,1.6653345369377348e-15,2.55351295663786e-15,1.887379141862766e-15,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,7.839981926264252e-16
0.005,0.32181700935960594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.38504235500982326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4478961511263468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.51038166328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5725021188899707,4.440892098500626e-16,1.6653345369377348e-15,2.220446049250313e-15,1.887379141862766e-15,5.551115123125783e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,7.493227634378648e-16
0.01,0.6342607077669903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6956605826718296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7567048598455599,1.5543122344752192e-15,5.10702591327572e-15,9.992007221626409e-15,6.994405055138486e-15,2.886579864025407e-15,2.3314683517128287e-15,2.220446049250313e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.3322676295501878e-15,8.881784197001252e-16,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3421984994272488e-15
0.013,0.8173966195380173,3.9968028886505635e-15,1.2101430968414206e-14,2.0872192862952943e-14,1.4765966227514582e-14,7.105427357601002e-15,5.662137425588298e-15,5.662137425588298e-15,5.551115123125783e-15,5.329070518200751e-15,3.885780586188048e-15,3.774758283725532e-15,3.1086244689504383e-15,2.4424906541753444e-15,1.887379141862766e-15,1.4432899320127035e-15,1.2212453270876722e-15,7.650316328718414e-15
0.014,0.8777389065259118,1.5543122344752192e-15,5.10702591327572e-15,9.992007221626409e-15,6.994405055138486e-15,2.886579864025407e-15,2.3314683517128287e-15,2.220446049250313e-15,2.3314683517128287e-15,2.3314683517128287e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.3322676295501878e-15,8.881784197001252e-16,6.661338147750939e-16,3.3306690738754696e-16,4.440892098500626e-16,3.357978412945417e-15
0.015,0.9377347306220095,3.3306690738754696e-15,1.1546319456101628e-14,2.2093438190040615e-14,1.432187701766452e-14,6.439293542825908e-15,4.773959005888173e-15,4.6629367034256575e-15,4.6629367034256575e-15,4.440892098500626e-15,3.3306690738754696e-15,3.3306690738754696e-15,2.55351295663786e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.1102230246251565e-15,1.2212453270876722e-15,7.145179366152369e-15
0.016,0.9973870671755726,8.404023500019342e-05,0.000285255344224411,0.000556229314632728,0.0003495509839229749,0.000144603990595904,0.00011133776885974278,0.00011303024170583598,0.00011254914018254958,0.00011156150273805565,8.248441600355871e-05,7.901626157269526e-05,6.359106291464744e-05,4.5965960055793786e-05,4.118633756489132e-05,2.795777915054476e-05,2.8404322250041858e-05,0.0001750371019154067
0.017,1.0566988575642247,0.023664304588877694,0.0767706020547766,0.13943879027612482,0.09312935642951059,0.040679617622928266,0.03165773390341109,0.031744972481989375,0.031522304129985246,0.03119351985179808,0.023172295404200627,0.02224646903380112,0.018005197311094734,0.01307003078326463,0.011587125244621799,0.007858039789599869,0.007947824966225259,0.047008979671228336
