Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.04138989631106681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.08253293439363818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.12343131615460852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.16408721739130436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005,0.2045027881773399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.24468015324165035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.2846214123408424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.324328640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.3638038889970789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.40304918446601945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.44206653049370764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.48085790733590733,7.771561172376096e-16,9.992007221626409e-16,1.6653345369377348e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.5543122344752192e-15,1.4432899320127035e-15,1.4432899320127035e-15,9.992007221626409e-16,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.0081607763521812e-15
0.013,0.5194252723772859,1.4432899320127035e-15,2.3314683517128287e-15,3.219646771412954e-15,3.1086244689504383e-15,3.4416913763379853e-15,2.7755575615628914e-15,3.219646771412954e-15,2.9976021664879227e-15,2.7755575615628914e-15,2.7755575615628914e-15,2.1094237467877974e-15,1.2212453270876722e-15,1.1102230246251565e-15,7.771561172376096e-16,6.661338147750939e-16,0.0,2.0605773784190448e-15
0.014,0.5577705604606527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.015,0.5958956842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.016,0.6338025343511451,1.9984014443252818e-15,2.55351295663786e-15,3.3306690738754696e-15,3.219646771412954e-15,4.3298697960381105e-15,3.219646771412954e-15,3.4416913763379853e-15,3.219646771412954e-15,2.886579864025407e-15,2.886579864025407e-15,2.220446049250313e-15,1.4432899320127035e-15,1.2212453270876722e-15,7.771561172376096e-16,7.771561172376096e-16,0.0,2.2693858614377526e-15
0.017,0.6714929800190296,7.771561172376096e-16,9.992007221626409e-16,1.6653345369377348e-15,1.5543122344752192e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.4432899320127035e-15,1.4432899320127035e-15,9.992007221626409e-16,8.881784197001252e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.0009806717541236e-15
