Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07344265214356929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.14644727654075548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2190177802775025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.291158024110672,1.4432899320127035e-15,2.7755575615628914e-15,3.6637359812630166e-15,3.4416913763379853e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.3322676295501878e-15,1.3322676295501878e-15,1.3322676295501878e-15,4.440892098500626e-16,3.3306690738754696e-16,0.0,0.0,1.940941184367201e-15
0.005,0.3628718231527094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.4341629475442044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5050351231145936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.57549203203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6455373134371957,4.440892098500626e-16,1.9984014443252818e-15,2.886579864025407e-15,2.3314683517128287e-15,5.551115123125783e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,9.500437950831801e-16
0.01,0.71517456407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.7844073389157793,2.220446049250313e-16,5.551115123125783e-16,2.4424906541753444e-15,2.220446049250313e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.0,0.0,6.598530445068712e-16
0.012,0.8532391517374518,3.9968028886505635e-15,1.0769163338864018e-14,1.7208456881689926e-14,1.3877787807814457e-14,4.773959005888173e-15,3.6637359812630166e-15,4.551914400963142e-15,4.6629367034256575e-15,4.884981308350689e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.3314683517128287e-15,1.5543122344752192e-15,1.2212453270876722e-15,8.881784197001252e-16,4.440892098500626e-16,6.585208954623293e-15
0.013,0.9216734757459096,1.2101430968414206e-14,3.497202527569243e-14,5.861977570020827e-14,4.463096558993129e-14,1.5210055437364645e-14,1.1546319456101628e-14,1.3100631690576847e-14,1.4432899320127035e-14,1.454392162258955e-14,1.1657341758564144e-14,9.769962616701378e-15,7.438494264988549e-15,4.440892098500626e-15,4.107825191113079e-15,3.4416913763379853e-15,2.55351295663786e-15,2.1160457665936893e-14
0.014,0.9897137441458734,1.7232147442314272e-07,5.028248077909581e-07,8.713988833841668e-07,6.619118931849854e-07,2.1007374739756557e-07,1.545702768002144e-07,1.7966724641382825e-07,1.9973717457766327e-07,2.0648174747783798e-07,1.6037026051574088e-07,1.345924127704734e-07,1.0234258041030841e-07,6.481235292898901e-08,5.823170079466422e-08,4.89982375784237e-08,3.6460472307986436e-08,3.0441499239399045e-07
