Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.0811752182452642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.16186629005964218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.2420775338949455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.3218132169960475,1.7763568394002505e-15,3.6637359812630166e-15,3.4416913763379853e-15,3.1086244689504383e-15,1.887379141862766e-15,1.7763568394002505e-15,1.9984014443252818e-15,2.1094237467877974e-15,2.220446049250313e-15,1.887379141862766e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.3322676295501878e-15,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.3744713448855945e-15
0.005,0.4010775561576355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.47987471846758356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5582088220372184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.63608393671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.7135040848101265,2.3314683517128287e-15,6.5503158452884236e-15,5.88418203051333e-15,3.774758283725532e-15,2.1094237467877974e-15,1.9984014443252818e-15,2.55351295663786e-15,2.4424906541753444e-15,2.6645352591003757e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.4432899320127035e-15,4.440892098500626e-16,4.440892098500626e-16,2.220446049250313e-16,3.3718097772259295e-15
