Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.059968181156530416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11957869920477139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.17883474440039643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.2377394691699605,1.4432899320127035e-15,2.4424906541753444e-15,2.7755575615628914e-15,2.9976021664879227e-15,2.220446049250313e-15,2.1094237467877974e-15,1.887379141862766e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.3322676295501878e-15,6.661338147750939e-16,0.0,0.0,0.0,1.8551242128659235e-15
0.005,0.29629598866995077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.35450738133595294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.41237668942213523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.46990691953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5271010431353457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5839619970873787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6404926841239109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6966959733590734,1.6653345369377348e-15,3.885780586188048e-15,4.551914400963142e-15,5.10702591327572e-15,3.552713678800501e-15,2.3314683517128287e-15,2.3314683517128287e-15,2.1094237467877974e-15,2.1094237467877974e-15,2.1094237467877974e-15,1.7763568394002505e-15,1.5543122344752192e-15,9.992007221626409e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.642645030967309e-15
0.013,0.7525747007699712,4.3298697960381105e-15,8.770761894538737e-15,1.1657341758564144e-14,1.4099832412739488e-14,8.659739592076221e-15,6.772360450213455e-15,5.551115123125783e-15,5.329070518200751e-15,5.662137425588298e-15,5.218048215738236e-15,4.6629367034256575e-15,3.885780586188048e-15,2.4424906541753444e-15,1.2212453270876722e-15,1.3322676295501878e-15,5.551115123125783e-16,6.785632239897586e-15
0.014,0.8081316696737045,1.5543122344752192e-15,2.7755575615628914e-15,4.3298697960381105e-15,4.773959005888173e-15,2.6645352591003757e-15,2.3314683517128287e-15,1.9984014443252818e-15,1.887379141862766e-15,1.887379141862766e-15,1.887379141862766e-15,1.6653345369377348e-15,1.3322676295501878e-15,8.881784197001252e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.319812789562534e-15
0.015,0.8633696511961721,1.887379141862766e-15,3.885780586188048e-15,4.884981308350689e-15,6.5503158452884236e-15,3.885780586188048e-15,2.886579864025407e-15,2.4424906541753444e-15,2.220446049250313e-15,2.3314683517128287e-15,2.220446049250313e-15,1.887379141862766e-15,1.6653345369377348e-15,9.992007221626409e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,2.9468433576378556e-15
0.016,0.9182913847328245,1.1879386363489175e-14,2.3869795029440866e-14,3.186340080674199e-14,3.8746783559417963e-14,2.2537527399890678e-14,1.7541523789077473e-14,1.532107773982716e-14,1.4654943925052066e-14,1.4765966227514582e-14,1.3322676295501878e-14,1.2434497875801753e-14,9.992007221626409e-15,5.773159728050814e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.1094237467877974e-15,1.8236167472467576e-14
0.017,0.9728995784015224,3.497202527569243e-14,7.183142969324763e-14,1.0291767438275201e-13,1.2512213487525514e-13,7.049916206369744e-14,5.384581669432009e-14,4.6629367034256575e-14,4.3853809472693683e-14,4.551914400963142e-14,4.063416270128073e-14,3.8191672047105385e-14,3.0753177782116836e-14,1.787459069646502e-14,1.0658141036401503e-14,9.658940314238862e-15,6.5503158452884236e-15,5.66510042103614e-14
0.018,1.027196909487666,0.021406441275662713,0.04381449486046973,0.06132930571433726,0.07380501626081115,0.04270425748395423,0.03283986911919279,0.028658481715460926,0.027008425536331315,0.027726043473928486,0.024892603485275555,0.02347620327006683,0.018803442832507566,0.011079509298487,0.0067325743865677135,0.006023848691086187,0.004168020915630621,0.03428104075496006
0.019,1.0811860248817409,0.06413391408916813,0.12715781511467728,0.17061069457581834,0.20076769521280247,0.12297150687210145,0.09700068130913142,0.08517261773747253,0.0801767237146308,0.08196821879245775,0.07365385798805468,0.06984630580201867,0.05631841811898153,0.033437132915510315,0.02030898673836512,0.018076228257467575,0.012468008662982144,0.09876494466399444
0.02,1.134869541509434,0.10629643211494477,0.20425497857916575,0.26454874000567463,0.3057549411269833,0.19668016278500022,0.1585841757626978,0.14004178245792154,0.13177174489281873,0.13426989543309098,0.12081828605147305,0.11511549685221134,0.09340502524423955,0.055886927382511664,0.033948874825007413,0.03008910299625589,0.02070416514996265,0.1582080724752294
0.021,1.1882500467544685,0.14735218307120568,0.27470450268817304,0.34542159572426845,0.3933549951092893,0.2639705758660429,0.21693679092260343,0.19259923575400517,0.18124778953836385,0.18418770841473198,0.1660272460086708,0.1588388900051375,0.12965272333757594,0.07818446849354566,0.04752587933112029,0.041978871928418315,0.028833893403064526,0.212840311523494
0.022,1.2413300988742964,0.18695461462995355,0.33859878684860667,0.41526585202328725,0.46705286464276474,0.3251616007080961,0.2717155777208379,0.24245884407647744,0.2282896903914623,0.23148274184677342,0.20907858804135449,0.20074043604515002,0.16478824354266652,0.10015600761687682,0.060952493971478394,0.05369001985884392,0.036830262839455896,0.26296737376753665
0.023,1.2941122274087935,0.22490004242655592,0.3962974057060884,0.4758226898666661,0.529524672614401,0.38067319602194327,0.32279985246396126,0.28943592535577034,0.2727474019028212,0.27606084107810425,0.2498836726221666,0.24066951850027607,0.19864208174186004,0.12168223923321564,0.07416969368953585,0.06518703255910085,0.04467713803920259,0.30892955401945127
