Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05108645733798605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.10186822407554674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.15234801796828543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.20252852454545459,0.0,2.220446049250313e-16,1.4432899320127035e-15,1.7763568394002505e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.7858875737525815e-16
0.005,0.2524123975862069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3020022595874264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.35130070222331056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.400310286796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.4490335446835443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.49747297776699034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.5456310588673766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.5935102321621623,7.771561172376096e-16,2.1094237467877974e-15,3.774758283725532e-15,4.6629367034256575e-15,1.887379141862766e-15,1.4432899320127035e-15,1.3322676295501878e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,7.771561172376096e-16,1.1102230246251565e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,1.3589856252535736e-15
0.013,0.6411129135996151,1.3322676295501878e-15,3.4416913763379853e-15,6.439293542825908e-15,8.770761894538737e-15,3.3306690738754696e-15,2.3314683517128287e-15,2.220446049250313e-15,2.220446049250313e-15,2.3314683517128287e-15,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,9.992007221626409e-16,1.2212453270876722e-15,1.2212453270876722e-15,5.551115123125783e-16,2.4558923007542786e-15
0.014,0.6884414913051824,0.0,2.220446049250313e-16,1.4432899320127035e-15,1.7763568394002505e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.7858875737525815e-16
0.015,0.7354983259808612,0.0,2.220446049250313e-16,1.4432899320127035e-15,1.7763568394002505e-15,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.7858875737525815e-16
0.016,0.7822857512977099,1.6653345369377348e-15,4.884981308350689e-15,9.992007221626409e-15,1.4432899320127035e-14,4.773959005888173e-15,2.9976021664879227e-15,2.6645352591003757e-15,2.7755575615628914e-15,3.1086244689504383e-15,2.7755575615628914e-15,2.7755575615628914e-15,1.9984014443252818e-15,1.5543122344752192e-15,1.6653345369377348e-15,1.7763568394002505e-15,9.992007221626409e-16,3.564966433489498e-15
0.017,0.8288060742816367,8.881784197001252e-16,3.219646771412954e-15,5.773159728050814e-15,8.215650382226158e-15,2.886579864025407e-15,1.887379141862766e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.887379141862766e-15,1.887379141862766e-15,1.5543122344752192e-15,1.1102230246251565e-15,3.3306690738754696e-16,6.661338147750939e-16,6.661338147750939e-16,2.220446049250313e-16,2.0135825391675642e-15
0.018,0.8750615756925997,1.7763568394002505e-15,4.9960036108132044e-15,1.1435297153639112e-14,1.787459069646502e-14,5.329070518200751e-15,3.1086244689504383e-15,2.55351295663786e-15,2.886579864025407e-15,3.4416913763379853e-15,3.219646771412954e-15,2.886579864025407e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.1102230246251565e-15,3.9298565624327486e-15
0.019,0.9210545103973511,1.7763568394002505e-15,5.329070518200751e-15,1.3211653993039363e-14,1.965094753586527e-14,5.662137425588298e-15,3.219646771412954e-15,2.7755575615628914e-15,3.1086244689504383e-15,3.552713678800501e-15,3.3306690738754696e-15,2.9976021664879227e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.6653345369377348e-15,1.887379141862766e-15,1.2212453270876722e-15,4.232783972685776e-15
