Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.06596518085742772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.13153693121272367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1967187603567889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.26151413596837947,1.3322676295501878e-15,1.7763568394002505e-15,2.886579864025407e-15,2.886579864025407e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.3322676295501878e-15,8.881784197001252e-16,7.771561172376096e-16,8.881784197001252e-16,8.881784197001252e-16,5.551115123125783e-16,1.1102230246251565e-16,0.0,4.440892098500626e-16,1.6316285107391318e-15
0.005,0.32592648472906405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3899591929273085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4536156070519099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.516899034375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5798127435248296,2.220446049250313e-16,4.440892098500626e-16,2.220446049250313e-15,1.887379141862766e-15,5.551115123125783e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,6.318264476083325e-16
0.01,0.6423599650485436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.70454389196515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.7663676803088803,1.9984014443252818e-15,4.3298697960381105e-15,8.215650382226158e-15,7.105427357601002e-15,4.218847493575595e-15,2.886579864025407e-15,2.886579864025407e-15,2.4424906541753444e-15,2.1094237467877974e-15,1.6653345369377348e-15,1.6653345369377348e-15,1.6653345369377348e-15,8.881784197001252e-16,3.3306690738754696e-16,3.3306690738754696e-16,8.881784197001252e-16,3.6304803461738445e-15
0.013,0.8278344496631377,5.440092820663267e-15,1.1546319456101628e-14,2.3092638912203256e-14,1.7208456881689926e-14,1.0103029524088925e-14,8.215650382226158e-15,7.216449660063518e-15,6.8833827526759706e-15,5.440092820663267e-15,4.551914400963142e-15,4.6629367034256575e-15,3.6637359812630166e-15,2.55351295663786e-15,1.6653345369377348e-15,1.5543122344752192e-15,3.219646771412954e-15,9.604038549866962e-15
0.014,0.8889472836852207,2.1094237467877974e-15,4.6629367034256575e-15,9.992007221626409e-15,7.438494264988549e-15,4.3298697960381105e-15,2.9976021664879227e-15,2.9976021664879227e-15,2.6645352591003757e-15,2.220446049250313e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.6653345369377348e-15,9.992007221626409e-16,4.440892098500626e-16,4.440892098500626e-16,9.992007221626409e-16,3.96669963373224e-15
0.015,0.9497092306220094,4.3298697960381105e-15,9.992007221626409e-15,2.220446049250313e-14,1.6764367671839864e-14,9.2148511043888e-15,6.5503158452884236e-15,5.88418203051333e-15,5.88418203051333e-15,4.884981308350689e-15,3.885780586188048e-15,3.885780586188048e-15,2.9976021664879227e-15,1.9984014443252818e-15,1.4432899320127035e-15,1.2212453270876722e-15,2.9976021664879227e-15,8.639979553788174e-15
0.016,1.0101233038167938,0.005454478757188408,0.01243356728518652,0.0269013181926141,0.01946136774366236,0.011056729031002965,0.008263498636336242,0.007737177772665915,0.007160766930316198,0.006124195169996183,0.004875547696357341,0.0048576278955762,0.004009900020833457,0.0024598552995777068,0.0017371066167060079,0.0015427583458597072,0.0035443213530951256,0.01055116690687806
0.017,1.0701924822074216,0.03873004745738806,0.08474292906398484,0.16920904562366468,0.12872093980468702,0.07712557729597791,0.0587105678194898,0.054541798104544736,0.05025681647364699,0.042965639706771364,0.03448033033283582,0.03451686201819182,0.028623910596896063,0.017617362489591004,0.012298114781159941,0.010871989942975335,0.02471332552203087,0.07110212036663605
0.018,1.1299197108159391,0.07291816966731357,0.15356153381051985,0.2858644173182777,0.22626044413442625,0.14221134249854706,0.11022618418139074,0.10188759116102375,0.0935859860241588,0.08002451459179427,0.06467390876157253,0.06501780590069384,0.0541607867542554,0.03346627063019425,0.023149719673888125,0.020382515399711143,0.04586021294253495,0.12774472226928205
0.019,1.189307901229896,0.10745400385634996,0.21834068023084863,0.3823272122026451,0.31236476981207684,0.20490315609924148,0.16158119775984647,0.14891993651002833,0.13649696910899656,0.11680231420144105,0.09499587909119167,0.09585928339136396,0.08020198988162108,0.049776427058823236,0.03418690304286687,0.029995193210323068,0.06682836441287265,0.1805192447794281
0.02,1.2483599320754717,0.14187559068510747,0.2787866820760191,0.4627463842253655,0.38792406233268384,0.2643337415537528,0.21185756352306362,0.19498088549738224,0.17849391556486027,0.15292225615535981,0.1250948243563602,0.12664515630105133,0.10640688254110575,0.06635534596516479,0.04532143448334003,0.03964595571610541,0.0875006431554981,0.22954765234417107
0.021,1.3070786494825966,0.17582096748584497,0.3348108107019685,0.5302993780722232,0.45405899937312,0.3200355847075993,0.26040798863211023,0.23959124993846592,0.21921747599246288,0.18811053195175698,0.15470978004405722,0.15707150204329134,0.13250631650894185,0.0830460944535274,0.05648108960880027,0.04928387544667745,0.10779174941898817,0.2750055873731114
0.022,1.3654668675422137,0.209018264816356,0.38647668514180356,0.5874422442605148,0.5119196286814306,0.3718218674595142,0.3068070313585006,0.2824240485530509,0.2584224998356798,0.2221776685625625,0.18365301519543553,0.1869123399158542,0.15829363442316013,0.09972364196119232,0.06760817957998211,0.058869265245977576,0.12764184961419378,0.317101115586935
0.023,1.4235273687558467,0.24127232386326347,0.4339522643303667,0.6360912840734809,0.5625872630922606,0.41969434422536667,0.3508025778998073,0.32327536525046074,0.29595546145869245,0.25500117753618556,0.21179476953115206,0.21600549807200686,0.1836147195171185,0.11629044133701805,0.07865764360403815,0.06837181093887446,0.14701113417913747,0.35605864636465584
0.024,1.4812629044776118,0.2724506019352354,0.47747045017518897,0.6777553026341924,0.6070336989278986,0.4637752734435433,0.3922726136918663,0.3620366949222563,0.33173377812458094,0.2865103336166217,0.23905025814452008,0.2442396863820686,0.20835830536291633,0.13267189361669396,0.08959501780057577,0.07776883405894619,0.16587524546547394,0.39210716570552384
0.025,1.538676195348837,0.3024700397745036,0.5172991855457197,0.7136326216833894,0.6461106028972854,0.5042589067567805,0.4311892840506142,0.3986708823494488,0.3657281020078602,0.31667343378006396,0.26536896957781597,0.27154331543073496,0.23244725272791222,0.14881211691059748,0.10039450276320516,0.0870437588572246,0.18422153491244864,0.4254720269514724
0.026,1.5957699317254173,0.3312856831534857,0.5537201250476095,0.7446828705068552,0.6805537444539311,0.541377990559455,0.4675904272356769,0.43319235637281395,0.3979478669391192,0.3454875111690616,0.29072608705496816,0.29787520931259936,0.2558310982813846,0.16467023254978896,0.11103725004795406,0.09618481538222656,0.2020460757432212,0.45636956509062765
0.027,1.652546774098057,0.3588812755971622,0.5870142429812644,0.7716805865880155,0.7109937343244006,0.5753813293166095,0.5015578191877003,0.4656515343743013,0.42842989335702797,0.3729702549928572,0.31511575421828053,0.32321711362036754,0.2784799139127324,0.18021723426135783,0.12150991070203632,0.10518397572777882,0.21935132827225157,0.48500385001048196
0.028,1.709009353505535,0.38526172305862716,0.6174526758214436,0.7952555829377151,0.7379688963089792,0.606519250315263,0.5332010063748354,0.49612287844143976,0.4572296338674797,0.3991537936425029,0.33854587217647014,0.34756777769472913,0.3003793700659386,0.19543341932243907,0.13180344230266405,0.11403610035813072,0.2361443447243856,0.5115649884220111
0.029,1.7651602719411223,0.41044719060432444,0.6452913231894197,0.815923605093444,0.7619380949520339,0.635034573246263,0.5626455710726352,0.524695959955372,0.484414582526828,0.42407998805450753,0.36103412785230815,0.3709383514249849,0.32152683504928614,0.2103063187687385,0.14191214786514295,0.122738263178789,0.2524354058160887,0.536228499753579
0.03,1.8210021027522936,0.4344685522251822,0.6707680434769767,0.8341098034620148,0.7832925287597383,0.6611573329377842,0.5900247980987938,0.5514689072416248,0.51005939715311,0.44779691550773615,0.3826049905913187,0.3933488451370024,0.34192833032122916,0.22482904981608864,0.15183291168570445,0.13128922321258607,0.2682369950253073,0.5591554044922356
0.031,1.8765373910338519,0.4573639275824579,0.694101578026885,0.8501668468721153,0.8023661224953126,0.6851020084509039,0.615473890575174,0.5765436910593733,0.5342423463236459,0.4703562738772812,0.4032874585681009,0.4148254310420735,0.3615961748082548,0.23899901484606145,0.16156459695489367,0.1396890136933382,0.283563032828124,0.5804927610388234
0.032,1.9317686540145989,0.47917607388569783,0.7154915841174305,0.8643890078206629,0.8194444663527252,0.7070663886643374,0.6391260617084993,0.6000228004927699,0.5570427637845214,0.4918114880544544,0.4231133797313129,0.4353984013730505,0.3805471744621314,0.25281687942829056,0.17110757349303096,0.1479386237706567,0.2984283089415991,0.600374464886079
0.033,1.9866983814376709,0.49995044112661746,0.7351193460429112,0.877023196356725,0.8347723968363189,0.7272314770958809,0.6611099869926298,0.6220069554914052,0.5785392595192809,0.5122163468241864,0.4421162098352662,0.45510063398584066,0.39880123843512383,0.2662857722636761,0.18046334877267045,0.15603975255978642,0.31284806431354784,0.618922182690321
0.034,2.0413290359346643,0.5197337368740298,0.753148872160138,0.8882776653136844,0.8485603729172109,0.745762031618404,0.681548229895177,0.6425935831072676,0.5988084935444524,0.5316240375438495,0.4603301013435497,0.4739664475202535,0.4163803265948981,0.27941066027163675,0.1896342802579658,0.1639946193803551,0.3268376858347004,0.6362463366101323
0.035,2.0956630533936655,0.5385728797127478,0.7697281843024782,0.8983289254516963,0.8609898148166529,0.7628074690957116,0.7005563549101252,0.6618758502932282,0.6179243646155019,0.5500864773536178,0.4777892419137695,0.4920307542335922,0.4333076531372948,0.2921978612711935,0.1986233514564022,0.17180581750013024,0.34041248563939375,0.6524470846131639
0.036,2.1497028433212995,0.5565142474756551,0.7849906744941992,0.9073272747444299,0.872217565025903,0.7785029574376812,0.7182425187615042,0.6799420979212678,0.6359575023080617,0.5676538642209055,0.49452738062491763,0.5093284395313957,0.4496070875168414,0.3046546644869733,0.2074339977628099,0.17947620151884647,0.3535875437415096,0.6676152634642105
0.037,2.20345078919892,0.5736031480407702,0.7990564507391242,0.9154012473747608,0.8823796143547045,0.7929705805922898,0.7347073881586741,0.6968755605445012,0.6529749789226139,0.5843743900412322,0.5105774950797914,0.5258939136797602,0.46530270708543664,0.31678903546020365,0.21606997117740678,0.18700880076117554,0.3663775980033983,0.6818332753752767
0.038,2.256909248833034,0.5898834574169721,0.8120336251820364,0.9226612150270068,0.8915942163092735,0.8063205045521337,0.750044275135306,0.7127542866649362,0.6690401789658221,0.6002940724301304,0.5259715639354154,0.5417607939702389,0.4804184661932749,0.32860938702090325,0.22453523537333553,0.19440675279209985,0.37879696940844476,0.6951759087900045
0.039,2.3100805547000896,0.6053973829736983,0.8240195188284116,0.9292023187194549,0.8999644940595192,0.8186521009307469,0.7643394122688479,0.7276511969757371,0.6842127800436199,0.61545667274508,0.5407404180803477,0.5569616854594097,0.4949779545764935,0.34012440198533955,0.23283388447308362,0.20167325251750834,0.39085951359896676,0.7077110899420659
0.04,2.362967014285714,0.6201853197647211,0.8351017706011745,0.9351068686793318,0.9075806270368153,0.830055003515093,0.7776723128529015,0.7416342349790428,0.6985488110709357,0.629903676092052,0.5549136502341107,0.5715280359565187,0.5090042241005486,0.3513428963830554,0.24097008036408496,0.20881151337167758,0.4025785918872865,0.7195005657131802
0.041,2.415570910418522,0.6342857756192732,0.8453593471580845,0.9404463190152845,0.9145216892709975,0.840610085509784,0.7901161775973886,0.7547665769423293,0.7121007627263122,0.6436743152456866,0.568519567697573,0.5854900467045716,0.5225196677421411,0.3622737144673711,0.24894800452709887,0.21582473789091383,0.41396705663314515,0.7306005206581418
0.042,2.4678945015985794,0.6477353465656401,0.854863455215547,0.9452829005868268,0.9208571989401875,0.8503903530776254,0.8017383213319541,0.7671068774394496,0.7249177318073616,0.6568056250463578,0.5815851767250785,0.5988766246064234,0.5355459383967203,0.37292564867014444,0.25677182123776277,0.22271609558469696,0.4250372471456779,0.7410621323753446
0.043,2.519940022320638,0.660568728639754,0.863678361239584,0.9496709776160995,0.9266484280763339,0.8594617557020399,0.8126006017297799,0.7787095335596234,0.7370455861485159,0.6693325173130885,0.5941361898169053,0.6117153652096581,0.5481038979471093,0.3833073791448772,0.2644456496890981,0.22948870648550357,0.43580099321861865,0.7509320700357484
0.044,2.571709683392226,0.6728187555464766,0.8718621250326246,0.9536581798541709,0.9319495126742591,0.8678839168402015,0.8227598381687309,0.7896249558875359,0.748527140480283,0.6812878689174324,0.6061970493697266,0.6240325582307193,0.5602135892200472,0.3934274286967535,0.2719735431159881,0.23614562911978032,0.44626962412269466,0.760252941083292
0.045,2.623205672246696,0.6845164542396097,0.8794672544799353,0.957286351487072,0.936808396312915,0.8757107899741432,0.8322682131761125,0.7998998380308779,0.7594023363654397,0.6927026176171005,0.6177909627425826,0.6358532093594997,0.5718942251444064,0.40329412979774204,0.27935947341675216,0.24268985192083925,0.45645398141839033,0.7690636910491309
0.046,2.6744301532513184,0.6956911124634184,0.886541288867549,0.960592349695258,0.9412676345545451,0.8829912459563399,0.8411736519526274,0.8095774191487771,0.7697084213866191,0.7036058617122022,0.6289399450239628,0.6472010735848412,0.5831641907251868,0.4129156010870353,0.2866073200892334,0.24912428731940084,0.4663644343594665,0.7773999611906345
0.047,2.7253852680105175,0.7063703538024602,0.8931273179750315,0.9636087193057304,0.9453650826122049,0.8897695977935829,0.8495201775972938,0.8186977358762237,0.7794801242641958,0.7140249606835432,0.6396648667177596,0.6580986964290393,0.5940410544510952,0.422299731306241,0.2937208625501566,0.2554517679139763,0.4760108969657716,0.7852944083465723
0.048,2.776073135664336,0.7165802169306129,0.8992644437334603,0.9663642648805153,0.9491344848744275,0.8960860689242889,0.8573482411173524,0.8272978614387702,0.7887498236893088,0.7239856347927944,0.6499855042739571,0.6685674603586664,0.6045415865294148,0.43145416904922096,0.3007037751030157,0.2616750442525211,0.4854028460773181,0.7927769910396731
