Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05918383848454637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11801469184890657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.1764957086223984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.23463000000000003,1.1102230246251565e-16,3.3306690738754696e-16,1.6653345369377348e-15,1.887379141862766e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,0.0,0.0,0.0,4.0567770567888303e-16
0.005,0.2924206403940887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3498706679764244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.4069830852105779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.463760859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5202069230769231,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1018720342064259e-16
0.01,0.5763241747572816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6321154791868345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.687583667953668,1.1102230246251565e-15,2.220446049250313e-15,4.218847493575595e-15,4.9960036108132044e-15,2.220446049250313e-15,2.220446049250313e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.6653345369377348e-15,1.4432899320127035e-15,1.2212453270876722e-15,1.2212453270876722e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.9305253518980245e-15
0.013,0.7427315399422523,2.4424906541753444e-15,5.551115123125783e-15,9.43689570931383e-15,1.2545520178264269e-14,5.773159728050814e-15,4.6629367034256575e-15,4.3298697960381105e-15,4.107825191113079e-15,4.107825191113079e-15,3.552713678800501e-15,2.886579864025407e-15,2.220446049250313e-15,1.4432899320127035e-15,9.992007221626409e-16,5.551115123125783e-16,3.3306690738754696e-16,4.5276442471381834e-15
0.014,0.7975618618042227,8.881784197001252e-16,2.1094237467877974e-15,4.107825191113079e-15,4.884981308350689e-15,2.1094237467877974e-15,1.887379141862766e-15,1.6653345369377348e-15,1.7763568394002505e-15,1.5543122344752192e-15,1.3322676295501878e-15,9.992007221626409e-16,9.992007221626409e-16,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.7728973438183595e-15
0.015,0.8520773684210526,8.881784197001252e-16,2.220446049250313e-15,4.551914400963142e-15,6.5503158452884236e-15,2.55351295663786e-15,2.220446049250313e-15,1.887379141862766e-15,1.9984014443252818e-15,1.887379141862766e-15,1.5543122344752192e-15,1.3322676295501878e-15,1.2212453270876722e-15,4.440892098500626e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.101350835050229e-15
0.016,0.9062807633587787,5.440092820663267e-15,1.3100631690576847e-14,2.6423307986078726e-14,3.608224830031759e-14,1.509903313490213e-14,1.199040866595169e-14,1.099120794378905e-14,1.0325074129013956e-14,1.0325074129013956e-14,8.770761894538737e-15,7.771561172376096e-15,5.662137425588298e-15,3.4416913763379853e-15,2.7755575615628914e-15,2.220446049250313e-15,2.1094237467877974e-15,1.1958788667993913e-14
0.017,0.9601747193149383,5.995204332975845e-15,1.4988010832439613e-14,3.064215547965432e-14,4.196643033083092e-14,1.7208456881689926e-14,1.3100631690576847e-14,1.199040866595169e-14,1.1546319456101628e-14,1.1435297153639112e-14,9.880984919163893e-15,8.659739592076221e-15,6.217248937900877e-15,3.6637359812630166e-15,3.1086244689504383e-15,2.220446049250313e-15,2.220446049250313e-15,1.352220902023057e-14
0.018,1.0137618785578748,0.0053637349540922585,0.013279317898016618,0.027935446750452675,0.038160587830085024,0.01572465822899627,0.011778668878839271,0.010763585729473557,0.010463091264831803,0.010408505020676362,0.009141068638865879,0.007886763050053758,0.005642035828287928,0.003391927035101938,0.0025847948618924477,0.0022029587037873943,0.002086398473030271,0.012266381817546529
0.019,1.0670448533585621,0.027187713258147173,0.06595681875769843,0.13004571031640133,0.17049172583806516,0.07590250546955624,0.05854488288110993,0.05381301367294544,0.05207060377937456,0.051443154957013126,0.04504923342270317,0.03915694739323816,0.028261671928247356,0.01710786339950887,0.013065770916935393,0.011054341693511605,0.010388513011415856,0.05888602171272632
0.02,1.1200262264150944,0.05027606451308264,0.11930798259090591,0.22172603626660015,0.2811638422471021,0.13421413194241072,0.10622628778439203,0.09812417149981023,0.09460070921123787,0.09293084668509777,0.08124566674931188,0.07109452895212798,0.05174776413125348,0.031540076324283794,0.024131372442890653,0.020291676923741342,0.01893679246635316,0.10371366499595797
0.021,1.1727085512699906,0.07424590099519024,0.17216911719397643,0.3033025449497374,0.3742297381799238,0.19019101484882972,0.15398313086276805,0.14285157483407318,0.13733460900553818,0.13428738792410944,0.11732166645926212,0.10329124538655621,0.07579007685705075,0.04650921885531023,0.03564032956916896,0.02981723822315041,0.027653485412008183,0.146595633088226
0.022,1.2250943527204503,0.09874735902384635,0.223651667406915,0.3755104502156218,0.4528951304889963,0.2434716392816455,0.20108949124250708,0.1872696648340476,0.17966056821565635,0.17502241619051606,0.1529233743540902,0.13538707750474688,0.10010568169729084,0.06184688548558159,0.04746347409763618,0.03954251323070834,0.03647078349605326,0.1874185948519059
0.023,1.2771861272217027,0.12347672836383594,0.2731241984255294,0.4392588304950905,0.5197184306758226,0.29381650796157477,0.24696378148692077,0.23079465051468684,0.22108885623336794,0.2147484743905127,0.1877632250231932,0.1670820747768209,0.12445002117714121,0.07740291607269789,0.059487409832868265,0.04939032939648946,0.04533134664842664,0.22611729713793902
0.024,1.3289863432835822,0.14818199334469984,0.3201770553532963,0.49549302746616297,0.5767553937256298,0.34110258895898005,0.2911741179736764,0.27298619942782987,0.2612512383139114,0.25317859376747465,0.22162194887744147,0.1981395401674747,0.14862154251012005,0.09304915810843195,0.07161615512880393,0.05929571889971341,0.05418818312312079,0.26267425329806643
0.025,1.3804974418604652,0.17266213892340376,0.36457922724174185,0.5451195337696451,0.6256664539129236,0.38530551831303994,0.33342615976344947,0.313534846228269,0.29988948204047794,0.2901157129376081,0.25434353958299016,0.22838251026082956,0.17246104971692455,0.10868013484307826,0.08377094883502056,0.06920561320750895,0.06300388424853132,0.2971136879264731
0.026,1.431721836734694,0.1967624924227196,0.40623539091909344,0.5889693526614728,0.6677985367329735,0.42647721441308073,0.3735418341849204,0.35224195438457895,0.33683821864790586,0.3254380434740832,0.28582635935502876,0.2576863351555474,0.19584772315396337,0.12421162399081698,0.09588882044373892,0.07907775499731173,0.07174944889685908,0.32949274463380074
0.027,1.4826619148936169,0.22036818358807875,0.4451479757689001,0.6277840815733687,0.7042486499766286,0.46472399283164834,0.41143542655777965,0.3889976172873285,0.37200638862879587,0.3590836365371962,0.31601297754699964,0.28596975552613546,0.21869358058727628,0.13957813231279836,0.10792053933099599,0.088879230946594,0.08040295332215752,0.3598922917890699
0.028,1.5333200369003692,0.24339719094755408,0.4813862319024065,0.6622147141341548,0.7359138777484071,0.5001877637767643,0.44709097690372335,0.42375982731737727,0.4053598788594204,0.3910361319291539,0.34488039012638205,0.31318606113705083,0.24093761925982748,0.15472999219173877,0.11982839942576273,0.09858492366319216,0.0889482516418093,0.38840867994491474
0.029,1.5836985372585097,0.2657938260429217,0.5150624007524576,0.6928270140612602,0.7635309065885095,0.5330311499262426,0.4805428626257374,0.4565365180325194,0.4369065945122451,0.42131260479284793,0.37243144813609474,0.33931517369994735,0.26254035049002455,0.16963052351314167,0.13158411448895624,0.1081760600048649,0.0973738101626831,0.41514701413820426
0.03,1.6337997247706424,0.287523050342288,0.5463141305186319,0.7201098266884716,0.7877073572075348,0.563426388401519,0.5118601091577585,0.4873709491320808,0.4666843113529011,0.44995373025225893,0.3986877731608821,0.36435698062034805,0.2834790512967794,0.18425348559088073,0.14316695801098234,0.117638939297252,0.10567171644350959,0.4402160145819332
0.031,1.6836258828911255,0.3085657355155931,0.5752919505817424,0.7444842755887466,0.8089466581042623,0.5915474527313914,0.5411342461812041,0.5163302796780647,0.4947511626772241,0.47701611206287664,0.42368412872224115,0.38832594442586144,0.30374381907179027,0.19858090270011353,0.15456219102122293,0.1269638654011812,0.1138368659179404,0.46372429502021234
0.032,1.733179270072993,0.32891482520773774,0.6021506338719818,0.7663127542872247,0.8276678211122787,0.6175647203374038,0.5684702113125097,0.5434968980141764,0.5211783992799863,0.5025664624205888,0.44746407337793326,0.41124686423528345,0.3233343886858797,0.21260126722645478,0.16575977084683224,0.1361442741758634,0.12186630961348555,0.48577779993054976
0.033,1.7824621201091906,0.34857228846846655,0.62704344006008,0.7859071889077623,0.8442211935765566,0.6416415560300053,0.5939797214207722,0.5689620013163592,0.5460450044521832,0.5266772842757906,0.4700766758933327,0.43315161053594387,0.3422576159876125,0.22630808580438622,0.17675331038183728,0.1451760332580312,0.12975873911413827,0.5064781372817673
0.034,1.8314766424682398,0.3675467352129952,0.6501184360780599,0.8035363677853391,0.8589010367342367,0.6639322861772287,0.6177765657867703,0.5928209435508183,0.569433769430099,0.5494237321837274,0.4915740777258246,0.4540766494482015,0.3605255164255481,0.23969871932764952,0.18753924959051638,0.15405688668984274,0.13751408407182308,0.5259215761250798
