Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.05691035895314058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.11348129230616304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.16971582764122894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.22561695664031622,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.9786699631319377e-16
0.005,0.2811876356157636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.3364307860314342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.3913492950146915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.445946015859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.5002237685199611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.5541853400970874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.6078334853146177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.012,0.6611709269884171,1.4432899320127035e-15,2.4424906541753444e-15,3.885780586188048e-15,4.773959005888173e-15,2.7755575615628914e-15,2.6645352591003757e-15,2.1094237467877974e-15,1.887379141862766e-15,1.6653345369377348e-15,1.1102230246251565e-15,9.992007221626409e-16,5.551115123125783e-16,0.0,0.0,0.0,0.0,1.4617933276283696e-15
0.013,0.7142003564870067,3.4416913763379853e-15,5.773159728050814e-15,8.659739592076221e-15,1.1657341758564144e-14,8.326672684688674e-15,6.8833827526759706e-15,5.551115123125783e-15,4.773959005888173e-15,4.440892098500626e-15,2.886579864025407e-15,2.3314683517128287e-15,1.7763568394002505e-15,7.771561172376096e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,3.804707236922235e-15
0.014,0.7669244341842612,1.1102230246251565e-16,3.3306690738754696e-16,1.5543122344752192e-15,1.7763568394002505e-15,4.440892098500626e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.9786699631319377e-16
0.015,0.8193457899043062,1.2212453270876722e-15,2.1094237467877974e-15,3.6637359812630166e-15,4.3298697960381105e-15,2.4424906541753444e-15,2.3314683517128287e-15,1.7763568394002505e-15,1.6653345369377348e-15,1.4432899320127035e-15,8.881784197001252e-16,7.771561172376096e-16,3.3306690738754696e-16,0.0,0.0,0.0,0.0,1.2698958650382354e-15
0.016,0.8714670233587787,6.217248937900877e-15,1.0325074129013956e-14,1.687538997430238e-14,2.375877272697835e-14,1.509903313490213e-14,1.2656542480726785e-14,9.880984919163893e-15,9.325873406851315e-15,8.215650382226158e-15,5.773159728050814e-15,4.218847493575595e-15,2.9976021664879227e-15,1.5543122344752192e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,7.201072013635217e-15
0.017,0.9232907045765938,5.88418203051333e-15,9.880984919163893e-15,1.6764367671839864e-14,2.3647750424515834e-14,1.4765966227514582e-14,1.2212453270876722e-14,9.2148511043888e-15,8.659739592076221e-15,7.771561172376096e-15,5.551115123125783e-15,4.218847493575595e-15,2.9976021664879227e-15,1.3322676295501878e-15,8.881784197001252e-16,5.551115123125783e-16,3.3306690738754696e-16,6.96463421881097e-15
0.018,0.9748193743263757,1.6053824936079764e-13,2.785549568784518e-13,4.839462164341057e-13,6.895595205946847e-13,4.4364512064021255e-13,3.4849900742983664e-13,2.6623148130511254e-13,2.439159985101469e-13,2.2015722578316854e-13,1.616484723854228e-13,1.1679546219056647e-13,8.137934770502397e-14,4.063416270128073e-14,2.3425705819590803e-14,1.9095836023552692e-14,1.687538997430238e-14,2.0082058985863732e-13
0.019,1.0260555445316935,0.018189615965665484,0.03126242821851499,0.052936759840582104,0.07364737769656526,0.04869353912838126,0.03878067752261172,0.029851207230026433,0.027337485836407827,0.024653866630477195,0.018100616364973066,0.013114132154154245,0.009146321173115424,0.004605512593028438,0.002681931973167795,0.002160878348017481,0.0019197161865938117,0.022216348009729558
0.02,1.0770016986792454,0.05447640886063865,0.09194191026671339,0.14862232391082852,0.1986689374792182,0.13774644594346153,0.11251199065600181,0.08785502989032634,0.08046877085253668,0.07236981955442545,0.053232007398722025,0.038802684226749595,0.02732537401527657,0.01385032191354707,0.00809258657799683,0.006478568688361053,0.0057224928472182635,0.06386630806739284
0.021,1.1276602922201318,0.09090563592079526,0.15068533060228673,0.2337534563016751,0.3023480692535495,0.21822192721671296,0.18214609930447567,0.144147296353064,0.1321393994931197,0.11865432181750135,0.08753003881371046,0.06417232575412968,0.045590064843102684,0.023257810992913908,0.01363026269315748,0.010855379448787894,0.009541151544164572,0.10283296247943509
0.022,1.1780337529643528,0.12692907861048164,0.20671812271399603,0.30918051631274723,0.3890716340059527,0.29056934482677155,0.2470955451458643,0.19801286580122623,0.1817615538918831,0.1631083468247,0.12076370455797603,0.08902535059606775,0.06375729483679826,0.03273174732734818,0.019235645103208854,0.015255450913236546,0.013351338003998348,0.13914345756061214
0.023,1.2281244814686625,0.16216691078318146,0.25961760830180336,0.37591860715934355,0.4622042407138972,0.3554246156895067,0.3071598835730206,0.24904709261317726,0.22899530229995646,0.20551048380186854,0.15279797529996575,0.11323614174101126,0.08169917052963893,0.042201701382377,0.024865225343768005,0.01965305421898267,0.017136430888819332,0.17290175026553475
0.024,1.2779348514179105,0.19636713805206918,0.30920274381628277,0.4349881904359273,0.5243416626731097,0.41349301304584285,0.36238819030863845,0.2970632774008962,0.27367547051812313,0.2457622521478684,0.183565140921073,0.13673041911571504,0.09932900768213149,0.05161698372099943,0.03048746479732134,0.024029958037789845,0.020885295896474476,0.20425408688902646
0.025,1.32746721,0.2293718784142148,0.3554520351574517,0.48734074927518933,0.577502666455344,0.46547971207545624,0.4129796105773803,0.3420214150676578,0.31575567313748953,0.28384749583943225,0.213043368435467,0.15946958077669549,0.1165901435373774,0.06094165798931406,0.036079720482106836,0.0283733976604591,0.02459065133561056,0.23336616267517626
0.026,1.3767238782745825,0.26109114888152696,0.3984452196811138,0.5338299829444475,0.6232714803554439,0.5120521990823979,0.4592156120501697,0.3839764318861646,0.35526762747075435,0.31980348203285447,0.2412413186381429,0.1814393765630593,0.1334474700578966,0.07015067923177165,0.04162590236065544,0.03267456835983251,0.028247909110537872,0.2604087781162601
0.027,1.425707151535615,0.29148320518629445,0.43832303667093897,0.5752060421091383,0.6629029332469162,0.5538224856083748,0.5014157704581439,0.423041888287496,0.39229247183266247,0.3537008401986187,0.26818737063212583,0.20264190191809972,0.14988120763632362,0.07922699406619615,0.04711473158694435,0.03692752807375599,0.03185436155536858,0.28554926775612166
