Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07974274157527418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15900988031809146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.23780565847373636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.31613426798418975,1.6653345369377348e-15,3.6637359812630166e-15,3.6637359812630166e-15,3.1086244689504383e-15,1.887379141862766e-15,1.9984014443252818e-15,1.7763568394002505e-15,1.887379141862766e-15,1.887379141862766e-15,1.4432899320127035e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.3322676295501878e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.3965344728295308e-15
0.005,0.3939998512315271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.47140650176817295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5483582650342802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.6248591390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.7009130751703991,2.3314683517128287e-15,6.217248937900877e-15,6.328271240363392e-15,3.774758283725532e-15,2.1094237467877974e-15,2.220446049250313e-15,2.3314683517128287e-15,2.3314683517128287e-15,2.3314683517128287e-15,1.887379141862766e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,6.661338147750939e-16,5.551115123125783e-16,3.3306690738754696e-16,3.4491622508424958e-15
0.01,0.7765239786407767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8516957093901258,5.551115123125783e-16,2.6645352591003757e-15,2.886579864025407e-15,2.1094237467877974e-15,5.551115123125783e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.3008952319499663e-15
