Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.08010235333998007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15972695904572567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.238878078493558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.3175599225296443,5.551115123125783e-16,1.7763568394002505e-15,2.7755575615628914e-15,3.1086244689504383e-15,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,9.34267657719761e-16
0.005,0.3957766522167488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.47353237956778005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5508311682664055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.627677034375,0.0,0.0,0.0,2.4424906541753444e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.038142533975718e-16
0.009,0.704073947030185,5.551115123125783e-16,1.7763568394002505e-15,2.7755575615628914e-15,3.1086244689504383e-15,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,9.181668464160855e-16
0.01,0.7800258291262137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8555365579864472,2.220446049250313e-16,6.661338147750939e-16,2.3314683517128287e-15,5.329070518200751e-15,9.992007221626409e-16,3.3306690738754696e-16,2.220446049250313e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,1.1102230246251565e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,9.710505900128702e-16
0.012,0.930609966023166,6.328271240363392e-15,1.432187701766452e-14,2.942091015256665e-14,4.207745263329343e-14,1.1213252548714081e-14,5.329070518200751e-15,4.551914400963142e-15,5.10702591327572e-15,5.662137425588298e-15,4.773959005888173e-15,3.4416913763379853e-15,2.6645352591003757e-15,2.220446049250313e-15,2.3314683517128287e-15,2.1094237467877974e-15,1.4432899320127035e-15,1.137363111412262e-14
0.013,1.005249841385948,0.0019231272488080542,0.004204035850672527,0.009035442835812701,0.013172892341790865,0.00343086906024892,0.0015909706745572683,0.0013712974036605985,0.0015398247693299005,0.001701550970289567,0.0014350864369260252,0.0010713985925465686,0.0007742131659955742,0.0006936772705169458,0.0007120986146569308,0.0006831947515387737,0.0004985139398735461,0.003480465295472261
0.014,1.0794599285988484,0.03031821264723611,0.06491048960748791,0.13002530598774498,0.1770839433814092,0.05065290788330035,0.024525866674842245,0.021411370731528434,0.023842796007829015,0.026046065357776316,0.021833580552547582,0.016481862833566785,0.01205667409919886,0.010847764034771279,0.011144588227041008,0.010597374554526362,0.007708416984343214,0.05055896023187462
