Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07800219990029911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.1555391779324056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.23261508374628345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.3092340177865613,6.661338147750939e-16,1.7763568394002505e-15,2.7755575615628914e-15,4.218847493575595e-15,2.55351295663786e-15,1.887379141862766e-15,1.887379141862766e-15,1.5543122344752192e-15,1.5543122344752192e-15,1.9984014443252818e-15,1.3322676295501878e-15,1.1102230246251565e-15,5.551115123125783e-16,0.0,0.0,0.0,1.8579207788160404e-15
0.005,0.38540003201970446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.46111713064833015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5363892708129285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.6112203632812501,0.0,1.1102230246251565e-16,0.0,2.4424906541753444e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,2.3208874547593953e-16
0.009,0.6856142731256085,1.1102230246251565e-16,4.440892098500626e-16,1.887379141862766e-15,2.886579864025407e-15,6.661338147750939e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,6.65140284766122e-16
0.01,0.7595748203883496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8331057807357212,2.220446049250313e-16,5.551115123125783e-16,2.220446049250313e-15,5.329070518200751e-15,1.1102230246251565e-15,4.440892098500626e-16,3.3306690738754696e-16,3.3306690738754696e-16,4.440892098500626e-16,6.661338147750939e-16,3.3306690738754696e-16,3.3306690738754696e-16,1.1102230246251565e-16,0.0,0.0,0.0,1.041905232432976e-15
0.012,0.9062108861003861,3.774758283725532e-15,7.216449660063518e-15,1.6986412276764895e-14,3.8968828164342995e-14,1.4099832412739488e-14,8.548717289613705e-15,7.327471962526033e-15,5.995204332975845e-15,6.994405055138486e-15,9.43689570931383e-15,5.995204332975845e-15,4.551914400963142e-15,2.55351295663786e-15,1.3322676295501878e-15,8.881784197001252e-16,7.771561172376096e-16,1.0671103581552725e-14
0.013,0.9788938253128008,2.549627176051672e-12,4.633404770970628e-12,1.2143730465652425e-11,3.060551811984169e-11,1.0555112339716288e-11,5.8899551902413805e-12,4.888422999727027e-12,4.186762048163928e-12,5.004330283497893e-12,6.814437902846748e-12,4.2452708015616736e-12,3.1397107136399427e-12,1.9445556276309617e-12,9.007239398783895e-13,7.794875855893224e-13,6.52811138479592e-13,7.789133358484822e-12
0.014,1.0511582447216892,0.011510658720838007,0.020914212045230918,0.052460511640779806,0.12214912018807167,0.04518574532122732,0.026061723911389167,0.02187568884126756,0.01867049409029553,0.02212770549025278,0.02986785260081659,0.018805312322980883,0.014020635880398591,0.008731837947637766,0.00405045633815404,0.003482055851934285,0.002905009905309952,0.03313666155651937
0.015,1.1230077488038277,0.02964733926030083,0.05372558544367245,0.12674924002973842,0.26685158060139147,0.10830559915675797,0.0653023586344309,0.05561699708182499,0.04729942381498009,0.05542188797541403,0.07391509909422,0.04723781089729029,0.035610769310840396,0.022351987564983467,0.010391673482954222,0.008856637743335338,0.007350957686793946,0.07902425713243957
0.016,1.1944459007633588,0.049842573723738015,0.08984539382238987,0.19975808738311263,0.38509347143688677,0.17017189486916517,0.10692409626981236,0.09225488834721407,0.078288268390453,0.09077018592283781,0.11967865249005827,0.07761762950149032,0.05913508160140868,0.037408841207296706,0.017432842268967574,0.014744744730987636,0.012180590993239648,0.12397012744003777
0.017,1.2654762231208374,0.07182073009175716,0.1284824196818637,0.26993736064838536,0.4820802786053464,0.23017770560086737,0.1502203440736808,0.13111263829303899,0.11116067005490016,0.12764216097870118,0.1664647400066458,0.10953211184661982,0.08429440362708918,0.05374209177088041,0.025108566161537893,0.021095663635527284,0.017353200246614353,0.16786683221063908
0.018,1.33610219829222,0.09523401701352341,0.16875950125156136,0.3361186987048622,0.5619137790401925,0.28774351784902896,0.19440780188880014,0.1714221756917712,0.14535827068033014,0.1654410611611633,0.2135245433029732,0.14249923666834663,0.11071819348391054,0.07113898597857993,0.033331057631003635,0.027842653591108713,0.022816564515871662,0.2104966760556998
0.019,1.4063272691579944,0.11970658299901171,0.20982059511921047,0.3975716552522566,0.6278651004286788,0.3423925615779908,0.2387192581734392,0.21241562632590383,0.18030856293324904,0.20357521007144852,0.2601439737438389,0.17602613307469095,0.13801073331111857,0.08936200761623903,0.04200206466518297,0.03491204535283332,0.028514025399623222,0.25161843164570985
0.02,1.4761548396226416,0.14487108113617275,0.2509050306348569,0.4539604488360811,0.6825569680255077,0.3937889290564677,0.2824725361400169,0.25339473420210956,0.2154779128973865,0.2415101298950033,0.3057054640460136,0.2096543733142976,0.16578935711399256,0.10817289664103058,0.051022743294063866,0.0422305305659062,0.03438995451786442,0.2910203996247146
0.021,1.5455882751646286,0.17039358812515937,0.2913861554812269,0.505254231944947,0.72809590677967,0.4417436216167311,0.3251093426308568,0.2937718447588502,0.25040468106697455,0.2787981780916481,0.34971918484977405,0.2429880403773127,0.19371032268917354,0.12734992013524538,0.06030051576418416,0.049730065077874475,0.0403932917947315,0.32854609266073037
0.022,1.6146309033771107,0.1959870247672335,0.3307812853769112,0.5516307266786157,0.7661744197459178,0.48619909329049205,0.36620734666242993,0.3330852747333878,0.28471388455874747,0.3150888408440675,0.39182915141030106,0.27570598984665584,0.2214823985598059,0.1466979977038929,0.06975300370358961,0.057350564217708455,0.046479383113356976,0.3641009508304844
0.023,1.6832860144995323,0.2214154923444691,0.3687428924732361,0.5933938962201717,0.7981527067314528,0.5272031303710796,0.40547338165918,0.3709962206701388,0.318118087836036,0.3501254891071244,0.43180273242366096,0.30756239082440584,0.24887072465073168,0.16605288672107932,0.07930964625076542,0.0650409063737426,0.052610561998579164,0.39764785423039306
0.024,1.7515568619402986,0.2464925554473404,0.4050399991547501,0.6309121483678332,0.8251247991665304,0.5648803069840622,0.44272609584575084,0.40727487208402025,0.3504097987924851,0.38373441192988156,0.4695115973021555,0.3383800746235691,0.2756942279460256,0.1852812071944977,0.08891174254578249,0.07275881744507195,0.05875592876249858,0.4291973218849407
0.025,1.8194466627906978,0.2710761504628262,0.4395362475194049,0.6645760010322019,0.8479720624245559,0.5994059613155636,0.4778746018784431,0.44178188155487785,0.38144975832613315,0.4158106481317353,0.5049100472983115,0.3680404331525583,0.3018195142957524,0.204277990972911,0.0985115702306808,0.08047012020914901,0.06489069358002852,0.45879623226536237
0.026,1.8869585983302413,0.29506207979433463,0.47216857438330706,0.6947712700417177,0.867406246818196,0.630984904995515,0.5108973410192434,0.47444927120827596,0.4111541489459769,0.4463035567777661,0.5380143650553956,0.39647243575495217,0.32715337101785824,0.22296304801702516,0.10807106290039836,0.08814769743046647,0.07099533909421452,0.4865172067340361
0.027,1.9540958145235892,0.31837733299932247,0.5029284616493296,0.7218634764349603,0.8840039107722736,0.6598352976146307,0.5418233788749316,0.5052630369959417,0.4394824960034528,0.4752037309850897,0.5688849710300886,0.42364226375094394,0.3516352201820373,0.24127700603895108,0.11756036093728617,0.09577039036420953,0.077054760133206,0.5124496209177666
0.028,2.0208614225092254,0.34097391427725854,0.5318464545139518,0.7461898330927574,0.8982337978826309,0.6861771813705537,0.5707169721220595,0.5342484232372832,0.46642711343264076,0.502531929837833,0.5976119573846075,0.4495442781058049,0.37523024125531423,0.2591775196362037,0.12695641677817715,0.10332195678206124,0.08305746559196414,0.5366924992357582
