Beta,R_0,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R_all
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001,0.07575324197407778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0.15105467534791253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003,0.22590833012884043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004,0.30031818853754944,1.7763568394002505e-15,3.219646771412954e-15,3.552713678800501e-15,3.1086244689504383e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.3322676295501878e-15,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.362620833356724e-15
0.005,0.37428818571428574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.006,0.44782221041257375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.007,0.5209241056807052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008,0.59359766953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009,0.6658466555988315,1.7763568394002505e-15,2.886579864025407e-15,3.552713678800501e-15,3.1086244689504383e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.887379141862766e-15,1.9984014443252818e-15,1.9984014443252818e-15,1.887379141862766e-15,1.6653345369377348e-15,1.3322676295501878e-15,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.3169551772421827e-15
0.01,0.7376747737864078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011,0.8090856909002905,5.551115123125783e-16,2.3314683517128287e-15,2.7755575615628914e-15,2.1094237467877974e-15,6.661338147750939e-16,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16,6.661338147750939e-16,4.440892098500626e-16,3.3306690738754696e-16,4.440892098500626e-16,3.3306690738754696e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,1.2087913881642812e-15
0.012,0.8800830312741312,7.327471962526033e-15,1.7430501486614958e-14,2.020605904817785e-14,1.3988810110276972e-14,7.771561172376096e-15,7.105427357601002e-15,7.549516567451064e-15,7.216449660063518e-15,7.882583474838611e-15,6.8833827526759706e-15,6.661338147750939e-15,5.662137425588298e-15,4.440892098500626e-15,2.6645352591003757e-15,2.1094237467877974e-15,8.881784197001252e-16,1.083176810525785e-14
0.013,0.9506703773820983,2.942091015256665e-14,7.316369732279782e-14,8.526512829121202e-14,5.928590951498336e-14,3.175237850427948e-14,2.7977620220553945e-14,3.008704396734174e-14,2.964295475749168e-14,3.1308289294429414e-14,2.731148640577885e-14,2.631228568361621e-14,2.3092638912203256e-14,1.7541523789077473e-14,1.1102230246251565e-14,8.992806499463768e-15,4.9960036108132044e-15,4.4793275032352575e-14
0.014,1.0208512704414587,0.017518251994097067,0.04369307181022486,0.05199353507411286,0.035606663516766446,0.018777692041347382,0.016828612351887595,0.017933485405871696,0.017599244006517356,0.018845187964604215,0.016253345501745398,0.015737076173078957,0.013769438677095791,0.010545380827350903,0.006763920207016549,0.0053798734299175255,0.0031688044799276227,0.026891140412892183
0.015,1.0906292110047846,0.07516577453664819,0.17494185075952373,0.20243548154489266,0.14672233869245943,0.08143473992737904,0.07344861784439627,0.07734632140161368,0.07590455798037676,0.08097490839239962,0.07045835441842163,0.06849097817351635,0.06002508222142766,0.04608198192257629,0.02920380232870068,0.023237912036294994,0.013757671652756098,0.11076710816500211
0.016,1.1600076595419848,0.13055335160642034,0.2852925686200698,0.3229169797888768,0.24497987209741523,0.14248528806248772,0.12934771325192873,0.13489916992058337,0.13239412501407322,0.140754096907854,0.12345240307550132,0.12043074692070366,0.10575589765217974,0.08143938728356725,0.05113739596547495,0.04071953995082911,0.024227147036126495,0.18566929687973938
0.017,1.2289900370123692,0.18331803711714445,0.37831149277737364,0.4206601305787847,0.3312062914174263,0.20102447226508435,0.1836567771060419,0.19003136896445938,0.18652851741361776,0.19767948953981074,0.17463348506975607,0.1708949818258958,0.15041859200144803,0.11624777697182131,0.07249728338653172,0.05778081225302478,0.03454279355245171,0.2527111514114286
0.018,1.297579725426945,0.23326028169667257,0.45701667530490764,0.500855268439597,0.4065666708501754,0.2564960657746883,0.2357759762302042,0.24238742329764018,0.23796717903048237,0.2514538909124495,0.22359893287391963,0.21941973270276782,0.19362496548797192,0.150234207735924,0.09324214527043317,0.07439469805404553,0.044680033456011126,0.3128479502578971
0.019,1.3657800684011354,0.2802984371308338,0.523896697817027,0.5673091543653234,0.4723224586226207,0.3086049594083293,0.28532296815032987,0.2917720385957351,0.2865240388394722,0.3019379618580894,0.2701045444029425,0.26570348220242845,0.23511328816964916,0.1832048514446234,0.11334921820992849,0.09054637199367899,0.054621829527659926,0.36690289925084363
0.02,1.4335943716981132,0.3244360348340286,0.5809823794509572,0.6228635527787928,0.5296978865021247,0.3572437076102364,0.33208491167518694,0.3381119059248482,0.33213003224087234,0.3491096693719232,0.3140281322200935,0.3095736474024765,0.2747227577063073,0.21502986640985244,0.13280948927708824,0.10623013899939338,0.0643570812049653,0.41558887233940917
0.021,1.5010259037629352,0.36573678479129523,0.6299257471054509,0.6696730980343146,0.5798154624832998,0.40243446157409457,0.3759763588328149,0.3814233859586189,0.3748017401425444,0.3930307926748946,0.35533834953028365,0.35095640530437566,0.3123709393500129,0.24563016016853845,0.15162423215654486,0.12144718040628455,0.07387938199946287,0.4595257641180549
0.022,1.5680778962476547,0.4043052003180556,0.6720713038099783,0.7093941821429387,0.6236716477343008,0.4442848532092486,0.4170040521042091,0.42178595808126307,0.41461585261927825,0.4338200765240908,0.39406903393402526,0.38985087839700305,0.34803444661753113,0.27496595641740973,0.16980232669406803,0.1362037904524479,0.08318599964914941,0.49925430055300435
0.023,1.634753544527596,0.44027174228837296,0.7085158899575265,0.7433160555094797,0.6621342234276046,0.4829555190248024,0.4552386957541964,0.45932115250641803,0.45168903641542013,0.4716324175302671,0.43029881822321514,0.4263079924192702,0.3817329619997315,0.3030271796561995,0.18735813281220415,0.15050996629968605,0.09227702727564502,0.5352472097288796
0.024,1.7010560082089552,0.4737816722540429,0.7401574015628849,0.7724535099983496,0.6959503698073134,0.5186368590050241,0.49079311312397467,0.4941763971873271,0.4861625648267597,0.5066432546252936,0.4641354288728714,0.46041378459772764,0.41351644080402805,0.32982559406873435,0.20430980720773262,0.16437828460555715,0.10115468275976347,0.567918457120457
0.025,1.7669884116279069,0.5049869061578233,0.7677338588298056,0.7976134857036934,0.7257592669390791,0.5515328605885778,0.5238058630131008,0.5265130292994193,0.5181909397961282,0.5390372400539787,0.4957039349090129,0.4922766316701864,0.443455151490339,0.355388539854121,0.22067798865435684,0.1778230193364283,0.10982273997275915,0.5976310325236482
0.026,1.832553844341373,0.534040235328484,0.7918545295440171,0.8194436477053872,0.7521058918333093,0.5818501743337909,0.554429294511495,0.5564976759077493,0.5479337221679277,0.5690002919374666,0.525138186973683,0.5220177441773595,0.4716321152829309,0.3797540527045915,0.23648478952379737,0.19085946173481394,0.1182860753536521,0.624703610167997
0.027,1.8977553616096206,0.5610913669594881,0.8130246672492236,0.8384682881092584,0.7754543365563962,0.609791000482459,0.5828210768186404,0.5842962611952243,0.5755498527638288,0.5967142302703841,0.55257474792524,0.5497642739180746,0.4981374964659938,0.4029671343361493,0.25175303722056386,0.203503406413289,0.12655031262895022,0.6494162952389604
0.028,1.962595984870849,0.5862843295635184,0.8316651796642902,0.855115184229339,0.796199892343277,0.6355486827810022,0.6091383711160552,0.6100700007683626,0.6011938534205479,0.6223533316035927,0.5781487179317105,0.5756444484831373,0.5230645314250442,0.4250769522895058,0.2665057153837356,0.2157707710018093,0.13462154883227573,0.6720156046853227
0.029,2.0270787022079118,0.6097558798847409,0.8481282949575756,0.8697359158911946,0.814679640476824,0.6593051872416986,0.6335339640668409,0.6339728617422642,0.625013413225245,0.646082273574268,0.6019909685293638,0.5997842404521287,0.5465066432718204,0.4461347727317211,0.2807655617041511,0.22767732101645766,0.1425061461697532,0.6927187920918051
0.03,2.0912064688073397,0.6316346290435088,0.86271007539253,0.8826213934050686,0.8311815448546783,0.6812298662832444,0.6561538283869065,0.6561500798589625,0.6471479734669134,0.6680550626056886,0.6242264044988911,0.6223051753194879,0.5685554528399159,0.4661924611244074,0.2945547864544851,0.23923847618770766,0.15021057625402878,0.7117176039532721
0.031,2.154982207410796,0.6520406739469526,0.8756604472729649,0.8940138387298087,0.845952160872113,0.7014790787700697,0.6771357022137166,0.676737422222745,0.6677280174708584,0.6884146400747022,0.6449729620393583,0.6433229694883451,0.5892994566680603,0.485301416562573,0.3078948826809311,0.2504691788997695,0.15774130538772768,0.7291815406181431
0.032,2.2184088087591247,0.6710855748547397,0.8871912711550232,0.9041161122986037,0.859203122144805,0.7201963629595912,0.6966083820080827,0.6958609635897335,0.6868748465757677,0.7072929433665218,0.6643411246608808,0.6629467631075845,0.6088231942022095,0.5035118333787012,0.320806505057567,0.26138380934446526,0.16510471164743112,0.7452606853688976
